Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
FDX,SHORT,2007-11-19,91.97,412,No-Exit,0.0,0.0,2007-11-19,90.06,789.43,2007-11-26,89.96,829.35,789.43,[]
GOOGL,SHORT,2008-01-07,326.97,117,No-Exit,0.0,0.0,2008-01-07,325.97,117.00,2008-01-10,326.91,7.02,117.00,[]
CF,SHORT,2008-01-18,83.97,456,No-Exit,0.0,0.0,2008-01-22,82.09,859.32,2008-01-24,91.92,-3627.24,859.32,[]
UNP,LONG,2008-02-01,27.53,1341,No-Exit,0.0,0.0,2008-02-01,27.97,586.91,2008-02-05,26.84,-925.29,586.91,[]
GOOGL,SHORT,2008-03-04,225.47,161,No-Exit,0.0,0.0,2008-03-04,224.47,161.00,2008-03-12,220.23,844.44,161.00,[]
GOOGL,LONG,2008-04-02,234.95,158,No-Exit,0.0,0.0,2008-04-02,235.95,158.00,2008-04-03,228.36,-1041.22,158.00,[]
CF,LONG,2008-04-07,121.35,304,No-Exit,0.0,0.0,2008-04-07,123.24,573.33,2008-04-18,141.45,6109.87,573.33,['NFLX']
NFLX,LONG,2008-04-17,39.31,572,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-22,33.69,-3214.64,-3214.64,[]
GOOGL,SHORT,2008-07-21,239.00,157,No-Exit,0.0,0.0,2008-07-21,238.00,157.00,2008-07-23,245.04,-948.28,157.00,[]
GD,LONG,2008-07-24,76.01,490,2008-07-24,73.35,-1303.40,No-Exit,0.0,0.0,2008-08-01,75.36,-318.50,-1303.40,['UNP']
UNP,LONG,2008-07-24,34.54,652,No-Exit,0.0,0.0,2008-07-29,35.42,574.41,2008-08-07,35.72,772.59,574.41,[]
AAPL,LONG,2008-08-13,24.11,1552,No-Exit,0.0,0.0,2008-08-14,24.38,419.90,2008-08-18,23.62,-760.48,419.90,[]
UNP,LONG,2008-08-29,37.23,997,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-09-02,36.28,-947.15,-947.15,[]
AAPL,SHORT,2008-09-05,21.45,1692,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-09-08,22.26,-1368.76,-1368.76,[]
IWM,SHORT,2008-09-16,63.30,566,2008-09-16,66.06,-1561.48,No-Exit,0.0,0.0,2008-09-18,66.57,-1850.14,-1561.48,[]
CP,LONG,2008-11-04,42.31,840,No-Exit,0.0,0.0,2008-11-04,44.15,1545.33,2008-11-05,41.66,-546.00,1545.33,[]
AAPL,LONG,2008-12-09,13.59,2600,No-Exit,0.0,0.0,2008-12-09,13.86,703.44,2008-12-10,13.08,-1326.00,703.44,[]
IWM,SHORT,2009-01-15,42.03,828,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-01-16,43.95,-1587.50,-1587.50,['UNP']
UNP,SHORT,2009-01-15,18.21,1148,No-Exit,0.0,0.0,2009-01-15,17.32,1020.11,2009-01-22,19.34,-1297.24,1020.11,['MA']
MA,SHORT,2009-01-16,12.59,2425,No-Exit,0.0,0.0,2009-01-16,12.39,475.80,2009-01-28,13.01,-1018.50,475.80,[]
AMZN,LONG,2009-02-02,59.48,560,No-Exit,0.0,0.0,2009-02-02,61.48,1120.00,2009-02-11,63.01,1976.80,1120.00,[]
UNP,SHORT,2009-02-20,17.21,1981,2009-02-20,17.86,-1287.65,No-Exit,0.0,0.0,2009-02-23,17.92,-1412.58,-1287.65,[]
AMZN,LONG,2009-03-12,69.57,482,No-Exit,0.0,0.0,2009-03-17,71.57,964.00,2009-03-20,69.80,110.86,964.00,['AAPL']
AAPL,LONG,2009-03-18,13.52,1541,No-Exit,0.0,0.0,2009-03-18,13.79,416.92,2009-03-30,14.14,958.93,416.92,[]
NFLX,LONG,2009-04-13,47.19,720,No-Exit,0.0,0.0,2009-04-13,49.19,1440.00,2009-04-15,47.30,79.20,1440.00,[]
AMZN,LONG,2009-06-02,85.00,400,No-Exit,0.0,0.0,2009-06-05,87.00,800.00,2009-06-11,86.29,516.00,800.00,[]
MA,LONG,2009-07-16,16.99,2013,No-Exit,0.0,0.0,2009-07-16,17.19,395.69,2009-07-22,17.59,1215.10,395.69,[]
UNP,LONG,2009-10-16,28.66,750,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-10-21,28.95,217.88,217.88,['FDX']
FDX,LONG,2009-10-15,78.26,442,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-10-22,77.01,-552.50,-552.50,[]
AAPL,LONG,2009-12-28,28.64,1218,No-Exit,0.0,0.0,2009-12-28,28.91,329.54,2010-01-06,28.92,339.95,329.54,[]
NFLX,LONG,2010-01-29,63.65,544,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-02-01,61.09,-1392.64,-1392.64,[]
GD,LONG,2010-02-19,63.63,536,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-02-25,63.03,-321.60,-321.60,[]
AAPL,LONG,2010-04-22,35.16,967,2010-04-22,34.84,-309.44,2010-04-22,35.43,261.63,2010-04-27,36.16,962.69,-309.44,[]
WHR,SHORT,2010-05-21,82.95,412,2010-05-21,85.79,-1170.93,No-Exit,0.0,0.0,2010-05-24,87.99,-2078.38,-1170.93,[]
UNP,LONG,2010-06-16,34.54,972,No-Exit,0.0,0.0,2010-06-21,35.46,890.23,2010-06-22,35.05,495.72,890.23,[]
GOOGL,SHORT,2010-08-20,233.53,144,No-Exit,0.0,0.0,2010-08-20,232.53,144.00,2010-09-01,227.49,869.76,144.00,[]
