Period,# of trades,winning trades,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/30/2014--04/30/2014,11.0,5.0,45.45454545454545,9.0,5.0,55.55555555555556,2.0,0.0,0.0
02/09/2014--05/10/2014,12.0,5.0,41.66666666666667,10.0,5.0,50.0,2.0,0.0,0.0
02/19/2014--05/20/2014,10.0,3.0,30.0,8.0,3.0,37.5,2.0,0.0,0.0
03/01/2014--05/30/2014,8.0,3.0,37.5,7.0,3.0,42.857142857142854,1.0,0.0,0.0
03/11/2014--06/09/2014,9.0,3.0,33.33333333333333,8.0,3.0,37.5,1.0,0.0,0.0
03/21/2014--06/19/2014,8.0,3.0,37.5,8.0,3.0,37.5,0.0,0.0
03/31/2014--06/29/2014,7.0,3.0,42.857142857142854,7.0,3.0,42.857142857142854,0.0,0.0
04/10/2014--07/09/2014,8.0,4.0,50.0,8.0,4.0,50.0,0.0,0.0
04/20/2014--07/19/2014,10.0,6.0,60.0,10.0,6.0,60.0,0.0,0.0
04/30/2014--07/29/2014,11.0,9.0,81.81818181818183,11.0,9.0,81.81818181818183,0.0,0.0
05/10/2014--08/08/2014,10.0,9.0,90.0,10.0,9.0,90.0,0.0,0.0
05/20/2014--08/18/2014,10.0,8.0,80.0,9.0,8.0,88.88888888888889,1.0,0.0,0.0
05/30/2014--08/28/2014,8.0,6.0,75.0,7.0,6.0,85.71428571428571,1.0,0.0,0.0
06/09/2014--09/07/2014,10.0,8.0,80.0,9.0,8.0,88.88888888888889,1.0,0.0,0.0
06/19/2014--09/17/2014,10.0,8.0,80.0,9.0,8.0,88.88888888888889,1.0,0.0,0.0
06/29/2014--09/27/2014,13.0,8.0,61.53846153846154,11.0,8.0,72.72727272727273,2.0,0.0,0.0
07/09/2014--10/07/2014,12.0,8.0,66.66666666666666,10.0,7.0,70.0,2.0,1.0,50.0
07/19/2014--10/17/2014,14.0,10.0,71.42857142857143,8.0,5.0,62.5,6.0,5.0,83.33333333333334
07/29/2014--10/27/2014,14.0,10.0,71.42857142857143,8.0,5.0,62.5,6.0,5.0,83.33333333333334
08/08/2014--11/06/2014,16.0,10.0,62.5,10.0,5.0,50.0,6.0,5.0,83.33333333333334
08/18/2014--11/16/2014,18.0,12.0,66.66666666666666,12.0,7.0,58.333333333333336,6.0,5.0,83.33333333333334
08/28/2014--11/26/2014,16.0,11.0,68.75,11.0,6.0,54.54545454545454,5.0,5.0,100.0
09/07/2014--12/06/2014,14.0,9.0,64.28571428571429,11.0,6.0,54.54545454545454,3.0,3.0,100.0
09/17/2014--12/16/2014,11.0,6.0,54.54545454545454,11.0,6.0,54.54545454545454,0.0,0.0
09/27/2014--12/26/2014,12.0,8.0,66.66666666666666,9.0,6.0,66.66666666666666,3.0,2.0,66.66666666666666
10/07/2014--12/31/2014,12.0,8.0,66.66666666666666,9.0,6.0,66.66666666666666,3.0,2.0,66.66666666666666
10/17/2014--12/31/2014,12.0,8.0,66.66666666666666,9.0,6.0,66.66666666666666,3.0,2.0,66.66666666666666
10/27/2014--12/31/2014,9.0,6.0,66.66666666666666,6.0,4.0,66.66666666666666,3.0,2.0,66.66666666666666
11/06/2014--12/31/2014,5.0,3.0,60.0,2.0,1.0,50.0,3.0,2.0,66.66666666666666
11/16/2014--12/31/2014,4.0,2.0,50.0,2.0,1.0,50.0,2.0,1.0,50.0
11/26/2014--12/31/2014,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0
12/06/2014--12/31/2014,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0
12/16/2014--12/31/2014,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0
12/26/2014--12/31/2014,0.0,0.0,0.0,0.0,0.0,0.0
