GS,LONG,2007-09-11,170.22,111,No-Exit,0,0,2007-09-13,171.91,187.16,2007-10-04,207.04,4087.01,187.16,4087.01,BB Spread,[],,,,
AAPL,LONG,2007-12-07,25.78,614,No-Exit,0,0,2007-12-07,26.04,161.39,2007-12-12,25.44,-206.13,161.39,161.39,BB Spread,['GOOGL', 'AZO'],,,
AZO,LONG,2007-12-05,129.73,152,No-Exit,0,0,2007-12-10,131.03,197.55,2007-12-13,122.71,-1067.04,197.55,197.55,BB Spread,['GOOGL'],,,,
GOOGL,LONG,2008-04-02,234.95,88,No-Exit,0,0,2008-04-02,237.28,204.91,2008-04-09,233.59,-119.68,204.91,204.91,BB Spread,['MOS', 'GOOGL'],,,
MOS,LONG,2008-04-07,113.2,164,No-Exit,0,0,2008-04-07,114.32,183.06,2008-04-18,125.64,2039.87,183.06,2039.87,BB Spread,['GOOGL'],,,,
SWN,LONG,2008-04-28,45.15,460,2008-04-28,43.14,-924.6,No-Exit,0,0,2008-04-29,42.51,-1214.4,-924.6,-924.6,BB Spread,['GOOGL'],,,,
ADSK,LONG,2008-08-18,38.89,524,No-Exit,0,0,No-Exit,0,0,2008-08-19,37.41,-775.52,-775.52,-775.52,BB Spread,['GOOGL'],,,,
AAPL,LONG,2008-12-09,13.59,1630,No-Exit,0,0,2008-12-09,13.73,220.63,2008-12-10,13.08,-831.3,220.63,220.63,BB Spread,['GOOGL'],,,,
AMZN,LONG,2009-02-02,59.48,364,No-Exit,0,0,2009-02-02,60.09,222.59,2009-02-13,62.95,1263.08,222.59,1263.08,BB Spread,['GOOGL', 'DLTR'],,,
FSLR,LONG,2009-07-27,172.55,119,No-Exit,0,0,2009-07-27,174.27,204.09,2009-07-29,163.69,-1054.34,204.09,204.09,BB Spread,['GOOGL'],,,,
FSLR,LONG,2009-12-04,131.69,146,No-Exit,0,0,2009-12-04,132.99,189.25,2009-12-18,135.23,516.84,189.25,516.84,BB Spread,['GOOGL'],,,,
AAPL,LONG,2009-12-28,28.64,666,No-Exit,0,0,2009-12-28,28.93,190.65,2010-01-07,28.45,-127.14,190.65,190.65,BB Spread,['GS', 'GOOGL'],,,
GS,LONG,2010-01-04,159.61,94,No-Exit,0,0,2010-01-04,161.24,152.71,2010-01-13,157.05,-240.83,152.71,152.71,BB Spread,['GOOGL'],,,,
NFLX,LONG,2010-01-29,63.65,295,No-Exit,0,0,2010-01-29,64.27,183.64,2010-02-01,61.09,-755.2,183.64,183.64,BB Spread,['QCOM', 'JPM', 'GOOGL', 'FCX', 'GS']
AAPL,LONG,2010-03-01,27.83,711,No-Exit,0,0,2010-03-01,28.12,201.01,2010-03-15,30.21,1689.84,201.01,1689.84,BB Spread,['GOOGL', 'MOS'],,,
MOS,LONG,2010-03-15,60.17,267,2010-03-15,59.46,-190.44,No-Exit,0,0,2010-03-17,58.82,-361.32,-190.44,-190.44,BB Spread,['GOOGL'],,,,
RIG,LONG,2010-04-01,76.57,209,No-Exit,0,0,2010-04-01,77.34,161.67,2010-04-12,74.37,-459.7,161.67,161.67,BB Spread,['MMM', 'GOOGL'],,,
MMM,LONG,2010-03-31,74.75,270,No-Exit,0,0,No-Exit,0,0,2010-04-13,73.8,-256.99,-256.99,-256.99,BB Spread,['GOOGL'],,,,
WDC,LONG,2010-04-26,42.62,478,No-Exit,0,0,2010-04-26,43.05,201.51,2010-04-27,41.56,-508.81,201.51,201.51,BB Spread,['GOOGL'],,,,
AKAM,LONG,2010-04-30,39.63,506,No-Exit,0,0,2010-05-03,40.02,199.01,2010-05-04,38.19,-728.64,199.01,199.01,BB Spread,['GOOGL'],,,,
AMP,LONG,2010-07-30,38.49,528,2010-07-30,38.49,0,2010-07-30,38.87,203.74,2010-08-04,38.82,175.57,203.74,203.74,BB Spread,['GOOGL'],,,,
AMZN,LONG,2010-08-05,127.93,152,No-Exit,0,0,2010-08-09,129.21,195.26,2010-08-12,123.76,-633.84,195.26,195.26,BB Spread,['NFLX', 'GOOGL', 'AAPL'],,
NFLX,LONG,2010-08-11,126.68,124,No-Exit,0,0,2010-08-11,127.94,156.82,2010-08-23,127.18,62,156.82,156.82,BB Spread,['GOOGL'],,,,
GOOGL,LONG,2010-09-20,246.64,78,No-Exit,0,0,2010-09-20,249.18,198.23,2010-09-29,263.27,1297.14,198.23,1297.14,BB Spread,['GOOGL'],,,,
CF,LONG,2010-10-11,106.43,178,No-Exit,0,0,2010-10-11,107.51,192.81,2010-10-22,112.51,1082.24,192.81,1082.24,BB Spread,['GOOGL'],,,,
GOOGL,LONG,2010-10-18,300.92,48,No-Exit,0,0,2010-10-18,304.01,148.25,2010-10-27,306.24,255.36,148.25,255.36,BB Spread,['GOOGL', 'CMG'],,,
CMG,LONG,2010-10-25,208.14,87,No-Exit,0,0,2010-10-26,210.19,178.35,2010-11-09,228.35,1758.27,178.35,1758.27,BB Spread,['GOOGL'],,,,
AMZN,LONG,2010-11-26,178.09,105,No-Exit,0,0,2010-11-29,179.89,188.99,2010-12-02,176.05,-214.2,188.99,188.99,BB Spread,['GOOGL'],,,,
AAPL,LONG,2010-12-07,43.8,437,No-Exit,0,0,No-Exit,0,0,2010-12-08,42.96,-368.29,-368.29,-368.29,BB Spread,['GOOGL'],,,,
AAPL,LONG,2010-12-09,43.58,341,No-Exit,0,0,No-Exit,0,0,2010-12-14,43.43,-50.16,-50.16,-50.16,BB Spread,['JPM', 'GOOGL'],,,
JPM,LONG,2010-12-09,36.71,511,No-Exit,0,0,2010-12-10,37.08,188.3,2010-12-17,35.9,-413.91,188.3,188.3,BB Spread,['GOOGL'],,,,
PCLN,LONG,2011-01-06,433.96,44,No-Exit,0,0,2011-01-06,438.33,192.42,2011-01-18,437.21,143,192.42,192.42,BB Spread,['GOOGL'],,,,
BLK,LONG,2011-03-31,182.37,83,No-Exit,0,0,2011-04-01,184.2,152.21,2011-04-07,179.23,-260.62,152.21,152.21,BB Spread,['HAL', 'GOOGL'],,,
HAL,LONG,2011-03-29,46.6,405,No-Exit,0,0,2011-03-29,47.07,190.56,2011-04-07,46.32,-113.4,190.56,190.56,BB Spread,['GOOGL'],,,,
AMZN,LONG,2011-04-28,195.96,101,No-Exit,0,0,2011-05-02,197.93,198.54,2011-05-06,196.61,65.65,198.54,198.54,BB Spread,['GOOGL', 'NSC'],,,
NSC,LONG,2011-04-29,67.86,228,No-Exit,0,0,No-Exit,0,0,2011-05-11,67.38,-109.44,-109.44,-109.44,BB Spread,['GOOGL'],,,,
GOOGL,LONG,2011-07-06,267.06,72,No-Exit,0,0,2011-07-07,269.76,194.76,2011-07-14,269.56,180,194.76,194.76,BB Spread,['GOOGL'],,,,
GOOGL,LONG,2011-09-16,273.08,71,No-Exit,0,0,No-Exit,0,0,2011-09-19,270.18,-206.26,-206.26,-206.26,BB Spread,['GOOGL'],,,,
APC,LONG,2011-10-18,73.5,257,No-Exit,0,0,2011-10-18,74.27,198.19,2011-10-31,79.76,1608.82,198.19,1608.82,BB Spread,['GOOGL'],,,,
GOOGL,LONG,2011-11-14,305.21,61,No-Exit,0,0,2011-11-14,308.27,186.96,2011-11-17,305.02,-11.28,186.96,186.96,BB Spread,['GOOGL'],,,,
NFLX,LONG,2012-01-05,81.17,218,No-Exit,0,0,2012-01-06,81.96,172.48,2012-01-18,93.18,2618.18,172.48,2618.18,BB Spread,['GOOGL'],,,,
PXD,LONG,2012-04-02,112.63,109,No-Exit,0,0,No-Exit,0,0,2012-04-04,110.33,-250.51,-250.51,-250.51,BB Spread,['GOOGL', 'UNH', 'AET'],,
AET,LONG,2012-03-30,48.2,303,No-Exit,0,0,2012-03-30,48.68,146.2,2012-04-10,46.66,-465.77,146.2,146.2,BB Spread,['GOOGL', 'UNH'],,,
UNH,LONG,2012-03-30,56.02,330,No-Exit,0,0,2012-03-30,56.58,186.19,2012-04-16,55.25,-254.1,186.19,186.19,BB Spread,['GOOGL'],,,,
JNJ,LONG,2012-06-14,60.1,328,No-Exit,0,0,2012-06-14,60.71,199.19,2012-07-06,62.61,823.28,199.19,823.28,BB Spread,['GOOGL'],,,,
GOOGL,LONG,2012-07-20,304.38,64,No-Exit,0,0,2012-07-23,307.38,192.15,2012-07-25,303.47,-58.24,192.15,192.15,BB Spread,['GOOGL'],,,,
ESRX,LONG,2012-08-09,61.08,244,No-Exit,0,0,2012-08-09,61.71,152.52,2012-08-20,60.35,-178.12,152.52,152.52,BB Spread,['GOOGL', 'AAPL'],,,
AAPL,LONG,2012-08-06,83.79,218,No-Exit,0,0,2012-08-13,84.64,184.63,2012-08-24,89.6,1266.05,184.63,1266.05,BB Spread,['GOOGL'],,,,
URI,LONG,2012-10-18,39.91,387,No-Exit,0,0,No-Exit,0,0,2012-10-22,38.02,-731.43,-731.43,-731.43,BB Spread,['TSO', 'GOOGL', 'DLTR'],,
GOOGL,LONG,2012-11-29,343.89,51,No-Exit,0,0,2012-11-30,347.35,176.28,2012-12-14,349.58,290.44,176.28,290.44,BB Spread,['SBUX', 'GOOGL', 'LYB'],,
LYB,LONG,2012-12-06,49.16,359,No-Exit,0,0,2012-12-07,49.66,177.94,2012-12-20,51.52,847.24,177.94,847.24,BB Spread,['SBUX', 'GOOGL'],,,
SBUX,LONG,2012-12-07,51.95,280,No-Exit,0,0,2012-12-07,52.47,146.03,2012-12-20,52.47,145.69,146.03,146.03,BB Spread,['GOOGL'],,,,
MJN,LONG,2013-02-01,72.89,228,No-Exit,0,0,2013-02-05,73.62,166.06,2013-02-21,76.14,740.33,166.06,740.33,BB Spread,['GOOGL'],,,,
COG,LONG,2013-02-25,30.02,529,No-Exit,0,0,2013-02-25,30.31,154.17,2013-03-06,31.2,621.94,154.17,621.94,BB Spread,['GOOGL'],,,,
NFLX,LONG,2013-03-27,192.84,81,No-Exit,0,0,2013-03-27,194.74,154.09,2013-04-02,181.93,-883.71,154.09,154.09,BB Spread,['GOOGL', 'EBAY'],,,
EBAY,LONG,2013-04-02,56.43,230,No-Exit,0,0,No-Exit,0,0,2013-04-05,54.73,-391,-391,-391,BB Spread,['GOOGL'],,,,
NFLX,LONG,2013-04-24,218.38,70,2013-04-24,214.32,-284.2,2013-04-24,220.55,151.7,2013-04-25,214.32,-284.2,-284.2,-284.2,BB Spread,['GOOGL'],,,,
EOG,LONG,2013-05-08,67.99,170,No-Exit,0,0,2013-05-08,68.67,116.32,2013-05-10,65.89,-357,116.32,116.32,BB Spread,['GOOGL', 'AAPL'],,,
AAPL,LONG,2013-04-30,60.33,252,No-Exit,0,0,2013-04-30,60.94,153.17,2013-05-15,60.69,90,153.17,153.17,BB Spread,['GOOGL'],,,,
AMT,LONG,2013-07-11,75.2,144,No-Exit,0,0,2013-07-11,75.95,108.69,2013-07-16,74.14,-152.49,108.69,108.69,BB Spread,['GOOGL', 'FDX'],,,
