Period,# of trades,winning trades,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
12/30/2012--06/28/2013,17.0,10.0,58.82352941176471,13.0,8.0,61.53846153846154,4.0,2.0,50.0
01/09/2013--07/08/2013,17.0,10.0,58.82352941176471,13.0,8.0,61.53846153846154,4.0,2.0,50.0
01/19/2013--07/18/2013,18.0,10.0,55.55555555555556,14.0,8.0,57.14285714285714,4.0,2.0,50.0
01/29/2013--07/28/2013,20.0,13.0,65.0,17.0,11.0,64.70588235294117,3.0,2.0,66.66666666666666
02/08/2013--08/07/2013,21.0,14.0,66.66666666666666,18.0,12.0,66.66666666666666,3.0,2.0,66.66666666666666
02/18/2013--08/17/2013,21.0,14.0,66.66666666666666,18.0,12.0,66.66666666666666,3.0,2.0,66.66666666666666
02/28/2013--08/27/2013,22.0,14.0,63.63636363636363,18.0,12.0,66.66666666666666,4.0,2.0,50.0
03/10/2013--09/06/2013,21.0,13.0,61.904761904761905,17.0,11.0,64.70588235294117,4.0,2.0,50.0
03/20/2013--09/16/2013,21.0,13.0,61.904761904761905,17.0,11.0,64.70588235294117,4.0,2.0,50.0
03/30/2013--09/26/2013,23.0,14.0,60.86956521739131,19.0,12.0,63.1578947368421,4.0,2.0,50.0
04/09/2013--10/06/2013,24.0,15.0,62.5,20.0,13.0,65.0,4.0,2.0,50.0
04/19/2013--10/16/2013,25.0,16.0,64.0,19.0,12.0,63.1578947368421,6.0,4.0,66.66666666666666
04/29/2013--10/26/2013,23.0,16.0,69.56521739130434,17.0,12.0,70.58823529411765,6.0,4.0,66.66666666666666
05/09/2013--11/05/2013,22.0,15.0,68.18181818181817,17.0,12.0,70.58823529411765,5.0,3.0,60.0
05/19/2013--11/15/2013,20.0,15.0,75.0,16.0,12.0,75.0,4.0,3.0,75.0
05/29/2013--11/25/2013,20.0,15.0,75.0,16.0,12.0,75.0,4.0,3.0,75.0
06/08/2013--12/05/2013,20.0,15.0,75.0,16.0,12.0,75.0,4.0,3.0,75.0
06/18/2013--12/15/2013,19.0,14.0,73.68421052631578,16.0,12.0,75.0,3.0,2.0,66.66666666666666
06/28/2013--12/25/2013,19.0,14.0,73.68421052631578,15.0,12.0,80.0,4.0,2.0,50.0
07/08/2013--01/04/2014,19.0,14.0,73.68421052631578,15.0,12.0,80.0,4.0,2.0,50.0
07/18/2013--01/14/2014,15.0,11.0,73.33333333333333,11.0,9.0,81.81818181818183,4.0,2.0,50.0
07/28/2013--01/24/2014,15.0,11.0,73.33333333333333,12.0,9.0,75.0,3.0,2.0,66.66666666666666
08/07/2013--02/03/2014,16.0,11.0,68.75,12.0,9.0,75.0,4.0,2.0,50.0
08/17/2013--02/13/2014,16.0,11.0,68.75,12.0,9.0,75.0,4.0,2.0,50.0
08/27/2013--02/23/2014,16.0,11.0,68.75,12.0,9.0,75.0,4.0,2.0,50.0
09/06/2013--03/05/2014,19.0,13.0,68.42105263157895,15.0,11.0,73.33333333333333,4.0,2.0,50.0
09/16/2013--03/15/2014,15.0,9.0,60.0,13.0,9.0,69.23076923076923,2.0,0.0,0.0
09/26/2013--03/25/2014,15.0,10.0,66.66666666666666,13.0,10.0,76.92307692307693,2.0,0.0,0.0
10/06/2013--04/04/2014,18.0,11.0,61.111111111111114,15.0,11.0,73.33333333333333,3.0,0.0,0.0
10/16/2013--04/14/2014,18.0,10.0,55.55555555555556,14.0,10.0,71.42857142857143,4.0,0.0,0.0
10/26/2013--04/24/2014,17.0,8.0,47.05882352941176,13.0,8.0,61.53846153846154,4.0,0.0,0.0
11/05/2013--05/04/2014,17.0,8.0,47.05882352941176,13.0,8.0,61.53846153846154,4.0,0.0,0.0
11/15/2013--05/14/2014,17.0,8.0,47.05882352941176,14.0,8.0,57.14285714285714,3.0,0.0,0.0
11/25/2013--05/24/2014,17.0,8.0,47.05882352941176,14.0,8.0,57.14285714285714,3.0,0.0,0.0
12/05/2013--06/03/2014,19.0,10.0,52.63157894736842,16.0,10.0,62.5,3.0,0.0,0.0
12/15/2013--06/13/2014,22.0,12.0,54.54545454545454,18.0,11.0,61.111111111111114,4.0,1.0,25.0
12/25/2013--06/23/2014,20.0,10.0,50.0,17.0,10.0,58.82352941176471,3.0,0.0,0.0
01/04/2014--07/03/2014,21.0,12.0,57.14285714285714,18.0,11.0,61.111111111111114,3.0,1.0,33.33333333333333
01/14/2014--07/13/2014,21.0,12.0,57.14285714285714,18.0,11.0,61.111111111111114,3.0,1.0,33.33333333333333
01/24/2014--07/23/2014,21.0,13.0,61.904761904761905,18.0,12.0,66.66666666666666,3.0,1.0,33.33333333333333
02/03/2014--08/02/2014,23.0,16.0,69.56521739130434,21.0,15.0,71.42857142857143,2.0,1.0,50.0
02/13/2014--08/12/2014,24.0,15.0,62.5,20.0,14.0,70.0,4.0,1.0,25.0
02/23/2014--08/22/2014,22.0,11.0,50.0,18.0,10.0,55.55555555555556,4.0,1.0,25.0
03/05/2014--09/01/2014,20.0,11.0,55.00000000000001,17.0,10.0,58.82352941176471,3.0,1.0,33.33333333333333
03/15/2014--09/11/2014,21.0,12.0,57.14285714285714,19.0,12.0,63.1578947368421,2.0,0.0,0.0
03/25/2014--09/21/2014,21.0,12.0,57.14285714285714,19.0,12.0,63.1578947368421,2.0,0.0,0.0
04/04/2014--10/01/2014,25.0,14.0,56.00000000000001,22.0,14.0,63.63636363636363,3.0,0.0,0.0
04/14/2014--10/11/2014,27.0,16.0,59.25925925925925,22.0,14.0,63.63636363636363,5.0,2.0,40.0
04/24/2014--10/21/2014,28.0,19.0,67.85714285714286,20.0,14.0,70.0,8.0,5.0,62.5
05/04/2014--10/31/2014,26.0,18.0,69.23076923076923,18.0,13.0,72.22222222222221,8.0,5.0,62.5
05/14/2014--11/10/2014,29.0,20.0,68.96551724137932,21.0,15.0,71.42857142857143,8.0,5.0,62.5
05/24/2014--11/20/2014,29.0,20.0,68.96551724137932,21.0,15.0,71.42857142857143,8.0,5.0,62.5
06/03/2014--11/30/2014,30.0,20.0,66.66666666666666,21.0,15.0,71.42857142857143,9.0,5.0,55.55555555555556
06/13/2014--12/10/2014,30.0,20.0,66.66666666666666,21.0,15.0,71.42857142857143,9.0,5.0,55.55555555555556
06/23/2014--12/20/2014,32.0,21.0,65.625,21.0,15.0,71.42857142857143,11.0,6.0,54.54545454545454
07/03/2014--12/30/2014,31.0,20.0,64.51612903225806,19.0,13.0,68.42105263157895,12.0,7.0,58.333333333333336
07/13/2014--12/31/2014,28.0,19.0,67.85714285714286,18.0,12.0,66.66666666666666,10.0,7.0,70.0
07/23/2014--12/31/2014,27.0,18.0,66.66666666666666,17.0,11.0,64.70588235294117,10.0,7.0,70.0
08/02/2014--12/31/2014,27.0,18.0,66.66666666666666,17.0,11.0,64.70588235294117,10.0,7.0,70.0
08/12/2014--12/31/2014,27.0,18.0,66.66666666666666,17.0,11.0,64.70588235294117,10.0,7.0,70.0
08/22/2014--12/31/2014,23.0,14.0,60.86956521739131,13.0,7.0,53.84615384615385,10.0,7.0,70.0
09/01/2014--12/31/2014,21.0,14.0,66.66666666666666,12.0,7.0,58.333333333333336,9.0,7.0,77.77777777777779
09/11/2014--12/31/2014,16.0,10.0,62.5,12.0,7.0,58.333333333333336,4.0,3.0,75.0
09/21/2014--12/31/2014,12.0,8.0,66.66666666666666,9.0,6.0,66.66666666666666,3.0,2.0,66.66666666666666
10/01/2014--12/31/2014,12.0,8.0,66.66666666666666,9.0,6.0,66.66666666666666,3.0,2.0,66.66666666666666
10/11/2014--12/31/2014,12.0,8.0,66.66666666666666,9.0,6.0,66.66666666666666,3.0,2.0,66.66666666666666
10/21/2014--12/31/2014,12.0,8.0,66.66666666666666,9.0,6.0,66.66666666666666,3.0,2.0,66.66666666666666
10/31/2014--12/31/2014,7.0,5.0,71.42857142857143,4.0,3.0,75.0,3.0,2.0,66.66666666666666
11/10/2014--12/31/2014,5.0,3.0,60.0,2.0,1.0,50.0,3.0,2.0,66.66666666666666
11/20/2014--12/31/2014,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0
11/30/2014--12/31/2014,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0
12/10/2014--12/31/2014,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0
12/20/2014--12/31/2014,0.0,0.0,0.0,0.0,0.0,0.0
12/30/2014--12/31/2014,0.0,0.0,0.0,0.0,0.0,0.0
