Period,# of trades,winning trades,Simulated PorL,PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,3.0,3.0,595.13,960.8000000000002,100.0,2.0,2.0,100.0,1.0,1.0,100.0
01/31/2007--01/26/2008,3.0,3.0,594.76,998.3299999999999,100.0,2.0,2.0,100.0,1.0,1.0,100.0
03/02/2007--02/25/2008,3.0,3.0,594.76,998.3299999999999,100.0,2.0,2.0,100.0,1.0,1.0,100.0
04/01/2007--03/26/2008,3.0,3.0,594.76,998.3299999999999,100.0,2.0,2.0,100.0,1.0,1.0,100.0
05/01/2007--04/25/2008,3.0,3.0,594.39,1035.67,100.0,2.0,2.0,100.0,1.0,1.0,100.0
05/31/2007--05/25/2008,3.0,3.0,594.39,1035.67,100.0,2.0,2.0,100.0,1.0,1.0,100.0
06/30/2007--06/24/2008,3.0,3.0,594.39,1035.67,100.0,2.0,2.0,100.0,1.0,1.0,100.0
07/30/2007--07/24/2008,4.0,3.0,496.39,1475.27,75.0,2.0,2.0,100.0,2.0,1.0,50.0
08/29/2007--08/23/2008,4.0,3.0,495.99,1515.3200000000002,75.0,2.0,2.0,100.0,2.0,1.0,50.0
09/28/2007--09/22/2008,4.0,3.0,472.28999999999996,-1310.8100000000002,75.0,1.0,1.0,100.0,3.0,2.0,66.66666666666666
10/28/2007--10/22/2008,4.0,2.0,-1830.37,-3762.33,50.0,1.0,1.0,100.0,3.0,1.0,33.33333333333333
11/27/2007--11/21/2008,4.0,2.0,-1729.34,-3274.17,50.0,1.0,1.0,100.0,3.0,1.0,33.33333333333333
12/27/2007--12/21/2008,3.0,1.0,-1938.8100000000002,-2263.7400000000002,33.33333333333333,0.0,0.0,3.0,1.0,33.33333333333333
01/26/2008--01/20/2009,3.0,1.0,-1938.8100000000002,-2263.7400000000002,33.33333333333333,0.0,0.0,3.0,1.0,33.33333333333333
02/25/2008--02/19/2009,4.0,2.0,-1643.8600000000001,-1075.2499999999998,50.0,1.0,1.0,100.0,3.0,1.0,33.33333333333333
03/26/2008--03/21/2009,4.0,2.0,-1643.8600000000001,-1075.2499999999998,50.0,1.0,1.0,100.0,3.0,1.0,33.33333333333333
04/25/2008--04/20/2009,4.0,2.0,-1643.8600000000001,-1075.2499999999998,50.0,1.0,1.0,100.0,3.0,1.0,33.33333333333333
05/25/2008--05/20/2009,4.0,2.0,-1517.7900000000002,-947.1200000000001,50.0,1.0,1.0,100.0,3.0,1.0,33.33333333333333
06/24/2008--06/19/2009,3.0,2.0,-1422.24,-947.1200000000001,66.66666666666666,1.0,1.0,100.0,2.0,1.0,50.0
07/24/2008--07/19/2009,3.0,2.0,-1417.4099999999999,-1372.73,66.66666666666666,1.0,1.0,100.0,2.0,1.0,50.0
08/23/2008--08/18/2009,2.0,1.0,-1477.68,-1240.18,50.0,1.0,1.0,100.0,1.0,0.0,0.0
09/22/2008--09/17/2009,1.0,1.0,191.4,-923.98,100.0,1.0,1.0,100.0,0.0,0.0
10/22/2008--10/17/2009,1.0,1.0,195.07,1106.93,100.0,1.0,1.0,100.0,0.0,0.0
11/21/2008--11/16/2009,1.0,1.0,195.07,1106.93,100.0,1.0,1.0,100.0,0.0,0.0
12/21/2008--12/16/2009,1.0,1.0,195.07,1106.93,100.0,1.0,1.0,100.0,0.0,0.0
01/20/2009--01/15/2010,2.0,2.0,402.77,812.9300000000001,100.0,2.0,2.0,100.0,0.0,0.0
