Period,# of trades,winning trades,Simulated PorL,PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/19/2013--01/14/2014,9,7,822.82,27703.43,77.7777777778,6,5,83.3333333333,3,2,66.6666666667
11/20/2012--11/15/2013,9,7,846.51,25199.94,77.7777777778,6,5,83.3333333333,3,2,66.6666666667
09/27/2011--09/21/2012,10,9,2227.14,23948.71,90,7,7,100,3,2,66.6666666667
02/18/2013--02/13/2014,8,6,746.88,20795.32,75,5,4,80,3,2,66.6666666667
10/21/2012--10/16/2013,11,9,1275.5,20173.33,81.8181818182,8,7,87.5,3,2,66.6666666667
01/05/2010--12/31/2010,16,14,1800.25,19550.06,87.5,9,9,100,7,5,71.4285714286
07/09/2009--07/04/2010,7,7,1220.05,16179.04,100,5,5,100,2,2,100
12/06/2009--12/01/2010,14,12,1680.7,15301.31,85.7142857143,9,9,100,5,3,60
08/08/2009--08/03/2010,9,9,1563.93,15278.54,100,6,6,100,3,3,100
05/10/2009--05/05/2010,8,8,1416.37,14689.36,100,6,6,100,2,2,100
06/09/2009--06/04/2010,8,8,1416.37,14644,100,6,6,100,2,2,100
10/07/2009--10/02/2010,9,9,1545.93,13676.12,100,6,6,100,3,3,100
11/06/2009--11/01/2010,9,8,860.7,10824.64,88.8888888889,5,5,100,4,3,75
09/07/2009--09/02/2010,10,10,1742.25,10813.4,100,7,7,100,3,3,100
08/28/2011--08/22/2012,11,9,305.62,9676.23,81.8181818182,8,7,87.5,3,2,66.6666666667
08/03/2010--07/29/2011,15,10,-31.12,6441.89,66.6666666667,8,8,100,7,2,28.5714285714
10/27/2011--10/21/2012,5,5,840.66,6197.64,100,4,4,100,1,1,100
03/06/2010--03/01/2011,11,9,899.09,5491.7,81.8181818182,5,5,100,6,4,66.6666666667
05/30/2011--05/24/2012,7,5,-878.48,4176.56,71.4285714286,6,5,83.3333333333,1,0,0
05/21/2007--05/15/2008,4,4,881.47,4144.86,100,3,3,100,1,1,100
04/30/2011--04/24/2012,7,5,-878.48,3968.09,71.4285714286,6,5,83.3333333333,1,0,0
06/29/2011--06/23/2012,7,5,-878.96,3836.77,71.4285714286,6,5,83.3333333333,1,0,0
07/29/2011--07/23/2012,6,4,-1249.79,3431.75,66.6666666667,5,4,80,1,0,0
01/10/2009--01/05/2010,4,4,744.46,3194.94,100,3,3,100,1,1,100
02/24/2012--02/18/2013,9,9,1228.46,2516.96,100,7,7,100,2,2,100
01/25/2012--01/19/2013,9,9,1224.5,1988.83,100,7,7,100,2,2,100
11/11/2008--11/06/2009,4,4,744.46,1540.54,100,3,3,100,1,1,100
10/11/2014--12/31/2014,6,5,235.06,1519.19,83.3333333333,5,4,80,1,1,100
11/26/2011--11/20/2012,11,11,2327.81,1318.39,100,9,9,100,2,2,100
04/05/2010--03/31/2011,13,10,924.58,1312.44,76.9230769231,6,6,100,7,4,57.1428571429
05/14/2014--12/31/2014,13,10,38.11,1208.13,76.9230769231,8,7,87.5,5,3,60
04/14/2014--12/31/2014,13,10,38.11,1208.13,76.9230769231,8,7,87.5,5,3,60
03/15/2014--12/31/2014,13,10,38.11,1208.13,76.9230769231,8,7,87.5,5,3,60
02/13/2014--12/31/2014,14,10,11.47,1172.28,71.4285714286,8,7,87.5,6,3,50
09/21/2012--09/16/2013,8,6,63.35,1121.02,75,6,5,83.3333333333,2,1,50
12/11/2008--12/06/2009,3,3,545.04,1007.74,100,2,2,100,1,1,100
09/11/2014--12/31/2014,7,6,405.98,673.16,85.7142857143,5,4,80,2,2,100
04/10/2009--04/05/2010,4,4,635.39,432.49,100,2,2,100,2,2,100
03/11/2009--03/06/2010,4,4,635.39,432.49,100,2,2,100,2,2,100
06/13/2014--12/31/2014,11,8,-243.88,326.89,72.7272727273,6,5,83.3333333333,5,3,60
02/04/2010--01/30/2011,10,8,589.32,201.17,80,4,4,100,6,4,66.6666666667
10/23/2006--10/18/2007,1,1,204.03,102.5,100,1,1,100,0,0,
08/22/2012--08/17/2013,9,6,-976.09,82.01,66.6666666667,6,5,83.3333333333,3,1,33.3333333333
12/22/2006--12/17/2007,1,1,151.76,80.84,100,0,0,1,1,100,
11/22/2006--11/17/2007,1,1,151.76,80.84,100,0,0,1,1,100,
02/09/2009--02/04/2010,6,6,974.66,-150.32,100,4,4,100,2,2,100
08/12/2014--12/31/2014,10,7,-434.59,-363.59,70,5,4,80,5,3,60
07/13/2014--12/31/2014,10,7,-434.59,-363.59,70,5,4,80,5,3,60
12/15/2013--12/10/2014,20,13,-563.32,-637.29,65,10,8,80,10,5,50
04/19/2013--04/14/2014,2,1,-230.87,-715.14,50,1,0,0,1,1,100
10/12/2008--10/07/2009,4,4,735.29,-951.43,100,3,3,100,1,1,100
09/12/2008--09/07/2009,4,4,735.29,-951.43,100,3,3,100,1,1,100
03/31/2011--03/25/2012,7,3,-3406.35,-1153.49,42.8571428571,4,3,75,3,0,0
05/24/2012--05/19/2013,12,10,672.46,-1226.02,83.3333333333,8,7,87.5,4,3,75
11/10/2014--12/31/2014,3,2,-411.11,-1292.1,66.6666666667,2,1,50,1,1,100
10/16/2013--10/11/2014,11,8,-322.03,-1481.77,72.7272727273,6,5,83.3333333333,5,3,60
01/14/2014--12/31/2014,17,12,-280.22,-1608.84,70.5882352941,10,8,80,7,4,57.1428571429
08/19/2007--08/13/2008,4,4,881.47,-1737.54,100,3,3,100,1,1,100
03/01/2011--02/24/2012,8,4,-3201.25,-2037.71,50,5,4,80,3,0,0
01/30/2011--01/25/2012,9,4,-3311.65,-2037.71,44.4444444444,5,4,80,4,0,0
09/02/2010--08/28/2011,12,7,-845.67,-2375.66,58.3333333333,5,5,100,7,2,28.5714285714
12/20/2012--12/15/2013,6,4,-316.08,-2428.49,66.6666666667,4,3,75,2,1,50
02/15/2008--02/09/2009,3,3,350.63,-2952.12,100,3,3,100,0,0,
01/16/2008--01/10/2009,3,3,350.63,-2952.12,100,3,3,100,0,0,
03/20/2013--03/15/2014,5,4,230.89,-3152.61,80,4,3,75,1,1,100
07/14/2008--07/09/2009,5,5,897.89,-3349.91,100,5,5,100,0,0,
06/14/2008--06/09/2009,5,5,897.89,-3349.91,100,5,5,100,0,0,
05/15/2008--05/10/2009,5,5,897.89,-3349.91,100,5,5,100,0,0,
04/15/2008--04/10/2009,5,5,897.89,-3349.91,100,5,5,100,0,0,
10/18/2007--10/12/2008,4,4,619.99,-3464.21,100,3,3,100,1,1,100
07/20/2007--07/14/2008,3,3,519.09,-3604.86,100,2,2,100,1,1,100
06/20/2007--06/14/2008,3,3,519.09,-3604.86,100,2,2,100,1,1,100
03/22/2007--03/16/2008,3,3,519.09,-3604.86,100,2,2,100,1,1,100
02/20/2007--02/15/2008,3,3,519.09,-3604.86,100,2,2,100,1,1,100
01/21/2007--01/16/2008,3,3,519.09,-3604.86,100,2,2,100,1,1,100
08/13/2008--08/08/2009,6,6,1082.44,-3782.19,100,5,5,100,1,1,100
05/19/2013--05/14/2014,8,4,-2161.41,-3865.24,50,2,1,50,6,3,50
11/15/2013--11/10/2014,14,9,-621.43,-4080.19,64.2857142857,5,4,80,9,5,55.5555555556
05/05/2010--04/30/2011,11,8,319.9,-4735.21,72.7272727273,4,4,100,7,4,57.1428571429
12/26/2011--12/20/2012,11,11,2327.28,-5053.99,100,9,9,100,2,2,100
06/04/2010--05/30/2011,14,9,-424,-5525.16,64.2857142857,5,5,100,9,4,44.4444444444
04/21/2007--04/15/2008,4,4,881.47,-5532.98,100,3,3,100,1,1,100
12/31/2010--12/26/2011,9,4,-3258.49,-5685.4,44.4444444444,5,4,80,4,0,0
11/01/2010--10/27/2011,12,7,-2701.34,-6678.31,58.3333333333,6,5,83.3333333333,6,2,33.3333333333
12/01/2010--11/26/2011,11,6,-2903.53,-6747.27,54.5454545455,5,4,80,6,2,33.3333333333
09/18/2007--09/12/2008,6,6,1102.76,-7772.03,100,5,5,100,1,1,100
10/02/2010--09/27/2011,13,8,-1297.86,-8075.92,61.5384615385,7,6,85.7142857143,6,2,33.3333333333
07/04/2010--06/29/2011,16,11,180.68,-9074.57,68.75,7,7,100,9,4,44.4444444444
03/16/2008--03/11/2009,6,6,935.23,-15273.53,100,6,6,100,0,0,
06/18/2013--06/13/2014,16,12,565.66,-15825.55,75,8,7,87.5,8,5,62.5
09/16/2013--09/11/2014,12,9,-62.46,-16421.57,75,7,6,85.7142857143,5,3,60
12/17/2007--12/11/2008,4,4,727.32,-16608.06,100,4,4,100,0,0,
08/17/2013--08/12/2014,14,11,269.39,-17186.35,78.5714285714,7,6,85.7142857143,7,5,71.4285714286
07/18/2013--07/13/2014,13,9,94.78,-17634.5,69.2307692308,5,4,80,8,5,62.5
11/17/2007--11/11/2008,5,5,920.27,-17708.43,100,5,5,100,0,0,
03/25/2012--03/20/2013,10,9,1722.36,-19177.94,90,7,7,100,3,2,66.6666666667
07/23/2012--07/18/2013,16,14,1712.06,-20789.26,87.5,11,10,90.9090909091,5,4,80
06/23/2012--06/18/2013,16,14,1702.16,-21794.56,87.5,11,10,90.9090909091,5,4,80
04/24/2012--04/19/2013,12,11,1587.81,-29420.15,91.6666666667,9,9,100,3,2,66.6666666667
