Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
11/16/2009--11/11/2010,9,5,38117.82,38003.72,38342.44,55.5555555556,5,3,60,4,2,50
10/17/2009--10/12/2010,10,6,32134.05,33010.36,33358.95,60,6,4,66.6666666667,4,2,50
01/29/2013--01/24/2014,12,7,20068.9,21213.99,21733.6,58.3333333333,9,5,55.5555555556,3,2,66.6666666667
03/30/2013--03/25/2014,10,7,18701.39,20237.96,20648.14,70,8,5,62.5,2,2,100
04/29/2013--04/24/2014,8,4,18577.57,18733.37,18940.16,50,7,3,42.8571428571,1,1,100
08/18/2009--08/13/2010,9,6,17429.01,18305.32,18653.91,66.6666666667,6,4,66.6666666667,3,2,66.6666666667
07/19/2009--07/14/2010,8,5,16674.33,17698.78,17911.83,62.5,5,3,60,3,2,66.6666666667
04/20/2009--04/15/2010,6,5,16026.37,17059.84,17263.87,83.3333333333,4,3,75,2,2,100
03/21/2009--03/16/2010,6,5,8703.97,9737.44,9941.47,83.3333333333,4,3,75,2,2,100
10/07/2011--10/01/2012,6,5,7105.18,18490.62,19348.56,83.3333333333,6,5,83.3333333333,0,0,
01/20/2009--01/15/2010,4,4,5849.68,11603.04,11747.44,100,3,3,100,1,1,100
11/06/2011--10/31/2012,5,4,5468.74,12903.18,13719.43,80,5,4,80,0,0,
01/05/2012--12/30/2012,6,5,4465.87,8588.28,9934.48,83.3333333333,6,5,83.3333333333,0,0,
09/07/2011--09/01/2012,4,3,4120.43,10358.7,10857.39,75,4,3,75,0,0,
08/08/2011--08/02/2012,5,3,3894.54,10132.81,10631.5,60,5,3,60,0,0,
05/04/2012--04/29/2013,13,9,3289.27,7870.99,9452.16,69.2307692308,10,7,70,3,2,66.6666666667
04/04/2012--03/30/2013,12,8,3219.39,7776.37,9357.54,66.6666666667,10,7,70,2,1,50
06/09/2011--06/03/2012,3,3,2997.79,10618.14,10618.14,100,3,3,100,0,0,
07/09/2011--07/03/2012,2,2,2771.84,9300.42,9508.8,100,2,2,100,0,0,
05/10/2011--05/04/2012,4,3,2675.94,10016.93,10235.43,75,3,3,100,1,0,0
03/11/2011--03/05/2012,6,4,2483.98,9600.14,10004.36,66.6666666667,3,3,100,3,1,33.3333333333
04/10/2011--04/04/2012,6,4,2483.98,9600.14,10004.36,66.6666666667,3,3,100,3,1,33.3333333333
02/09/2011--02/04/2012,6,4,2483.98,9418.79,10004.36,66.6666666667,3,3,100,3,1,33.3333333333
02/28/2013--02/23/2014,8,5,2317.16,3482.17,4012.18,62.5,6,3,50,2,2,100
01/10/2011--01/05/2012,7,4,2302.63,8067.79,8472.01,57.1428571429,3,3,100,4,1,25
08/23/2008--08/18/2009,2,2,1525.48,6220.68,6365.08,100,1,1,100,1,1,100
09/22/2008--09/17/2009,2,2,1525.48,6220.68,6365.08,100,1,1,100,1,1,100
10/22/2008--10/17/2009,2,2,1525.48,6220.68,6365.08,100,1,1,100,1,1,100
11/21/2008--11/16/2009,2,2,1525.48,6220.68,6365.08,100,1,1,100,1,1,100
07/24/2008--07/19/2009,1,1,1325.4,6165,6165,100,1,1,100,0,0,
11/11/2010--11/06/2011,8,5,1254.68,4436.53,5618.23,62.5,2,2,100,6,3,50
12/11/2010--12/06/2011,8,5,1254.68,4436.53,5618.23,62.5,2,2,100,6,3,50
08/02/2012--07/28/2013,13,9,1219.31,1648.63,2793.89,69.2307692308,9,6,66.6666666667,4,3,75
03/26/2008--03/21/2009,2,2,837.7,2523.11,2523.11,100,2,2,100,0,0,
08/27/2013--08/22/2014,6,5,648.83,566.87,1736.6,83.3333333333,4,3,75,2,2,100
05/31/2007--05/25/2008,2,2,579.41,1952.49,1952.49,100,1,1,100,1,1,100
06/30/2007--06/24/2008,2,2,579.41,1952.49,1952.49,100,1,1,100,1,1,100
08/29/2007--08/23/2008,2,2,579.41,1952.49,1952.49,100,1,1,100,1,1,100
09/28/2007--09/22/2008,2,2,579.41,1952.49,1952.49,100,1,1,100,1,1,100
05/01/2007--04/25/2008,2,2,579.41,1848.54,1899.64,100,1,1,100,1,1,100
04/25/2008--04/20/2009,1,1,445.33,2071.44,2071.44,100,1,1,100,0,0,
12/25/2013--12/20/2014,7,5,396.57,1917.14,2280.1,71.4285714286,5,4,80,2,1,50
12/27/2007--12/21/2008,1,1,390.6,1317.98,1317.98,100,1,1,100,0,0,
01/26/2008--01/20/2009,1,1,390.6,443.45,443.45,100,1,1,100,0,0,
05/20/2009--05/15/2010,6,4,294.77,1319.22,1532.27,66.6666666667,3,2,66.6666666667,3,2,66.6666666667
06/19/2009--06/14/2010,6,4,294.77,1319.22,1532.27,66.6666666667,3,2,66.6666666667,3,2,66.6666666667
02/19/2009--02/14/2010,4,3,281.42,1085.17,1289.2,75,2,1,50,2,2,100
07/28/2013--07/23/2014,7,5,219.65,137.69,1307.42,71.4285714286,5,3,60,2,2,100
03/02/2007--02/25/2008,1,1,188.81,1509.04,1509.04,100,0,0,1,1,100,
04/01/2007--03/26/2008,1,1,188.81,1509.04,1509.04,100,0,0,1,1,100,
01/01/2007--12/27/2007,1,1,188.81,634.51,634.51,100,0,0,1,1,100,
01/31/2007--01/26/2008,1,1,188.81,634.51,634.51,100,0,0,1,1,100,
09/26/2013--09/21/2014,6,4,156.54,461.46,1244.31,66.6666666667,4,3,75,2,1,50
12/21/2008--12/16/2009,4,3,150.88,5904.24,6048.64,75,3,2,66.6666666667,1,1,100
11/25/2013--11/20/2014,8,5,108.56,1763.08,2126.04,62.5,6,4,66.6666666667,2,1,50
06/28/2013--06/23/2014,8,5,77.65,-43.99,1165.42,62.5,6,3,50,2,2,100
10/26/2013--10/21/2014,7,4,-91.28,633.53,996.49,57.1428571429,5,3,60,2,1,50
10/12/2010--10/07/2011,7,4,-98.3,-496.58,685.12,57.1428571429,1,1,100,6,3,50
07/14/2010--07/09/2011,9,5,-141.38,-2148.98,-141.38,55.5555555556,1,1,100,8,4,50
09/17/2009--09/12/2010,8,5,-249.84,626.47,975.06,62.5,5,3,60,3,2,66.6666666667
08/13/2010--08/08/2011,8,4,-487.44,-885.72,295.98,50,1,1,100,7,3,42.8571428571
09/12/2010--09/07/2011,8,4,-487.44,-885.72,295.98,50,1,1,100,7,3,42.8571428571
10/31/2012--10/26/2013,13,8,-540.65,139.54,2876.57,61.5384615385,9,5,55.5555555556,4,3,75
12/06/2011--11/30/2012,8,6,-1127.33,6918.18,7734.43,75,8,6,75,0,0,
02/14/2010--02/09/2011,7,4,-1205.66,-2812.05,-1205.66,57.1428571429,2,1,50,5,3,60
01/15/2010--01/10/2011,10,6,-1360.77,-2479.29,-671.6,60,4,2,50,6,4,66.6666666667
03/16/2010--03/11/2011,8,4,-1382.36,-2988.75,-1382.36,50,2,1,50,6,3,50
04/15/2010--04/10/2011,8,4,-1382.36,-2988.75,-1382.36,50,2,1,50,6,3,50
05/15/2010--05/10/2011,8,4,-1607.12,-3186.45,-1607.12,50,2,1,50,6,3,50
06/14/2010--06/09/2011,10,5,-1716.13,-3161.7,-1582.37,50,2,1,50,8,4,50
12/16/2009--12/11/2010,8,4,-1724.54,-2077.27,-1035.37,50,4,2,50,4,2,50
11/30/2012--11/25/2013,12,7,-1916.77,462.59,1501.75,58.3333333333,8,4,50,4,3,75
12/30/2012--12/25/2013,11,6,-2091.88,819.38,1336.75,54.5454545455,8,4,50,3,2,66.6666666667
05/29/2013--05/24/2014,7,3,-2346.32,-1887.86,-1303.88,42.8571428571,6,2,33.3333333333,1,1,100
07/30/2007--07/24/2008,3,2,-3580.84,-2207.76,-2207.76,66.6666666667,2,1,50,1,1,100
09/01/2012--08/27/2013,17,10,-11347.58,-10918.26,-9773,58.8235294118,13,7,53.8461538462,4,3,75
06/24/2008--06/19/2009,2,1,-13570.09,-11943.98,-11943.98,50,2,1,50,0,0,
10/01/2012--09/26/2013,16,9,-14423.3,-13672.86,-12848.72,56.25,12,6,50,4,3,75
05/25/2008--05/20/2009,2,1,-17526.85,-15900.74,-15900.74,50,2,1,50,0,0,
02/04/2012--01/29/2013,10,7,-17733.34,-13892.55,-12264.73,70,9,6,66.6666666667,1,1,100
06/03/2012--05/29/2013,17,12,-19024.04,-13962.97,-12274.91,70.5882352941,13,9,69.2307692308,4,3,75
03/05/2012--02/28/2013,12,7,-19793.87,-15463.93,-13922.21,58.3333333333,10,6,60,2,1,50
07/03/2012--06/28/2013,17,10,-28197.99,-22688.15,-21469.43,58.8235294118,13,7,53.8461538462,4,3,75
10/28/2007--10/22/2008,2,1,-29438.52,-28511.14,-28511.14,50,2,1,50,0,0,
02/25/2008--02/19/2009,3,2,-30282.38,-28596.97,-28596.97,66.6666666667,3,2,66.6666666667,0,0,
11/27/2007--11/21/2008,2,1,-35367.48,-34440.1,-34440.1,50,2,1,50,0,0,
,,,,,,,,,,,,
,,,65.1162790698,70.9302325581,75.5813953488,,,,,,,
