Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
ODFL,LONG,2008-03-25,14.69,6465,100000.00,100000.00,99569.00,5007.60,2008-03-26,14.24,99569.00,5007.60,97069.20,97069.20,-2930.80,[]
FDX,LONG,2008-08-11,85.34,1080,97069.20,97069.20,96133.09,4905.16,2008-08-12,83.60,96133.09,4905.16,95190.00,95190.00,-1879.20,[]
IWM,SHORT,2008-09-16,61.29,1,95192.44,95192.44,95189.61,95189.61,2008-09-19,71.35,95189.67,95189.67,95182.31,95182.31,-10.06,['AAPL']
XLF,SHORT,2008-10-08,13.43,1,95189.92,95189.92,95195.94,95195.94,2008-10-09,14.16,95190.56,95190.56,95197.60,95197.60,-0.73,['ALL', 'GILD', 'AAPL', 'AMZN']
AMZN,SHORT,2008-10-08,55.64,1,95189.92,95189.92,95190.56,95190.56,2008-10-09,61.97,95190.56,95190.56,95191.63,95191.63,-6.33,['ALL', 'GILD', 'AAPL']
ALL,SHORT,2008-10-08,31.40,1,95189.92,95189.92,95195.98,95195.98,2008-10-13,24.09,95192.28,95192.28,95186.32,95186.32,7.32,['GILD', 'AAPL']
ALL,SHORT,2008-11-20,16.36,1,95189.27,95189.27,95192.12,95192.12,2008-11-24,19.41,95189.02,95189.02,95185.55,95185.55,-3.05,['GILD', 'AAPL']
UNP,SHORT,2009-02-20,17.09,1,95182.72,95182.72,95181.65,95181.65,2009-02-23,17.75,95181.65,95181.65,95182.60,95182.60,-0.66,['GILD', 'AAPL']
NFLX,LONG,2009-03-18,40.99,2205,95182.27,95182.27,96572.12,4800.02,2009-03-20,41.01,96330.40,4800.85,95227.89,95227.89,44.10,['GILD', 'AAPL']
NFLX,LONG,2009-04-13,47.19,1916,95222.17,95222.17,99494.86,4806.14,2009-04-15,47.30,96392.08,4807.28,95436.27,95436.27,210.76,['GILD', 'AAPL']
AAPL,SHORT,2008-09-05,21.28,1,95190.00,95190.00,95189.78,95189.78,2009-05-06,17.89,96056.40,2547.65,97396.41,2548.05,3.39,['GILD', 'FDX', 'CP']
FDX,LONG,2009-05-05,57.90,39,98015.69,4805.42,96056.40,2547.65,2009-05-07,58.71,97396.41,2548.05,93803.39,4836.41,31.69,['GILD', 'CP']
CP,LONG,2009-05-04,35.26,2570,95434.71,95434.71,98015.69,4805.42,2009-05-07,35.57,97396.41,2548.05,96250.15,96250.15,785.18,['GILD']
WHR,LONG,2009-09-17,64.59,707,96249.27,96249.27,95262.34,4870.27,2009-09-23,61.84,95201.14,4869.97,94564.39,48587.69,-1950.66,['GILD', 'AAPL']
AAPL,LONG,2009-09-17,24.75,1847,96249.27,96249.27,96279.64,50538.40,2009-09-23,24.88,95201.14,4869.97,94539.60,94539.60,240.57,['GILD']
FDX,LONG,2009-10-15,78.26,1147,94539.44,94539.44,94791.12,4773.82,2009-10-22,76.81,93335.14,4775.12,92881.45,92881.45,-1659.43,['GILD']
AAPL,LONG,2009-12-28,28.41,3112,92883.05,92883.05,92836.85,4467.27,2009-12-30,28.02,91788.45,4467.06,91675.37,91675.37,-1206.88,['GILD']
MA,LONG,2010-03-08,23.62,3687,91671.57,91671.57,93226.10,4590.64,2010-03-17,24.44,94571.72,4590.18,94694.70,94694.70,3022.70,['GILD']
NFLX,LONG,2010-04-06,80.42,1120,94696.04,94696.04,98000.37,4625.97,2010-04-07,82.08,98000.37,4625.97,96561.23,96561.23,1864.80,['GILD']
AMZN,SHORT,2010-05-05,128.00,1,96568.12,96568.12,96563.52,96563.52,2010-05-06,130.50,96563.52,96563.52,96564.97,96564.97,-2.50,['GILD']
