Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,89.380003,93.499997,89.010001,92.590003,18078900,13.227143
2012-12-28,89.799999,90.550003,88.899999,89.330002,11123000,12.761429
2012-12-27,90.589997,91.439997,88.539997,90.500002,14898100,12.928572
2012-12-26,89.84,92.899997,89.380003,90.649999,15166900,12.95
2012-12-24,91.559999,91.849999,89.300001,90.230002,7193200,12.89
2012-12-21,92.049997,92.880003,91.110003,91.340001,28430500,13.048572
2012-12-20,94.330003,94.50,92.649998,93.499997,16611700,13.357142
2012-12-19,96.600001,97.800002,93.450003,93.980001,30674700,13.425714
2012-12-18,94.969997,97.550003,94.250001,95.639999,29348200,13.662857
2012-12-17,92.969998,94.989998,92.109999,94.699998,21660800,13.528571
2012-12-14,92.669998,94.689998,92.000003,93.299999,27706700,13.328571
2012-12-13,90.850003,93.32,89.870001,92.560002,28865900,13.222857
2012-12-12,86.269999,93.150002,85.939998,90.73,54929000,12.961429
2012-12-11,85.300003,87.23,84.400002,86.080001,16028600,12.297143
2012-12-10,85.999999,87.000002,84.499998,84.799998,14322700,12.114285
2012-12-07,88.269998,89.779999,85.290003,85.979999,34780200,12.282857
2012-12-06,82.199999,88.559998,81.700001,86.170003,38103800,12.31
2012-12-05,86.599999,87.580002,82.920002,83.369999,59357900,11.91
2012-12-04,75.509999,87.999998,74.500003,86.650001,101757600,12.378572
2012-12-03,81.849998,81.97,75.499999,75.999997,29197700,10.857142
2012-11-30,80.50,81.710001,79.33,81.710001,14986300,11.672857
2012-11-29,82.390003,82.779999,80.80,81.38,11473000,11.625714
2012-11-28,82.749998,83.569997,81.810003,82.23,14495600,11.747143
2012-11-27,82.030002,83.500002,81.559998,83.079999,15524600,11.868571
2012-11-26,82.600001,82.880001,80.069997,82.060002,13484100,11.722857
2012-11-23,83.41,83.750001,82.179998,82.950003,8396500,11.85
2012-11-21,82.499999,84.559999,82.499999,82.999997,10889900,11.857142
2012-11-20,81.510003,83.70,81.120001,82.399997,15340500,11.771428
2012-11-19,82.010001,82.989997,80.149999,81.36,23267300,11.622857
2012-11-16,81.279998,83.099999,80.320003,80.900002,32164300,11.557143
2012-11-15,80.109998,81.899999,79.499997,81.480002,17400600,11.64
2012-11-14,80.000002,81.319999,78.75,79.779997,26910800,11.397142
2012-11-13,77.839999,80.939997,77.340001,79.61,27170500,11.372857
2012-11-12,78.999999,80.310002,78.010003,78.190001,18330200,11.17
2012-11-09,76.309998,78.880003,76.11,77.900001,23272900,11.128572
2012-11-08,78.15,80.330003,75.789999,75.970003,33381600,10.852858
2012-11-07,76.43,79.249998,76.43,77.680002,31099600,11.097143
2012-11-06,77.060001,79.950001,75.709997,76.369999,39102700,10.91
2012-11-05,74.569998,78.939998,74.500003,78.240002,29016400,11.177143
2012-11-02,77.249999,79.849998,75.970003,76.899998,29650600,10.985714
2012-11-01,77.849999,79.690001,74.65,77.690002,62669600,11.098572
2012-10-31,66.409998,84.950002,65.549998,79.239998,107308600,11.32
2012-10-26,61.55,70.239999,60.490003,69.579997,103433400,9.94
2012-10-25,60.049999,61.670003,59.900002,61.509999,33046300,8.787143
2012-10-24,57.860003,61.000001,57.399999,60.120001,100060100,8.588572
2012-10-23,67.299998,69.150001,66.060003,68.219999,63498400,9.745714
2012-10-22,64.359998,69.73,64.290003,67.879998,45678500,9.697143
2012-10-19,67.190002,67.500003,64.260002,64.979999,22881600,9.282857
2012-10-18,68.489999,69.840003,66.949997,67.36,26797400,9.622857
2012-10-17,66.010002,68.82,65.64,68.52,26464200,9.788571
2012-10-16,64.899997,66.21,63.759997,66.050003,29302000,9.435715
2012-10-15,65.150002,65.180003,63.400002,64.76,20745200,9.251429
2012-10-12,65.799997,66.600002,63.759997,64.329997,20710200,9.19
2012-10-11,66.900002,67.10,65.229998,65.980001,22013600,9.425714
2012-10-10,65.829998,67.929999,65.130002,65.499997,38742900,9.357142
2012-10-09,68.900002,69.480001,65.400002,65.529998,82145000,9.361428
2012-10-08,71.389998,74.229997,70.120003,73.52,92280300,10.502857
2012-10-05,67.059999,68.199999,65.120002,66.560001,59170300,9.508572
2012-10-04,62.649999,67.269998,62.609998,66.669997,91616700,9.524285
2012-10-03,58.390001,62.649999,58.249998,62.579997,76064800,8.94
2012-10-02,56.449997,57.290003,55.300001,56.459997,21589400,8.065714
2012-10-01,54.600001,56.60,54.339999,56.050001,30765700,8.007143
2012-09-28,55.040001,55.809999,54.219999,54.440001,15932700,7.777143
2012-09-27,55.86,56.100002,54.160001,55.55,21350700,7.935714
2012-09-26,53.990001,55.929998,53.049999,55.13,36625400,7.875714
2012-09-25,56.749997,56.960002,53.700001,53.80,41858600,7.685714
2012-09-24,56.86,57.840002,56.29,56.390002,23661400,8.055715
2012-09-21,59.429998,59.719998,57.409999,57.790001,30074800,8.255714
2012-09-20,56.420003,58.789997,56.400002,58.740003,37217600,8.391429
2012-09-19,56.739997,57.899997,55.70,57.039997,35348600,8.148571
2012-09-18,57.290003,58.32,55.819999,56.060001,30298100,8.008572
2012-09-17,58.980001,59.000002,56.769998,57.020003,36278900,8.145715
