Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
WHR,SHORT,2007-10-22,70.45,1339,No-Exit,0,0,2007-10-23,68.79,2219.62,2007-10-25,70.47,-22.2,2219.62,[]
WHR,SHORT,2008-06-03,59.95,1584,No-Exit,0,0,No-Exit,0,0,2008-06-05,59.84,170.45,170.45,[]
WHR,SHORT,2009-06-23,36.72,1396,No-Exit,0,0,No-Exit,0,0,2009-06-26,37.43,-990.13,-990.13,[]
WHR,SHORT,2009-10-02,58.77,1598,No-Exit,0,0,No-Exit,0,0,2009-10-05,59.28,-808.08,-808.08,[]
WHR,SHORT,2010-06-30,80.01,1167,No-Exit,0,0,2010-07-01,78.21,2102.52,2010-07-08,81.89,-2197.14,2102.52,[]
WHR,SHORT,2011-11-21,46.44,1966,No-Exit,0,0,2011-11-22,44.57,3689.4,2011-12-01,46.31,250.17,3689.4,[]
WHR,SHORT,2013-06-04,120.85,757,No-Exit,0,0,2013-06-04,118.91,1472.51,2013-06-10,122.28,-1082.29,1472.51,[]
WHR,SHORT,2013-08-28,124.96,711,No-Exit,0,0,No-Exit,0,0,2013-09-04,128.55,-2550.34,-2550.34,[]
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,62.5,
