Period,# of trades,winning trades,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
02/15/2008--02/09/2009,9,0,0,9,0,0,0,0,
02/09/2009--02/04/2010,3,0,0,0,0,3,0,0,
03/11/2009--03/06/2010,0,0,0,0,0,0,,,
09/02/2010--08/28/2011,4,0,0,1,0,0,3,0,0
09/18/2007--09/12/2008,18,1,5.5555555556,15,0,0,3,1,33.3333333333
03/22/2007--03/16/2008,17,1,5.8823529412,14,0,0,3,1,33.3333333333
04/21/2007--04/15/2008,17,1,5.8823529412,14,0,0,3,1,33.3333333333
05/21/2007--05/15/2008,17,1,5.8823529412,14,0,0,3,1,33.3333333333
06/20/2007--06/14/2008,17,1,5.8823529412,14,0,0,3,1,33.3333333333
07/20/2007--07/14/2008,17,1,5.8823529412,14,0,0,3,1,33.3333333333
10/18/2007--10/12/2008,16,1,6.25,13,0,0,3,1,33.3333333333
01/16/2008--01/10/2009,14,1,7.1428571429,14,1,7.1428571429,0,0,
01/21/2007--01/16/2008,10,1,10,7,0,0,3,1,33.3333333333
02/20/2007--02/15/2008,10,1,10,7,0,0,3,1,33.3333333333
08/19/2007--08/13/2008,19,2,10.5263157895,16,1,6.25,3,1,33.3333333333
11/17/2007--11/11/2008,17,2,11.7647058824,16,1,6.25,1,1,100
04/30/2011--04/24/2012,16,2,12.5,13,2,15.3846153846,3,0,0
07/29/2011--07/23/2012,13,2,15.3846153846,12,2,16.6666666667,1,0,0
12/17/2007--12/11/2008,12,2,16.6666666667,11,1,9.0909090909,1,1,100
05/15/2008--05/10/2009,6,1,16.6666666667,6,1,16.6666666667,0,0,
08/28/2011--08/22/2012,35,9,25.7142857143,29,5,17.2413793103,6,4,66.6666666667
11/20/2012--11/15/2013,14,4,28.5714285714,4,1,25,10,3,30
09/12/2008--09/07/2009,10,3,30,7,3,42.8571428571,3,0,0
10/12/2008--10/07/2009,10,3,30,7,3,42.8571428571,3,0,0
09/27/2011--09/21/2012,30,9,30,22,4,18.1818181818,8,5,62.5
06/14/2008--06/09/2009,6,2,33.3333333333,6,2,33.3333333333,0,0,
08/08/2009--08/03/2010,3,1,33.3333333333,3,1,33.3333333333,0,0,
10/27/2011--10/21/2012,27,9,33.3333333333,22,6,27.2727272727,5,3,60
04/19/2013--04/14/2014,36,13,36.1111111111,18,6,33.3333333333,18,7,38.8888888889
11/01/2010--10/27/2011,27,10,37.037037037,20,7,35,7,3,42.8571428571
11/11/2008--11/06/2009,8,3,37.5,5,3,60,3,0,0
11/26/2011--11/20/2012,32,12,37.5,26,8,30.7692307692,6,4,66.6666666667
