Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
AAPL,LONG,2009-03-12,13.37,14783,No-Exit,0.0,0.0,2009-03-30,14.93,23061.48,23061.48,BB 20 SMA Xover Mtm,[]
CME,LONG,2009-05-06,50.06,4395,No-Exit,0.0,0.0,2009-05-20,55.79,25183.35,25183.35,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2009-05-13,17.60,599,No-Exit,0.0,0.0,2009-05-26,18.69,-652.91,-652.91,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2009-07-07,19.60,12391,No-Exit,0.0,0.0,2009-07-13,19.93,-4142.13,-4142.13,BB 20 SMA Xover Mtm,[]
CME,SHORT,2009-09-04,53.75,4445,No-Exit,0.0,0.0,2009-09-11,55.04,-5725.16,-5725.16,BB 20 SMA Xover Mtm,['FSLR']
FSLR,LONG,2009-09-09,136.60,1572,No-Exit,0.0,0.0,2009-09-14,131.78,-7577.04,-7577.04,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2009-12-01,28.27,8004,2009-12-01,28.94,-5362.68,2009-12-09,27.89,3041.52,-5362.68,BB 20 SMA Xover Mtm,[]
EOG,LONG,2009-12-15,45.65,5020,No-Exit,0.0,0.0,2009-12-29,49.49,19276.80,19276.80,BB 20 SMA Xover Mtm,['AAPL', 'FDX']
AAPL,LONG,2009-12-22,28.60,372,No-Exit,0.0,0.0,2009-12-30,29.83,458.62,458.62,BB 20 SMA Xover Mtm,['FDX']
FDX,SHORT,2009-12-18,83.63,137,No-Exit,0.0,0.0,2010-01-12,86.44,-384.97,-384.97,BB 20 SMA Xover Mtm,['PCLN']
PCLN,SHORT,2010-01-07,216.89,1139,No-Exit,0.0,0.0,2010-01-20,210.86,6868.17,6868.17,BB 20 SMA Xover Mtm,[]
AXP,SHORT,2010-01-25,38.20,5775,No-Exit,0.0,0.0,2010-02-02,39.06,-4966.50,-4966.50,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2010-01-22,29.43,8633,No-Exit,0.0,0.0,2010-02-03,28.10,11481.89,11481.89,BB 20 SMA Xover Mtm,[]
CME,LONG,2010-02-25,58.70,4434,No-Exit,0.0,0.0,2010-03-09,61.38,11883.12,11883.12,BB 20 SMA Xover Mtm,['QCOM']
QCOM,LONG,2010-03-04,39.08,333,No-Exit,0.0,0.0,2010-03-29,41.77,895.77,895.77,BB 20 SMA Xover Mtm,['FSLR']
FSLR,LONG,2010-03-12,114.83,2257,No-Exit,0.0,0.0,2010-04-06,120.45,12684.34,12684.34,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2010-05-07,34.82,8167,No-Exit,0.0,0.0,2010-05-11,36.61,-14653.93,-14653.93,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2010-05-17,35.90,7536,No-Exit,0.0,0.0,2010-05-24,35.33,4327.82,4327.82,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2010-06-16,118.44,85,No-Exit,0.0,0.0,2010-06-21,122.22,321.30,321.30,BB 20 SMA Xover Mtm,['AAPL', 'PCLN', 'RIG']
AAPL,LONG,2010-05-28,37.06,7514,No-Exit,0.0,0.0,2010-06-23,38.50,10854.40,10854.40,BB 20 SMA Xover Mtm,['PCLN', 'RIG']
PCLN,LONG,2010-06-17,198.87,2,No-Exit,0.0,0.0,2010-06-29,183.91,-29.92,-29.92,BB 20 SMA Xover Mtm,['RIG']
RIG,LONG,2010-06-21,55.45,3,No-Exit,0.0,0.0,2010-06-29,48.03,-22.26,-22.26,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2010-06-30,36.23,7872,No-Exit,0.0,0.0,2010-07-07,36.68,-3542.40,-3542.40,BB 20 SMA Xover Mtm,[]
AMZN,LONG,2010-07-13,120.71,2335,No-Exit,0.0,0.0,2010-07-15,119.45,-2942.10,-2942.10,BB 20 SMA Xover Mtm,[]
CMG,LONG,2010-07-26,146.96,1898,No-Exit,0.0,0.0,2010-08-06,148.29,2524.34,2524.34,BB 20 SMA Xover Mtm,['RIG']
RIG,LONG,2010-08-03,51.19,275,No-Exit,0.0,0.0,2010-08-11,55.22,1108.25,1108.25,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2010-08-12,35.24,7985,No-Exit,0.0,0.0,2010-08-30,35.05,1528.56,1528.56,BB 20 SMA Xover Mtm,[]
EOG,LONG,2010-09-13,46.58,6099,No-Exit,0.0,0.0,2010-09-17,44.24,-14241.16,-14241.16,BB 20 SMA Xover Mtm,[]
BLK,LONG,2010-11-12,172.91,1564,No-Exit,0.0,0.0,2010-11-23,163.95,-14013.44,-14013.44,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2010-12-15,396.24,648,No-Exit,0.0,0.0,2010-12-23,416.60,-13193.28,-13193.28,BB 20 SMA Xover Mtm,[]
CRM,LONG,2011-01-06,36.04,6811,No-Exit,0.0,0.0,2011-01-20,33.30,-18645.11,-18645.11,BB 20 SMA Xover Mtm,['NFLX', 'CMG']
NFLX,LONG,2011-01-11,189.76,60,No-Exit,0.0,0.0,2011-01-20,186.82,-176.40,-176.40,BB 20 SMA Xover Mtm,['CMG']
CMG,LONG,2011-01-14,231.94,2,No-Exit,0.0,0.0,2011-01-26,215.49,-32.90,-32.90,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2011-01-21,47.05,4809,No-Exit,0.0,0.0,2011-02-07,50.25,-15388.80,-15388.80,BB 20 SMA Xover Mtm,['FFIV']
AMZN,LONG,2011-02-09,184.89,8,No-Exit,0.0,0.0,2011-02-16,187.35,19.68,19.68,BB 20 SMA Xover Mtm,['FFIV', 'BWA']
FFIV,LONG,2011-02-07,124.88,1533,No-Exit,0.0,0.0,2011-02-16,125.35,720.51,720.51,BB 20 SMA Xover Mtm,['BWA']
BWA,LONG,2011-02-08,35.59,848,No-Exit,0.0,0.0,2011-02-22,39.48,3298.72,3298.72,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2011-03-10,49.85,4331,No-Exit,0.0,0.0,2011-03-22,48.94,3953.58,3953.58,BB 20 SMA Xover Mtm,[]
QCOM,LONG,2011-04-07,54.08,12,No-Exit,0.0,0.0,2011-04-12,52.05,-24.36,-24.36,BB 20 SMA Xover Mtm,['BLK', 'AMZN']
AMZN,LONG,2011-03-25,172.81,1271,No-Exit,0.0,0.0,2011-04-12,182.86,12773.55,12773.55,BB 20 SMA Xover Mtm,['BLK']
NFLX,LONG,2011-05-10,238.77,927,No-Exit,0.0,0.0,2011-05-16,238.74,-27.81,-27.81,BB 20 SMA Xover Mtm,['CMG', 'AAPL', 'BLK']
NFLX,SHORT,2011-05-17,234.72,898,No-Exit,0.0,0.0,2011-05-23,248.99,-12814.46,-12814.46,BB 20 SMA Xover Mtm,['CMG', 'AAPL', 'BLK']
BLK,LONG,2011-03-31,200.83,54,No-Exit,0.0,0.0,2011-05-24,192.54,-447.66,-447.66,BB 20 SMA Xover Mtm,['CMG', 'AAPL']
AAPL,SHORT,2011-05-16,48.16,13,No-Exit,0.0,0.0,2011-06-01,49.84,-21.82,-21.82,BB 20 SMA Xover Mtm,['CMG']
CMG,LONG,2011-05-12,277.04,40,No-Exit,0.0,0.0,2011-06-01,288.09,442.00,442.00,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2011-06-28,47.91,4582,No-Exit,0.0,0.0,2011-07-12,50.16,10309.50,10309.50,BB 20 SMA Xover Mtm,[]
AMZN,SHORT,2011-08-03,209.58,1094,No-Exit,0.0,0.0,2011-08-10,200.76,9649.08,9649.08,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2011-08-05,53.37,4352,No-Exit,0.0,0.0,2011-08-12,54.01,-2785.28,-2785.28,BB 20 SMA Xover Mtm,[]
NFLX,LONG,2011-08-31,238.93,2,No-Exit,0.0,0.0,2011-09-02,208.71,-60.44,-60.44,BB 20 SMA Xover Mtm,['AAPL', 'QCOM', 'PCLN']
PCLN,LONG,2011-08-29,510.00,231,No-Exit,0.0,0.0,2011-09-02,519.96,2300.76,2300.76,BB 20 SMA Xover Mtm,['AAPL', 'QCOM']
AAPL,LONG,2011-08-29,55.45,2130,No-Exit,0.0,0.0,2011-09-12,53.70,-3739.67,-3739.67,BB 20 SMA Xover Mtm,['QCOM']
QCOM,LONG,2011-08-30,51.43,228,No-Exit,0.0,0.0,2011-09-19,53.06,371.64,371.64,BB 20 SMA Xover Mtm,[]
