Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos,,,
FFIV,SHORT,2007-10-25,36.02,2370,No-Exit,0,0,2007-10-31,34.79,2915.1,2915.1,BB 20 SMA Xover Mtm,['FTI', 'BEN'],,
BEN,SHORT-SPY-NULL,2007-10-29,43.55,1999,No-Exit,0,0,2007-11-12,40.07,6956.52,0,BB 20 SMA Xover Mtm,['FTI', 'AAPL'],,
AAPL,SHORT,2007-11-09,24.45,3243,No-Exit,0,0,2007-11-14,25.31,-2784.35,-2784.35,BB 20 SMA Xover Mtm,['FTI'],,,
FTI,SHORT-SPY-NULL,2007-10-31,29.75,2666,No-Exit,0,0,2007-11-15,27.75,5332,0,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2007-11-29,26,4107,No-Exit,0,0,2007-12-11,26.94,3860.58,3860.58,BB 20 SMA Xover Mtm,[],,,
VLO,SHORT,2008-01-04,65.55,1679,No-Exit,0,0,2008-01-24,53.85,19644.3,19644.3,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,SHORT,2008-01-07,25.46,4097,No-Exit,0,0,2008-01-30,18.77,27420.64,27420.64,BB 20 SMA Xover Mtm,[],,,
TAP,LONG,2008-02-13,50.16,3093,No-Exit,0,0,2008-02-22,51.86,5258.1,5258.1,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2008-03-12,18.37,8719,No-Exit,0,0,2008-04-09,21.9,30790.53,30790.53,BB 20 SMA Xover Mtm,[],,,
PCLN,SHORT,2008-04-29,121.7,49,No-Exit,0,0,2008-05-01,129.66,-390.04,-390.04,BB 20 SMA Xover Mtm,['AET'],,,
VLO,LONG,2008-05-20,50.19,113,No-Exit,0,0,2008-05-27,47.07,-352.56,-352.56,BB 20 SMA Xover Mtm,['AET', 'AAPL'],,
AAPL,SHORT,2008-05-22,25.2,12,No-Exit,0,0,2008-05-28,26.82,-19.44,-19.44,BB 20 SMA Xover Mtm,['AET'],,,
AET,LONG,2008-04-24,44.35,4352,No-Exit,0,0,2008-05-28,45.15,3481.6,3481.6,BB 20 SMA Xover Mtm,[],,,
