Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos,,,
VLO,LONG,2007-10-09,71.48,1329,No-Exit,0,0,2007-10-17,72.02,717.66,717.66,BB 20 SMA Xover Mtm,[],,,
FFIV,SHORT,2007-10-25,36.02,2228,No-Exit,0,0,2007-10-31,34.79,2740.44,2740.44,BB 20 SMA Xover Mtm,['MMM', 'FTI', 'BEN'],
BEN,SHORT-SPY-NULL,2007-10-29,43.55,1879,No-Exit,0,0,2007-11-12,40.07,6538.92,0,BB 20 SMA Xover Mtm,['AAPL', 'MMM', 'FTI'],
MMM,SHORT,2007-10-22,85.35,1115,No-Exit,0,0,2007-11-13,80.78,5095.55,5095.55,BB 20 SMA Xover Mtm,['AAPL', 'FTI'],,
AAPL,SHORT,2007-11-09,24.45,3186,No-Exit,0,0,2007-11-14,25.31,-2735.41,-2735.41,BB 20 SMA Xover Mtm,['FTI'],,,
FTI,SHORT-SPY-NULL,2007-10-31,29.75,2518,No-Exit,0,0,2007-11-15,27.75,5036,0,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2007-11-29,26,4289,No-Exit,0,0,2007-12-11,26.94,4031.66,4031.66,BB 20 SMA Xover Mtm,[],,,
AMZN,SHORT,2008-01-07,87.9,519,No-Exit,0,0,2008-01-17,81.29,3430.59,3430.59,BB 20 SMA Xover Mtm,['VLO', 'AAPL'],,
VLO,SHORT,2008-01-04,65.55,1753,No-Exit,0,0,2008-01-24,53.85,20510.1,20510.1,BB 20 SMA Xover Mtm,['AAPL'],,,
AAPL,SHORT,2008-01-07,25.46,2139,No-Exit,0,0,2008-01-30,18.77,14316.02,14316.02,BB 20 SMA Xover Mtm,[],,,
GRMN,LONG-SPY-NULL,2008-02-20,73,108,2008-02-20,63.6,-1015.2,2008-02-21,63.6,-1015.2,0,BB 20 SMA Xover Mtm,['TAP'],,,
TAP,LONG,2008-02-13,50.16,3024,No-Exit,0,0,2008-02-22,51.86,5140.8,5140.8,BB 20 SMA Xover Mtm,[],,,
QCOM,SHORT,2008-03-04,40.71,3822,No-Exit,0,0,2008-03-12,40.52,726.18,726.18,BB 20 SMA Xover Mtm,[],,,
