Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
COG,LONG,2012-06-15,17.70,2683,No-Exit,0.0,0.0,2012-06-21,17.96,697.58,697.58,BB 20 SMA Xover Mtm,['MCD']
APC,LONG,2012-06-28,62.82,804,No-Exit,0.0,0.0,2012-07-06,65.64,2267.28,2267.28,BB 20 SMA Xover Mtm,['MCD']
GOOGL,SHORT,2012-07-12,282.74,182,No-Exit,0.0,0.0,2012-07-19,293.07,-1880.06,-1880.06,BB 20 SMA Xover Mtm,['MCD', 'PCLN', 'AMZN']
AMZN,SHORT,2012-07-11,217.31,121,No-Exit,0.0,0.0,2012-07-19,227.30,-1208.79,-1208.79,BB 20 SMA Xover Mtm,['SWK', 'MCD', 'FFIV', 'APH', 'QCOM', 'PCLN', 'CRM']
PCLN,SHORT,2012-07-11,642.16,41,No-Exit,0.0,0.0,2012-07-19,677.66,-1455.50,-1455.50,BB 20 SMA Xover Mtm,['SWK', 'MCD', 'FFIV', 'APH', 'QCOM', 'CRM']
FFIV,LONG,2012-07-19,99.58,55,No-Exit,0.0,0.0,2012-07-23,90.84,-480.70,-480.70,BB 20 SMA Xover Mtm,['SWK', 'MCD', 'APH', 'QCOM', 'CRM']
MCD,LONG,2012-06-15,90.62,524,No-Exit,0.0,0.0,2012-07-23,89.22,-733.60,-733.60,BB 20 SMA Xover Mtm,['SWK', 'APH', 'QCOM', 'CRM']
CRM,LONG,2012-07-19,34.06,268,No-Exit,0.0,0.0,2012-07-25,31.38,-718.24,-718.24,BB 20 SMA Xover Mtm,['SWK', 'MCD', 'APH', 'QCOM']
SWK,LONG,2012-07-19,63.89,136,No-Exit,0.0,0.0,2012-08-01,67.32,466.48,466.48,BB 20 SMA Xover Mtm,['NFLX', 'MCD', 'APH', 'QCOM']
NFLX,SHORT-SPY-NULL,2012-07-26,59.31,1090,No-Exit,0.0,0.0,2012-08-06,54.82,4899.55,0.0,BB 20 SMA Xover Mtm,['MCD', 'APH', 'QCOM']
APH,LONG,2012-07-19,29.76,273,No-Exit,0.0,0.0,2012-08-10,30.07,83.27,83.27,BB 20 SMA Xover Mtm,['MCD', 'QCOM', 'CRM']
QCOM,LONG,2012-07-19,58.85,128,No-Exit,0.0,0.0,2012-08-21,62.27,437.76,437.76,BB 20 SMA Xover Mtm,['NFLX', 'LO', 'MCD', 'CRM']
CRM,LONG,2012-08-07,33.51,2309,No-Exit,0.0,0.0,2012-08-22,36.44,6765.37,6765.37,BB 20 SMA Xover Mtm,['NFLX', 'LO', 'MCD']
NFLX,LONG,2012-08-16,63.89,201,No-Exit,0.0,0.0,2012-08-23,64.48,118.59,118.59,BB 20 SMA Xover Mtm,['LO', 'MCD']
FFIV,SHORT-SPY-NULL,2012-08-31,96.42,30,No-Exit,0.0,0.0,2012-09-07,99.73,-99.30,0.0,BB 20 SMA Xover Mtm,['LO', 'MCD', 'PCLN', 'UTX']
LO,LONG,2012-08-17,43.43,21,No-Exit,0.0,0.0,2012-09-10,41.07,-49.56,-49.56,BB 20 SMA Xover Mtm,['MCD', 'PCLN', 'UTX']
UTX,SHORT,2012-09-05,77.57,71,No-Exit,0.0,0.0,2012-09-13,80.65,-218.68,-218.68,BB 20 SMA Xover Mtm,['MCD', 'PCLN']
MCD,SHORT-SPY-NULL,2012-07-24,88.05,687,No-Exit,0.0,0.0,2012-09-18,93.01,-3407.52,0.0,BB 20 SMA Xover Mtm,['PCLN', 'PM']
PCLN,LONG,2012-08-30,609.24,161,No-Exit,0.0,0.0,2012-09-20,633.94,3976.70,3976.70,BB 20 SMA Xover Mtm,['PM']
PM,LONG,2012-09-18,91.60,45,No-Exit,0.0,0.0,2012-10-09,92.11,22.95,22.95,BB 20 SMA Xover Mtm,['AAPL', 'CAT']
AAPL,SHORT,2012-09-26,95.26,525,No-Exit,0.0,0.0,2012-10-11,92.36,1524.00,1524.00,BB 20 SMA Xover Mtm,['CAT', 'HD']
CAT,SHORT,2012-09-26,86.14,580,No-Exit,0.0,0.0,2012-10-16,83.83,1339.80,1339.80,BB 20 SMA Xover Mtm,['GOOGL', 'HD']
GOOGL,SHORT,2012-10-15,368.65,259,No-Exit,0.0,0.0,2012-10-18,377.77,-2362.08,-2362.08,BB 20 SMA Xover Mtm,['HD']
CAT,LONG,2012-10-18,87.50,830,No-Exit,0.0,0.0,2012-10-22,82.74,-3950.80,-3950.80,BB 20 SMA Xover Mtm,['HD']
HD,SHORT,2012-10-11,59.14,1630,No-Exit,0.0,0.0,2012-10-24,62.20,-4987.80,-4987.80,BB 20 SMA Xover Mtm,['VFC']
VFC,SHORT,2012-10-23,39.47,2231,No-Exit,0.0,0.0,2012-10-31,39.80,-736.23,-736.23,BB 20 SMA Xover Mtm,[]
FOSL,SHORT,2012-11-07,83.40,1142,No-Exit,0.0,0.0,2012-11-13,81.86,1758.68,1758.68,BB 20 SMA Xover Mtm,['LEN', 'GS']
GS,SHORT,2012-11-08,116.80,713,No-Exit,0.0,0.0,2012-11-19,117.63,-591.79,-591.79,BB 20 SMA Xover Mtm,['LEN', 'CAT']
LEN,SHORT,2012-11-13,36.02,2492,No-Exit,0.0,0.0,2012-11-19,36.78,-1893.92,-1893.92,BB 20 SMA Xover Mtm,['CAT']
CAT,SHORT,2012-11-14,82.43,979,No-Exit,0.0,0.0,2012-11-29,86.03,-3524.40,-3524.40,BB 20 SMA Xover Mtm,['GOOGL', 'AAPL']
AAPL,LONG,2012-11-26,82.46,1068,No-Exit,0.0,0.0,2012-12-05,81.27,-1267.87,-1267.87,BB 20 SMA Xover Mtm,['GOOGL', 'LYB']
GOOGL,LONG,2012-11-28,338.71,13,No-Exit,0.0,0.0,2012-12-05,344.15,70.72,70.72,BB 20 SMA Xover Mtm,['LYB']
WDC,LONG,2012-12-06,36.39,2388,No-Exit,0.0,0.0,2012-12-12,37.30,2173.08,2173.08,BB 20 SMA Xover Mtm,['SNDK', 'LYB']
LYB,LONG,2012-12-03,50.23,67,No-Exit,0.0,0.0,2012-12-13,53.51,219.76,219.76,BB 20 SMA Xover Mtm,['SNDK']
SNDK,LONG,2012-12-07,41.73,104,No-Exit,0.0,0.0,2012-12-14,42.79,110.24,110.24,BB 20 SMA Xover Mtm,[]
AMZN,SHORT,2012-12-27,246.15,1,No-Exit,0.0,0.0,2013-01-07,262.97,-16.82,-16.82,BB 20 SMA Xover Mtm,['VRSN', 'AAPL', 'EQT']
VRSN,LONG,2012-12-20,38.68,2391,No-Exit,0.0,0.0,2013-01-08,39.54,2056.26,2056.26,BB 20 SMA Xover Mtm,['AAPL', 'EQT']
