Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
12/21/2008--12/16/2009,5,4,69689.26,70763.8,70798.34,80,5,4,80,0,0,
09/22/2008--09/17/2009,4,3,60426.1,61535.18,61535.18,75,4,3,75,0,0,
08/23/2008--08/18/2009,4,3,46160.75,47269.83,47269.83,75,4,3,75,0,0,
06/24/2008--06/19/2009,6,5,29960.18,30878.64,32065.88,83.3333333333,5,4,80,1,1,100
06/30/2007--06/24/2008,5,4,26138.83,25647.82,26463.92,80,4,3,75,1,1,100
05/01/2007--04/25/2008,5,4,25363.57,24839.89,25672.05,80,4,3,75,1,1,100
02/14/2010--02/09/2011,7,5,24992.08,24048.12,25008.87,71.4285714286,5,4,80,2,1,50
05/25/2008--05/20/2009,7,7,23066.06,23624.81,25171.76,100,4,4,100,3,3,100
03/16/2010--03/11/2011,7,5,22448.2,21504.24,22464.99,71.4285714286,5,4,80,2,1,50
07/30/2007--07/24/2008,7,6,22140.36,21378.15,22465.45,85.7142857143,4,3,75,3,3,100
11/16/2009--11/11/2010,8,6,14629.51,14384.31,15406.94,75,5,4,80,3,2,66.6666666667
01/10/2011--01/05/2012,12,8,12586.09,11616.61,13560.84,66.6666666667,9,7,77.7777777778,3,1,33.3333333333
01/29/2013--01/24/2014,11,8,10651.56,14806.52,15535.72,72.7272727273,7,5,71.4285714286,4,3,75
10/17/2009--10/12/2010,9,7,9778.07,9440.49,10555.5,77.7777777778,6,5,83.3333333333,3,2,66.6666666667
04/01/2007--03/26/2008,3,3,9556.27,9048.65,9864.75,100,2,2,100,1,1,100
12/11/2010--12/06/2011,10,6,7872.89,6652.52,8296.95,60,7,5,71.4285714286,3,1,33.3333333333
09/12/2010--09/07/2011,8,5,6259.6,4716.81,6361.24,62.5,5,4,80,3,1,33.3333333333
12/06/2011--11/30/2012,13,11,5444.57,13782.43,16365.76,84.6153846154,9,8,88.8888888889,4,3,75
10/07/2011--10/01/2012,12,9,4766.66,13348.39,15508.92,75,9,7,77.7777777778,3,2,66.6666666667
10/12/2010--10/07/2011,8,5,4420.96,2878.17,4522.6,62.5,5,4,80,3,1,33.3333333333
02/04/2012--01/29/2013,13,11,4047.79,-4458.46,10623.95,84.6153846154,8,7,87.5,5,4,80
11/06/2011--10/31/2012,11,8,3321.15,10755.42,12856.37,72.7272727273,8,6,75,3,2,66.6666666667
09/07/2011--09/01/2012,10,7,3257.86,7012.58,9173.11,70,7,5,71.4285714286,3,2,66.6666666667
06/03/2012--05/29/2013,17,15,3116.24,-7318.38,10491.63,88.2352941176,10,9,90,7,6,85.7142857143
09/01/2012--08/27/2013,13,11,3082.09,-3633.39,5956.88,84.6153846154,8,7,87.5,5,4,80
05/04/2012--04/29/2013,13,11,2672.09,8073.73,9972.74,84.6153846154,7,6,85.7142857143,6,5,83.3333333333
04/04/2012--03/30/2013,11,9,2635.46,8069.55,9856.73,81.8181818182,6,5,83.3333333333,5,4,80
01/05/2012--12/30/2012,10,8,2576.66,7647.55,9152.82,80,6,5,83.3333333333,4,3,75
10/01/2012--09/26/2013,12,10,2278.86,-5757.39,4793.65,83.3333333333,8,7,87.5,4,3,75
07/14/2010--07/09/2011,8,6,1968.78,-1044.54,2121.59,75,4,4,100,4,2,50
03/05/2012--02/28/2013,14,11,1948.86,-7631.04,8814.81,78.5714285714,9,7,77.7777777778,5,4,80
08/13/2010--08/08/2011,6,4,1352.69,-190.1,1454.33,66.6666666667,3,3,100,3,1,33.3333333333
03/26/2008--03/21/2009,7,6,831.32,390.66,1937.61,85.7142857143,4,3,75,3,3,100
11/30/2012--11/25/2013,9,7,788.91,1231.57,2810.26,77.7777777778,5,4,80,4,3,75
01/20/2009--01/15/2010,5,4,772.85,3576.26,4222.5,80,4,3,75,1,1,100
04/25/2008--04/20/2009,5,5,738.3,243.71,1790.66,100,2,2,100,3,3,100
11/11/2010--11/06/2011,8,5,608.36,-612.01,1032.42,62.5,5,4,80,3,1,33.3333333333
12/30/2012--12/25/2013,8,6,598.83,1634,2622.91,75,5,4,80,3,2,66.6666666667
02/19/2009--02/14/2010,4,3,575.61,3206.97,3852.66,75,3,2,66.6666666667,1,1,100
07/24/2008--07/19/2009,5,4,482.75,2652.06,2652.06,80,4,3,75,1,1,100
08/29/2007--08/23/2008,5,4,459.16,-260.55,784.25,80,3,2,66.6666666667,2,2,100
06/19/2009--06/14/2010,4,3,444.78,584.61,1205.42,75,2,2,100,2,1,50
05/31/2007--05/25/2008,4,3,395.95,-95.06,721.04,75,3,2,66.6666666667,1,1,100
09/28/2007--09/22/2008,6,5,385.44,-440.64,900.55,83.3333333333,4,3,75,2,2,100
03/21/2009--03/16/2010,4,3,379.45,519.82,1140.09,75,3,2,66.6666666667,1,1,100
01/01/2007--12/27/2007,2,2,375.28,-132.34,683.76,100,1,1,100,1,1,100
01/31/2007--01/26/2008,2,2,375.28,-132.34,683.76,100,1,1,100,1,1,100
03/02/2007--02/25/2008,2,2,375.28,-132.34,683.76,100,1,1,100,1,1,100
09/17/2009--09/12/2010,8,6,375.17,37.59,1152.6,75,5,4,80,3,2,66.6666666667
04/15/2010--04/10/2011,5,4,370.43,-580.94,387.22,80,4,3,75,1,1,100
05/15/2010--05/10/2011,8,5,300.94,-2786.58,351.31,62.5,6,4,66.6666666667,2,1,50
12/27/2007--12/21/2008,6,5,260.21,86.14,614.48,83.3333333333,3,2,66.6666666667,3,3,100
01/26/2008--01/20/2009,6,5,260.21,86.14,614.48,83.3333333333,3,2,66.6666666667,3,3,100
04/20/2009--04/15/2010,5,3,254.17,394.54,1014.81,60,3,2,66.6666666667,2,1,50
05/20/2009--05/15/2010,5,3,254.17,394.54,1014.81,60,3,2,66.6666666667,2,1,50
10/31/2012--10/26/2013,8,6,253.3,411.53,903.2,75,4,3,75,4,3,75
08/27/2013--08/22/2014,13,9,190.8,493.98,2356.4,69.2307692308,7,5,71.4285714286,6,4,66.6666666667
10/22/2008--10/17/2009,3,2,119.07,1228.15,1228.15,66.6666666667,3,2,66.6666666667,0,0,
11/21/2008--11/16/2009,3,2,119.07,1228.15,1228.15,66.6666666667,3,2,66.6666666667,0,0,
08/02/2012--07/28/2013,11,8,109.52,580.08,1557.06,72.7272727273,5,4,80,6,4,66.6666666667
06/28/2013--06/23/2014,7,4,97.03,763.5,1868.53,57.1428571429,4,2,50,3,2,66.6666666667
12/16/2009--12/11/2010,6,4,1.67,279.88,784.21,66.6666666667,4,3,75,2,1,50
01/15/2010--01/10/2011,6,4,1.67,279.88,784.21,66.6666666667,4,3,75,2,1,50
