HAL,LONG,2011-03-29,46.32,2177,No-Exit,0,0,2011-03-29,46.79,1024.3,2011-04-07,46.32,0,1024.3,1024.3,BB Spread,['GDX', 'IWM', 'GG'],,
IWM,LONG,2011-03-30,79.04,64,No-Exit,0,0,2011-04-01,79.84,51.16,2011-04-08,79.76,46.08,51.16,51.16,BB Spread,['GDX', 'GG'],,,
GDX,LONG,2011-04-06,61.4,2,No-Exit,0,0,2011-04-08,62.02,1.23,2011-04-11,60.41,-1.99,1.23,1.23,BB Spread,['GG'],,,,
GG,LONG,2011-04-06,49.74,2,No-Exit,0,0,2011-04-06,50.24,0.99,2011-04-13,49.43,-0.63,0.99,0.99,BB Spread,[],,,,
VRTX,LONG,2011-04-27,54.16,907,No-Exit,0,0,2011-04-27,54.72,503.75,2011-05-04,53.51,-589.55,503.75,503.75,BB Spread,['CMI'],,,,
CMI,LONG,2011-04-27,109.87,457,No-Exit,0,0,2011-04-27,110.98,509.27,2011-05-04,106.3,-1629.89,509.27,509.27,BB Spread,[],,,,
ROVI,LONG,2011-05-12,58.24,1690,No-Exit,0,0,2011-05-12,58.83,999.64,2011-05-17,56.65,-2687.1,999.64,999.64,BB Spread,['IWM'],,,,
GOOGL,LONG,2011-07-06,267.06,350,No-Exit,0,0,2011-07-07,269.76,946.75,2011-07-14,269.56,875,946.75,946.75,BB Spread,[],,,,
AMZN,LONG,2011-09-01,216.34,17,No-Exit,0,0,No-Exit,0,0,2011-09-02,208.94,-125.8,-125.8,-125.8,BB Spread,['SINA'],,,,
SINA,LONG,2011-08-31,108.87,959,No-Exit,0,0,No-Exit,0,0,2011-09-02,101.97,-6617.1,-6617.1,-6617.1,BB Spread,[],,,,
GOOGL,LONG,2011-11-14,306.3,279,No-Exit,0,0,No-Exit,0,0,2011-11-17,305.02,-355.73,-355.73,-355.73,BB Spread,[],,,,
LULU,LONG,2012-01-05,51.45,812,No-Exit,0,0,2012-01-05,51.97,423.05,2012-01-17,60.76,7559.72,423.05,7559.72,BB Spread,['NFLX', 'WTW'],,,
NFLX,LONG,2012-01-05,81.17,514,No-Exit,0,0,2012-01-06,81.96,406.68,2012-01-18,93.18,6173.14,406.68,6173.14,BB Spread,['WTW'],,,,
WTW,LONG,2012-01-06,63.56,66,No-Exit,0,0,2012-01-06,64.22,43.72,2012-01-20,68.25,309.54,43.72,309.54,BB Spread,[],,,,
VMW,LONG,2012-01-25,92.78,1085,No-Exit,0,0,2012-01-26,93.71,1003.73,2012-01-30,90.4,-2582.3,1003.73,1003.73,BB Spread,[],,,,
MA,LONG,2012-02-03,38.02,2484,No-Exit,0,0,2012-02-03,38.41,958.55,2012-02-10,38.95,2316.62,958.55,2316.62,BB Spread,[],,,,
NFLX,LONG,2012-03-22,121.09,798,No-Exit,0,0,2012-03-22,122.28,947.47,2012-03-23,117.37,-2968.56,947.47,947.47,BB Spread,[],,,,
JNJ,LONG,2012-06-14,60.1,1691,No-Exit,0,0,2012-06-14,60.71,1026.9,2012-06-25,61.48,2331.4,1026.9,2331.4,BB Spread,[],,,,
GOOGL,LONG,2012-07-20,304.38,348,No-Exit,0,0,2012-07-23,307.38,1044.84,2012-07-25,303.47,-316.68,1044.84,1044.84,BB Spread,[],,,,
AMZN,LONG,2012-08-27,247.07,445,No-Exit,0,0,No-Exit,0,0,2012-08-30,246.16,-404.95,-404.95,-404.95,BB Spread,[],,,,
