Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
AMZN,LONG,2007-11-29,91.00,1043,No-Exit,0.0,0.0,2007-12-04,93.00,2086.00,2007-12-11,92.72,1794.67,2086.00,[]
AMZN,LONG,2008-12-08,50.84,1902,No-Exit,0.0,0.0,2008-12-09,52.84,3804.00,2008-12-12,47.52,-6316.40,3804.00,[]
AMZN,LONG,2009-06-02,85.00,1067,No-Exit,0.0,0.0,2009-06-05,87.00,2134.00,2009-06-11,86.29,1376.43,2134.00,[]
AMZN,LONG,2009-07-16,85.87,1071,No-Exit,0.0,0.0,2009-07-20,87.87,2142.00,2009-07-23,89.84,4251.57,2142.00,[]
AMZN,LONG,2010-11-26,178.09,539,No-Exit,0.0,0.0,2010-11-29,180.09,1078.00,2010-12-02,176.05,-1099.56,1078.00,[]
AMZN,LONG,2011-06-28,202.78,468,No-Exit,0.0,0.0,2011-06-29,204.78,936.00,2011-07-12,211.93,4279.86,936.00,[]
AMZN,LONG,2011-09-01,216.34,457,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-02,208.94,-3379.56,-3379.56,[]
AMZN,LONG,2012-06-19,223.96,428,No-Exit,0.0,0.0,2012-06-21,225.96,856.00,2012-06-22,219.97,-1707.72,856.00,[]
AMZN,LONG,2013-06-10,278.69,338,No-Exit,0.0,0.0,2013-06-10,280.69,676.00,2013-06-12,274.15,-1531.14,676.00,[]
