Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
CMG,LONG,2010-07-26,146.96,646,No-Exit,0.0,0.0,2010-08-06,148.29,859.18,859.18,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2010-08-12,35.24,2708,No-Exit,0.0,0.0,2010-08-30,35.05,518.39,518.39,BB 20 SMA Xover Mtm,[]
EOG,LONG,2010-09-13,46.58,2068,No-Exit,0.0,0.0,2010-09-17,44.24,-4828.78,-4828.78,BB 20 SMA Xover Mtm,[]
BLK,LONG,2010-11-12,172.91,530,No-Exit,0.0,0.0,2010-11-23,163.95,-4748.80,-4748.80,BB 20 SMA Xover Mtm,[]
CRM,LONG,2011-01-06,36.04,2428,No-Exit,0.0,0.0,2011-01-20,33.30,-6646.65,-6646.65,BB 20 SMA Xover Mtm,['CMG', 'NFLX']
NFLX,LONG,2011-01-11,189.76,21,No-Exit,0.0,0.0,2011-01-20,186.82,-61.74,-61.74,BB 20 SMA Xover Mtm,['CMG']
CMG,LONG,2011-01-14,231.94,1,No-Exit,0.0,0.0,2011-01-26,215.49,-16.45,-16.45,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2011-01-21,47.05,1713,No-Exit,0.0,0.0,2011-02-07,50.25,-5481.60,-5481.60,BB 20 SMA Xover Mtm,['FFIV']
FFIV,LONG,2011-02-07,124.88,546,No-Exit,0.0,0.0,2011-02-16,125.35,256.62,256.62,BB 20 SMA Xover Mtm,['BWA', 'AMZN']
AMZN,LONG,2011-02-09,184.89,3,No-Exit,0.0,0.0,2011-02-16,187.35,7.38,7.38,BB 20 SMA Xover Mtm,['BWA']
BWA,LONG,2011-02-08,35.59,304,No-Exit,0.0,0.0,2011-02-22,39.48,1182.56,1182.56,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2011-03-10,49.85,1544,No-Exit,0.0,0.0,2011-03-22,48.94,1409.45,1409.45,BB 20 SMA Xover Mtm,[]
AMZN,LONG,2011-03-25,172.81,453,No-Exit,0.0,0.0,2011-04-12,182.86,4552.65,4552.65,BB 20 SMA Xover Mtm,['QCOM', 'BLK']
QCOM,LONG,2011-04-07,54.08,6,No-Exit,0.0,0.0,2011-04-12,52.05,-12.18,-12.18,BB 20 SMA Xover Mtm,['BLK']
NFLX,LONG,2011-05-10,238.77,330,No-Exit,0.0,0.0,2011-05-16,238.74,-9.90,-9.90,BB 20 SMA Xover Mtm,['BLK', 'AAPL']
NFLX,SHORT,2011-05-17,234.72,334,No-Exit,0.0,0.0,2011-05-23,248.99,-4766.18,-4766.18,BB 20 SMA Xover Mtm,['BLK', 'AAPL']
AAPL,SHORT,2011-05-16,48.16,86,No-Exit,0.0,0.0,2011-06-01,49.84,-144.36,-144.36,BB 20 SMA Xover Mtm,['BLK']
BLK,LONG,2011-03-31,200.83,19,No-Exit,0.0,0.0,2011-06-03,195.99,-91.96,-91.96,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2011-06-28,47.91,1625,No-Exit,0.0,0.0,2011-07-12,50.16,3656.25,3656.25,BB 20 SMA Xover Mtm,[]
AMZN,SHORT,2011-08-03,209.58,388,No-Exit,0.0,0.0,2011-08-10,200.76,3422.16,3422.16,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2011-08-05,53.37,1543,No-Exit,0.0,0.0,2011-08-12,54.01,-987.52,-987.52,BB 20 SMA Xover Mtm,[]
NFLX,LONG,2011-08-31,238.93,1,No-Exit,0.0,0.0,2011-09-02,208.71,-30.22,-30.22,BB 20 SMA Xover Mtm,['QCOM', 'PCLN', 'AAPL']
PCLN,LONG,2011-08-29,510.00,82,No-Exit,0.0,0.0,2011-09-02,519.96,816.72,816.72,BB 20 SMA Xover Mtm,['QCOM', 'AAPL']
AAPL,LONG,2011-08-29,55.45,755,No-Exit,0.0,0.0,2011-09-12,53.70,-1325.56,-1325.56,BB 20 SMA Xover Mtm,['QCOM']
QCOM,LONG,2011-08-30,51.43,80,No-Exit,0.0,0.0,2011-09-19,53.06,130.40,130.40,BB 20 SMA Xover Mtm,[]
AMZN,SHORT,2011-09-30,218.19,189,No-Exit,0.0,0.0,2011-10-05,219.13,-177.66,-177.66,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2011-09-30,55.24,753,No-Exit,0.0,0.0,2011-10-06,54.04,903.60,903.60,BB 20 SMA Xover Mtm,[]
PCLN,LONG,2011-10-24,500.41,83,No-Exit,0.0,0.0,2011-11-01,492.08,-691.39,-691.39,BB 20 SMA Xover Mtm,['CMG']
CMG,LONG,2011-10-24,336.82,124,No-Exit,0.0,0.0,2011-11-21,304.83,-3966.76,-3966.76,BB 20 SMA Xover Mtm,['PCLN', 'CRM']
PCLN,SHORT,2011-11-18,508.27,42,No-Exit,0.0,0.0,2011-11-28,482.65,1076.04,1076.04,BB 20 SMA Xover Mtm,['CRM']
CRM,SHORT,2011-11-18,29.86,699,No-Exit,0.0,0.0,2011-11-28,27.28,1803.42,1803.42,BB 20 SMA Xover Mtm,[]
NFLX,LONG,2011-12-13,76.01,54,No-Exit,0.0,0.0,2011-12-19,68.83,-387.72,-387.72,BB 20 SMA Xover Mtm,['AAPL']
AAPL,LONG,2011-12-02,55.97,1470,No-Exit,0.0,0.0,2012-01-12,59.86,5718.30,5718.30,BB 20 SMA Xover Mtm,[]
