Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
AAPL,LONG,2013-01-02,79.12,1237,No-Exit,0.0,0.0,2013-01-14,71.81,-9037.17,-9037.17,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2013-03-18,64.01,1350,No-Exit,0.0,0.0,2013-03-27,65.21,1618.07,1618.07,BB 20 SMA Xover Mtm,['PCLN']
HUM,LONG,2013-03-28,69.41,1266,No-Exit,0.0,0.0,2013-04-05,78.38,11356.02,11356.02,BB 20 SMA Xover Mtm,['THC', 'PCLN']
PCLN,SHORT,2013-03-19,689.84,6,No-Exit,0.0,0.0,2013-04-11,720.91,-186.42,-186.42,BB 20 SMA Xover Mtm,['THC']
THC,SHORT,2013-04-04,43.65,100,No-Exit,0.0,0.0,2013-04-23,40.16,349.00,349.00,BB 20 SMA Xover Mtm,['PCLN']
VLO,LONG,2013-04-25,42.39,744,No-Exit,0.0,0.0,2013-05-01,39.53,-2127.84,-2127.84,BB 20 SMA Xover Mtm,['AAPL', 'GD', 'BRCM', 'PCLN']
PCLN,SHORT,2013-04-19,683.11,144,No-Exit,0.0,0.0,2013-05-03,722.08,-5611.68,-5611.68,BB 20 SMA Xover Mtm,['AAPL', 'GD', 'BRCM']
AAPL,LONG,2013-04-30,62.16,103,No-Exit,0.0,0.0,2013-05-10,64.91,283.54,283.54,BB 20 SMA Xover Mtm,['GD', 'BRCM']
BRCM,LONG,2013-04-25,35.44,870,No-Exit,0.0,0.0,2013-05-14,36.12,591.60,591.60,BB 20 SMA Xover Mtm,['GD']
GD,LONG,2013-04-25,72.45,440,No-Exit,0.0,0.0,2013-05-22,77.36,2160.40,2160.40,BB 20 SMA Xover Mtm,['AAPL']
FSLR,SHORT,2013-06-12,49.56,1441,No-Exit,0.0,0.0,2013-06-17,46.31,4683.25,4683.25,BB 20 SMA Xover Mtm,['AXP', 'VLO', 'AAPL', 'FFIV']
FFIV,SHORT,2013-06-04,78.37,1090,No-Exit,0.0,0.0,2013-06-18,75.66,2953.90,2953.90,BB 20 SMA Xover Mtm,['AXP', 'VLO', 'AAPL']
AXP,SHORT,2013-06-13,73.97,1006,No-Exit,0.0,0.0,2013-06-26,74.11,-140.84,-140.84,BB 20 SMA Xover Mtm,['VLO', 'AAPL']
VLO,SHORT,2013-06-05,38.57,2108,No-Exit,0.0,0.0,2013-06-26,35.31,6872.08,6872.08,BB 20 SMA Xover Mtm,['AAPL']
AAPL,SHORT,2013-05-16,60.46,1023,No-Exit,0.0,0.0,2013-07-01,57.60,2928.70,2928.70,BB 20 SMA Xover Mtm,[]
