Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos,,
AAPL,LONG,2007-12-07,25.78,3690,100000,100000,101876.89,4887.58,2007-12-11,26.12,101831.96,4887.58,101270.38,101270.38,1270.38,[],,
RIG,LONG,2008-02-21,122.2,794,101270.38,101270.38,99852.01,4246.95,2008-02-22,119.97,99852.01,4246.95,99503.13,99503.13,-1767.25,[],,
MRO,LONG,2008-05-05,43.6,2168,99503.13,99503.13,99419.58,4978.33,2008-05-09,43.87,101704.74,4978.33,100088.49,100088.49,585.36,[],33,
GS,LONG,2009-06-05,141.18,678,100088.49,100088.49,98795.71,4365.62,2009-06-08,137.91,98795.71,4365.62,97870.48,97870.48,-2218.01,[],,
FCX,LONG,2009-07-17,22.38,4154,97870.48,97870.48,100130.65,4903.96,2009-07-21,23.42,102704.35,4903.96,102190.64,102190.64,4320.16,[],,
CAT,LONG,2009-09-16,46.21,2100,102190.64,102190.64,102738.21,5149.64,2009-09-21,46.52,104221.88,5149.64,102849.48,102849.48,658.84,[],45.2054794521,
CAT,LONG,2009-10-20,54.02,1894,102849.48,102849.48,100240.13,532.61,2009-10-21,52.15,100240.13,532.61,99303.43,99303.43,-3546.05,[],,
FSLR,LONG,2009-12-04,131.69,729,99303.43,99303.43,97794.4,3301.42,2009-12-08,133.69,101847.64,3301.42,100761.43,100761.43,1458,[],,
AAPL,LONG,2009-12-28,28.64,3376,100761.43,100761.43,100711.2,4069.77,2009-12-29,28.54,100711.2,4069.77,100420.81,100420.81,-340.62,[],,
DLTR,LONG,2010-02-25,18.81,5071,100420.81,100420.81,99812.29,5035.3,2010-03-01,18.48,99254.48,5035.3,98747.38,98747.38,-1673.43,[],,
SNDK,LONG,2010-03-02,32.31,2903,98747.38,98747.38,97418.47,4951.45,2010-03-03,31.68,97418.47,4951.45,96918.49,96918.49,-1828.89,[],,
GS,LONG,2010-03-05,155.32,596,96918.49,96918.49,98079.07,4346.48,2010-03-18,165.7,103383,4346.48,103103.68,103103.68,6185.19,[],,
WDC,LONG,2010-04-26,43.04,2275,103103.68,103103.68,101092.96,5187.68,2010-04-27,41.91,101092.96,5187.68,100527.66,100527.66,-2576.03,[],,
NEM,LONG,2010-06-17,53.92,895,100527.66,100527.66,100997.72,4060.77,2010-06-21,54.88,102666.29,4060.77,101311.89,53178.37,860.84,['AAPL'],,
AAPL,LONG,2010-06-17,36.61,1317,100527.66,100527.66,100753.92,52317.53,2010-06-21,36.74,102666.29,4060.77,101564.95,101564.95,176.45,[],,
APA,LONG,2010-07-26,91.23,1066,101564.95,101564.95,102635.74,4308.75,2010-07-27,90.94,102635.74,4308.75,101250.79,101250.79,-314.16,[],,
NFLX,LONG,2010-08-11,126.68,759,101250.79,101250.79,101091.4,5100.67,2010-08-18,128.68,106024.9,5100.67,102768.79,102768.79,1518,[],,
GOOGL,LONG,2010-09-20,246.25,397,102768.79,102768.79,105901.12,5007.54,2010-09-29,263.27,109650.79,5007.54,109525.73,109525.73,6756.94,[],,
GS,LONG,2010-10-20,149.76,694,109525.73,109525.73,110307.71,5592.29,2010-10-22,150.13,110110.88,5592.29,109782.51,109782.51,256.78,[],,
PCLN,LONG,2010-10-25,367,142,109782.51,109782.51,110482.57,5472.25,2010-10-26,369,110482.57,5472.25,110508.27,57870.25,284,['SLB'],,
SLB,LONG,2010-10-25,64.36,811,109782.51,109782.51,109782.51,57586.25,2010-10-26,64.08,110482.57,5472.25,109839.13,109839.13,-227.38,[],,
NFLX,LONG,2010-10-27,179.76,290,109839.13,109839.13,109473.73,57708.73,2010-10-28,178,110631.98,5577.21,109973.82,57197.21,-510.4,['NOV'],,
NOV,LONG,2010-10-27,50.32,1036,109839.13,109839.13,110631.98,5577.21,2010-10-29,50.46,109973.82,57197.21,109470.53,109470.53,141.8,[],,
AMZN,LONG,2010-11-26,178.09,583,109470.53,109470.53,108951.66,5644.06,2010-11-30,176.95,110286.73,5644.06,108805.91,108805.91,-664.62,[],,
AIG,LONG,2010-12-10,48.15,2146,108805.91,108805.91,109134.12,5476.01,2010-12-15,50.15,115105.84,5476.01,113097.91,113097.91,4292,[],,
PCLN,LONG,2011-01-06,435.15,246,113097.91,113097.91,113631.73,6051.01,2011-01-07,437.15,113631.73,6051.01,113589.91,113589.91,492,[],,
BHI,LONG,2011-01-26,60.89,1800,113589.91,113589.91,117512.13,3991.37,2011-01-27,62.82,117512.13,3991.37,117005.78,113282.16,3474.95,['HAL'],,
HAL,LONG,2011-01-27,42.03,90,117512.13,3991.37,118622.84,208.67,2011-01-28,41.21,117005.78,113282.16,116991.06,116991.06,-73.8,[],,
TWX,LONG,2011-02-03,32.3,3440,116991.06,116991.06,119140.35,5879.06,2011-02-11,33.05,120209.15,5879.06,119580.45,119580.45,2589.38,[],,
VRTX,LONG,2011-04-27,54.16,2097,119580.45,119580.45,122474.31,6006.93,2011-04-29,55.24,122474.31,6006.93,121845.21,121845.21,2264.76,[],,
CF,LONG,2011-05-24,141.78,816,121845.21,121845.21,120585,6152.73,2011-05-26,143.78,124051.94,6152.73,123477.21,123477.21,1632,[],,
GOOGL,LONG,2011-07-06,267.06,439,123477.21,123477.21,123749.39,6237.87,2011-07-08,266.48,126216.57,6237.87,123220.39,123220.39,-256.81,[],,
NFLX,LONG,2012-01-05,81.17,1442,123220.39,123220.39,120523.85,6173.25,2012-01-06,79,120523.85,6173.25,120091.25,120091.25,-3129.14,[],,
GS,LONG,2012-03-02,116.76,977,120091.25,120091.25,118701.59,6016.73,2012-03-05,114.86,118701.59,6016.73,118234.95,118234.95,-1856.3,[],,
JPM,LONG,2012-03-14,40.71,2759,118234.95,118234.95,117330.22,5916.06,2012-03-15,40.22,117330.22,5916.06,116883.04,116883.04,-1351.91,[],,
WDC,LONG,2012-03-23,40.71,136,119355.52,5861.82,117841.35,325.26,2012-03-27,40.55,118943.86,325.26,120260.94,5840.06,-21.76,['AGN'],,
AGN,LONG,2012-03-22,64.66,1717,116883.04,116883.04,119355.52,5861.82,2012-03-28,65.69,120260.94,5840.06,118629.79,118629.79,1768.51,[],,
AET,LONG,2012-03-30,48.2,1169,118629.79,118629.79,119091.01,5983.89,2012-04-03,48.02,119308.88,352.39,119222.21,56487.77,-210.42,['UNH', 'PXD'],
PXD,LONG,2012-04-02,112.63,50,119091.01,5983.89,119308.88,352.39,2012-04-03,110.89,119308.88,352.39,119177.72,62032.27,-87,['UNH'],,
UNH,LONG,2012-03-30,56.02,1005,118629.79,118629.79,119032.6,62329.69,2012-04-04,56.21,119177.72,62032.27,118523.32,118523.32,190.95,[],,
UHS,LONG,2012-06-29,42.66,2639,118523.32,118523.32,117929.41,5943.58,2012-07-03,42.01,117254.8,5943.58,116807.97,116807.97,-1715.35,[],,
GOOGL,LONG,2012-07-20,304.38,372,116807.97,116807.97,117191.13,3578.61,2012-07-23,300.24,117191.13,3578.61,115267.89,115267.89,-1540.08,[],,
TSO,LONG,2012-08-03,30.87,3549,115267.89,115267.89,113973.7,5704.17,2012-08-08,32.87,122896.82,5704.17,122359.8,122359.8,7091.91,[],,
AMZN,LONG,2012-08-27,247.07,470,122359.8,122359.8,120879.3,6236.9,2012-08-28,243.29,120879.3,6236.9,120583.2,120583.2,-1776.6,[],,
FCX,LONG,2012-09-10,35.5,3226,120583.2,120583.2,120137.47,6060.2,2012-09-12,35.29,120769.48,6060.2,119905.74,119905.74,-677.46,[],,
LLY,LONG,2012-10-09,47.5,2411,119905.74,119905.74,120774.35,5383.24,2012-10-10,47.22,120774.35,5383.24,119230.66,119230.66,-675.08,[],,
NFLX,LONG,2012-12-13,92.14,1229,119230.66,119230.66,119746.84,5990.6,2012-12-17,92.37,120656.3,5990.6,119513.33,119513.33,282.67,[],,
RIG,LONG,2013-01-04,44.88,2529,119513.33,119513.33,123401.82,6011.81,2013-01-08,46.71,124964.91,6011.81,124149.38,124149.38,4636.06,[],,
STX,LONG,2013-01-10,31.7,3720,124149.38,124149.38,124068.74,6225.38,2013-01-11,31.49,124068.74,6225.38,123368.18,123368.18,-781.2,[],,
HAL,LONG,2013-01-28,39.28,149,128765.52,6178.84,128646.52,326.12,2013-01-30,39.19,127973.81,326.12,127601.17,6165.43,-13.41,['STT'],,
STT,LONG,2013-01-22,52.27,2242,123368.18,123368.18,126159.61,6178.84,2013-01-31,53.87,127601.17,6165.43,126941.97,126941.97,3587.2,[],,
AMZN,LONG,2013-03-05,274,220,126941.97,126941.97,127997.98,6150.08,2013-03-06,273.38,127997.98,6150.08,126984.42,66293.68,-136.4,['GOOGL'],,
GOOGL,LONG,2013-03-05,414.46,146,126941.97,126941.97,127648.18,66430.08,2013-03-06,416.46,127997.98,6150.08,127096.84,127096.84,291.27,[],,
MET,LONG,2013-03-11,37.65,3206,127096.84,127096.84,127928.37,6390.94,2013-03-15,38.29,129677.33,6390.94,129148.68,129148.68,2051.84,[],,
DG,LONG,2013-07-11,55.21,2,133400.66,338.41,133667.19,92.29,2013-07-12,54.14,133667.19,92.29,140357.93,200.57,-2.14,['NFLX', 'FDX', 'FDO']
FDO,LONG,2013-07-11,67.85,2,133400.66,338.41,133666.31,202.71,2013-07-12,66.94,133667.19,92.29,140357.88,334.45,-1.82,['NFLX', 'FDX'],
FDX,LONG,2013-07-10,104.17,59,135370.47,6484.44,133400.66,338.41,2013-07-12,101.31,133667.19,92.29,140345,6312.02,-168.47,['NFLX'],,
NFLX,LONG,2013-07-09,235.44,521,129148.68,129148.68,135370.47,6484.44,2013-07-23,251.4,142793.18,6312.02,137291.42,137291.42,8315.16,[],,
CF,LONG,2013-07-30,197.61,660,137291.42,137291.42,133609.73,6868.82,2013-07-31,191.03,133609.73,6868.82,132948.62,132948.62,-4342.8,[],,
SNDK,LONG,2013-10-18,67.68,1866,132948.62,132948.62,132915.76,6657.74,2013-10-21,67.15,132915.76,6657.74,131960.51,131960.51,-988.11,[],,
BMY,LONG,2013-10-29,50.77,2469,131960.51,131960.51,133796.2,6609.38,2013-10-31,51.04,133342.99,6609.38,132627.14,132627.14,666.63,[],,
RIG,LONG,2013-11-08,48.71,2586,132627.14,132627.14,133333.17,6663.08,2013-11-12,50.38,137883.34,6663.08,136935.39,136935.39,4308.25,[],,
AAPL,LONG,2013-11-27,75.04,1733,136935.39,136935.39,139274.12,6891.07,2013-12-11,78.77,144024.26,6891.07,143399.48,143399.48,6464.09,[],,
V,LONG,2014-01-21,232.64,590,143399.48,143399.48,141958.9,6139.99,2014-01-23,229.93,142579.64,6139.99,141800.79,141800.79,-1598.7,[],,
HD,LONG,2014-02-26,79.47,1695,141800.79,141800.79,142635.85,7099.14,2014-02-27,78.97,142635.85,7099.14,140953.29,140953.29,-847.5,[],,
FSLR,LONG,2014-03-20,71.19,1880,140953.29,140953.29,139618.49,7116.09,2014-03-21,69.87,139618.49,7116.09,138471.69,138471.69,-2481.6,[],,
IBM,LONG,2014-03-26,192.01,685,138471.69,138471.69,136473.42,6944.84,2014-03-27,188.4,136473.42,6944.84,135995.98,135995.98,-2475.71,[],,
MU,LONG,2014-04-22,25.59,5048,135995.98,135995.98,138974.3,6817.66,2014-04-24,26.07,139327.66,6817.66,138419.02,138419.02,2423.04,[],,
NFLX,LONG,2014-05-20,367.42,357,138419.02,138419.02,139936.27,7250.08,2014-05-28,397.2,149625.25,7250.08,149050.48,149050.48,10631.46,[],,
LLY,LONG,2014-06-23,61.39,2306,149050.48,149050.48,148445.52,7485.14,2014-06-24,60.83,148445.52,7485.14,147759.12,147759.12,-1291.36,[],,
AGN,LONG,2014-11-19,269.86,520,147759.12,147759.12,145772.72,7431.92,2014-11-20,264.58,145772.72,7431.92,145013.52,145013.52,-2745.6,[],,
FB,LONG,2014-11-28,77.98,1766,145013.52,145013.52,144519.04,7300.84,2014-12-01,77.26,144519.04,7300.84,143742,143742,-1271.52,[],,
