Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
AAPL,LONG,2008-03-12,18.37,5573,No-Exit,0,0,2008-04-08,21.94,19844.97,19844.97,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2014-10-21,103.02,1303,No-Exit,0,0,2014-12-01,117.74,19181.07,19181.07,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2011-12-02,55.97,2297,No-Exit,0,0,2012-01-12,59.86,8924.93,8924.93,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2008-10-29,14.42,8794,No-Exit,0,0,2008-10-31,15.3,7802.16,7802.16,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2008-08-07,23.69,4950,No-Exit,0,0,2008-08-15,25.22,7569.89,7569.89,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-11-07,14.02,9574,No-Exit,0,0,2008-11-13,13.33,6534.67,6534.67,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2013-05-16,60.46,2116,No-Exit,0,0,2013-07-01,57.53,6211.97,6211.97,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2011-06-28,47.91,2541,No-Exit,0,0,2011-07-12,50.16,5712.75,5712.75,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2009-12-22,28.6,4294,No-Exit,0,0,2009-12-29,29.93,5693.6,5693.6,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2013-04-30,62.16,1984,No-Exit,0,0,2013-05-10,64.91,5470.62,5470.62,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2007-11-29,26,3739,No-Exit,0,0,2007-12-11,27.38,5141.5,5141.5,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2010-05-28,37.06,3464,No-Exit,0,0,2010-06-21,38.5,5008.53,5008.53,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2009-01-23,12.75,9810,No-Exit,0,0,2009-01-30,13.15,3961,3961,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2012-09-26,95.26,1343,No-Exit,0,0,2012-10-11,92.36,3895.58,3895.58,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-06-10,25.68,4432,No-Exit,0,0,2008-06-16,24.87,3609.04,3609.04,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2010-05-17,35.9,3436,No-Exit,0,0,2010-05-21,34.89,3447.88,3447.88,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2014-12-09,110.19,1344,No-Exit,0,0,2014-12-17,107.81,3195.43,3195.43,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2011-08-05,53.37,2383,No-Exit,0,0,2011-08-09,52.17,2850.82,2850.82,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2011-09-30,55.24,2281,No-Exit,0,0,2011-10-05,54.04,2727.2,2727.2,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-09-02,23.98,5191,No-Exit,0,0,2008-09-08,23.51,2421.01,2421.01,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2007-11-09,24.45,3828,No-Exit,0,0,2007-11-13,23.83,2369.2,2369.2,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2011-03-10,49.85,2483,No-Exit,0,0,2011-03-22,48.94,2264.96,2264.96,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2013-03-18,64.01,1890,No-Exit,0,0,2013-03-27,65.21,2258.12,2258.12,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2009-03-12,13.37,9321,No-Exit,0,0,2009-03-16,13.57,1816.13,1816.13,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2014-10-14,98.81,1313,No-Exit,0,0,2014-10-17,97.5,1722.52,1722.52,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2014-02-11,76.33,1772,No-Exit,0,0,2014-02-19,77.22,1582.19,1582.19,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2012-11-26,82.46,1596,No-Exit,0,0,2012-11-30,83.35,1425.32,1425.32,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2013-09-11,66.72,1919,No-Exit,0,0,2013-09-18,66.17,1049.99,1049.99,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2010-08-12,35.24,3722,No-Exit,0,0,2010-08-26,35.06,659.33,659.33,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2010-06-30,36.23,3626,No-Exit,0,0,2010-07-07,36.14,336.13,336.13,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2008-01-07,25.46,4010,No-Exit,0,0,2008-01-14,25.39,299.38,299.38,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2014-04-07,75.21,1795,No-Exit,0,0,2014-04-23,75.58,-656,-656,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2009-05-13,17.6,7181,No-Exit,0,0,2009-05-15,17.77,-1260.88,-1260.88,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2010-01-22,29.43,4357,No-Exit,0,0,2010-01-26,29.82,-1721.77,-1721.77,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2014-03-14,75.05,1822,No-Exit,0,0,2014-03-19,76.04,-1800.27,-1800.27,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2009-07-07,19.6,6185,No-Exit,0,0,2009-07-13,19.93,-2046.44,-2046.44,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2009-12-01,28.27,4219,2009-12-01,28.94,-2823.72,2009-12-09,27.4,3701.99,-2823.72,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2010-05-07,34.82,3635,No-Exit,0,0,2010-05-10,35.75,-3396.13,-3396.13,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2012-04-16,85.6,1601,No-Exit,0,0,2012-04-18,87.98,-3815.78,-3815.78,BB 20 SMA Xover Mtm,[]
AAPL,LONG,2011-08-29,55.45,2347,No-Exit,0,0,2011-09-12,53.7,-4120.66,-4120.66,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2009-05-21,17.8,7031,No-Exit,0,0,2009-05-26,18.39,-4131.42,-4131.42,BB 20 SMA Xover Mtm,[]
AAPL,SHORT,2011-05-16,48.16,2615,No-Exit,0,0,2011-06-01,49.84,-4398.8,-4398.8,BB 20 SMA Xover Mtm,[]
