Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
AAPL,LONG,2009-09-17,24.75,3838,100000.00,100000.00,100062.12,5013.45,2009-09-23,24.88,100026.07,5013.45,100499.90,100499.90,499.90,[]
AAPL,LONG,2009-12-28,28.41,3368,100499.90,100499.90,100450.18,4811.12,2009-12-30,28.02,99315.76,4811.12,99193.74,99193.74,-1306.16,[]
MA,LONG,2010-03-08,23.62,3989,99193.74,99193.74,100874.94,4979.41,2010-03-17,24.44,102331.28,4979.41,102464.03,102464.03,3270.29,[]
NFLX,LONG,2010-04-06,80.42,1212,102464.03,102464.03,106039.43,4994.99,2010-04-07,82.08,106039.43,4994.99,104482.01,104482.01,2017.98,[]
MA,LONG,2010-10-14,22.84,4346,104482.01,104482.01,104393.15,5225.37,2010-10-28,23.86,109976.83,5225.37,108919.65,108919.65,4437.64,[]
MA,LONG,2011-02-04,24.36,4247,108919.65,108919.65,108510.61,5462.06,2011-02-10,24.29,109035.77,5462.06,108606.48,108606.48,-313.17,[]
AMZN,LONG,2011-06-28,202.78,508,108606.48,108606.48,108388.04,5594.24,2011-07-08,214.30,115698.16,5594.24,114458.64,114458.64,5852.16,[]
MA,LONG,2011-12-02,37.77,2879,114458.64,114458.64,112801.41,5730.36,2011-12-05,37.37,112801.41,5730.36,113306.37,113306.37,-1152.26,[]
NFLX,LONG,2012-01-05,81.17,1326,113306.37,113306.37,110826.75,5674.95,2012-01-11,94.99,132745.53,5674.95,131631.69,131631.69,18325.32,[]
URI,LONG,2012-01-19,35.23,3549,131631.69,131631.69,129715.23,6600.42,2012-01-25,33.70,127159.95,6600.42,126201.72,126201.72,-5429.97,[]
NFLX,LONG,2012-03-22,121.09,990,126201.72,126201.72,123865.32,6322.62,2012-03-23,117.37,123865.32,6322.62,122515.62,122515.62,-3686.10,[]
UNH,LONG,2012-03-30,56.02,2077,122515.62,122515.62,122474.72,6164.66,2012-04-03,55.94,122829.93,6164.66,122356.56,122356.56,-159.06,[]
AMZN,LONG,2012-08-27,247.07,470,122356.56,122356.56,120876.06,6233.66,2012-08-28,243.03,120876.06,6233.66,120459.33,120459.33,-1897.23,[]
AMZN,LONG,2012-09-10,259.62,440,120459.33,120459.33,119346.13,6226.53,2012-09-11,256.46,119346.13,6226.53,119071.13,119071.13,-1388.20,[]
NFLX,LONG,2012-12-13,92.14,1227,119071.13,119071.13,119586.78,6015.66,2012-12-18,94.64,122212.56,6015.66,122138.63,122138.63,3067.50,[]
AMZN,LONG,2013-07-09,291.87,397,122138.63,122138.63,122003.65,6266.24,2013-07-16,305.94,127897.03,328.36,127638.17,121788.52,5587.77,['FDX']
FDX,LONG,2013-07-10,104.17,57,122003.65,6266.24,122204.19,328.36,2013-07-19,106.68,127929.21,121788.52,127869.40,127869.40,143.00,[]
FDX,LONG,2013-10-16,120.76,1005,127869.40,127869.40,129495.28,6507.45,2013-10-28,130.48,138275.85,6507.45,137637.26,137637.26,9767.86,[]
AAPL,LONG,2013-11-27,75.04,1742,137637.26,137637.26,138914.60,6911.46,2013-12-02,77.45,141359.01,6911.46,141825.65,141825.65,4188.39,[]
CVS,LONG,2013-12-19,68.87,1956,141825.65,141825.65,141364.03,7109.90,2013-12-31,69.86,144120.32,7109.90,143719.56,137027.76,1927.54,['VRX']
VRX,LONG,2013-12-31,117.99,57,144120.32,7109.90,144067.55,384.47,2014-01-02,116.90,143719.56,137027.76,143691.06,143691.06,-62.13,[]
