Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
ODFL,LONG,2008-03-25,14.69,6465,100000.00,100000.00,99569.00,5007.60,2008-03-26,14.24,99569.00,5007.60,97069.20,97069.20,-2930.80,[]
GD,LONG,2008-07-24,76.01,1213,97069.20,97069.20,94445.46,4868.06,2008-07-31,75.91,97470.48,4868.06,96945.73,96945.73,-123.47,[]
FDX,LONG,2008-08-11,85.34,1079,96945.73,96945.73,96115.91,4867.03,2008-08-12,83.60,96115.91,4867.03,95068.27,95068.27,-1877.46,[]
AAPL,SHORT,2008-09-05,21.45,1,95068.27,95068.27,95068.05,95068.05,2008-09-08,22.26,95068.05,95068.05,95067.46,95067.46,-0.81,[]
IWM,SHORT,2008-09-16,63.30,1,95067.46,95067.46,95064.47,95064.47,2008-09-18,65.83,95067.46,95067.46,95064.93,95064.93,-2.53,[]
XLF,SHORT,2008-10-08,14.15,1,95064.96,95064.96,95059.06,95059.06,2008-10-09,14.91,95065.49,95065.49,95072.89,95072.89,-0.76,['ALL', 'GILD', 'AMZN']
AMZN,SHORT,2008-10-08,55.64,1,95064.96,95064.96,95059.10,95059.10,2008-10-09,61.97,95065.49,95065.49,95066.92,95066.92,-6.33,['ALL', 'GILD']
ALL,SHORT,2008-10-08,31.67,1,95064.96,95064.96,95065.49,95065.49,2008-10-13,24.29,95069.91,95069.91,95063.21,95063.21,7.38,['GILD']
GILD,SHORT,2008-10-07,40.11,1,95064.93,95064.93,95064.96,95064.96,2008-10-14,42.61,95063.21,95063.21,95062.72,95062.72,-2.50,[]
ALL,SHORT,2008-11-20,16.36,1,95062.72,95062.72,95063.83,95063.83,2008-11-24,19.41,95060.95,95060.95,95059.66,95059.66,-3.05,[]
GD,LONG,2009-01-05,51.23,1762,95059.66,95059.66,94563.81,4799.75,2009-01-07,50.21,96802.65,4799.75,93271.59,93271.59,-1788.07,[]
UNP,SHORT,2009-02-20,17.21,1,93271.59,93271.59,93271.02,93271.02,2009-02-23,17.92,93271.02,93271.02,93270.88,93270.88,-0.71,[]
GILD,SHORT,2009-02-27,45.42,1,93270.88,93270.88,93272.07,93272.07,2009-03-03,44.21,93272.59,93272.59,93272.10,93272.10,1.21,[]
NFLX,LONG,2009-03-18,40.99,2161,93272.10,93272.10,94633.53,4692.71,2009-03-20,41.01,94395.82,4692.71,93315.32,93315.32,43.22,[]
NFLX,LONG,2009-04-13,47.19,1878,93315.32,93315.32,97503.26,4692.50,2009-04-15,47.30,94460.90,4692.50,93521.90,93521.90,206.58,[]
AAPL,LONG,2009-05-05,17.92,124,96415.42,4691.81,94460.28,2470.04,2009-05-07,17.52,95808.14,269.87,92171.12,2442.44,-49.20,['FDX', 'CP']
FDX,LONG,2009-05-05,57.90,38,96415.42,4691.81,94493.73,269.87,2009-05-07,58.71,95808.14,269.87,92221.48,4673.48,30.88,['CP']
CP,LONG,2009-05-04,35.26,2519,93521.90,93521.90,96415.42,4691.81,2009-05-07,35.57,95808.14,269.87,94273.17,94273.17,769.60,[]
GD,LONG,2009-09-09,55.28,1620,94273.17,94273.17,92536.26,4716.77,2009-09-16,54.59,93863.65,4716.77,93157.60,93157.60,-1115.57,[]
WHR,LONG,2009-09-17,64.59,685,93157.60,93157.60,92538.05,48910.54,2009-09-24,61.55,91999.68,4684.13,91283.48,46846.76,-2084.43,['AAPL']
AAPL,LONG,2009-09-17,24.75,1787,93157.60,93157.60,92924.83,4684.13,2009-09-24,25.01,91999.68,4684.13,91544.56,91544.56,471.39,[]
FDX,LONG,2009-10-15,78.26,1111,91544.56,91544.56,91889.76,4596.91,2009-10-22,76.81,90476.59,4596.91,89937.21,89937.21,-1607.34,[]
AAPL,LONG,2009-12-28,28.64,3014,89937.21,89937.21,89892.36,3613.56,2009-12-30,28.20,88868.97,3613.56,88614.15,88614.15,-1323.07,[]
UNP,LONG,2010-01-11,31.12,2705,88614.15,88614.15,87439.86,4437.20,2010-01-14,30.19,87292.50,4437.20,86096.94,86096.94,-2517.21,[]
MA,LONG,2010-03-08,23.62,3463,86096.94,86096.94,88008.80,4305.96,2010-03-17,24.48,89279.97,4305.96,89066.97,89066.97,2970.03,[]
NFLX,LONG,2010-04-06,80.42,1054,89066.97,89066.97,92176.27,4304.29,2010-04-07,82.08,92176.27,4304.29,90816.61,90816.61,1749.64,[]
AMZN,SHORT,2010-05-05,128.00,1,90816.61,90816.61,90813.68,90813.68,2010-05-06,130.50,90813.68,90813.68,90814.11,90814.11,-2.50,[]
GD,SHORT,2010-05-21,57.95,1,90814.11,90814.11,90812.29,90812.29,2010-05-27,59.56,90813.24,90813.24,90812.51,90812.51,-1.60,[]
CF,SHORT,2010-06-07,57.58,1,90812.51,90812.51,90813.70,90813.70,2010-06-10,60.18,90813.85,90813.85,90809.91,90809.91,-2.60,[]
CF,LONG,2010-08-06,82.71,1043,90809.91,90809.91,88402.87,4544.57,2010-08-09,78.57,88402.87,4544.57,86493.16,86493.16,-4316.75,[]
MA,LONG,2010-10-14,22.84,3596,86455.49,86455.49,86829.00,4329.01,2010-10-28,23.86,91436.42,4291.24,90089.68,90089.68,3671.83,['GOOGL']
MA,LONG,2011-01-18,23.40,3657,90086.88,90086.88,90266.79,4519.48,2011-01-20,23.06,89451.62,4523.42,88869.54,88869.54,-1216.04,['GOOGL']
MA,LONG,2011-02-04,24.36,3466,88877.85,88877.85,89000.57,4445.13,2011-02-10,24.42,89428.73,4442.37,89076.50,89076.50,201.80,['GOOGL']
FDX,SHORT,2011-06-07,85.61,1,89121.38,89121.38,89124.08,89124.08,2011-06-08,84.92,89124.08,89124.08,89123.95,89123.95,0.69,['GOOGL']
AMZN,LONG,2011-06-28,202.78,417,89160.32,89160.32,88970.16,4590.21,2011-07-08,214.30,94917.84,4537.26,93914.97,93914.97,4803.84,['GOOGL']
WHR,SHORT,2011-08-09,53.88,1,93900.94,93900.94,93872.28,93872.28,2011-08-11,56.79,93898.78,93898.78,93880.55,93880.55,-2.91,['ALL', 'GOOGL']
ALL,SHORT,2011-08-09,22.32,1,93900.94,93900.94,93870.83,93870.83,2011-08-22,23.03,93952.96,93952.96,93945.17,93945.17,-0.71,['GOOGL']
VRX,SHORT,2011-09-22,35.85,1,93904.14,93904.14,93922.08,93922.08,2011-09-23,36.63,93921.35,93921.35,93916.01,93916.01,-0.78,['UNP', 'GOOGL']
UNP,SHORT,2011-09-22,37.88,1,93904.14,93904.14,93921.35,93921.35,2011-09-27,39.99,93909.34,93909.34,93901.12,93901.12,-2.10,['GOOGL']
VRX,SHORT,2011-10-04,33.20,1,93944.94,93944.94,93937.91,93937.91,2011-10-06,35.58,93933.88,93933.88,93923.37,93923.37,-2.38,['GOOGL']
MA,LONG,2011-12-02,37.92,2360,93824.31,93824.31,92576.98,4330.83,2011-12-05,37.37,92576.98,4330.83,92508.72,92508.72,-1303.71,['GOOGL']
AAPL,LONG,2011-12-28,55.19,1591,92494.12,92494.12,91338.91,4680.28,2011-12-29,54.57,91338.91,4680.28,91499.78,91499.78,-992.19,['GOOGL']
NFLX,LONG,2012-01-05,81.17,1070,91473.90,91473.90,89482.27,4631.27,2012-01-11,94.99,107205.24,4667.14,106303.62,106303.62,14787.40,['GOOGL']
FDX,LONG,2012-01-11,87.70,50,107205.24,4667.14,106333.37,101918.75,2012-01-13,88.12,106400.02,101915.07,106325.49,106325.49,20.90,['GOOGL']
URI,LONG,2012-01-19,35.23,2866,106317.57,106317.57,104763.27,5341.73,2012-01-25,33.70,102758.39,5400.37,101996.01,101996.01,-4384.98,['GOOGL']
NFLX,LONG,2012-03-22,121.09,799,101925.52,101925.52,100033.81,5168.54,2012-03-23,117.37,100033.81,5168.54,98947.97,98947.97,-2974.94,['GOOGL']
UNH,LONG,2012-03-30,56.02,1677,98942.15,98942.15,99624.77,5005.86,2012-04-09,55.83,99746.07,5014.78,98638.65,98638.65,-321.06,['GOOGL']
CP,SHORT,2012-06-04,68.37,1,98698.51,98698.51,98691.16,98691.16,2012-06-05,68.01,98691.03,98691.03,98698.40,98698.40,0.36,['GOOGL', 'IWM']
IWM,SHORT,2012-06-04,70.35,1,98698.51,98698.51,98691.03,98691.03,2012-06-05,70.11,98691.03,98691.03,98699.68,98699.68,0.24,['GOOGL']
CF,LONG,2012-06-20,174.94,535,98688.56,98688.56,97839.91,5100.04,2012-06-21,172.10,97839.91,5100.04,97187.29,97187.29,-1517.59,['GOOGL']
AMZN,LONG,2012-08-27,247.07,373,97073.87,97073.87,95908.33,4926.17,2012-08-28,243.03,95908.33,4926.17,95569.58,95569.58,-1505.68,['GOOGL']
AMZN,LONG,2012-09-10,259.62,17,96234.72,4771.28,96467.59,363.12,2012-09-11,256.46,96467.59,363.12,97593.63,4731.60,-53.64,['MA', 'GOOGL']
MA,LONG,2012-09-07,42.86,2118,95547.43,95547.43,96234.72,4771.28,2012-09-17,44.90,99947.65,4714.11,99816.30,99816.30,4333.09,['GOOGL']
UNP,SHORT,2012-11-15,55.98,1,99873.73,99873.73,99878.53,99878.53,2012-11-16,56.71,99878.53,99878.53,99878.37,99878.37,-0.73,['GOOGL']
NFLX,LONG,2012-12-13,92.14,1029,99827.99,99827.99,100255.29,5011.05,2012-12-18,94.64,102439.27,4992.97,102376.98,102376.98,2572.50,['GOOGL']
V,LONG,2013-01-03,154.73,316,102374.80,102374.80,101873.33,53480.12,2013-01-10,158.46,103908.53,4856.33,103739.81,54926.72,1179.49,['GOOGL', 'IWM']
IWM,LONG,2013-01-03,84.83,573,102374.80,102374.80,101591.57,4870.78,2013-01-30,87.12,105167.39,54914.52,104835.06,104835.06,1311.35,['GOOGL']
GOOGL,SHORT,2011-05-17,257.71,1,89125.51,89125.51,89111.98,89111.98,2013-05-15,456.69,104701.79,104701.79,104674.26,104674.26,-222.70,['GOOGL']
CP,SHORT,2013-06-06,119.12,1,104702.35,104702.35,104695.20,104695.20,2013-06-07,124.31,104695.20,104695.20,104687.16,104687.16,-5.18,['GOOGL']
AMZN,LONG,2013-07-09,291.87,340,104674.48,104674.48,104558.80,5438.60,2013-07-16,305.94,109601.88,324.38,109382.68,104348.22,4785.50,['GOOGL', 'FDX']
FDX,LONG,2013-07-10,104.17,49,104558.80,5438.60,104735.58,333.73,2013-07-19,106.68,109637.63,104352.69,109587.15,109587.15,122.93,['GOOGL']
MA,LONG,2013-09-10,63.97,1634,109591.43,109591.43,110811.67,5067.90,2013-09-20,68.12,116596.68,311.70,116414.22,111611.36,6778.80,['GOOGL', 'VRX']
VRX,LONG,2013-09-18,103.29,46,115304.02,5069.18,116649.00,309.24,2013-09-20,105.79,116596.68,311.70,116477.70,116477.70,115.00,['GOOGL']
VRX,LONG,2013-10-02,108.37,1021,116485.75,116485.75,117945.29,5839.49,2013-10-04,110.87,119584.84,5845.44,119045.58,119045.58,2552.50,['GOOGL']
V,SHORT,2013-10-09,180.59,1,119054.92,119054.92,119052.30,119052.30,2013-10-10,184.19,119052.30,119052.30,119044.04,119044.04,-3.60,['GOOGL']
FDX,LONG,2013-10-16,120.76,936,119037.15,119037.15,120675.88,5999.50,2013-10-28,130.63,128794.15,5930.58,128198.72,128198.72,9238.49,[]
AAPL,LONG,2013-11-27,75.04,1622,128198.72,128198.72,130381.94,6478.13,2013-12-02,77.77,132676.37,6478.13,132617.24,132617.24,4418.52,[]
CVS,LONG,2013-12-19,68.87,1829,132617.24,132617.24,133034.21,6648.37,2014-01-02,70.04,135579.67,394.90,134690.52,128490.58,2126.82,['VRX']
VRX,LONG,2013-12-31,117.99,53,135628.96,6648.37,135579.67,394.90,2014-01-02,116.90,135579.67,394.90,134686.28,134686.28,-57.77,[]
GD,LONG,2014-01-23,99.19,1289,134686.28,134686.28,135637.77,6824.49,2014-02-03,97.14,135333.33,6824.49,132035.31,132035.31,-2650.98,[]
NXPI,LONG,2014-04-02,61.99,2040,132035.31,132035.31,130709.31,5575.71,2014-04-04,57.99,131872.11,5575.71,123875.31,123875.31,-8160.00,[]
GILD,SHORT,2014-04-11,64.19,1,123875.31,123875.31,123873.47,123873.47,2014-04-14,68.14,123873.47,123873.47,123871.36,123871.36,-3.95,[]
V,LONG,2014-07-15,221.05,532,123871.36,123871.36,123810.41,6270.17,2014-07-17,221.10,124282.10,6270.17,123895.21,123895.21,23.85,[]
URI,SHORT,2014-10-02,103.23,1,123895.21,123895.21,123892.99,123892.99,2014-10-03,106.13,123892.99,123892.99,123892.31,123892.31,-2.90,[]
V,SHORT,2014-10-13,204.11,1,123915.45,123915.45,123932.70,123932.70,2014-10-14,204.02,123932.70,123932.70,123927.18,123927.18,0.09,['GOOGL', 'FLT']
FLT,SHORT,2014-10-08,134.46,1,123892.31,123892.31,123879.73,123879.73,2014-10-15,125.39,123927.18,123927.18,123934.64,123934.64,9.07,['GOOGL']
GOOGL,SHORT,2014-10-08,573.90,1,123892.31,123892.31,123882.47,123882.47,2014-10-16,527.00,123934.64,123934.64,123948.37,123948.37,46.90,[]
