,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
RUN PERIOD 2007/01/01 to 2014/12/31,,,,,,,,
,,,,,,,,
SP-500 -  BB2-0 NOV2 version,Total trades,Winning trades,Winning %,Absolute Portfolio,Strategy Return,Market Return,Sliding window winning %,strategy vs market winning ratio
RANK-5,157,74,47.1337579618,141848.17,41.84,45.39,66.2709,46.511
