Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
12/21/2008--12/16/2009,3,3,69687.83,70796.91,70796.91,100,3,3,100,0,0,
09/22/2008--09/17/2009,3,3,60490.71,61599.79,61599.79,100,3,3,100,0,0,
08/23/2008--08/18/2009,3,3,46225.36,47334.44,47334.44,100,3,3,100,0,0,
06/24/2008--06/19/2009,4,4,29944.35,31069.8,31069.8,100,4,4,100,0,0,
06/30/2007--06/24/2008,3,3,25990.77,25873.02,26008.89,100,3,3,100,0,0,
02/14/2010--02/09/2011,6,5,25287.38,24336.01,25304.17,83.3333333333,4,4,100,2,1,50
05/01/2007--04/25/2008,3,3,25214.05,25060.66,25214.05,100,3,3,100,0,0,
03/16/2010--03/11/2011,7,5,22682.7,21731.33,22699.49,71.4285714286,4,4,100,3,1,33.3333333333
05/25/2008--05/20/2009,4,4,22615.47,23740.92,23740.92,100,4,4,100,0,0,
07/30/2007--07/24/2008,3,3,21862.45,21744.7,21880.57,100,3,3,100,0,0,
11/16/2009--11/11/2010,7,6,14917.93,14672.73,15695.36,85.7142857143,4,4,100,3,2,66.6666666667
01/10/2011--01/05/2012,12,7,12408.32,11376.11,13275.35,58.3333333333,8,6,75,4,1,25
01/29/2013--01/24/2014,10,7,10646,15214.76,15847.51,70,6,4,66.6666666667,4,3,75
10/17/2009--10/12/2010,7,6,9844.13,9598.93,10621.56,85.7142857143,4,4,100,3,2,66.6666666667
04/01/2007--03/26/2008,1,1,9198.28,9198.28,9198.28,100,1,1,100,0,0,
12/11/2010--12/06/2011,10,5,7695.12,6412.02,8011.46,50,6,4,66.6666666667,4,1,25
09/12/2010--09/07/2011,9,4,5955.02,4355.58,5955.02,44.4444444444,5,3,60,4,1,25
12/06/2011--11/30/2012,9,8,5271.64,14062.13,15970.95,88.8888888889,8,7,87.5,1,1,100
10/07/2011--10/01/2012,8,7,5123.38,13837.07,15679.35,87.5,7,6,85.7142857143,1,1,100
