UNP,LONG,2010-06-16,34.54,541,No-Exit,0,0,2010-06-21,35.46,495.49,2010-06-22,35.05,275.91,495.49,[],,,,,
CP,LONG,2010-07-23,55.51,551,No-Exit,0,0,No-Exit,0,0,2010-07-27,56.22,390.4,390.4,['UNP', 'IWM'],,,,
IWM,LONG,2010-07-26,61.79,307,No-Exit,0,0,No-Exit,0,0,2010-07-29,61.03,-233.32,-233.32,['UNP'],,,,,
UNP,LONG,2010-07-26,34.17,333,No-Exit,0,0,No-Exit,0,0,2010-07-30,33.59,-194.72,-194.72,[],,,,,
AMZN,LONG,2010-09-02,132.17,233,No-Exit,0,0,2010-09-02,134.17,466,2010-09-20,147.82,3646.45,466,['MA', 'GOOGL'],,,,
GOOGL,LONG,2010-09-20,246.25,75,No-Exit,0,0,2010-09-20,247.25,75,2010-09-28,264.11,1339.5,75,['MA'],,,,,
MA,LONG,2010-09-20,21.11,526,No-Exit,0,0,2010-09-20,21.31,103.67,2010-10-01,21.99,462.88,103.67,[],,,,,
WHR,LONG,2010-10-19,79.12,253,No-Exit,0,0,No-Exit,0,0,2010-10-20,76.06,-774.18,-774.18,['GOOGL'],,,,,
GOOGL,LONG,2010-10-18,300.92,107,No-Exit,0,0,2010-10-18,301.92,107,2010-10-22,305.44,483.64,107,[],,,,,
AMZN,LONG,2010-11-26,178.09,180,No-Exit,0,0,2010-11-29,180.09,360,2010-12-02,176.05,-367.2,360,[],,,,,
AAPL,LONG,2011-01-04,44.97,729,No-Exit,0,0,2011-01-06,45.24,197.23,2011-01-14,46.61,1194.42,197.23,['FDX'],,,,,
FDX,LONG,2011-01-11,92.66,212,No-Exit,0,0,2011-01-14,94.62,414.49,2011-01-20,91.44,-259.06,414.49,[],,,,,
WHR,LONG,2011-01-28,83.4,388,No-Exit,0,0,No-Exit,0,0,2011-01-31,80.47,-1136.84,-1136.84,[],,,,,
FDX,LONG,2011-02-16,94.35,208,No-Exit,0,0,2011-02-18,96.31,406.67,2011-02-22,92.29,-428.48,406.67,['V'],,,,,
V,LONG,2011-02-08,71.7,450,No-Exit,0,0,2011-02-14,73.64,872.38,2011-02-22,72.21,227.77,872.38,[],,,,,
AMZN,LONG,2011-03-30,177.78,179,No-Exit,0,0,2011-03-30,179.78,358,2011-04-11,184.21,1150.97,358,['V'],,,,,
V,LONG,2011-04-05,73.28,265,No-Exit,0,0,2011-04-08,75.22,514.79,2011-04-14,74.85,416.05,514.79,[],,,,,
WHR,LONG,2011-07-01,74.97,71,No-Exit,0,0,No-Exit,0,0,2011-07-08,74.89,-5.23,-5.23,['UNP', 'GOOGL', 'AMZN', 'CP', 'IWM'],
UNP,LONG,2011-06-30,48.18,259,No-Exit,0,0,2011-06-30,49.11,241.36,2011-07-08,49.04,221.5,241.36,['GOOGL', 'AMZN', 'CP', 'IWM'],,
CP,LONG,2011-06-30,59.6,126,No-Exit,0,0,No-Exit,0,0,2011-07-11,59.06,-67.79,-67.79,['GOOGL', 'AMZN', 'IWM'],,,
IWM,LONG,2011-06-30,77.88,200,No-Exit,0,0,2011-07-06,79.77,377.23,2011-07-12,78.4,103.27,377.23,['GOOGL', 'AMZN'],,,,
AMZN,LONG,2011-06-28,201.92,154,No-Exit,0,0,2011-06-29,203.92,308,2011-07-12,211.93,1541.54,308,['GOOGL'],,,,,
GOOGL,LONG,2011-07-06,267.06,12,No-Exit,0,0,2011-07-06,268.06,12,2011-07-14,269.56,30,12,[],,,,,
AMZN,LONG,2011-09-01,216.34,60,No-Exit,0,0,No-Exit,0,0,2011-09-02,208.94,-444,-444,['AGN', 'UNH'],,,,
UNH,LONG,2011-08-31,45.54,728,No-Exit,0,0,No-Exit,0,0,2011-09-02,43.41,-1554.18,-1554.18,['AGN'],,,,,
AGN,LONG,2011-08-31,67.96,293,No-Exit,0,0,No-Exit,0,0,2011-09-06,64.59,-987.41,-987.41,[],,,,,
MA,LONG,2011-09-08,34.05,941,No-Exit,0,0,No-Exit,0,0,2011-09-09,33.21,-793.98,-793.98,[],,,,,
MA,LONG,2011-09-15,34.01,933,No-Exit,0,0,2011-09-15,34.21,184.31,2011-09-19,33.74,-255.03,184.31,['NFLX'],,,,,
WHR,LONG,2011-10-07,52.14,579,2011-10-07,49.75,-1383.81,No-Exit,0,0,2011-10-18,49.9,-1299.14,-1383.81,[],,,,,
MA,LONG,2011-10-28,34.58,859,No-Exit,0,0,2011-10-28,34.78,169.78,2011-11-01,33.28,-1118.87,169.78,[],,,,,
GOOGL,LONG,2011-11-14,306.3,95,No-Exit,0,0,2011-11-14,307.3,95,2011-11-17,305.02,-121.13,95,[],,,,,
V,LONG,2011-12-01,95.01,304,No-Exit,0,0,No-Exit,0,0,2011-12-06,93.57,-437.76,-437.76,[],,,,,
WHR,LONG,2012-01-10,48.62,367,No-Exit,0,0,No-Exit,0,0,2012-01-17,47.48,-418.38,-418.38,['NFLX'],,,,,
NFLX,LONG,2012-01-05,81.17,354,No-Exit,0,0,2012-01-06,83.17,708,2012-01-18,93.18,4251.54,708,[],,,,,
V,LONG,2012-02-03,104.35,107,No-Exit,0,0,No-Exit,0,0,2012-02-08,105.31,102.46,102.46,['MA', 'WHR'],,,,
WHR,LONG,2012-02-02,59.72,506,No-Exit,0,0,2012-02-03,61.6,949.56,2012-02-10,64.61,2475.06,949.56,['MA'],,,,,
MA,LONG,2012-02-03,38.02,493,No-Exit,0,0,2012-02-03,38.22,97.48,2012-02-10,38.95,459.78,97.48,[],,,,,
GD,LONG,2012-02-27,67.73,463,No-Exit,0,0,No-Exit,0,0,2012-03-01,67.52,-97.23,-97.23,[],,,,,
NFLX,LONG,2012-03-22,121.09,258,No-Exit,0,0,2012-03-22,123.09,516,2012-03-23,117.37,-959.76,516,[],,,,,
MA,LONG,2012-04-03,43.01,720,No-Exit,0,0,2012-04-03,43.21,142.36,2012-04-04,42.62,-280.8,142.36,['URI'],,,,,
URI,LONG,2012-04-03,44.61,416,No-Exit,0,0,No-Exit,0,0,2012-04-04,43.36,-520,-520,[],,,,,
CF,LONG,2012-06-20,174.94,184,No-Exit,0,0,No-Exit,0,0,2012-06-21,172.86,-382.72,-382.72,[],,,,,
GOOGL,LONG,2012-07-20,304.38,108,No-Exit,0,0,2012-07-20,305.38,108,2012-07-25,303.47,-98.28,108,['MA'],,,,,
VIAB,LONG,2012-08-07,47.08,698,No-Exit,0,0,2012-08-17,49,1337.74,2012-08-21,48.43,942.3,1337.74,[],,,,,
MA,LONG,2012-09-07,42.86,747,No-Exit,0,0,2012-09-07,43.05,147.91,2012-09-20,44.31,1082.67,147.91,['V'],,,,,
V,LONG,2012-09-12,129.35,162,No-Exit,0,0,2012-09-13,131.31,318.34,2012-09-24,131.77,391.56,318.34,[],,,,,
VRX,LONG,2012-12-05,56.8,387,No-Exit,0,0,No-Exit,0,0,2012-12-10,57.49,267.03,267.03,['GOOGL', 'CP'],,,,
