Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
EBAY,LONG,2013-11-07,53.81,1765,No-Exit,0.0,0.0,2013-11-20,50.57,-5718.60,-5718.60,BB 20 SMA Xover Mtm,['DVN', 'CELG']
CELG,LONG,2013-11-19,77.25,61,No-Exit,0.0,0.0,2013-11-27,81.16,238.51,238.51,BB 20 SMA Xover Mtm,['DVN', 'REGN']
REGN,LONG,2013-11-25,296.96,286,No-Exit,0.0,0.0,2013-12-11,273.24,-6783.92,-6783.92,BB 20 SMA Xover Mtm,['DVN', 'CPB']
DVN,LONG,2013-11-20,65.06,4,No-Exit,0.0,0.0,2013-12-13,59.19,-23.48,-23.48,BB 20 SMA Xover Mtm,['CPB']
DTV,SHORT,2013-12-17,65.09,1151,No-Exit,0.0,0.0,2013-12-30,68.05,-3406.96,-3406.96,BB 20 SMA Xover Mtm,['EOG', 'CPB', 'ACN']
ACN,LONG,2013-12-20,80.31,425,No-Exit,0.0,0.0,2013-12-31,81.63,561.00,561.00,BB 20 SMA Xover Mtm,['EOG', 'CPB']
FSLR,LONG,2014-01-03,58.01,781,No-Exit,0.0,0.0,2014-01-06,54.09,-3061.52,-3061.52,BB 20 SMA Xover Mtm,['EOG', 'CPB']
EOG,LONG,2013-12-20,83.49,339,No-Exit,0.0,0.0,2014-01-14,82.03,-494.94,-494.94,BB 20 SMA Xover Mtm,['CPB']
GOOGL,SHORT,2014-01-27,556.30,89,No-Exit,0.0,0.0,2014-01-30,572.50,-1441.80,-1441.80,BB 20 SMA Xover Mtm,['LYB', 'CPB', 'CELG']
CPB,LONG,2013-12-09,42.85,206,No-Exit,0.0,0.0,2014-02-05,39.62,-665.38,-665.38,BB 20 SMA Xover Mtm,['LYB', 'CELG']
CELG,SHORT,2014-01-14,81.63,519,No-Exit,0.0,0.0,2014-02-07,76.21,2812.98,2812.98,BB 20 SMA Xover Mtm,['LYB', 'GILD']
LYB,SHORT,2014-01-24,76.98,843,No-Exit,0.0,0.0,2014-02-11,82.01,-4240.29,-4240.29,BB 20 SMA Xover Mtm,['GILD', 'AAPL']
GILD,SHORT,2014-02-06,77.37,917,No-Exit,0.0,0.0,2014-02-12,82.84,-5015.99,-5015.99,BB 20 SMA Xover Mtm,['AAPL']
AAPL,LONG,2014-02-11,76.33,822,No-Exit,0.0,0.0,2014-02-19,76.72,320.58,320.58,BB 20 SMA Xover Mtm,['UNH']
UNH,LONG,2014-02-18,74.26,128,No-Exit,0.0,0.0,2014-03-07,77.21,377.60,377.60,BB 20 SMA Xover Mtm,['CF']
CF,LONG,2014-02-20,240.00,251,No-Exit,0.0,0.0,2014-03-10,259.40,4869.40,4869.40,BB 20 SMA Xover Mtm,[]
PCLN,SHORT,2014-03-14,1286.73,57,No-Exit,0.0,0.0,2014-03-31,1205.46,4632.39,4632.39,BB 20 SMA Xover Mtm,['FOSL', 'CMG', 'AMZN', 'AMGN']
