Period,# of trades,winning trades,Simulated PorL,PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
05/21/2007--05/15/2008,2,2,517.31,9143.69,100,2,2,100,0,0,
08/19/2007--08/13/2008,2,2,516.47,4338.96,100,2,2,100,0,0,
06/20/2007--06/14/2008,1,1,216.91,2801.86,100,1,1,100,0,0,
07/20/2007--07/14/2008,1,1,216.91,2801.86,100,1,1,100,0,0,
10/18/2007--10/12/2008,1,1,216.07,2791.05,100,1,1,100,0,0,
01/16/2008--01/10/2009,1,1,214.81,2774.76,100,1,1,100,0,0,
02/15/2008--02/09/2009,1,1,213.7,2760.4,100,1,1,100,0,0,
06/18/2013--06/13/2014,1,1,198.65,611.07,100,1,1,100,0,0,
07/18/2013--07/13/2014,1,1,198.65,611.07,100,1,1,100,0,0,
09/18/2007--09/12/2008,2,2,516.47,-158.61,100,2,2,100,0,0,
04/21/2007--04/15/2008,2,2,513.41,-800.63,100,2,2,100,0,0,
11/15/2013--11/10/2014,1,1,187.15,-1229.28,100,0,0,1,1,100,
12/15/2013--12/10/2014,1,1,187.15,-1229.28,100,0,0,1,1,100,
01/14/2014--12/31/2014,1,1,187.15,-1229.28,100,0,0,1,1,100,
02/13/2014--12/31/2014,1,1,187.15,-1229.28,100,0,0,1,1,100,
03/15/2014--12/31/2014,1,1,187.15,-1229.28,100,0,0,1,1,100,
04/14/2014--12/31/2014,1,1,187.15,-1229.28,100,0,0,1,1,100,
05/14/2014--12/31/2014,1,1,187.15,-1229.28,100,0,0,1,1,100,
06/13/2014--12/31/2014,1,1,187.15,-1229.28,100,0,0,1,1,100,
07/13/2014--12/31/2014,1,1,187.15,-1229.28,100,0,0,1,1,100,
08/12/2014--12/31/2014,1,1,187.15,-1229.28,100,0,0,1,1,100,
09/11/2014--12/31/2014,1,1,187.15,-1229.28,100,0,0,1,1,100,
10/11/2014--12/31/2014,0,0,0,-1229.28,0,0,0,0,,,
11/17/2007--11/11/2008,2,2,515.21,-7830.66,100,2,2,100,0,0,
12/17/2007--12/11/2008,2,2,515.21,-8115.42,100,2,2,100,0,0,
03/16/2008--03/11/2009,1,1,376.69,-13187.47,100,1,1,100,0,0,
