Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos
FSLR,SHORT,2009-01-14,137.01,680,No-Exit,0.0,0.0,2009-01-15,143.38,-4332.28,-4332.28,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2009-03-13,129.40,711,No-Exit,0.0,0.0,2009-03-17,118.29,-7902.62,-7902.62,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2009-09-09,136.60,614,No-Exit,0.0,0.0,2009-09-14,131.78,-2959.48,-2959.48,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2010-02-17,123.47,657,No-Exit,0.0,0.0,2010-02-19,116.68,-4461.03,-4461.03,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2010-03-12,114.83,664,No-Exit,0.0,0.0,2010-04-12,123.94,6051.10,6051.10,BB 20 SMA Xover Mtm,[]
FSLR,SHORT,2010-05-07,121.02,678,No-Exit,0.0,0.0,2010-05-21,111.10,6724.13,6724.13,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2010-06-16,118.44,746,No-Exit,0.0,0.0,2010-06-21,122.22,2814.51,2814.51,BB 20 SMA Xover Mtm,[]
FSLR,SHORT,2010-07-01,112.69,808,2010-07-01,117.36,-3775.38,2010-07-02,118.46,-4660.79,-3775.38,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2011-06-29,125.86,688,No-Exit,0.0,0.0,2011-07-07,130.71,3338.86,3338.86,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2011-12-01,48.34,1859,No-Exit,0.0,0.0,2011-12-13,43.37,-9233.10,-9233.10,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2012-01-10,37.60,2179,No-Exit,0.0,0.0,2012-01-17,41.17,7787.96,7787.96,BB 20 SMA Xover Mtm,[]
FSLR,SHORT,2013-06-12,49.56,1709,No-Exit,0.0,0.0,2013-06-17,46.31,5556.81,5556.81,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2013-07-08,46.86,2001,No-Exit,0.0,0.0,2013-07-10,44.51,-4701.35,-4701.35,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2013-07-12,46.93,1903,No-Exit,0.0,0.0,2013-07-17,48.41,2802.36,2802.36,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2014-01-03,58.01,1585,No-Exit,0.0,0.0,2014-01-06,54.09,-6214.47,-6214.47,BB 20 SMA Xover Mtm,[]
FSLR,SHORT,2014-04-14,66.91,1286,No-Exit,0.0,0.0,2014-05-12,64.74,2790.36,2790.36,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2014-07-29,66.20,1340,No-Exit,0.0,0.0,2014-08-01,62.49,-4971.40,-4971.40,BB 20 SMA Xover Mtm,[]
FSLR,SHORT,2014-09-16,69.22,1213,No-Exit,0.0,0.0,2014-10-16,52.52,20252.07,20252.07,BB 20 SMA Xover Mtm,[]
FSLR,LONG,2014-10-29,57.95,1781,No-Exit,0.0,0.0,2014-11-07,52.72,-9321.40,-9321.40,BB 20 SMA Xover Mtm,[]
