Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,6.0,6.0,465.06,-7.759999999999991,1991.3600000000001,100.0,4.0,4.0,100.0,2.0,2.0,100.0
01/31/2007--01/26/2008,6.0,6.0,465.06,-7.759999999999991,1991.3600000000001,100.0,4.0,4.0,100.0,2.0,2.0,100.0
03/02/2007--02/25/2008,9.0,9.0,686.5900000000001,85.15000000000009,3581.8700000000003,100.0,4.0,4.0,100.0,5.0,5.0,100.0
04/01/2007--03/26/2008,13.0,12.0,136.52000000000007,-1090.6599999999999,3044.44,92.3076923076923,5.0,5.0,100.0,8.0,7.0,87.5
05/01/2007--04/25/2008,15.0,14.0,268.68000000000006,-1593.73,3770.01,93.33333333333333,7.0,7.0,100.0,8.0,7.0,87.5
05/31/2007--05/25/2008,13.0,12.0,136.52000000000007,-2331.94,3031.8,92.3076923076923,5.0,5.0,100.0,8.0,7.0,87.5
06/30/2007--06/24/2008,16.0,15.0,342.18000000000006,-1694.1200000000001,4080.9100000000003,93.75,7.0,7.0,100.0,9.0,8.0,88.88888888888889
07/30/2007--07/24/2008,17.0,16.0,416.44999999999993,-5411.119999999999,3478.5799999999995,94.11764705882352,7.0,7.0,100.0,10.0,9.0,90.0
08/29/2007--08/23/2008,16.0,15.0,332.66999999999996,-5344.83,3227.9499999999994,93.75,7.0,7.0,100.0,9.0,8.0,88.88888888888889
09/28/2007--09/22/2008,15.0,14.0,354.65999999999997,-11095.670000000002,2146.3399999999997,93.33333333333333,4.0,4.0,100.0,11.0,10.0,90.9090909090909
10/28/2007--10/22/2008,15.0,14.0,291.3399999999999,-11398.800000000001,3555.09,93.33333333333333,3.0,3.0,100.0,12.0,11.0,91.66666666666666
11/27/2007--11/21/2008,16.0,15.0,343.5599999999999,-16326.710000000005,2573.27,93.75,4.0,4.0,100.0,12.0,11.0,91.66666666666666
12/27/2007--12/21/2008,14.0,13.0,186.22999999999988,-18635.240000000005,186.22999999999988,92.85714285714286,4.0,4.0,100.0,10.0,9.0,90.0
01/26/2008--01/20/2009,15.0,14.0,277.52999999999986,-19728.810000000005,277.52999999999986,93.33333333333333,5.0,5.0,100.0,10.0,9.0,90.0
02/25/2008--02/19/2009,14.0,13.0,175.19999999999993,-24995.000000000004,175.19999999999993,92.85714285714286,5.0,4.0,80.0,9.0,9.0,100.0
03/26/2008--03/21/2009,16.0,15.0,372.04999999999984,-24743.929999999997,372.04999999999984,93.75,6.0,5.0,83.33333333333334,10.0,10.0,100.0
04/25/2008--04/20/2009,15.0,14.0,298.18,-26033.799999999996,298.18,93.33333333333333,5.0,4.0,80.0,10.0,10.0,100.0
05/25/2008--05/20/2009,16.0,15.0,335.28,-26094.369999999995,592.7299999999999,93.75,6.0,5.0,83.33333333333334,10.0,10.0,100.0
06/24/2008--06/19/2009,14.0,13.0,183.57000000000002,-25918.109999999993,183.57000000000002,92.85714285714286,6.0,5.0,83.33333333333334,8.0,8.0,100.0
07/24/2008--07/19/2009,14.0,13.0,192.14999999999992,-24371.269999999997,192.14999999999992,92.85714285714286,6.0,5.0,83.33333333333334,8.0,8.0,100.0
08/23/2008--08/18/2009,15.0,14.0,231.75999999999988,-23063.999999999996,1479.24,93.33333333333333,8.0,7.0,87.5,7.0,7.0,100.0
09/22/2008--09/17/2009,11.0,10.0,-75.23999999999997,-18848.03,2769.32,90.9090909090909,8.0,7.0,87.5,3.0,3.0,100.0
10/22/2008--10/17/2009,9.0,8.0,-421.1300000000001,-13681.53,-421.1300000000001,88.88888888888889,6.0,5.0,83.33333333333334,3.0,3.0,100.0
11/21/2008--11/16/2009,13.0,11.0,-500.68000000000006,-9414.380000000001,3757.94,84.61538461538461,9.0,7.0,77.77777777777779,4.0,4.0,100.0
12/21/2008--12/16/2009,16.0,14.0,-284.20000000000016,-8678.33,4860.44,87.5,11.0,9.0,81.81818181818183,5.0,5.0,100.0
01/20/2009--01/15/2010,17.0,15.0,-128.78999999999994,-2480.56,4876.26,88.23529411764706,12.0,10.0,83.33333333333334,5.0,5.0,100.0
02/19/2009--02/14/2010,13.0,12.0,684.79,-2286.2699999999995,6160.950000000001,92.3076923076923,11.0,10.0,90.9090909090909,2.0,2.0,100.0
03/21/2009--03/16/2010,12.0,11.0,629.4799999999999,171.50000000000017,6145.04,91.66666666666666,9.0,8.0,88.88888888888889,3.0,3.0,100.0
04/20/2009--04/15/2010,11.0,10.0,555.6400000000001,2069.08,6225.159999999999,90.9090909090909,8.0,7.0,87.5,3.0,3.0,100.0
05/20/2009--05/15/2010,13.0,12.0,740.3500000000001,-432.3599999999999,6409.869999999999,92.3076923076923,9.0,8.0,88.88888888888889,4.0,4.0,100.0
06/19/2009--06/14/2010,13.0,12.0,740.3500000000001,-432.3599999999999,6409.869999999999,92.3076923076923,9.0,8.0,88.88888888888889,4.0,4.0,100.0
07/19/2009--07/14/2010,15.0,14.0,820.3900000000001,-3047.7700000000004,4776.2699999999995,93.33333333333333,9.0,8.0,88.88888888888889,6.0,6.0,100.0
08/18/2009--08/13/2010,14.0,13.0,722.6199999999999,-6409.200000000001,1746.8099999999997,92.85714285714286,8.0,7.0,87.5,6.0,6.0,100.0
