Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
UNP,LONG,2007-09-19,25.58,3737,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-09-20,24.98,-2249.12,-2249.12,[]
NFLX,LONG,2008-04-17,39.31,2362,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-22,33.69,-13274.44,-13274.44,[]
FDX,LONG,2008-05-02,95.21,843,2008-05-02,92.76,-2068.64,No-Exit,0.0,0.0,2008-05-05,92.14,-2589.99,-2068.64,[]
GD,LONG,2008-07-24,76.01,1023,2008-07-24,73.35,-2721.18,No-Exit,0.0,0.0,2008-07-25,74.53,-1517.71,-2721.18,[]
ALL,SHORT,2008-11-20,16.36,4666,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-11-24,18.46,-9820.56,-9820.56,[]
IWM,SHORT,2009-01-15,42.03,1594,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-01-16,43.95,-3056.12,-3056.12,[]
AMZN,LONG,2009-03-12,69.57,921,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-03-16,68.65,-847.32,-847.32,[]
AAPL,LONG,2009-03-18,13.52,4686,No-Exit,0.0,0.0,2009-03-18,13.79,1267.82,2009-03-20,13.81,1381.92,1267.82,[]
NFLX,LONG,2009-04-13,47.19,1369,No-Exit,0.0,0.0,2009-04-13,49.19,2738.00,2009-04-15,47.30,150.59,2738.00,[]
MA,LONG,2009-07-16,16.99,3812,No-Exit,0.0,0.0,2009-07-16,17.19,749.31,2009-07-21,17.69,2668.40,749.31,[]
FDX,LONG,2009-10-15,78.26,859,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-10-19,77.98,-241.27,-241.27,[]
GD,LONG,2010-02-19,63.63,1054,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-02-23,63.71,83.35,83.35,[]
MA,LONG,2010-03-08,23.62,2843,No-Exit,0.0,0.0,2010-03-08,23.82,559.56,2010-03-15,24.70,3067.82,559.56,[]
AMZN,LONG,2010-09-02,132.80,527,No-Exit,0.0,0.0,2010-09-02,134.80,1054.00,2010-09-08,137.93,2703.51,1054.00,[]
AAPL,LONG,2010-09-09,35.85,2035,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-09-10,35.60,-509.28,-509.28,[]
AMZN,LONG,2010-11-26,178.09,405,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2010-11-29,177.86,-93.15,-93.15,[]
AAPL,LONG,2011-01-04,44.97,1612,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-01-05,44.58,-630.21,-630.21,[]
MA,LONG,2011-01-18,23.40,3054,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-01-19,23.25,-458.10,-458.10,[]
WHR,LONG,2011-01-28,83.40,851,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-01-31,81.97,-1219.65,-1219.65,[]
MA,LONG,2011-02-04,24.36,2868,No-Exit,0.0,0.0,2011-02-04,24.56,565.98,2011-02-09,24.52,470.23,565.98,[]
NFLX,LONG,2011-03-24,231.98,305,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-03-25,226.96,-1531.10,-1531.10,[]
AMZN,LONG,2011-06-28,202.78,339,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-06-29,201.29,-505.11,-505.11,[]
GOOGL,LONG,2011-07-06,267.06,256,No-Exit,0.0,0.0,2011-07-06,268.06,256.00,2011-07-08,266.48,-149.76,256.00,[]
GD,SHORT,2011-09-22,51.33,1307,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-09-23,51.60,-354.32,-354.32,[]
MA,LONG,2011-12-02,37.92,91,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-12-05,37.85,-6.38,-6.38,['V']
V,LONG,2011-12-01,95.01,714,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2011-12-05,96.03,731.63,731.63,[]
NFLX,LONG,2012-01-05,81.17,845,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-01-06,79.12,-1732.25,-1732.25,[]
V,LONG,2012-02-03,104.35,641,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-02-07,104.01,-218.11,-218.11,[]
NFLX,LONG,2012-03-22,121.09,551,No-Exit,0.0,0.0,2012-03-22,123.09,1102.00,2012-03-23,119.44,-909.15,1102.00,[]
UNH,LONG,2012-03-30,56.02,1175,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-04-05,56.25,270.25,270.25,[]
AMZN,LONG,2012-06-19,223.96,295,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-06-20,222.63,-392.35,-392.35,['CF']
CF,LONG,2012-06-20,174.94,19,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-06-21,172.86,-39.52,-39.52,[]
AMZN,LONG,2012-08-27,247.07,266,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2012-08-28,243.97,-824.60,-824.60,[]
MA,LONG,2012-09-07,42.86,1515,No-Exit,0.0,0.0,2012-09-07,43.05,299.97,2012-09-17,44.98,3214.18,299.97,['V']
