Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Entry-Day-Exit-PorL,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
AAPL,LONG,2007-12-07,25.78,3690,100000.00,100000.00,101876.89,4887.58,0.0,2007-12-11,26.12,101831.96,4887.58,101272.89,101272.89,1272.89,[]
AAPL,LONG,2008-08-13,24.11,3990,101272.89,101272.89,101861.23,5082.95,0.0,2008-08-15,24.06,101872.02,5082.95,101067.78,101067.78,-205.11,[]
AAPL,LONG,2009-03-18,13.52,7105,101067.78,101067.78,102615.23,5039.81,0.0,2009-03-20,13.68,102711.34,5039.81,102230.77,102230.77,1162.99,[]
AAPL,LONG,2009-08-28,23.30,4228,102230.77,102230.77,100961.04,3700.57,0.0,2009-08-31,22.75,100961.04,3700.57,99880.05,99880.05,-2350.72,[]
AAPL,LONG,2009-09-08,23.40,4104,99880.05,99880.05,99852.29,3845.40,0.0,2009-09-09,23.33,99852.29,3845.40,99574.70,99574.70,-305.35,[]
AAPL,LONG,2009-12-28,28.64,3337,99574.70,99574.70,99525.04,4000.03,0.0,2009-12-29,28.54,99525.04,4000.03,99242.90,99242.90,-331.79,[]
AAPL,LONG,2010-04-06,32.29,2919,99242.90,99242.90,99570.65,4982.47,0.0,2010-04-08,32.34,99989.22,4982.47,99394.93,99394.93,152.03,[]
AAPL,LONG,2010-09-09,35.85,2645,99394.93,99394.93,98690.05,4561.42,0.0,2010-09-10,35.50,98690.05,4561.42,98466.42,98466.42,-928.51,[]
AAPL,LONG,2010-12-07,43.80,2151,98466.42,98466.42,96839.83,4246.66,0.0,2010-12-08,42.96,96839.83,4246.66,96657.97,96657.97,-1808.45,[]
AAPL,LONG,2011-01-04,44.97,2054,96657.97,96657.97,96338.43,4286.38,0.0,2011-01-05,44.58,96338.43,4286.38,95854.96,95854.96,-803.01,[]
AAPL,LONG,2011-03-03,48.32,1904,95854.96,95854.96,96465.39,3854.29,0.0,2011-03-07,48.62,96578.72,3854.29,96417.74,96417.74,562.79,[]
AAPL,SHORT,2011-04-05,45.59,1993,96417.74,96417.74,95905.49,95905.49,0.0,2011-04-06,46.16,95905.49,95905.49,95277.30,95277.30,-1140.44,[]
AAPL,LONG,2011-07-05,46.49,1732,95277.30,95277.30,96619.84,14748.33,0.0,2011-07-08,47.80,98440.35,14748.33,97535.95,97535.95,2258.65,[]
AAPL,SHORT,2011-10-05,49.13,1683,97535.95,97535.95,94102.67,94102.67,0.0,2011-10-06,51.25,94102.67,94102.67,93960.37,93960.37,-3575.58,[]
AAPL,LONG,2011-12-09,53.20,1332,93960.37,93960.37,94021.64,23095.53,0.0,2011-12-12,52.99,94021.64,23095.53,93672.07,93672.07,-288.30,[]
AAPL,SHORT,2012-04-17,78.20,902,93672.07,93672.07,89810.13,89810.13,0.0,2012-04-18,83.02,89810.13,89810.13,89319.61,89319.61,-4352.46,[]
AAPL,SHORT,2012-10-08,87.88,700,89319.61,89319.61,90147.92,90147.92,0.0,2012-10-10,86.91,90368.55,90368.55,89998.62,89998.62,679.00,[]
AAPL,SHORT,2013-01-07,71.25,823,89998.62,89998.62,89785.17,89785.17,0.0,2013-01-08,72.24,89785.17,89785.17,89188.65,89188.65,-809.97,[]
AAPL,LONG,2013-07-19,59.91,905,89188.65,89188.65,88117.63,34972.89,0.0,2013-07-23,58.87,88287.71,34972.89,88248.94,88248.94,-939.71,[]
AAPL,LONG,2013-11-27,75.04,710,88248.94,88248.94,89204.61,34968.04,0.0,2013-12-11,78.77,91150.71,34968.04,90892.92,90892.92,2643.98,[]
AAPL,SHORT,2014-04-08,73.43,760,90892.92,90892.92,90705.72,90705.72,0.0,2014-04-09,74.01,90705.72,90705.72,90451.66,90451.66,-441.25,[]
