Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
MMM,LONG,2007-09-19,75.96,138,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-09-20,75.36,-82.69,-82.69,['FLS', 'PX', 'BK', 'BLK', 'FLIR', 'NTRS', 'ETN', 'JCI']
BK,LONG,2007-09-19,38.92,271,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-09-20,38.44,-130.08,-130.08,['FLS', 'PX', 'BLK', 'FLIR', 'NTRS', 'ETN', 'JCI']
BLK,LONG,2007-09-19,144.53,73,No-Exit,0.0,0.0,2007-09-19,146.23,123.98,2007-09-20,143.92,-44.53,123.98,['FLS', 'PX', 'FLIR', 'NTRS', 'ETN', 'JCI']
JCI,LONG,2007-09-19,33.99,317,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-09-20,33.69,-95.08,-95.08,['FLS', 'PX', 'FLIR', 'NTRS', 'ETN']
NTRS,LONG,2007-09-19,56.55,186,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-09-20,56.13,-78.12,-78.12,['FLS', 'PX', 'FLIR', 'ETN']
PX,LONG,2007-09-19,69.48,152,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-09-20,69.22,-38.88,-38.88,['FLS', 'FLIR', 'ETN']
ETN,LONG,2007-09-19,39.20,269,No-Exit,0.0,0.0,2007-09-19,40.01,216.55,2007-09-21,39.65,119.10,216.55,['FLS', 'FLIR']
FLIR,LONG,2007-09-19,25.62,413,No-Exit,0.0,0.0,2007-09-20,26.57,394.10,2007-09-21,26.45,342.87,394.10,['FLS']
FLS,LONG,2007-09-19,22.82,462,No-Exit,0.0,0.0,2007-09-19,23.42,276.16,2007-09-21,23.27,206.53,276.16,[]
HRS,LONG,2007-10-08,51.59,1845,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-10-09,51.41,-332.55,-332.55,[]
