Period,# of trades,winning trades,Simulated PorL,PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
04/15/2010--04/10/2011,24.0,19.0,109.60000000000004,-1566.0599999999995,79.16666666666666,19.0,15.0,78.94736842105263,5.0,4.0,80.0
05/15/2010--05/10/2011,32.0,26.0,1140.73,34860.29999999999,81.25,27.0,22.0,81.48148148148148,5.0,4.0,80.0
06/14/2010--06/09/2011,35.0,26.0,-1531.1700000000005,27225.600000000002,74.28571428571429,28.0,21.0,75.0,7.0,5.0,71.42857142857143
07/14/2010--07/09/2011,24.0,19.0,742.2600000000001,3360.469999999999,79.16666666666666,17.0,14.0,82.35294117647058,7.0,5.0,71.42857142857143
08/13/2010--08/08/2011,28.0,23.0,515.1099999999999,2162.3199999999993,82.14285714285714,21.0,18.0,85.71428571428571,7.0,5.0,71.42857142857143
09/12/2010--09/07/2011,37.0,30.0,1365.6299999999999,49650.43,81.08108108108108,27.0,23.0,85.18518518518519,10.0,7.0,70.0
10/12/2010--10/07/2011,34.0,30.0,2465.6200000000003,3645.850000000002,88.23529411764706,24.0,23.0,95.83333333333334,10.0,7.0,70.0
11/11/2010--11/06/2011,28.0,25.0,494.75,-4448.2300000000005,89.28571428571429,20.0,20.0,100.0,8.0,5.0,62.5
12/11/2010--12/06/2011,43.0,40.0,3762.2700000000004,10540.789999999999,93.02325581395348,31.0,31.0,100.0,12.0,9.0,75.0
01/10/2011--01/05/2012,43.0,40.0,5013.56,19576.34,93.02325581395348,32.0,32.0,100.0,11.0,8.0,72.72727272727273
02/09/2011--02/04/2012,24.0,20.0,154.7299999999999,-47.69999999999982,83.33333333333334,16.0,15.0,93.75,8.0,5.0,62.5
03/11/2011--03/05/2012,26.0,21.0,61.789999999999935,-30.58999999999974,80.76923076923077,19.0,17.0,89.47368421052632,7.0,4.0,57.14285714285714
04/10/2011--04/04/2012,43.0,38.0,65340.27,74217.71000000002,88.37209302325581,31.0,29.0,93.54838709677419,12.0,9.0,75.0
05/10/2011--05/04/2012,40.0,37.0,56505.38,63566.91000000001,92.5,31.0,29.0,93.54838709677419,9.0,8.0,88.88888888888889
06/09/2011--06/03/2012,25.0,22.0,802.8199999999995,8305.290000000006,88.0,21.0,19.0,90.47619047619048,4.0,3.0,75.0
07/09/2011--07/03/2012,41.0,37.0,37265.81999999999,47217.4,90.2439024390244,31.0,28.0,90.32258064516128,10.0,9.0,90.0
08/08/2011--08/02/2012,38.0,34.0,39050.33,45370.85,89.47368421052632,31.0,27.0,87.09677419354838,7.0,7.0,100.0
09/07/2011--09/01/2012,25.0,21.0,531.0,1627.87,84.0,17.0,14.0,82.35294117647058,8.0,7.0,87.5
10/07/2011--10/01/2012,28.0,22.0,811.4899999999999,2557.8999999999996,78.57142857142857,20.0,15.0,75.0,8.0,7.0,87.5
11/06/2011--10/31/2012,23.0,19.0,-11.22000000000001,556.5600000000001,82.6086956521739,16.0,13.0,81.25,7.0,6.0,85.71428571428571
12/06/2011--11/30/2012,42.0,35.0,2113.1699999999996,11591.67,83.33333333333334,31.0,26.0,83.87096774193549,11.0,9.0,81.81818181818183
01/05/2012--12/30/2012,33.0,25.0,-98.00999999999992,4454.369999999999,75.75757575757575,21.0,16.0,76.19047619047619,12.0,9.0,75.0
02/04/2012--01/29/2013,39.0,30.0,-12791.449999999999,-19453.370000000003,76.92307692307693,26.0,20.0,76.92307692307693,13.0,10.0,76.92307692307693
03/05/2012--02/28/2013,37.0,29.0,-14233.88,-20152.66,78.37837837837837,26.0,21.0,80.76923076923077,11.0,8.0,72.72727272727273
04/04/2012--03/30/2013,27.0,21.0,15.899999999999983,1797.8899999999999,77.77777777777779,16.0,13.0,81.25,11.0,8.0,72.72727272727273
05/04/2012--04/29/2013,30.0,24.0,-79.85999999999997,336.5999999999999,80.0,18.0,15.0,83.33333333333334,12.0,9.0,75.0
06/03/2012--05/29/2013,44.0,37.0,1634.62,-13926.010000000002,84.0909090909091,31.0,27.0,87.09677419354838,13.0,10.0,76.92307692307693
07/03/2012--06/28/2013,47.0,39.0,-4978.16,-15151.409999999998,82.97872340425532,30.0,27.0,90.0,17.0,12.0,70.58823529411765
08/02/2012--07/28/2013,32.0,27.0,-796.9099999999999,-2337.419999999999,84.375,17.0,16.0,94.11764705882352,15.0,11.0,73.33333333333333
09/01/2012--08/27/2013,42.0,36.0,-669.1399999999999,-7878.19,85.71428571428571,27.0,24.0,88.88888888888889,15.0,12.0,80.0
10/01/2012--09/26/2013,36.0,31.0,-1442.1300000000003,-8842.16,86.11111111111111,23.0,21.0,91.30434782608695,13.0,10.0,76.92307692307693
10/31/2012--10/26/2013,28.0,23.0,-60.76999999999995,302.5400000000001,82.14285714285714,15.0,14.0,93.33333333333333,13.0,9.0,69.23076923076923
11/30/2012--11/25/2013,31.0,23.0,-563.8199999999999,-2277.1400000000003,74.19354838709677,17.0,14.0,82.35294117647058,14.0,9.0,64.28571428571429
12/30/2012--12/25/2013,29.0,23.0,56.74999999999998,-412.11,79.3103448275862,17.0,14.0,82.35294117647058,12.0,9.0,75.0
01/29/2013--01/24/2014,36.0,30.0,1119.28,18837.89,83.33333333333334,23.0,20.0,86.95652173913044,13.0,10.0,76.92307692307693
02/28/2013--02/23/2014,29.0,22.0,188.42999999999995,-2693.8299999999995,75.86206896551724,15.0,12.0,80.0,14.0,10.0,71.42857142857143
03/30/2013--03/25/2014,33.0,23.0,463.36,16598.55,69.6969696969697,20.0,14.0,70.0,13.0,9.0,69.23076923076923
04/29/2013--04/24/2014,34.0,23.0,448.1799999999999,27979.430000000004,67.64705882352942,22.0,15.0,68.18181818181817,12.0,8.0,66.66666666666666
05/29/2013--05/24/2014,26.0,16.0,-953.9699999999999,708.8000000000001,61.53846153846154,18.0,10.0,55.55555555555556,8.0,6.0,75.0
06/28/2013--06/23/2014,28.0,18.0,-3784.6099999999997,445.01000000000033,64.28571428571429,19.0,11.0,57.89473684210527,9.0,7.0,77.77777777777779
07/28/2013--07/23/2014,32.0,20.0,-4210.159999999999,-1402.62,62.5,22.0,13.0,59.09090909090909,10.0,7.0,70.0
08/27/2013--08/22/2014,33.0,23.0,-2427.6699999999996,-456.5599999999991,69.6969696969697,22.0,15.0,68.18181818181817,11.0,8.0,72.72727272727273
09/26/2013--09/21/2014,30.0,20.0,-2754.8499999999995,-1491.4699999999998,66.66666666666666,22.0,15.0,68.18181818181817,8.0,5.0,62.5
10/26/2013--10/21/2014,41.0,29.0,-2680.9500000000007,-2385.7299999999996,70.73170731707317,26.0,18.0,69.23076923076923,15.0,11.0,73.33333333333333
11/25/2013--11/20/2014,43.0,32.0,-1045.8300000000006,-1037.7299999999996,74.4186046511628,26.0,20.0,76.92307692307693,17.0,12.0,70.58823529411765
12/25/2013--12/20/2014,43.0,31.0,-1475.6300000000003,-4749.33,72.09302325581395,27.0,20.0,74.07407407407408,16.0,11.0,68.75
