Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos,,,,,
FDX,LONG,2008-07-23,77.87,430,No-Exit,0,0,2008-07-23,79.79,826.74,2008-07-28,75.2,-1147.05,826.74,['UNP', 'GD'],,,,
GD,LONG,2008-07-24,76.01,271,2008-07-24,73.35,-720.86,No-Exit,0,0,2008-08-01,75.36,-176.15,-720.86,['UNP', 'IWM'],,,,
IWM,LONG,2008-07-30,66.85,304,No-Exit,0,0,No-Exit,0,0,2008-08-01,65.84,-307.04,-307.04,['UNP'],,,,,
UNP,LONG,2008-07-24,34.54,361,No-Exit,0,0,2008-07-29,35.42,318.04,2008-08-07,35.72,427.77,318.04,[],,,,,
UNP,LONG,2008-08-29,37.23,872,No-Exit,0,0,No-Exit,0,0,2008-09-02,36.28,-828.4,-828.4,['MA', 'GOOGL'],,,,
GOOGL,SHORT,2008-08-27,235.19,139,No-Exit,0,0,2008-08-27,234.19,139,2008-09-02,238.38,-444.1,139,['MA'],,,,,
MA,LONG,2008-09-02,24.08,858,2008-09-02,23.48,-511.19,2008-09-02,24.27,168.03,2008-09-03,23.36,-614.15,-511.19,[],,,,,
AAPL,SHORT,2008-09-05,21.45,1479,No-Exit,0,0,No-Exit,0,0,2008-09-08,22.26,-1196.45,-1196.45,[],,,,,
IWM,SHORT,2008-09-09,67.09,472,No-Exit,0,0,No-Exit,0,0,2008-09-11,67.1,-4.72,-4.72,[],,,,,
IWM,SHORT,2008-09-16,63.3,494,2008-09-16,66.06,-1362.85,No-Exit,0,0,2008-09-18,66.57,-1614.79,-1362.85,[],,,,,
FDX,SHORT,2008-11-21,53.71,578,2008-11-21,56.72,-1739.78,No-Exit,0,0,2008-11-24,59.49,-3339.15,-1739.78,[],,,,,
AAPL,LONG,2008-12-09,13.59,849,No-Exit,0,0,2008-12-09,13.86,229.7,2008-12-10,13.08,-432.99,229.7,['WHR', 'AMZN'],,,,
WHR,LONG,2008-12-08,37.67,478,No-Exit,0,0,No-Exit,0,0,2008-12-11,35.09,-1231.48,-1231.48,['AMZN'],,,,,
AMZN,LONG,2008-12-08,49.15,612,No-Exit,0,0,2008-12-08,51.15,1224,2008-12-12,47.52,-997.56,1224,[],,,,,
CF,LONG,2008-12-17,51.28,280,No-Exit,0,0,2008-12-17,53.17,529.85,2008-12-18,48.01,-915.6,529.85,['MA', 'GILD', 'GD', 'CP'],,
MA,LONG,2008-12-17,14.55,989,No-Exit,0,0,2008-12-17,14.75,193.86,2008-12-19,14.54,-9.89,193.86,['GILD', 'GD', 'CP'],,,
GD,LONG,2008-12-17,48.33,238,No-Exit,0,0,No-Exit,0,0,2008-12-19,47.39,-224.9,-224.9,['GILD', 'CP'],,,,
CP,LONG,2008-12-17,32.49,212,No-Exit,0,0,No-Exit,0,0,2008-12-19,30.53,-415.63,-415.63,['GILD'],,,,,
GILD,LONG,2008-12-17,47.55,302,No-Exit,0,0,2008-12-19,49.52,596.44,2008-12-22,48.73,356.36,596.44,[],,,,,
AMZN,SHORT,2009-01-15,47.94,394,2009-01-15,50.45,-988.94,No-Exit,0,0,2009-01-16,51.8,-1520.84,-988.94,['UNP', 'MA', 'IWM'],,,
IWM,SHORT,2009-01-15,42.03,561,No-Exit,0,0,No-Exit,0,0,2009-01-16,43.95,-1075.59,-1075.59,['UNP', 'MA'],,,,
UNP,SHORT,2009-01-15,18.21,622,No-Exit,0,0,2009-01-15,17.32,552.71,2009-01-22,19.34,-702.86,552.71,['MA'],,,,,
MA,SHORT,2009-01-16,12.59,1940,No-Exit,0,0,2009-01-16,12.39,380.64,2009-01-28,13.01,-814.8,380.64,[],,,,,
GILD,SHORT,2009-02-20,48.23,555,No-Exit,0,0,No-Exit,0,0,2009-02-23,49.67,-799.2,-799.2,[],,,,,
AAPL,SHORT,2009-02-27,11.89,1469,No-Exit,0,0,No-Exit,0,0,2009-03-04,12.53,-936.9,-936.9,['GOOGL', 'GILD'],,,,
GILD,SHORT,2009-02-27,45.42,229,No-Exit,0,0,2009-03-02,43.45,452.27,2009-03-09,43.63,410.86,452.27,['GOOGL'],,,,,
GOOGL,SHORT,2009-02-27,166.47,130,2009-02-27,170.79,-560.95,No-Exit,0,0,2009-03-10,150.14,2123.55,-560.95,[],,,,,
AMZN,LONG,2009-03-12,69.57,389,No-Exit,0,0,2009-03-17,71.57,778,2009-03-20,69.8,89.47,778,['AAPL'],,,,,
MA,LONG,2009-03-24,16,518,2009-03-24,15.69,-160.58,2009-03-24,16.2,101.64,2009-03-25,15.69,-160.58,-160.58,['UNP', 'GOOGL', 'AAPL'],,,
GOOGL,LONG,2009-03-24,174.82,98,No-Exit,0,0,2009-03-24,175.82,98,2009-03-25,170.54,-419.44,98,['UNP', 'AAPL'],,,,
AAPL,LONG,2009-03-18,13.52,1243,No-Exit,0,0,2009-03-18,13.79,336.3,2009-03-30,14.14,773.49,336.3,['UNP'],,,,,
UNP,LONG,2009-03-24,18.91,730,No-Exit,0,0,2009-03-26,19.8,653.2,2009-03-31,18.26,-474.5,653.2,[],,,,,
NFLX,LONG,2009-04-13,47.19,572,No-Exit,0,0,2009-04-13,49.19,1144,2009-04-15,47.3,62.92,1144,[],,,,,
AMZN,LONG,2009-04-22,79.3,340,No-Exit,0,0,2009-04-22,81.3,680,2009-04-28,82.68,1149.2,680,[],,,,,
CF,LONG,2009-05-04,72.02,382,No-Exit,0,0,No-Exit,0,0,2009-05-07,69.77,-859.23,-859.23,['NFLX'],,,,,
NFLX,SHORT,2009-05-07,42.17,403,No-Exit,0,0,2009-05-07,40.17,806,2009-05-12,39.77,967.2,806,[],,,,,
AMZN,SHORT,2009-05-14,73.79,372,No-Exit,0,0,No-Exit,0,0,2009-05-19,76.85,-1138.32,-1138.32,[],,,,,
UNP,SHORT-SPY-NULL,2009-05-28,20.14,1344,No-Exit,0,0,No-Exit,0,0,2009-05-29,21.54,-1881.6,0,[],,,,,
GILD,LONG,2009-06-04,44.77,365,No-Exit,0,0,No-Exit,0,0,2009-06-08,43.52,-456.87,-456.87,['AMZN'],,,,,
AMZN,LONG,2009-06-02,85,310,No-Exit,0,0,2009-06-05,87,620,2009-06-11,86.29,399.9,620,[],,,,,
GD,SHORT,2009-06-24,48.11,547,No-Exit,0,0,2009-07-06,46.38,947.12,2009-07-13,45.23,1575.36,947.12,[],,,,,
UNP,LONG,2009-07-15,24.29,1115,No-Exit,0,0,2009-07-16,25.19,1003.64,2009-07-22,26.17,2097.61,1003.64,['MA', 'IWM', 'AMZN'],,,
MA,LONG,2009-07-16,16.99,391,No-Exit,0,0,2009-07-16,17.19,76.86,2009-07-22,17.59,236.02,76.86,['IWM', 'AMZN'],,,,
IWM,LONG,2009-07-16,48.49,286,No-Exit,0,0,No-Exit,0,0,2009-07-22,48.79,85.8,85.8,['AMZN'],,,,,
AMZN,LONG,2009-07-16,84.84,130,No-Exit,0,0,2009-07-20,86.84,260,2009-07-23,89.84,650,260,[],,,,,
UNP,LONG,2009-09-08,28.36,992,No-Exit,0,0,No-Exit,0,0,2009-09-16,28.31,-52.4,-52.4,[],,,,,
MA,SHORT,2009-10-02,19.38,1436,No-Exit,0,0,No-Exit,0,0,2009-10-06,19.96,-836.53,-836.53,[],,,,,
CP,LONG,2009-10-20,45.16,241,2009-10-20,44.32,-202.44,No-Exit,0,0,2009-10-21,43.93,-295.53,-202.44,['NFLX', 'FDX'],,,,
NFLX,LONG,2009-10-15,48.29,345,No-Exit,0,0,2009-10-15,50.29,690,2009-10-22,48.07,-75.9,690,['FDX'],,,,,
