Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos,,,,,
CF,SHORT,2011-08-05,134.98,192,2011-08-05,143.39,-1615.38,2011-08-05,133.07,367.45,2011-08-09,141.02,-1159.68,-1615.38,['AGN'],,,,,
AGN,SHORT,2011-07-29,67,388,No-Exit,0,0,2011-08-02,65,776,2011-08-12,64.1,1125.2,776,[],,,,,
GOOGL,SHORT,2011-08-15,276.71,93,No-Exit,0,0,2011-08-15,275.71,93,2011-08-23,252.31,2269.66,93,[],,,,,
AMZN,LONG,2011-09-01,216.37,34,No-Exit,0,0,No-Exit,0,0,2011-09-02,208.94,-252.62,-252.62,['AGN', 'VIAB', 'UNH'],,,
UNH,LONG,2011-08-31,45.25,499,No-Exit,0,0,No-Exit,0,0,2011-09-02,43.41,-922.37,-922.37,['AGN', 'VIAB'],,,,
VIAB,LONG,2011-08-31,45.1,399,No-Exit,0,0,No-Exit,0,0,2011-09-02,43.1,-798.18,-798.18,['AGN'],,,,,
AGN,LONG,2011-08-31,68.07,158,No-Exit,0,0,No-Exit,0,0,2011-09-06,64.59,-549.84,-549.84,[],,,,,
MA,LONG,2011-09-08,33.54,777,No-Exit,0,0,2011-09-08,33.74,153.5,2011-09-09,33.21,-259.34,153.5,['UNH'],,,,,
UNH,LONG,2011-09-08,45.33,345,No-Exit,0,0,No-Exit,0,0,2011-09-09,44.31,-351.9,-351.9,[],,,,,
MA,LONG,2011-09-15,33.47,772,2011-09-15,32.95,-401.44,2011-09-15,33.67,152.51,2011-09-19,33.74,205.86,-401.44,['GOOGL', 'IWM', 'NFLX'],,,
GOOGL,LONG,2011-09-16,272.59,23,No-Exit,0,0,No-Exit,0,0,2011-09-19,270.18,-55.54,-55.54,['IWM', 'NFLX'],,,,
IWM,LONG,2011-09-16,67.77,157,No-Exit,0,0,No-Exit,0,0,2011-09-19,66.31,-230.19,-230.19,['NFLX'],,,,,
GD,SHORT,2011-09-22,51.33,116,No-Exit,0,0,2011-09-23,49.5,212.34,2011-09-27,52.71,-160.32,212.34,['UNP', 'VIAB', 'IWM', 'VRX', 'FDX', 'NFLX']
UNP,SHORT,2011-09-22,37.89,343,No-Exit,0,0,No-Exit,0,0,2011-09-27,40.08,-752.29,-752.29,['VIAB', 'IWM', 'VRX', 'FDX', 'NFLX'],
VRX,SHORT,2011-09-22,35.85,354,No-Exit,0,0,No-Exit,0,0,2011-09-27,39.71,-1366.44,-1366.44,['VIAB', 'IWM', 'FDX', 'NFLX'],,
IWM,SHORT,2011-09-22,60.82,213,No-Exit,0,0,No-Exit,0,0,2011-09-27,65.87,-1075.33,-1075.33,['VIAB', 'FDX', 'NFLX'],,,
VIAB,SHORT,2011-09-23,38.18,641,No-Exit,0,0,No-Exit,0,0,2011-09-28,39.31,-722.97,-722.97,['FDX', 'NFLX'],,,,
NFLX,SHORT,2011-09-16,167.8,79,No-Exit,0,0,2011-09-16,165.8,158,2011-10-03,115.14,4160.14,158,['FDX'],,,,,
FDX,SHORT,2011-09-22,68.79,146,No-Exit,0,0,2011-09-22,66.82,286.78,2011-10-05,66.94,269.72,286.78,[],,,,,
CP,LONG,2011-10-13,51.79,310,No-Exit,0,0,No-Exit,0,0,2011-10-17,50.72,-331.7,-331.7,['WHR'],,,,,
WHR,LONG,2011-10-07,51.88,500,2011-10-07,49.75,-1065,No-Exit,0,0,2011-10-18,49.9,-991.88,-1065,[],,,,,
MA,LONG,2011-10-28,34.57,453,No-Exit,0,0,2011-10-28,34.77,89.53,2011-11-01,33.28,-585.52,89.53,['VRX'],,,,,
VRX,LONG,2011-10-27,39.78,648,No-Exit,0,0,No-Exit,0,0,2011-11-01,38.44,-868.32,-868.32,[],,,,,
GOOGL,LONG,2011-11-14,305.21,81,No-Exit,0,0,2011-11-14,306.21,81,2011-11-17,305.02,-14.99,81,['AAPL'],,,,,
V,SHORT,2011-11-21,87.61,276,No-Exit,0,0,No-Exit,0,0,2011-11-22,89.42,-499.11,-499.11,['AAPL', 'CP'],,,,
AAPL,SHORT,2011-11-17,51.94,298,No-Exit,0,0,2011-11-17,51.67,80.63,2011-11-28,50.37,468.84,80.63,['UNP', 'V', 'CP'],,,
UNP,SHORT,2011-11-25,44.76,284,No-Exit,0,0,No-Exit,0,0,2011-11-28,45.8,-296,-296,['V', 'CP'],,,,
V,SHORT,2011-11-25,86.97,272,No-Exit,0,0,No-Exit,0,0,2011-11-28,89.58,-708.75,-708.75,['CP'],,,,,
CP,SHORT,2011-11-22,54.87,434,No-Exit,0,0,No-Exit,0,0,2011-11-29,55.93,-460.04,-460.04,[],,,,,
MA,LONG,2011-12-02,37.92,399,No-Exit,0,0,No-Exit,0,0,2011-12-05,37.22,-278.57,-278.57,['V'],,,,,
V,LONG,2011-12-01,95.01,256,No-Exit,0,0,No-Exit,0,0,2011-12-06,93.57,-368.64,-368.64,[],,,,,
CP,LONG,2011-12-06,60.87,246,No-Exit,0,0,No-Exit,0,0,2011-12-19,59.23,-403.44,-403.44,[],,,,,
WHR,LONG,2012-01-10,47.88,191,No-Exit,0,0,No-Exit,0,0,2012-01-17,47.48,-76.69,-76.69,['NFLX', 'CF'],,,,
NFLX,LONG,2012-01-05,81.17,182,No-Exit,0,0,2012-01-06,83.17,364,2012-01-18,93.18,2185.82,364,['CF'],,,,,
CF,LONG,2012-01-04,150.54,160,No-Exit,0,0,2012-01-04,152.46,307.7,2012-01-18,164.9,2297.44,307.7,[],,,,,
V,LONG,2012-02-03,104.35,147,No-Exit,0,0,No-Exit,0,0,2012-02-08,105.31,140.77,140.77,['MA'],,,,,
MA,LONG,2012-02-03,38.01,673,No-Exit,0,0,2012-02-03,38.21,133.07,2012-02-10,38.95,634.38,133.07,[],,,,,
AGN,LONG,2012-02-15,60.79,428,No-Exit,0,0,No-Exit,0,0,2012-02-21,59.39,-599.2,-599.2,[],,,,,
GD,LONG,2012-02-27,67.73,379,No-Exit,0,0,No-Exit,0,0,2012-03-01,67.52,-79.59,-79.59,[],,,,,
NFLX,LONG,2012-03-22,121.09,211,No-Exit,0,0,2012-03-22,123.09,422,2012-03-23,117.37,-784.92,422,[],,,,,
MA,LONG,2012-04-03,42.96,366,No-Exit,0,0,2012-04-03,43.16,72.37,2012-04-04,42.62,-124.44,72.37,['URI', 'UNH'],,,,
URI,LONG,2012-04-03,44.61,211,No-Exit,0,0,No-Exit,0,0,2012-04-04,42.56,-432.55,-432.55,['UNH'],,,,,
UNH,LONG,2012-03-30,56.02,452,No-Exit,0,0,No-Exit,0,0,2012-04-05,56.25,103.96,103.96,[],,,,,
GILD,SHORT,2012-04-11,44.9,546,No-Exit,0,0,No-Exit,0,0,2012-04-17,46.17,-693.42,-693.42,['NFLX', 'AAPL', 'GD'],,,
AAPL,SHORT,2012-04-17,78.2,299,2012-04-17,80.5,-687.7,2012-04-17,77.93,80.9,2012-04-18,83.02,-1441.88,-687.7,['NFLX', 'GD'],,,,
NFLX,SHORT,2012-04-10,106.43,229,No-Exit,0,0,2012-04-10,104.43,458,2012-04-18,107.52,-249.61,458,['GD'],,,,,
AAPL,SHORT,2012-04-20,79.05,299,2012-04-20,80.33,-382.72,2012-04-20,78.78,80.9,2012-04-24,76.11,879.56,-382.72,['GD'],,,,,
GD,SHORT,2012-04-09,65.74,378,No-Exit,0,0,2012-04-11,63.88,702.16,2012-04-24,64.99,284.09,702.16,[],,,,,
CP,LONG,2012-04-27,75.54,327,No-Exit,0,0,No-Exit,0,0,2012-04-30,74.2,-438.18,-438.18,[],,,,,
URI,SHORT,2012-05-16,38.64,613,No-Exit,0,0,2012-05-17,36.64,1226,2012-05-23,36.14,1532.5,1226,['VRX'],,,,,
VRX,SHORT,2012-05-15,50.59,485,No-Exit,0,0,2012-05-17,48.59,970,2012-05-24,47.59,1455,970,[],,,,,
FDX,SHORT,2012-06-04,83.62,307,No-Exit,0,0,No-Exit,0,0,2012-06-05,84.22,-184.2,-184.2,[],,,,,
CF,LONG,2012-06-20,174.94,90,No-Exit,0,0,No-Exit,0,0,2012-06-21,172.86,-187.2,-187.2,['AMZN'],,,,,
AMZN,LONG,2012-06-19,223.96,114,No-Exit,0,0,2012-06-21,225.96,228,2012-06-22,219.97,-454.86,228,[],,,,,
AGN,LONG,2012-06-29,72.87,350,No-Exit,0,0,2012-07-02,74.87,700,2012-07-10,74.71,644,700,[],,,,,
ODFL,SHORT,2012-07-12,27.27,939,No-Exit,0,0,No-Exit,0,0,2012-07-18,27.92,-610.35,-610.35,[],,,,,
NFLX,SHORT,2012-07-26,59,430,No-Exit,0,0,2012-07-26,57,860,2012-08-06,55.16,1651.2,860,[],,,,,
VIAB,LONG,2012-08-07,47.08,552,No-Exit,0,0,2012-08-17,49,1057.93,2012-08-21,48.43,745.2,1057.93,[],,,,,
AMZN,LONG,2012-08-27,247.07,106,No-Exit,0,0,No-Exit,0,0,2012-08-28,243.03,-428.24,-428.24,[],,,,,
MA,LONG,2012-09-07,42.86,609,No-Exit,0,0,2012-09-07,43.05,120.58,2012-09-20,44.31,882.66,120.58,['V'],,,,,
V,LONG,2012-09-12,130.32,124,No-Exit,0,0,2012-09-13,132.29,243.67,2012-09-24,131.77,179.38,243.67,[],,,,,
AAPL,SHORT,2012-10-02,89.16,297,2012-10-02,90.4,-368.28,2012-10-02,88.89,80.7,2012-10-03,90.4,-368.28,-368.28,[],,,,,
AAPL,SHORT,2012-10-05,90.37,291,No-Exit,0,0,2012-10-05,90.1,79.07,2012-10-15,85.91,1298.68,79.07,['IWM'],,,,,
IWM,SHORT,2012-10-10,79.4,330,No-Exit,0,0,No-Exit,0,0,2012-10-16,80.22,-269.11,-269.11,[],,,,,
VIAB,SHORT,2012-10-26,51.07,524,No-Exit,0,0,2012-10-31,49.14,1009.7,2012-11-13,47.65,1792.08,1009.7,['AGN', 'ALL'],,,,
ALL,SHORT,2012-11-02,36.87,704,No-Exit,0,0,No-Exit,0,0,2012-11-14,37.22,-246.4,-246.4,['AGN'],,,,,
AGN,SHORT,2012-11-09,85.37,292,No-Exit,0,0,2012-11-14,83.37,584,2012-11-16,83.16,645.32,584,['UNP', 'FDX'],,,,
FDX,SHORT,2012-11-15,85.72,182,No-Exit,0,0,No-Exit,0,0,2012-11-20,86.36,-116.67,-116.67,['UNP'],,,,,
UNP,SHORT,2012-11-15,55.98,483,No-Exit,0,0,No-Exit,0,0,2012-11-20,57.53,-748.65,-748.65,[],,,,,
AMZN,LONG,2012-11-23,239.89,114,No-Exit,0,0,2012-11-26,241.89,228,2012-11-28,242.45,291.84,228,[],,,,,
VRX,LONG,2012-12-05,57.4,297,No-Exit,0,0,No-Exit,0,0,2012-12-10,57.49,26.73,26.73,['GOOGL', 'CP'],,,,
GILD,LONG,2012-12-12,76,108,No-Exit,0,0,No-Exit,0,0,2012-12-13,74.98,-110.16,-110.16,['GOOGL', 'FDX', 'CP'],,,
CP,LONG,2012-12-05,92.68,110,No-Exit,0,0,2012-12-05,94.64,215.42,2012-12-13,97.49,529.1,215.42,['GOOGL', 'FDX'],,,,
GOOGL,LONG,2012-11-29,343.89,79,No-Exit,0,0,2012-11-29,344.89,79,2012-12-14,349.58,449.91,79,['FDX'],,,,,
FDX,LONG,2012-12-11,89.86,146,No-Exit,0,0,No-Exit,0,0,2012-12-18,89.96,15.17,15.17,[],,,,,
URI,LONG,2012-12-19,44.95,617,No-Exit,0,0,No-Exit,0,0,2012-12-20,44.61,-209.78,-209.78,[],,,,,
AMZN,SHORT,2012-12-31,243.75,112,2012-12-31,247.1,-375.2,No-Exit,0,0,2013-01-02,256.08,-1380.96,-375.2,[],,,,,
WHR,LONG,2013-01-03,103.5,262,No-Exit,0,0,No-Exit,0,0,2013-01-07,101.65,-484.7,-484.7,[],,,,,
NFLX,LONG,2013-01-14,102.12,164,No-Exit,0,0,2013-01-14,104.12,328,2013-01-16,99.22,-475.6,328,['CF'],,,,,
CF,LONG,2013-01-10,209.52,128,No-Exit,0,0,2013-01-10,211.46,248.26,2013-01-18,210.22,89.6,248.26,[],,,,,
UNP,LONG,2013-02-25,65.74,244,2013-02-25,64.26,-361.64,No-Exit,0,0,2013-02-26,64.26,-361.64,-361.64,['V'],,,,,
V,LONG,2013-02-25,157.69,169,2013-02-25,155.25,-412.36,No-Exit,0,0,2013-02-26,153.97,-628.18,-412.36,[],,,,,
URI,SHORT,2013-02-26,50.21,210,No-Exit,0,0,No-Exit,0,0,2013-02-28,53.85,-764.4,-764.4,['UNP'],,,,,
UNP,LONG,2013-02-28,66.5,388,No-Exit,0,0,No-Exit,0,0,2013-03-01,65.99,-198.31,-198.31,[],,,,,
AMZN,LONG,2013-03-04,266.8,97,No-Exit,0,0,2013-03-04,268.8,194,2013-03-08,273.25,625.65,194,[],,,,,
AGN,LONG,2013-03-11,87.91,299,No-Exit,0,0,2013-03-12,89.91,598,2013-03-19,89.95,609.96,598,[],,,,,
URI,LONG,2013-03-21,55.82,475,2013-03-21,53.47,-1116.25,No-Exit,0,0,2013-03-22,53.88,-921.5,-1116.25,[],,,,,
NFLX,LONG,2013-03-27,192.84,135,No-Exit,0,0,2013-03-27,194.84,270,2013-04-01,187.31,-746.55,270,[],,,,,
URI,LONG,2013-04-11,55.02,470,No-Exit,0,0,2013-04-11,57.02,940,2013-04-15,52.92,-987,940,['AAPL'],,,,,
AAPL,SHORT,2013-04-15,58.62,273,No-Exit,0,0,2013-04-15,58.34,74.95,2013-04-23,55.46,862.31,74.95,[],,,,,
AAPL,LONG,2013-04-30,59.73,434,No-Exit,0,0,2013-04-30,60,119.15,2013-05-14,62.31,1120.91,119.15,[],,,,,
CVS,LONG,2013-05-15,59.02,445,No-Exit,0,0,No-Exit,0,0,2013-05-17,57.78,-551.8,-551.8,[],,,,,
VIAB,SHORT,2013-06-03,63.81,408,No-Exit,0,0,No-Exit,0,0,2013-06-04,66.57,-1124.66,-1124.66,[],,,,,
WHR,SHORT,2013-06-06,115.68,132,2013-06-06,119.58,-514.8,No-Exit,0,0,2013-06-07,120.11,-584.21,-514.8,['CP'],,,,,
CP,SHORT,2013-06-06,119.13,215,2013-06-06,121.95,-607.03,No-Exit,0,0,2013-06-07,124.31,-1114.22,-607.03,[],,,,,
AMZN,LONG,2013-06-10,278.69,89,No-Exit,0,0,2013-06-10,280.69,178,2013-06-12,274.15,-404.06,178,['NFLX', 'GILD', 'CF'],,,
MA,SHORT,2013-06-13,55.33,194,2013-06-13,55.71,-74.18,No-Exit,0,0,2013-06-14,56.99,-322.5,-74.18,['UNP', 'NFLX', 'GILD', 'IWM', 'CF', 'AAPL']
NFLX,SHORT,2013-06-12,213.6,69,No-Exit,0,0,2013-06-12,211.6,138,2013-06-14,216.01,-166.29,138,['UNP', 'GILD', 'IWM', 'CF', 'AAPL'],
UNP,SHORT,2013-06-13,74.68,75,2013-06-13,76.34,-124.5,No-Exit,0,0,2013-06-14,76.5,-136.5,-124.5,['GILD', 'IWM', 'CF', 'AAPL'],,
GILD,SHORT,2013-06-11,51.9,299,No-Exit,0,0,No-Exit,0,0,2013-06-14,52.25,-104.62,-104.62,['IWM', 'CF', 'AAPL'],,,
IWM,SHORT,2013-06-13,94.17,161,No-Exit,0,0,No-Exit,0,0,2013-06-17,96.28,-340.15,-340.15,['CF', 'AAPL'],,,,
CF,SHORT,2013-06-12,182.44,45,No-Exit,0,0,2013-06-12,180.49,87.62,2013-06-19,184.45,-90.33,87.62,['MA', 'CVS', 'V', 'AAPL'],,
CVS,LONG,2013-06-19,58.88,146,No-Exit,0,0,No-Exit,0,0,2013-06-20,57.26,-236.2,-236.2,['MA', 'V', 'AAPL'],,,
V,LONG,2013-06-19,182.74,83,No-Exit,0,0,No-Exit,0,0,2013-06-20,178.68,-336.98,-336.98,['MA', 'AAPL'],,,,
MA,LONG,2013-06-19,58.1,342,No-Exit,0,0,2013-06-19,58.3,67.87,2013-06-20,57.51,-201.59,67.87,['AAPL'],,,,,
WHR,SHORT,2013-06-21,115.79,119,No-Exit,0,0,2013-06-21,113.84,231.48,2013-06-26,111.7,486.4,231.48,['IWM', 'AAPL'],,,,
IWM,SHORT,2013-06-21,92.86,256,No-Exit,0,0,No-Exit,0,0,2013-06-26,94.26,-358.71,-358.71,['AAPL'],,,,,
AAPL,SHORT,2013-06-13,59.6,243,2013-06-13,60.23,-153.09,2013-06-13,59.32,67.16,2013-06-28,55.26,1054.62,-153.09,[],,,,,
CP,SHORT-SPY-NULL,2013-07-05,118.7,206,No-Exit,0,0,No-Exit,0,0,2013-07-09,119.01,-63.4,0,[],,,,,
WHR,LONG,2013-07-22,126.62,193,No-Exit,0,0,2013-07-22,128.57,375.42,2013-07-24,126.96,65.62,375.42,[],,,,,
AGN,LONG,2013-07-26,130.01,188,No-Exit,0,0,2013-07-26,132.01,376,2013-08-07,135.12,960.68,376,[],,,,,
NFLX,LONG,2013-08-21,273.74,91,2013-08-21,268.11,-512.33,No-Exit,0,0,2013-08-22,269.75,-363.09,-512.33,[],,,,,
CP,LONG,2013-09-11,121.44,37,No-Exit,0,0,No-Exit,0,0,2013-09-12,120.61,-30.71,-30.71,['MA', 'IWM', 'GD', 'V'],,
URI,LONG,2013-09-19,58.46,34,No-Exit,0,0,No-Exit,0,0,2013-09-23,55.77,-91.46,-91.46,['UNP', 'MA', 'IWM', 'GD', 'V', 'CP']
IWM,LONG,2013-09-11,103.17,92,No-Exit,0,0,2013-09-18,105.13,180.48,2013-09-23,104.44,116.84,180.48,['UNP', 'MA', 'GD', 'V', 'CP'],
MA,LONG,2013-09-10,63.97,389,No-Exit,0,0,2013-09-10,64.17,77.28,2013-09-23,68.05,1588.02,77.28,['UNP', 'GD', 'V', 'CP'],,
GD,LONG,2013-09-11,84.52,90,No-Exit,0,0,2013-09-17,86.46,174.94,2013-09-23,85.38,77.4,174.94,['UNP', 'V', 'CP'],,,
V,LONG,2013-09-11,183.25,52,No-Exit,0,0,2013-09-12,185.24,103.02,2013-09-25,191.02,403.81,103.02,['UNP', 'CP'],,,,
CP,LONG,2013-09-16,123.43,42,No-Exit,0,0,2013-09-18,125.41,82.99,2013-09-25,123.58,6.14,82.99,['UNP'],,,,,
UNP,LONG,2013-09-18,77.15,41,No-Exit,0,0,2013-09-18,78.13,40.05,2013-09-27,76.58,-23.37,40.05,[],,,,,
V,SHORT,2013-10-09,180.59,66,No-Exit,0,0,2013-10-09,178.61,130.75,2013-10-10,184.19,-237.3,130.75,['GOOGL', 'GILD', 'IWM', 'FLT', 'GD', 'WHR']
WHR,SHORT,2013-10-09,130.43,61,2013-10-09,133.85,-208.62,No-Exit,0,0,2013-10-10,134.39,-241.58,-208.62,['GOOGL', 'GILD', 'IWM', 'FLT', 'GD'],
GD,SHORT,2013-10-09,82.14,46,No-Exit,0,0,No-Exit,0,0,2013-10-10,84.47,-107.01,-107.01,['GOOGL', 'GILD', 'IWM', 'FLT'],,
GILD,SHORT,2013-10-08,61.46,415,No-Exit,0,0,2013-10-08,59.46,830,2013-10-10,62.75,-535.35,830,['GOOGL', 'IWM', 'FLT'],,,
GOOGL,SHORT,2013-10-04,435.95,58,No-Exit,0,0,2013-10-07,434.95,58,2013-10-11,434.43,88.16,58,['IWM', 'FLT'],,,,
IWM,SHORT,2013-10-09,102.01,123,No-Exit,0,0,No-Exit,0,0,2013-10-11,104.88,-353.01,-353.01,['FLT'],,,,,
FLT,SHORT,2013-10-09,103.91,107,No-Exit,0,0,2013-10-09,101.91,214,2013-10-11,108.16,-454.75,214,[],,,,,
GOOGL,LONG,2013-10-21,507.83,30,No-Exit,0,0,2013-10-21,508.83,30,2013-10-28,507.29,-16.2,30,['CVS'],,,,,
WHR,LONG,2013-10-30,145.77,105,2013-10-30,142.02,-393.75,No-Exit,0,0,2013-10-31,142.02,-393.75,-393.75,['CVS'],,,,,
CVS,LONG,2013-10-18,59.53,420,No-Exit,0,0,2013-10-22,61.49,824.69,2013-10-31,61.02,625.37,824.69,[],,,,,
AAPL,SHORT,2013-11-21,71.94,346,2013-11-21,72.45,-176.46,No-Exit,0,0,2013-11-22,73,-366.76,-176.46,['WHR'],,,,,
WHR,LONG,2013-11-22,147.88,163,No-Exit,0,0,No-Exit,0,0,2013-11-25,146.9,-159.74,-159.74,[],,,,,
AAPL,LONG,2013-11-27,75.04,329,No-Exit,0,0,2013-11-27,75.32,92.07,2013-12-11,78.77,1227.17,92.07,[],,,,,
AGN,SHORT,2013-12-12,159.92,157,No-Exit,0,0,No-Exit,0,0,2013-12-16,162.83,-456.87,-456.87,[],,,,,
CVS,LONG,2013-12-19,68.87,363,No-Exit,0,0,2013-12-27,70.84,715.44,2014-01-02,70.12,455.42,715.44,['IWM'],,,,,
IWM,LONG,2013-12-23,112.53,138,No-Exit,0,0,No-Exit,0,0,2014-01-06,112.54,1.38,1.38,[],,,,,
NFLX,SHORT,2014-01-08,336.73,74,2014-01-08,343.64,-511.34,No-Exit,0,0,2014-01-09,343.64,-511.34,-511.34,['VRX', 'CF'],,,,
VRX,LONG,2014-01-08,126.98,119,No-Exit,0,0,2014-01-08,128.98,238,2014-01-14,130.12,373.66,238,['CF'],,,,,
CF,LONG,2014-01-09,230.83,83,No-Exit,0,0,2014-01-09,232.79,162.71,2014-01-22,241,844.11,162.71,['V'],,,,,
V,LONG,2014-01-21,232.64,77,No-Exit,0,0,No-Exit,0,0,2014-01-24,224.71,-610.64,-610.64,['GD'],,,,,
GD,LONG-SPY-NULL,2014-01-23,99.19,188,No-Exit,0,0,No-Exit,0,0,2014-01-27,96.3,-543.97,0,['AMZN'],,,,,
AMZN,SHORT,2014-01-27,387.07,46,2014-01-27,392.88,-267.26,2014-01-27,385.07,92,2014-01-28,391.13,-186.76,-267.26,[],,,,,
CF,SHORT,2014-01-30,224.71,111,2014-01-30,228.66,-438.45,No-Exit,0,0,2014-01-31,228.66,-438.45,-438.45,[],,,,,
FLT,LONG,2014-02-12,115.31,215,No-Exit,0,0,2014-02-12,117.31,430,2014-02-20,118.24,629.95,430,['UNH', 'CP'],,,,
CP,LONG,2014-02-12,152.53,97,No-Exit,0,0,2014-02-14,154.52,192.59,2014-02-25,156.27,362.78,192.59,['V', 'UNH'],,,,
V,LONG,2014-02-25,225.72,69,No-Exit,0,0,No-Exit,0,0,2014-02-26,224.28,-99.36,-99.36,['UNH'],,,,,
WHR,LONG,2014-02-28,143.63,149,No-Exit,0,0,No-Exit,0,0,2014-03-03,140.43,-477.43,-477.43,['MA', 'UNH'],,,,
MA,LONG,2014-02-28,77.85,165,No-Exit,0,0,No-Exit,0,0,2014-03-03,76.19,-274.32,-274.32,['UNH'],,,,,
UNH,LONG,2014-02-18,72.84,133,No-Exit,0,0,2014-02-24,74.81,261.7,2014-03-06,76.43,477.47,261.7,[],,,,,
V,SHORT,2014-03-14,218.98,114,No-Exit,0,0,No-Exit,0,0,2014-03-17,222.45,-395.58,-395.58,['NFLX'],,,,,
NFLX,SHORT,2014-03-17,423.55,58,2014-03-17,428.19,-269.12,No-Exit,0,0,2014-03-20,426.65,-179.8,-269.12,[],,,,,
FDX,SHORT,2014-03-27,131.38,113,No-Exit,0,0,No-Exit,0,0,2014-04-02,134.09,-306.23,-306.23,['IWM', 'NXPI'],,,,
IWM,SHORT,2014-03-27,113.28,219,No-Exit,0,0,No-Exit,0,0,2014-04-02,117.16,-849.72,-849.72,['NXPI'],,,,,
NXPI,LONG,2014-04-02,61.99,386,No-Exit,0,0,No-Exit,0,0,2014-04-04,58.39,-1389.6,-1389.6,[],,,,,
AAPL,SHORT,2014-04-08,73.43,324,No-Exit,0,0,2014-04-08,73.15,91.21,2014-04-09,74.11,-220.32,91.21,[],,,,,
GD,SHORT,2014-04-11,104.29,227,No-Exit,0,0,No-Exit,0,0,2014-04-16,106.35,-467.31,-467.31,[],,,,,
AMZN,SHORT,2014-04-28,302.51,77,No-Exit,0,0,2014-04-28,300.51,154,2014-04-30,301,116.27,154,[],,,,,
GD,LONG,2014-05-01,108.75,217,No-Exit,0,0,2014-05-05,110.73,429.54,2014-05-08,110.31,338.52,429.54,[],,,,,
AMZN,LONG,2014-05-27,314.41,17,2014-05-27,308.85,-94.52,No-Exit,0,0,2014-05-28,309.5,-83.47,-94.52,['GOOGL', 'IWM', 'GD'],,,
GD,LONG,2014-05-22,113.75,125,No-Exit,0,0,2014-05-28,115.73,247.43,2014-05-30,115.83,260,247.43,['GOOGL', 'IWM'],,,,
GOOGL,LONG,2014-05-22,552.2,43,No-Exit,0,0,2014-05-22,554.2,86,2014-06-03,560.9,374.1,86,['IWM'],,,,,
IWM,LONG,2014-05-27,111.54,84,No-Exit,0,0,2014-06-05,113.52,166.28,2014-06-13,113.72,183.27,166.28,[],,,,,
GOOGL,LONG,2014-06-26,589.3,40,2014-06-26,579.74,-382.4,No-Exit,0,0,2014-07-03,590.15,34,-382.4,['GILD', 'V'],,,,
GILD,LONG,2014-06-27,82.41,183,No-Exit,0,0,2014-06-30,84.41,366,2014-07-10,86.95,830.82,366,['V'],,,,,
V,LONG,2014-07-02,214.19,43,No-Exit,0,0,2014-07-07,216.18,85.67,2014-07-21,217.73,152.22,85.67,['AMZN', 'CP'],,,,
AMZN,LONG,2014-07-14,347.2,60,No-Exit,0,0,2014-07-14,349.2,120,2014-07-22,355.25,483,120,['CP'],,,,,
CP,LONG,2014-07-17,188.36,70,No-Exit,0,0,2014-07-17,190.35,139.53,2014-07-24,197.35,629.56,139.53,[],,,,,
GD,SHORT,2014-08-07,113.82,218,No-Exit,0,0,No-Exit,0,0,2014-08-08,115.98,-470.88,-470.88,[],,,,,
UNP,LONG,2014-08-15,101.24,244,No-Exit,0,0,2014-08-19,103.23,483.62,2014-08-27,104.12,701.82,483.62,['AGN', 'IWM', 'URI', 'CP'],,
CP,LONG,2014-08-18,195.58,78,No-Exit,0,0,2014-08-20,197.58,155.48,2014-08-27,198.76,247.89,155.48,['AGN', 'IWM', 'URI'],,,
URI,LONG,2014-08-19,114.9,33,No-Exit,0,0,2014-08-20,116.9,66,2014-09-03,117.95,100.65,66,['AGN', 'IWM', 'VRX'],,,
IWM,LONG,2014-08-19,114.6,68,No-Exit,0,0,2014-09-02,116.59,135.13,2014-09-03,115.73,76.84,135.13,['AGN', 'VRX'],,,,
VRX,LONG,2014-09-03,120.63,151,No-Exit,0,0,No-Exit,0,0,2014-09-04,118.53,-317.1,-317.1,['AGN'],,,,,
AGN,LONG,2014-08-19,218.6,28,No-Exit,0,0,2014-08-19,220.6,56,2014-09-05,229.07,293.16,56,[],,,,,
IWM,LONG,2014-09-17,114.06,217,No-Exit,0,0,No-Exit,0,0,2014-09-19,114.01,-10.85,-10.85,['NFLX', 'GOOGL', 'WHR'],,,
GOOGL,LONG,2014-09-19,599.49,15,No-Exit,0,0,2014-09-19,601.49,30,2014-09-22,593.8,-85.35,30,['NFLX', 'WHR'],,,,
WHR,LONG,2014-09-18,154.4,100,No-Exit,0,0,No-Exit,0,0,2014-09-23,152.05,-235.02,-235.02,['NFLX', 'VRX', 'URI'],,,
VRX,SHORT,2014-09-23,114.45,98,No-Exit,0,0,No-Exit,0,0,2014-09-24,119.65,-509.6,-509.6,['NFLX', 'URI'],,,,
NFLX,SHORT,2014-09-16,448.4,54,No-Exit,0,0,2014-09-16,446.4,108,2014-09-25,451.19,-150.66,108,['URI'],,,,,
URI,SHORT,2014-09-23,114,167,No-Exit,0,0,2014-09-25,112,334,2014-09-30,113.02,163.66,334,['WHR'],,,,,
UNP,SHORT,2014-10-02,104.76,194,No-Exit,0,0,No-Exit,0,0,2014-10-03,108.02,-632.44,-632.44,['GD', 'WHR', 'UNH', 'NXPI'],,
