Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01-01-2007--12-27-2007,1,2.0,1.0,50.0,-1926.6,-1.9265999999999999,4.456391030628834,1.0,1.0,100.0,1.0,0.0,0.0
01-31-2007--01-26-2008,2,3.0,1.0,33.33333333333333,-2546.93,-2.5469299999999997,-7.450434782608702,1.0,1.0,100.0,2.0,0.0,0.0
03-02-2007--02-25-2008,3,4.0,1.0,25.0,-4580.01,-4.580010000000001,-0.9663229249296712,2.0,1.0,50.0,2.0,0.0,0.0
04-01-2007--03-26-2008,4,4.0,1.0,25.0,-4580.01,-4.580010000000001,-6.302757456387176,2.0,1.0,50.0,2.0,0.0,0.0
05-01-2007--04-25-2008,5,4.0,1.0,25.0,-4580.01,-4.580010000000001,-6.100760072644107,2.0,1.0,50.0,2.0,0.0,0.0
05-31-2007--05-25-2008,6,4.0,1.0,25.0,-4580.01,-4.580010000000001,-10.226976258805118,2.0,1.0,50.0,2.0,0.0,0.0
06-30-2007--06-24-2008,7,5.0,1.0,20.0,-5678.75,-5.67875,-13.571381513933723,2.0,1.0,50.0,3.0,0.0,0.0
07-30-2007--07-24-2008,8,5.0,1.0,20.0,-5678.75,-5.67875,-14.839191206405205,2.0,1.0,50.0,3.0,0.0,0.0
08-29-2007--08-23-2008,9,6.0,1.0,16.666666666666664,-8529.14,-8.529139999999998,-11.621400300259316,3.0,1.0,33.33333333333333,3.0,0.0,0.0
09-28-2007--09-22-2008,10,7.0,2.0,28.57142857142857,123.73000000000138,0.12373000000000138,-20.605583955957538,3.0,1.0,33.33333333333333,4.0,1.0,25.0
10-28-2007--10-22-2008,11,7.0,2.0,28.57142857142857,123.73000000000138,0.12373000000000138,-41.250892104067994,3.0,1.0,33.33333333333333,4.0,1.0,25.0
11-27-2007--11-21-2008,12,6.0,2.0,33.33333333333333,3264.42,3.26442,-44.223890018938064,3.0,1.0,33.33333333333333,3.0,1.0,33.33333333333333
12-27-2007--12-21-2008,13,6.0,1.0,16.666666666666664,-1817.2400000000007,-1.8172400000000004,-40.27900047402993,3.0,0.0,0.0,3.0,1.0,33.33333333333333
01-26-2008--01-20-2009,14,5.0,1.0,20.0,-1191.9999999999995,-1.1919999999999995,-40.42443064182196,3.0,0.0,0.0,2.0,1.0,50.0
02-25-2008--02-19-2009,15,4.0,1.0,25.0,909.8000000000002,0.9098000000000002,-43.07070559965048,2.0,0.0,0.0,2.0,1.0,50.0
03-26-2008--03-21-2009,16,4.0,1.0,25.0,909.8000000000002,0.9098000000000002,-42.409909909909906,2.0,0.0,0.0,2.0,1.0,50.0
04-25-2008--04-20-2009,17,4.0,1.0,25.0,909.8000000000002,0.9098000000000002,-40.236389684813744,2.0,0.0,0.0,2.0,1.0,50.0
05-25-2008--05-20-2009,18,4.0,1.0,25.0,909.8000000000002,0.9098000000000002,-34.72522717438338,2.0,0.0,0.0,2.0,1.0,50.0
06-24-2008--06-19-2009,19,4.0,1.0,25.0,-4151.700000000001,-4.151700000000001,-29.842213583352382,2.0,0.0,0.0,2.0,1.0,50.0
07-24-2008--07-19-2009,20,4.0,1.0,25.0,-4151.700000000001,-4.151700000000001,-25.001991873157525,2.0,0.0,0.0,2.0,1.0,50.0
