Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,Strategy vs Market,Strategy+2 vs M,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
02-19-2009--02-14-2010,27,20,11,55,9841.36,9.84136,38.1921438713,0,0,8,5,62.5,12,6,50
12-30-2012--12-25-2013,74,15,9,60,9607.55,9.60755,28.4530580718,0,0,12,8,66.6666666667,3,1,33.3333333333
05-29-2013--05-24-2014,79,19,11,57.8947368421,9315.69,9.31569,15.2100229996,0,0,13,10,76.9230769231,6,1,16.6666666667
07-28-2013--07-23-2014,81,19,11,57.8947368421,9292.33,9.29233,17.8243074915,0,0,14,10,71.4285714286,5,1,20
08-27-2013--08-22-2014,82,19,11,57.8947368421,9292.33,9.29233,21.9555501133,0,0,14,10,71.4285714286,5,1,20
09-26-2013--09-21-2014,83,20,11,55,8659,8.659,18.2745005598,0,0,14,10,71.4285714286,6,1,16.6666666667
01-01-2007--12-27-2007,1,7,2,28.5714285714,8467.89,8.46789,4.4563910306,1,1,3,1,33.3333333333,4,1,25
07-30-2007--07-24-2008,8,21,6,28.5714285714,6739.15,6.73915,-14.8391912064,1,1,8,2,25,13,4,30.7692307692
07-19-2009--07-14-2010,32,20,9,45,4750.55,4.75055,15.2631634273,0,0,10,5,50,10,4,40
10-12-2010--10-07-2011,47,19,9,47.3684210526,4613.89,4.61389,-1.1110161525,1,1,15,7,46.6666666667,4,2,50
01-29-2013--01-24-2014,75,18,10,55.5555555556,4248.53,4.24853,18.7375547591,0,0,15,9,60,3,1,33.3333333333
02-28-2013--02-23-2014,76,21,10,47.619047619,3695.21,3.69521,21.2914715388,0,0,15,9,60,6,1,16.6666666667
11-11-2010--11-06-2011,48,16,6,37.5,3392.59,3.39259,3.1619188556,1,1,12,4,33.3333333333,4,2,50
03-30-2013--03-25-2014,77,22,11,50,3282.29,3.28229,19.3912207626,0,0,16,10,62.5,6,1,16.6666666667
12-21-2008--12-16-2009,25,13,6,46.1538461538,3211.11,3.21111,28.0955662761,0,0,6,4,66.6666666667,7,2,28.5714285714
08-29-2007--08-23-2008,9,22,6,27.2727272727,2880.79,2.88079,-11.6214003003,1,1,9,2,22.2222222222,13,4,30.7692307692
01-20-2009--01-15-2010,26,15,7,46.6666666667,2628.3,2.6283,41.0450539903,0,0,8,5,62.5,7,2,28.5714285714
12-11-2010--12-06-2011,49,13,5,38.4615384615,1748.39,1.74839,1.3648041105,1,1,8,3,37.5,5,2,40
03-05-2012--02-28-2013,64,29,11,37.9310344828,543.55,0.54355,10.8665447898,0,0,15,5,33.3333333333,14,6,42.8571428571
11-30-2012--11-25-2013,73,14,7,50,-880.39,-0.88039,27.0655270655,0,0,11,6,54.5454545455,3,1,33.3333333333
04-04-2012--03-30-2013,65,25,10,40,-1037.96,-1.03796,12.0191620192,0,0,11,4,36.3636363636,14,6,42.8571428571
02-04-2012--01-29-2013,63,30,11,36.6666666667,-1276.72,-1.27672,12.0565265898,0,0,16,5,31.25,14,6,42.8571428571
10-31-2012--10-26-2013,72,14,7,50,-1282.66,-1.28266,24.4782454899,0,0,10,5,50,4,2,50
01-05-2012--12-30-2012,62,31,11,35.4838709677,-1584.37,-1.58437,9.3642611684,0,0,17,5,29.4117647059,14,6,42.8571428571
09-28-2007--09-22-2008,10,23,6,26.0869565217,-1774.96,-1.77496,-20.605583956,1,1,8,1,12.5,15,5,33.3333333333
11-25-2013--11-20-2014,85,22,9,40.9090909091,-1981.68,-1.98168,13.8127664286,0,0,16,8,50,6,1,16.6666666667
10-22-2008--10-17-2009,23,12,5,41.6666666667,-3847.03,-3.84703,20.2540033131,0,0,6,3,50,6,2,33.3333333333
11-21-2008--11-16-2009,24,12,5,41.6666666667,-3847.03,-3.84703,39.8516096579,0,0,6,3,50,6,2,33.3333333333
