Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Current-Pos
UNP,LONG,2007-09-19,25.58,1494,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2007-09-20,24.70,-1315.95,-1315.95,[]
UNP,LONG,2008-02-01,27.53,1362,No-Exit,0.0,0.0,2008-02-01,27.97,596.10,2008-02-05,26.84,-939.78,596.10,[]
GOOGL,LONG,2008-04-02,234.95,98,No-Exit,0.0,0.0,2008-04-02,235.95,98.00,2008-04-03,228.36,-645.82,98.00,['GILD', 'VIAB']
GILD,LONG,2008-04-01,51.21,725,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-07,51.26,35.69,35.69,['CF', 'VIAB']
VIAB,LONG,2008-04-02,37.92,364,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-10,37.24,-247.52,-247.52,['CF']
CF,LONG,2008-04-07,121.35,146,No-Exit,0.0,0.0,2008-04-07,123.24,275.35,2008-04-18,141.45,2934.35,275.35,['NFLX']
AMZN,LONG,2008-04-21,81.25,326,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-22,77.65,-1173.60,-1173.60,['NFLX']
NFLX,LONG,2008-04-17,39.31,765,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-04-22,33.69,-4299.30,-4299.30,[]
FDX,LONG,2008-05-02,95.21,376,2008-05-02,92.76,-922.67,No-Exit,0.0,0.0,2008-05-05,92.14,-1155.20,-922.67,[]
GD,LONG,2008-07-24,76.01,465,2008-07-24,73.35,-1236.90,No-Exit,0.0,0.0,2008-08-01,75.36,-302.25,-1236.90,['UNP']
UNP,LONG,2008-07-24,34.54,620,No-Exit,0.0,0.0,2008-07-29,35.42,546.22,2008-08-07,35.72,734.67,546.22,[]
AAPL,LONG,2008-08-13,24.11,1475,No-Exit,0.0,0.0,2008-08-14,24.38,399.07,2008-08-18,23.62,-722.75,399.07,[]
UNP,LONG,2008-08-29,37.23,948,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-09-02,36.28,-900.60,-900.60,[]
AAPL,SHORT,2008-09-05,21.45,1608,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-09-08,22.26,-1300.80,-1300.80,[]
IWM,SHORT,2008-09-16,63.30,538,2008-09-16,66.06,-1484.24,No-Exit,0.0,0.0,2008-09-18,66.57,-1758.62,-1484.24,[]
UNP,LONG-SPY-NULL,2008-10-31,28.94,1167,2008-10-31,28.13,-950.42,2008-10-31,29.82,1031.51,2008-11-03,28.58,-420.12,0.0,[]
CP,LONG,2008-11-04,42.31,795,No-Exit,0.0,0.0,2008-11-04,44.15,1462.54,2008-11-05,41.66,-516.75,1462.54,[]
AAPL,LONG,2008-12-09,13.59,2460,No-Exit,0.0,0.0,2008-12-09,13.86,665.56,2008-12-10,13.08,-1254.60,665.56,[]
GD,LONG,2008-12-17,48.33,682,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-12-19,47.39,-644.45,-644.45,['CP']
CP,LONG,2008-12-17,32.49,608,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2008-12-19,30.53,-1192.00,-1192.00,[]
IWM,SHORT,2009-01-15,42.03,767,No-Exit,0.0,0.0,No-Exit,0.0,0.0,2009-01-16,43.95,-1470.54,-1470.54,['UNP']
