Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,69.11,70.59,68.83,69.289997,21809200,9.898571
2011-12-29,68.979997,69.889997,67.609999,69.299997,26163200,9.90
2011-12-28,70.519999,71.000003,68.570001,69.200002,23597000,9.885715
2011-12-27,72.299999,72.489997,70.199998,70.60,21940800,10.085714
2011-12-23,74.130001,74.579998,72.299999,72.62,22556100,10.374286
2011-12-22,71.119999,74.400001,71.119999,73.840001,25860800,10.548572
2011-12-21,71.290003,72.410002,70.189998,70.970002,25386900,10.138572
2011-12-20,68.650002,71.590003,68.219999,71.399999,30880500,10.20
2011-12-19,69.790002,69.790002,66.930003,67.150002,24200400,9.592857
2011-12-16,70.189998,70.849999,69.160001,69.820003,32560500,9.974286
2011-12-15,71.600003,71.959998,69.40,69.72,26247200,9.96
2011-12-14,69.579997,71.649998,68.920002,71.039997,37184000,10.148571
2011-12-13,75.449998,77.59,71.600003,72.110002,72621500,10.301429
2011-12-12,69.740001,76.830003,69.520002,75.26,93400300,10.751429
2011-12-09,69.540003,71.679998,69.530003,70.89,32909100,10.127143
2011-12-08,71.530002,72.950001,69.089999,69.42,46216100,9.917143
2011-12-07,68.300001,72.770003,67.500003,71.959998,59046400,10.28
2011-12-06,70.080002,70.769998,66.81,68.139997,59470600,9.734285
2011-12-05,66.949997,71.909997,65.299999,70.120003,67872000,10.017143
2011-12-02,66.22,67.889998,65.110002,66.369997,39710300,9.481428
2011-12-01,64.419999,68.439998,64.000003,67.170002,52402700,9.595715
2011-11-30,69.029998,69.319998,62.369999,64.530002,108332700,9.218572
2011-11-29,69.329998,69.389999,65.650001,67.569998,50081500,9.652857
2011-11-28,67.200003,70.759997,66.81,69.949999,56503300,9.992857
2011-11-25,68.169998,69.619998,62.899998,63.86,38045000,9.122857
2011-11-23,69.649999,70.779998,68.419997,68.499999,44626400,9.785714
2011-11-22,69.210002,74.200003,68.999997,70.449997,106696800,10.064285
2011-11-21,77.00,79.980001,73.260001,74.470002,44408000,10.638572
2011-11-18,76.70,78.999999,76.039998,78.059998,34729100,11.151428
2011-11-17,80.77,80.999998,75.789999,76.460001,52823400,10.922857
2011-11-16,86.460003,86.460003,80.890002,81.180002,34560400,11.597143
2011-11-15,85.15,87.050003,84.499998,86.279999,21372400,12.325714
2011-11-14,87.989998,88.10,85.45,85.719999,21811300,12.245714
2011-11-11,85.899997,87.949997,83.70,87.749999,38140200,12.535714
2011-11-10,89.290001,90.299997,84.839999,85.119999,39614400,12.16
2011-11-09,89.000001,90.440001,87.999998,88.049999,28756000,12.578571
2011-11-08,91.229999,92.600003,89.650002,90.470001,31906000,12.924286
2011-11-07,91.00,93.839998,89.979997,90.830003,47485200,12.975715
2011-11-04,91.469997,92.890003,87.749999,90.019998,84483700,12.86
2011-11-03,84.130003,92.600003,81.800003,92.290003,94685500,13.184286
2011-11-02,80.709998,84.400002,80.109998,83.389999,41384000,11.912857
2011-11-01,80.109998,80.999998,78.74,80.089997,33016200,11.441428
2011-10-31,83.639998,84.090002,81.450002,82.080003,39653600,11.725715
2011-10-28,80.280002,84.660002,79.599999,84.140003,57769600,12.02
2011-10-27,82.179998,82.719997,79.249998,80.860002,71190000,11.551429
2011-10-26,78.73,81.420001,75.399997,79.400002,148733900,11.342857
2011-10-25,74.899999,79.390001,74.249997,77.370002,315541800,11.052857
2011-10-24,119.100002,120.280003,115.100004,118.839996,120460200,16.977142
2011-10-21,113.689999,117.129997,110.940002,117.039995,43923600,16.719999
2011-10-20,110.050002,111.99,109.08,111.480001,25578000,15.925714
2011-10-19,110.660003,114.089994,105.59,109.420001,60456900,15.631429
2011-10-18,117.25,117.490005,110.580001,111.740001,42016100,15.962857
2011-10-17,115.909996,119.250006,115.229994,117.330002,39347000,16.761429
2011-10-14,121.470003,122.000002,114.400002,116.039999,49319200,16.577143
2011-10-13,112.60,118.969999,111.250003,117.009995,69115200,16.715714
2011-10-12,109.400001,116.240004,107.070001,113.619997,72188200,16.231428
2011-10-11,109.319999,110.940002,103.129997,108.659997,141077300,15.522857
2011-10-10,127.559996,128.500004,107.309999,111.619998,151744600,15.945714
2011-10-07,122.999998,124.179998,116.999994,117.209999,40393500,16.744286
2011-10-06,119.700003,124.25,118.480001,123.240004,40497100,17.605715
2011-10-05,115.590002,119.860006,112.00,119.760004,52418800,17.108572
2011-10-04,114.679995,116.999994,110.000001,114.90,50512000,16.414286
2011-10-03,115.140005,119.939995,112.620001,113.250002,59146500,16.178572
2011-09-30,109.220003,115.750006,107.63,113.270002,76881700,16.181429
2011-09-29,128.069994,128.430002,107.740003,113.190001,135921800,16.17
2011-09-28,128.540005,132.299997,126.57,127.139999,56025200,18.162857
2011-09-27,134.380005,134.990005,126.419996,127.489994,77775600,18.212856
