Period,Period#,# of trades,winning trades,winning percent,PorL,StrategyReturn,MarketReturn,Strategy vs Market,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
11-27-2007--11-21-2008,12,5,3,60,45004.88,45.00488,-44.2238900189,1,1,0,0,4,3,75
12-27-2007--12-21-2008,13,5,3,60,41602.12,41.60212,-40.279000474,1,1,0,0,4,3,75
09-28-2007--09-22-2008,10,7,3,42.8571428571,35542.01,35.54201,-20.605583956,1,1,0,0,6,3,50
10-28-2007--10-22-2008,11,7,3,42.8571428571,35542.01,35.54201,-41.2508921041,1,1,0,0,6,3,50
11-16-2009--11-11-2010,36,12,6,50,22056.86,22.05686,9.3741570003,1,8,5,62.5,4,1,25
01-15-2010--01-10-2011,38,14,7,50,20286.01,20.28601,11.7388243576,1,11,6,54.5454545455,3,1,33.3333333333
12-16-2009--12-11-2010,37,14,6,42.8571428571,19005.33,19.00533,11.6212338594,1,11,5,45.4545454545,3,1,33.3333333333
09-07-2011--09-01-2012,58,11,6,54.5454545455,17627.83,17.62783,17.3497381328,1,7,4,57.1428571429,4,2,50
07-14-2010--07-09-2011,44,11,6,54.5454545455,16523.37,16.52337,22.5707015896,0,8,5,62.5,3,1,33.3333333333
01-10-2011--01-05-2012,50,3,2,66.6666666667,16472.52,16.47252,0.8347771303,1,1,1,100,2,1,50
02-09-2011--02-04-2012,51,3,2,66.6666666667,16472.52,16.47252,1.7169555981,1,1,1,100,2,1,50
02-14-2010--02-09-2011,39,13,6,46.1538461538,16054.28,16.05428,20.5294332058,0,11,6,54.5454545455,2,0,0
06-30-2007--06-24-2008,7,6,2,33.3333333333,15816.75,15.81675,-13.5713815139,1,1,0,0,5,2,40
07-30-2007--07-24-2008,8,6,2,33.3333333333,15816.75,15.81675,-14.8391912064,1,1,0,0,5,2,40
08-29-2007--08-23-2008,9,6,2,33.3333333333,15816.75,15.81675,-11.6214003003,1,1,0,0,5,2,40
01-31-2007--01-26-2008,2,4,1,25,15632.26,15.63226,-7.4504347826,1,1,0,0,3,1,33.3333333333
03-02-2007--02-25-2008,3,4,1,25,15632.26,15.63226,-0.9663229249,1,1,0,0,3,1,33.3333333333
04-01-2007--03-26-2008,4,4,1,25,15632.26,15.63226,-6.3027574564,1,1,0,0,3,1,33.3333333333
05-01-2007--04-25-2008,5,4,1,25,15632.26,15.63226,-6.1007600726,1,1,0,0,3,1,33.3333333333
05-31-2007--05-25-2008,6,4,1,25,15632.26,15.63226,-10.2269762588,1,1,0,0,3,1,33.3333333333
03-11-2011--03-05-2012,52,2,1,50,14159.1,14.1591,4.5169672883,1,1,1,100,1,0,0
07-09-2011--07-03-2012,56,7,4,57.1428571429,13368.47,13.36847,4.1236644692,1,5,3,60,2,1,50
01-26-2008--01-20-2009,14,4,2,50,13025.62,13.02562,-40.4244306418,1,1,0,0,3,2,66.6666666667
02-25-2008--02-19-2009,15,4,2,50,13025.62,13.02562,-43.0707055997,1,1,0,0,3,2,66.6666666667
08-08-2011--08-02-2012,57,9,5,55.5555555556,12984.43,12.98443,21.7174416533,0,5,3,60,4,2,50
11-06-2011--10-31-2012,60,14,7,50,12871.51,12.87151,11.9515285918,1,7,4,57.1428571429,7,3,42.8571428571
12-06-2011--11-30-2012,61,14,7,50,12871.51,12.87151,12.5891018533,1,7,4,57.1428571429,7,3,42.8571428571
04-10-2011--04-04-2012,53,4,2,50,12721.4,12.7214,5.5865921788,1,3,2,66.6666666667,1,0,0
06-14-2010--06-09-2011,43,12,6,50,12670.3,12.6703,18.1638038883,0,9,5,55.5555555556,3,1,33.3333333333
04-15-2010--04-10-2011,41,12,6,50,12128.18,12.12818,9.5391211147,1,9,5,55.5555555556,3,1,33.3333333333
08-18-2009--08-13-2010,33,11,5,45.4545454545,11749.76,11.74976,9.3046725199,1,7,4,57.1428571429,4,1,25
09-17-2009--09-12-2010,34,11,5,45.4545454545,11749.76,11.74976,4.5307079231,1,7,4,57.1428571429,4,1,25
10-17-2009--10-12-2010,35,11,5,45.4545454545,11749.76,11.74976,6.5761909099,1,7,4,57.1428571429,4,1,25
08-13-2010--08-08-2011,45,8,4,50,11142.86,11.14286,3.6469393408,1,6,3,50,2,1,50
09-12-2010--09-07-2011,46,8,4,50,11142.86,11.14286,6.7157558552,1,6,3,50,2,1,50
10-12-2010--10-07-2011,47,8,4,50,11142.86,11.14286,-1.1110161525,1,6,3,50,2,1,50
03-26-2008--03-21-2009,16,5,2,40,10331.29,10.33129,-42.4099099099,1,1,0,0,4,2,50
04-25-2008--04-20-2009,17,5,2,40,10331.29,10.33129,-40.2363896848,1,1,0,0,4,2,50
05-25-2008--05-20-2009,18,5,2,40,10331.29,10.33129,-34.7252271744,1,1,0,0,4,2,50
05-15-2010--05-10-2011,42,13,6,46.1538461538,10323.38,10.32338,19.23650724,0,9,5,55.5555555556,4,1,25
10-07-2011--10-01-2012,59,13,6,46.1538461538,9533.42,9.53342,24.7472128597,0,7,4,57.1428571429,6,2,33.3333333333
05-10-2011--05-04-2012,54,6,3,50,9051.17,9.05117,0.8316773386,1,4,2,50,2,1,50
06-09-2011--06-03-2012,55,6,3,50,9051.17,9.05117,-0.9582689335,1,4,2,50,2,1,50
03-16-2010--03-11-2011,40,13,6,46.1538461538,9023.26,9.02326,12.3958422816,0,10,5,50,3,1,33.3333333333
04-29-2013--04-24-2014,78,7,3,42.8571428571,5230.16,5.23016,17.9096045198,0,4,3,75,3,0,0
06-19-2009--06-14-2010,31,8,3,37.5,4821.97,4.82197,18.979791395,0,5,2,40,3,1,33.3333333333
03-30-2013--03-25-2014,77,7,3,42.8571428571,4809.95,4.80995,19.3912207626,0,5,3,60,2,0,0
06-28-2013--06-23-2014,80,4,2,50,4088.46,4.08846,22.1044757512,0,2,2,100,2,0,0
06-24-2008--06-19-2009,19,4,1,25,3425.95,3.42595,-29.8422135834,1,1,0,0,3,1,33.3333333333
07-24-2008--07-19-2009,20,4,1,25,3425.95,3.42595,-25.0019918732,1,1,0,0,3,1,33.3333333333
03-21-2009--03-16-2010,28,7,3,42.8571428571,3367.61,3.36761,41.5491245136,0,4,2,50,3,1,33.3333333333
07-28-2013--07-23-2014,81,4,2,50,3317.23,3.31723,17.8243074915,0,2,2,100,2,0,0
08-27-2013--08-22-2014,82,4,2,50,3317.23,3.31723,21.9555501133,0,2,2,100,2,0,0
09-26-2013--09-21-2014,83,5,2,40,2720.17,2.72017,18.2745005598,0,2,2,100,3,0,0
10-26-2013--10-21-2014,84,5,2,40,2720.17,2.72017,10.1231345401,0,2,2,100,3,0,0
12-30-2012--12-25-2013,74,7,3,42.8571428571,2561.14,2.56114,28.4530580718,0,6,3,50,1,0,0
01-29-2013--01-24-2014,75,7,3,42.8571428571,2561.14,2.56114,18.7375547591,0,6,3,50,1,0,0
05-29-2013--05-24-2014,79,5,2,40,2556.35,2.55635,15.2100229996,0,2,2,100,3,0,0
11-11-2010--11-06-2011,48,7,3,42.8571428571,1767.49,1.76749,3.1619188556,0,5,2,40,2,1,50
02-28-2013--02-23-2014,76,8,3,37.5,1387.9,1.3879,21.2914715388,0,6,3,50,2,0,0
07-19-2009--07-14-2010,32,9,3,33.3333333333,1361.33,1.36133,15.2631634273,0,6,2,33.3333333333,3,1,33.3333333333
05-04-2012--04-29-2013,66,11,5,45.4545454545,1065,1.065,16.2773722628,0,6,3,50,5,2,40
06-03-2012--05-29-2013,67,12,5,41.6666666667,920.84,0.92084,28.9773614364,0,7,3,42.8571428571,5,2,40
12-11-2010--12-06-2011,49,3,2,66.6666666667,839.96,0.83996,1.3648041105,0,1,1,100,2,1,50
04-20-2009--04-15-2010,29,8,3,37.5,514.97,0.51497,45.3793599425,0,5,2,40,3,1,33.3333333333
05-20-2009--05-15-2010,30,8,3,37.5,514.97,0.51497,25.8313998453,0,5,2,40,3,1,33.3333333333
10-01-2012--09-26-2013,71,8,3,37.5,-891.42,-0.89142,17.5586269008,0,5,2,40,3,1,33.3333333333
11-25-2013--11-20-2014,85,6,2,33.3333333333,-936.76,-0.93676,13.8127664286,0,3,2,66.6666666667,3,0,0
08-23-2008--08-18-2009,21,5,1,20,-1650.83,-1.65083,-21.9579428211,1,2,0,0,3,1,33.3333333333
08-02-2012--07-28-2013,69,11,4,36.3636363636,-1891.46,-1.89146,23.7631733021,0,7,3,42.8571428571,4,1,25
10-31-2012--10-26-2013,72,6,2,33.3333333333,-1934.36,-1.93436,24.4782454899,0,5,2,40,1,0,0
11-30-2012--11-25-2013,73,6,2,33.3333333333,-1934.36,-1.93436,27.0655270655,0,5,2,40,1,0,0
01-05-2012--12-30-2012,62,13,6,46.1538461538,-2724.14,-2.72414,9.3642611684,0,6,3,50,7,3,42.8571428571
02-04-2012--01-29-2013,63,13,6,46.1538461538,-2724.14,-2.72414,12.0565265898,0,6,3,50,7,3,42.8571428571
03-05-2012--02-28-2013,64,13,6,46.1538461538,-2724.14,-2.72414,10.8665447898,0,6,3,50,7,3,42.8571428571
07-03-2012--06-28-2013,68,12,4,33.3333333333,-4356.75,-4.35675,16.7438069455,0,6,2,33.3333333333,6,2,33.3333333333
04-04-2012--03-30-2013,65,12,5,41.6666666667,-4708.5,-4.7085,12.0191620192,0,5,2,40,7,3,42.8571428571
12-25-2013--12-20-2014,86,5,1,20,-5278.6,-5.2786,12.3276495064,0,2,1,50,3,0,0
09-01-2012--08-27-2013,70,9,3,33.3333333333,-5896.99,-5.89699,15.8122385308,0,5,2,40,4,1,25
02-19-2009--02-14-2010,27,7,2,28.5714285714,-7086.14,-7.08614,38.1921438713,0,3,1,33.3333333333,4,1,25
01-01-2007--12-27-2007,1,3,0,0,-7699.32,-7.69932,4.4563910306,0,1,0,0,2,0,0
12-21-2008--12-16-2009,25,5,1,20,-9798.68,-9.79868,28.0955662761,0,2,1,50,3,0,0
01-20-2009--01-15-2010,26,6,1,16.6666666667,-10358.81,-10.35881,41.0450539903,0,3,1,33.3333333333,3,0,0
09-22-2008--09-17-2009,22,4,0,0,-15957.84,-15.95784,-11.9613670134,0,2,0,0,2,0,0
10-22-2008--10-17-2009,23,4,0,0,-15957.84,-15.95784,20.2540033131,0,2,0,0,2,0,0
11-21-2008--11-16-2009,24,4,0,0,-15957.84,-15.95784,39.8516096579,0,2,0,0,2,0,0
,,,,,,,,,,,,,,
,,,,,76.7441860465,,,46.511627907,,,,,,
