Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos,,,,,
GOOGL,LONG,2008-04-02,234.95,418,No-Exit,0,0,2008-04-02,237.28,973.31,2014-12-31,537.74,126566.22,973.31,BB Spread,['CMG'],,,,,
CME,LONG,2007-09-27,117,813,No-Exit,0,0,2007-09-27,118.18,956.9,2007-10-11,123.75,5484.5,956.9,BB Spread,[],,,,,
CME,SHORT,2008-01-04,128.83,756,2008-01-04,129.18,-261.58,2008-01-04,127.54,976.57,2008-01-07,124.82,3034.58,-261.58,BB Spread,['GOOGL', 'AAPL'],,,,
JWN,LONG,2007-12-05,37.16,2594,No-Exit,0,0,2007-12-05,37.53,951.22,2007-12-10,38.13,2516.18,951.22,BB Spread,['AAPL'],,,,,
AAPL,SHORT,2007-11-12,23.42,4518,2007-11-12,23.61,-864.87,2007-11-12,23.18,1066.76,2007-11-13,22.98,1994.37,-864.87,BB Spread,['GRMN'],,,,,
GE,LONG,2008-03-19,36.42,2755,No-Exit,0,0,2008-03-24,36.8,1036.71,2008-03-25,37.03,1680.55,1036.71,BB Spread,['AAPL'],,,,,
GOOGL,SHORT,2008-03-04,225.47,447,2008-03-04,225.47,0,2008-03-04,223.22,1007.87,2008-03-05,222.62,1273.95,1007.87,BB Spread,['AAPL'],,,,,
CMG,LONG,2010-10-25,208.14,2,No-Exit,0,0,2010-10-27,210.25,4.21,2014-12-31,685.55,954.82,4.21,BB Spread,[],,,,,
FSLR,LONG,2009-04-28,152.97,23,No-Exit,0,0,2009-04-28,154.44,33.73,2009-05-07,192.71,914.02,33.73,BB Spread,['GOOGL', 'AAPL'],,,,
NFLX,LONG,2012-01-05,81.17,45,No-Exit,0,0,2012-01-09,82.07,40.32,2012-01-11,94.87,616.5,40.32,BB Spread,['GOOGL', 'CMG'],,,,
NFLX,LONG,2013-03-27,191.54,19,No-Exit,0,0,2013-03-27,193.44,36.15,2013-04-24,213.4,415.34,36.15,BB Spread,['GOOGL', 'CMG', 'AAPL'],,,
EMR,SHORT,2011-07-28,49.83,77,No-Exit,0,0,2011-07-29,49.34,37.6,2011-08-11,44.9,379.61,37.6,BB Spread,['GOOGL', 'CMG'],,,,
CME,LONG,2009-05-13,51.99,85,No-Exit,0,0,2009-05-13,52.54,46.6,2009-05-15,55.79,323,46.6,BB Spread,['GOOGL', 'AAPL'],,,,
FSLR,LONG,2009-09-16,143.89,31,No-Exit,0,0,2009-09-16,145.36,45.57,2009-09-21,153.6,301.01,45.57,BB Spread,['GOOGL'],,,,,
GD,LONG-SPY-NULL,2014-01-23,100.8,7,No-Exit,0,0,No-Exit,0,0,2014-12-31,139.2,268.8,0,BB Spread,['GOOGL', 'CMG'],,,,
AAPL,LONG,2010-09-09,37.86,112,No-Exit,0,0,2010-09-13,38.24,42.53,2010-09-28,40.13,253.92,42.53,BB Spread,['TAP', 'GOOGL'],,,,
KLAC,LONG,2013-01-18,52.2,66,No-Exit,0,0,2013-01-25,52.73,35.31,2013-01-29,55.54,220.44,35.31,BB Spread,['AGN', 'GOOGL', 'CMG', 'AAPL'],,
AAPL,LONG,2009-03-18,14.27,276,No-Exit,0,0,2009-03-18,14.42,40.03,2009-03-25,15.04,211.73,40.03,BB Spread,['GOOGL', 'AAPL'],,,,
CME,LONG,2012-02-03,53.5,79,No-Exit,0,0,2012-02-03,54.05,43.2,2012-03-06,56,197.18,43.2,BB Spread,['GOOGL', 'CMG'],,,,
AAPL,LONG,2013-11-27,76.62,52,No-Exit,0,0,2013-11-27,77.4,40.56,2013-12-06,80.32,192.4,40.56,BB Spread,['GOOGL', 'CMG', 'AAPL'],,,
AAPL,SHORT,2008-09-05,22.66,170,No-Exit,0,0,2008-09-08,22.42,39.97,2009-07-17,21.63,174.37,39.97,BB Spread,['GOOGL'],,,,,
PCLN,LONG,2009-02-20,81.14,52,2009-02-20,78.98,-112.32,2009-02-20,81.98,43.55,2009-02-27,84.21,159.64,-112.32,BB Spread,['GOOGL', 'AAPL'],,,,
FSLR,LONG,2010-06-16,117.75,34,No-Exit,0,0,2010-06-16,118.94,40.38,2010-06-18,122.22,151.98,40.38,BB Spread,['TAP', 'GOOGL'],,,,
FSLR,LONG,2009-12-04,131.69,31,No-Exit,0,0,2009-12-04,132.99,40.18,2009-12-16,136.59,151.9,40.18,BB Spread,['TAP', 'GOOGL'],,,,
CRM,LONG-SPY-NULL,2010-11-22,34.38,124,No-Exit,0,0,2010-11-22,34.73,43.35,2010-11-30,35.54,143.53,0,BB Spread,['GOOGL', 'CMG', 'AMZN'],,,
JNJ,LONG,2012-06-14,64.78,58,No-Exit,0,0,2012-06-14,65.43,37.96,2012-07-24,67.1,134.56,37.96,BB Spread,['GOOGL', 'CMG'],,,,
QCOM,SHORT,2010-01-29,39.81,109,No-Exit,0,0,2010-01-29,39.4,44.5,2010-02-12,38.58,134.07,44.5,BB Spread,['TAP', 'GOOGL'],,,,
AAPL,SHORT,2012-04-20,83.24,46,No-Exit,0,0,2012-04-20,82.4,38.86,2012-04-24,80.37,131.89,38.86,BB Spread,['GOOGL', 'CMG'],,,,
PM,LONG,2011-10-21,68.98,54,No-Exit,0,0,2011-10-21,69.68,37.8,2011-10-31,71.33,126.9,37.8,BB Spread,['GOOGL', 'CMG'],,,,
AMZN,LONG,2011-03-30,177.78,22,No-Exit,0,0,2011-03-30,179.57,39.47,2011-04-11,182.86,111.76,39.47,BB Spread,['QCOM', 'GOOGL', 'CMG'],,,
AAPL,LONG,2014-10-23,104.08,29,No-Exit,0,0,2014-10-27,105.13,30.41,2014-12-15,107.77,107.01,30.41,BB Spread,['GOOGL', 'CMG', 'MMM', 'GD'],,
CRM,SHORT,2013-06-04,39.25,99,No-Exit,0,0,2013-06-04,38.86,38.86,2013-06-14,38.29,95.04,38.86,BB Spread,['GOOGL', 'CMG', 'AAPL', 'FSLR'],,
GOOGL,SHORT,2008-07-21,239,17,2008-07-21,240.22,-20.74,2008-07-21,236.6,40.84,2008-07-22,233.5,93.5,-20.74,BB Spread,['GOOGL'],,,,,
AXP,LONG,2013-10-18,80.6,49,No-Exit,0,0,2013-10-25,81.41,39.57,2013-10-31,82.27,81.83,39.57,BB Spread,['GOOGL', 'CMG', 'AAPL'],,,
CMG,SHORT,2012-10-22,239.34,15,2012-10-22,244.2,-72.9,2012-10-22,236.9,36.63,2012-10-23,234.45,73.35,-72.9,BB Spread,['GOOGL', 'CMG', 'AAPL'],,,
PCLN,LONG,2010-08-05,284.28,13,No-Exit,0,0,2010-08-05,287.21,38.05,2010-08-10,289.25,64.61,38.05,BB Spread,['TAP', 'GOOGL'],,,,
GOOGL,SHORT,2008-01-07,326.97,136,2008-01-07,326.97,0,2008-01-07,323.7,444.68,2008-01-08,326.5,63.92,444.68,BB Spread,['AAPL'],,,,,
FDX,LONG,2013-07-10,104.95,36,No-Exit,0,0,2013-07-10,105.98,37.08,2013-07-23,106.67,61.92,37.08,BB Spread,['GOOGL', 'CMG', 'AAPL'],,,
GOOGL,SHORT,2010-08-20,233.53,17,No-Exit,0,0,2010-08-20,231.19,39.78,2010-09-01,229.89,61.88,39.78,BB Spread,['TAP', 'GOOGL'],,,,
PCLN,LONG,2014-05-27,1206.16,1,No-Exit,0,0,2014-05-27,1218.75,12.59,2014-06-02,1265.84,59.68,12.59,BB Spread,['DISCA', 'GOOGL', 'CMG', 'AAPL', 'GD'],
RIG,LONG,2008-04-07,145.44,23,No-Exit,0,0,2008-04-09,146.89,33.3,2008-04-16,147.81,54.51,33.3,BB Spread,['GOOGL', 'AAPL'],,,,
EMN,LONG,2013-07-31,80.73,49,No-Exit,0,0,2013-08-02,81.55,40.26,2013-08-06,81.67,46.06,40.26,BB Spread,['GOOGL', 'CMG', 'AAPL'],,,
AMZN,LONG,2014-07-14,347.2,9,No-Exit,0,0,2014-07-14,350.75,31.98,2014-07-17,352.06,43.74,31.98,BB Spread,['GOOGL', 'CMG', 'GD'],,,
CTXS,LONG,2014-07-25,67.4,47,No-Exit,0,0,2014-07-25,68.07,31.66,2014-07-31,68.3,42.3,31.66,BB Spread,['GOOGL', 'CMG', 'GD'],,,
VRTX,LONG,2011-04-27,54.16,37,No-Exit,0,0,2011-04-27,54.72,20.55,2011-04-29,54.98,30.34,20.55,BB Spread,['GOOGL', 'CMI', 'CMG'],,,
NFLX,LONG,2011-07-06,291.43,6,No-Exit,0,0,2011-07-08,294.31,17.3,2011-07-14,295.74,25.86,17.3,BB Spread,['GOOGL', 'CMG'],,,,
MMM,LONG,2014-10-24,145.27,1,No-Exit,0,0,2014-10-24,146.76,1.49,2014-12-31,166,20.73,1.49,BB Spread,['GOOGL', 'CMG', 'GD'],,,
AMZN,LONG,2009-06-02,85,48,No-Exit,0,0,2009-06-04,85.85,41,2009-06-08,85.41,19.68,41,BB Spread,['GOOGL', 'AAPL'],,,,
GOOGL,LONG,2012-11-29,346.63,10,No-Exit,0,0,2012-12-03,350.14,35.11,2012-12-31,348.47,18.4,35.11,BB Spread,['GOOGL', 'CMG', 'AAPL'],,,
DISCA,LONG,2014-05-27,78.56,10,No-Exit,0,0,2014-05-29,79.35,7.92,2014-06-11,79.55,9.9,7.92,BB Spread,['GOOGL', 'CMG', 'AAPL', 'GD'],,
RIG,LONG,2010-09-10,55.97,4,No-Exit,0,0,2010-09-10,56.56,2.35,2010-09-14,58.25,9.12,2.35,BB Spread,['TAP', 'GOOGL', 'AAPL'],,,
AAPL,SHORT,2009-12-07,27.58,6,2009-12-07,27.62,-0.22,2009-12-07,27.3,1.66,2009-12-08,27.05,3.17,-0.22,BB Spread,['TAP', 'GOOGL', 'FSLR'],,,
AAPL,SHORT,2011-11-17,54.34,6,No-Exit,0,0,2011-11-17,53.79,3.29,2011-11-29,53.88,2.76,3.29,BB Spread,['GOOGL', 'CMG'],,,,
AAPL,SHORT,2013-01-15,71.19,2,No-Exit,0,0,2013-01-15,70.47,1.42,2013-01-16,71.99,-1.61,1.42,BB Spread,['AGN', 'GOOGL', 'CMG', 'AAPL'],,
AMZN,LONG-SPY-NULL,2010-11-26,178.09,1,No-Exit,0,0,No-Exit,0,0,2010-12-02,174.9,-3.19,0,BB Spread,['GOOGL', 'CMG'],,,,
CMI,LONG,2011-04-27,117.4,17,No-Exit,0,0,2011-04-27,118.59,20.24,2011-05-03,117.18,-3.74,20.24,BB Spread,['GOOGL', 'CMG'],,,,
GOOGL,LONG,2011-07-06,267.06,7,No-Exit,0,0,No-Exit,0,0,2011-07-08,266.48,-4.09,-4.09,BB Spread,['NFLX', 'GOOGL', 'CMG'],,,
