Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos,,,,,
FFIV,SHORT,2013-04-08,72.38,3,No-Exit,0,0,No-Exit,0,0,2013-04-11,73.93,-4.65,-4.65,BB Spread,['NFLX', 'GOOGL', 'CMG', 'AAPL'],,
GOOGL,LONG,2010-06-17,252.88,1,No-Exit,0,0,No-Exit,0,0,2010-06-21,247.46,-5.42,-5.42,BB Spread,['TAP', 'GOOGL'],,,,
CMI,SHORT,2012-07-11,84.88,2,No-Exit,0,0,2012-07-11,84.02,1.72,2012-07-18,88.3,-6.84,1.72,BB Spread,['GOOGL', 'CMG', 'JNJ'],,,
GOOGL,LONG,2014-06-26,589.3,5,No-Exit,0,0,No-Exit,0,0,2014-07-08,586.37,-14.68,-14.68,BB Spread,['GOOGL', 'CMG', 'AAPL', 'GD'],,
AMZN,LONG,2014-05-27,314.41,3,No-Exit,0,0,No-Exit,0,0,2014-05-28,309.5,-14.73,-14.73,BB Spread,['DISCA', 'GOOGL', 'CMG', 'AAPL', 'GD', 'PCLN']
AAPL,SHORT,2012-10-02,93.07,4,No-Exit,0,0,No-Exit,0,0,2014-07-14,96.88,-15.24,-15.24,BB Spread,['GOOGL', 'CMG', 'GD', 'AMZN'],,
NFLX,SHORT,2012-09-05,54.33,7,No-Exit,0,0,No-Exit,0,0,2012-09-07,57.22,-20.23,-20.23,BB Spread,['GOOGL', 'CMG', 'AMZN'],,,
AAPL,LONG,2010-03-01,29.46,159,No-Exit,0,0,2010-03-01,29.76,47.47,2010-05-06,29.3,-25.44,47.47,BB Spread,['TAP', 'GOOGL'],,,,
GOOGL,LONG,2010-10-18,300.92,15,No-Exit,0,0,2010-10-18,304.01,46.33,2010-11-15,299.01,-28.65,46.33,BB Spread,['GOOGL', 'CMG'],,,,
GOOGL,LONG,2011-11-14,306.3,12,No-Exit,0,0,No-Exit,0,0,2011-11-17,303.69,-31.32,-31.32,BB Spread,['GOOGL', 'CMG', 'AAPL'],,,
MJN,LONG,2014-09-05,97.59,33,No-Exit,0,0,No-Exit,0,0,2014-09-10,96.49,-36.3,-36.3,BB Spread,['GOOGL', 'CMG', 'GD'],,,
NFLX,SHORT,2014-03-17,423.47,7,2014-03-17,428.98,-38.57,No-Exit,0,0,2014-03-20,428.98,-38.57,-38.57,BB Spread,['GOOGL', 'CMG', 'AAPL', 'GD'],,
AAPL,LONG,2011-01-04,47.49,93,No-Exit,0,0,2011-01-07,47.97,44.37,2011-01-18,47.07,-38.79,44.37,BB Spread,['GOOGL', 'CMG'],,,,
AAPL,SHORT,2014-01-29,71.99,46,No-Exit,0,0,2014-01-29,71.27,33.12,2014-02-05,72.86,-39.89,33.12,BB Spread,['GOOGL', 'CMG', 'AAPL', 'GD'],,
AAPL,SHORT,2014-04-08,74.68,43,No-Exit,0,0,No-Exit,0,0,2014-04-09,75.61,-39.99,-39.99,BB Spread,['GOOGL', 'CMG', 'AAPL', 'GD'],,
AAPL,SHORT,2013-06-13,61.29,29,No-Exit,0,0,2013-06-19,60.67,17.87,2013-07-24,62.7,-41.01,17.87,BB Spread,['GOOGL', 'CMG', 'AAPL'],,,
AMZN,LONG,2012-08-27,247.07,14,No-Exit,0,0,2012-08-30,249.54,34.58,2012-10-11,243.34,-52.22,34.58,BB Spread,['GOOGL', 'CMG', 'AAPL'],,,
NFLX,SHORT,2014-09-16,448.4,7,2014-09-16,448.4,0,No-Exit,0,0,2014-09-17,456.91,-59.57,-59.57,BB Spread,['GOOGL', 'CMG', 'GD'],,,
AMZN,LONG,2008-04-21,81.25,17,No-Exit,0,0,No-Exit,0,0,2008-04-22,77.65,-61.2,-61.2,BB Spread,['GOOGL', 'AAPL'],,,,
VLO,LONG,2013-03-05,48.93,74,No-Exit,0,0,No-Exit,0,0,2013-03-06,48.07,-63.64,-63.64,BB Spread,['AGN', 'GOOGL', 'CMG', 'AAPL'],,
EOG,LONG,2009-10-09,45.05,105,No-Exit,0,0,2009-10-12,45.51,47.81,2009-10-13,44.44,-64.05,47.81,BB Spread,['GOOGL'],,,,,
MJN,LONG,2014-04-25,88.69,36,No-Exit,0,0,No-Exit,0,0,2014-04-28,86.8,-68.04,-68.04,BB Spread,['GOOGL', 'CMG', 'AAPL', 'GD'],,
GOOGL,SHORT,2011-05-17,257.71,7,2011-05-17,263.78,-42.45,No-Exit,0,0,2011-05-19,267.55,-68.85,-42.45,BB Spread,['GOOGL', 'CMG'],,,,
EOG,SHORT,2012-06-04,45.57,42,No-Exit,0,0,2012-06-04,45.11,19.31,2012-06-06,47.24,-70.14,19.31,BB Spread,['GOOGL', 'CMG', 'YUM'],,,
FSLR,SHORT,2013-06-13,45.43,28,No-Exit,0,0,2013-06-14,44.96,13.03,2013-07-12,48.11,-75.04,13.03,BB Spread,['GOOGL', 'CMG', 'AAPL', 'FDX'],,
PCLN,LONG,2014-01-22,1207.99,3,No-Exit,0,0,No-Exit,0,0,2014-01-24,1180.25,-83.22,-83.22,BB Spread,['GOOGL', 'CMG', 'AAPL', 'GD'],,
GOOGL,SHORT,2011-09-23,258.2,15,No-Exit,0,0,No-Exit,0,0,2011-09-26,263.75,-83.25,-83.25,BB Spread,['GOOGL', 'CMG'],,,,
PCLN,SHORT,2011-05-17,498.41,4,No-Exit,0,0,No-Exit,0,0,2011-05-18,519.26,-83.4,-83.4,BB Spread,['GOOGL', 'CMG'],,,,
GOOGL,SHORT,2013-10-04,435.26,9,No-Exit,0,0,2013-10-08,430.93,38.94,2013-10-16,444.63,-84.33,38.94,BB Spread,['GOOGL', 'CMG', 'AAPL'],,,
YUM,SHORT,2012-06-04,63.72,30,No-Exit,0,0,2012-06-04,63.08,19.12,2012-06-06,66.73,-90.3,19.12,BB Spread,['GOOGL', 'CMG'],,,,
FDX,LONG,2011-02-16,96.52,45,No-Exit,0,0,2011-02-18,97.5,44.04,2011-02-22,94.41,-94.95,44.04,BB Spread,['GOOGL', 'CMG'],,,,
AMZN,LONG,2012-04-30,227.97,17,2012-04-30,223.58,-74.63,2012-04-30,230.29,39.42,2012-05-07,222.36,-95.37,-74.63,BB Spread,['GOOGL', 'CMG'],,,,
AAPL,SHORT,2010-08-16,35.3,118,No-Exit,0,0,No-Exit,0,0,2010-08-17,36.13,-97.94,-97.94,BB Spread,['TAP', 'GOOGL'],,,,
AMZN,SHORT,2014-01-27,387.07,8,No-Exit,0,0,2014-01-27,383.17,31.24,2014-01-30,399.41,-98.72,31.24,BB Spread,['GOOGL', 'CMG', 'AAPL', 'GD'],,
NFLX,LONG,2013-01-14,102.12,35,No-Exit,0,0,2013-01-14,103.15,36.21,2013-01-16,99.22,-101.5,36.21,BB Spread,['AGN', 'GOOGL', 'CMG', 'AAPL'],,
AAPL,LONG,2007-12-07,27.25,130,No-Exit,0,0,2007-12-07,27.53,36.08,2007-12-17,26.46,-102.7,36.08,BB Spread,[],,,,,
AAPL,SHORT,2011-04-15,46.73,88,No-Exit,0,0,2011-04-18,46.26,41,2011-04-19,48.01,-112.64,41,BB Spread,['QCOM', 'GOOGL', 'CMG'],,,
AGN,SHORT,2014-10-14,221.35,14,No-Exit,0,0,2014-10-14,219.11,31.41,2014-10-17,229.63,-115.92,31.41,BB Spread,['GOOGL', 'CMG', 'GD'],,,
GOOGL,SHORT,2011-05-23,258.3,15,No-Exit,0,0,No-Exit,0,0,2011-06-01,266.52,-123.3,-123.3,BB Spread,['GOOGL', 'CMG'],,,,
EOG,LONG,2013-05-08,68.51,59,No-Exit,0,0,2013-05-08,69.2,40.68,2013-05-10,66.39,-125.08,40.68,BB Spread,['GOOGL', 'CMG', 'AAPL'],,,
AAPL,LONG,2008-08-13,25.46,158,No-Exit,0,0,No-Exit,0,0,2008-08-19,24.65,-127.98,-127.98,BB Spread,['GOOGL'],,,,,
AAPL,SHORT,2008-06-23,24.63,177,No-Exit,0,0,No-Exit,0,0,2008-06-25,25.36,-129.21,-129.21,BB Spread,['GOOGL'],,,,,
NFLX,LONG,2012-03-22,121.09,36,No-Exit,0,0,2012-03-22,122.28,42.74,2012-03-23,117.37,-133.92,42.74,BB Spread,['GOOGL', 'CMG'],,,,
EOG,SHORT-SPY-NULL,2008-05-30,63.4,71,No-Exit,0,0,No-Exit,0,0,2008-06-05,65.31,-135.61,0,BB Spread,['GOOGL'],,,,,
AMZN,LONG,2011-09-01,216.34,19,No-Exit,0,0,No-Exit,0,0,2011-09-02,208.94,-140.6,-140.6,BB Spread,['GOOGL', 'CMG'],,,,
PCLN,LONG,2008-08-01,116.07,35,No-Exit,0,0,No-Exit,0,0,2008-08-04,112.05,-140.7,-140.7,BB Spread,['GOOGL'],,,,,
GOOGL,SHORT,2011-11-22,287.88,13,No-Exit,0,0,2011-11-25,285.05,36.74,2011-11-30,298.98,-144.24,36.74,BB Spread,['GOOGL', 'CMG'],,,,
AAPL,LONG,2008-12-09,14.39,251,No-Exit,0,0,2008-12-09,14.53,35.88,2008-12-10,13.81,-145.58,35.88,BB Spread,['GOOGL', 'AAPL'],,,,
AGN,SHORT-SPY-NULL,2013-01-02,85.1,44,No-Exit,0,0,2013-01-02,84.23,38.1,2013-03-11,88.42,-146.08,0,BB Spread,['GOOGL', 'CMG', 'AAPL'],,,
AAPL,SHORT,2011-10-05,52.51,73,2011-10-05,53.69,-86.14,2011-10-05,51.98,38.36,2011-10-06,54.58,-151.11,-86.14,BB Spread,['GOOGL', 'CMG'],,,,
QCOM,LONG,2011-09-08,53.17,76,No-Exit,0,0,No-Exit,0,0,2011-09-09,51.07,-159.6,-159.6,BB Spread,['GOOGL', 'CMG'],,,,
AAPL,SHORT,2010-05-20,34.45,127,No-Exit,0,0,2010-05-20,34.1,43.88,2010-05-24,35.82,-173.99,43.88,BB Spread,['TAP', 'GOOGL'],,,,
RIG,SHORT,2008-07-07,141.58,30,No-Exit,0,0,2008-07-07,140.16,42.6,2008-07-09,147.51,-177.9,42.6,BB Spread,['GOOGL'],,,,,
AET,LONG,2012-03-30,50.11,86,No-Exit,0,0,2012-03-30,50.61,43.14,2012-04-10,47.91,-189.2,43.14,BB Spread,['GOOGL', 'CMG'],,,,
AAPL,LONG,2009-12-28,30.25,144,No-Exit,0,0,2009-12-28,30.55,43.53,2010-01-22,28.9,-193.78,43.53,BB Spread,['TAP', 'GOOGL'],,,,
NFLX,SHORT-SPY-NULL,2012-07-26,59,65,No-Exit,0,0,2012-07-26,58.41,38.55,2012-08-14,62.24,-210.6,0,BB Spread,['GOOGL', 'CMG'],,,,
QCOM,SHORT,2011-03-10,54.41,78,No-Exit,0,0,2011-03-10,53.87,42.44,2011-04-21,57.25,-221.52,42.44,BB Spread,['GOOGL', 'CMG'],,,,
RIG,SHORT,2009-03-06,50.88,86,No-Exit,0,0,2009-03-06,50.36,45.07,2009-03-11,53.55,-229.62,45.07,BB Spread,['GOOGL', 'AAPL'],,,,
FSLR,LONG,2009-07-27,172.55,27,No-Exit,0,0,2009-07-27,174.27,46.31,2009-07-29,163.69,-239.22,46.31,BB Spread,['GOOGL'],,,,,
AAPL,SHORT,2012-04-17,82.58,50,2012-04-17,85.01,-121.5,2012-04-17,81.75,41.35,2012-04-18,87.97,-269.5,-121.5,BB Spread,['GOOGL', 'CMG'],,,,
EOG,SHORT,2008-12-05,33.5,135,No-Exit,0,0,2008-12-05,33.16,45.23,2008-12-09,35.64,-288.9,45.23,BB Spread,['GOOGL', 'AAPL'],,,,
CRM,SHORT,2009-05-26,8.86,541,2009-05-26,9.16,-162.3,No-Exit,0,0,2009-05-28,9.43,-308.37,-162.3,BB Spread,['GOOGL', 'AAPL'],,,,
TAP,SHORT,2009-11-05,44.59,105,No-Exit,0,0,2009-11-05,44.14,47.38,2010-09-30,47.73,-329.7,47.38,BB Spread,['GOOGL'],,,,,
QCOM,LONG,2008-02-25,43.8,2373,No-Exit,0,0,2008-02-25,44.24,1037.48,2008-02-26,43.2,-1423.8,1037.48,BB Spread,['AAPL'],,,,,
MMM,SHORT,2007-10-22,85.35,1164,No-Exit,0,0,2007-10-22,84.5,993.47,2007-10-31,86.74,-1617.96,993.47,BB Spread,[],,,,,
AAPL,SHORT,2008-01-07,25.53,1897,No-Exit,0,0,2008-01-07,25.27,491.19,2008-05-06,26.54,-1915.97,491.19,BB Spread,['GOOGL'],,,,,
PCLN,LONG,2008-02-19,124.73,840,No-Exit,0,0,No-Exit,0,0,2008-02-20,121.99,-2301.6,-2301.6,BB Spread,['AAPL'],,,,,
FDX,SHORT,2007-11-19,96,1012,No-Exit,0,0,2007-11-19,95.04,971.52,2007-11-30,98.44,-2469.28,971.52,BB Spread,[],,,,,
GRMN,SHORT,2007-11-02,98.63,1000,No-Exit,0,0,2007-11-02,97.63,1003.2,2007-11-16,101.89,-3260,1003.2,BB Spread,[],,,,,
