Period,# of trades,winning trades,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/16/2008--10/12/2008,11,0,0,11,0,0,0,0,
02/15/2008--11/11/2008,9,0,0,9,0,0,0,0,
02/09/2009--11/06/2009,3,0,0,0,0,3,0,0,
03/11/2009--12/06/2009,0,0,0,0,0,0,,,
06/09/2009--03/06/2010,0,0,0,0,0,0,,,
09/02/2010--05/30/2011,5,0,0,2,0,0,3,0,0
06/20/2007--03/16/2008,17,1,5.8823529412,14,0,0,3,1,33.3333333333
07/20/2007--04/15/2008,17,1,5.8823529412,14,0,0,3,1,33.3333333333
09/18/2007--06/14/2008,17,1,5.8823529412,14,0,0,3,1,33.3333333333
10/18/2007--07/14/2008,12,1,8.3333333333,9,0,0,3,1,33.3333333333
11/17/2007--08/13/2008,12,1,8.3333333333,11,0,0,1,1,100
04/30/2011--01/25/2012,12,1,8.3333333333,9,1,11.1111111111,3,0,0
04/21/2007--01/16/2008,10,1,10,7,0,0,3,1,33.3333333333
05/21/2007--02/15/2008,10,1,10,7,0,0,3,1,33.3333333333
12/17/2007--09/12/2008,10,1,10,9,0,0,1,1,100
08/19/2007--05/15/2008,18,2,11.1111111111,15,1,6.6666666667,3,1,33.3333333333
05/15/2008--02/09/2009,6,1,16.6666666667,6,1,16.6666666667,0,0,
10/27/2011--07/23/2012,16,3,18.75,14,2,14.2857142857,2,1,50
07/29/2011--04/24/2012,11,3,27.2727272727,11,3,27.2727272727,0,0,
11/26/2011--08/22/2012,18,5,27.7777777778,16,5,31.25,2,0,0
09/12/2008--06/09/2009,10,3,30,7,3,42.8571428571,3,0,0
10/12/2008--07/09/2009,10,3,30,7,3,42.8571428571,3,0,0
06/14/2008--03/11/2009,6,2,33.3333333333,6,2,33.3333333333,0,0,
08/08/2009--05/05/2010,3,1,33.3333333333,3,1,33.3333333333,0,0,
04/24/2012--01/19/2013,11,4,36.3636363636,9,3,33.3333333333,2,1,50
11/11/2008--08/08/2009,8,3,37.5,5,3,60,3,0,0
03/16/2008--12/11/2008,20,8,40,19,8,42.1052631579,1,0,0
10/21/2012--07/18/2013,20,8,40,10,5,50,10,3,30
01/19/2013--10/16/2013,30,12,40,17,7,41.1764705882,13,5,38.4615384615
