Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
ODFL,LONG,2008-03-25,14.69,6465,100000.00,100000.00,99569.00,5007.60,2008-03-26,14.24,99569.00,5007.60,97069.20,97069.20,-2930.80,[]
FDX,LONG,2008-08-11,85.34,1080,97069.20,97069.20,96133.09,4905.16,2008-08-12,83.60,96133.09,4905.16,95190.00,95190.00,-1879.20,[]
NFLX,LONG,2009-03-18,40.99,2206,95190.00,95190.00,96579.78,4766.06,2009-03-20,41.01,96337.12,4766.06,95234.12,95234.12,44.12,[]
NFLX,LONG,2009-04-13,47.19,1917,95234.12,95234.12,99509.03,4770.89,2009-04-15,47.30,96403.49,4770.89,95444.99,95444.99,210.87,[]
FDX,LONG,2009-05-05,57.90,39,98027.70,4781.17,96067.35,2523.10,2009-05-07,58.71,97407.46,2523.10,93814.45,4812.86,31.69,['CP']
CP,LONG,2009-05-04,35.26,2571,95444.99,95444.99,98027.70,4781.17,2009-05-07,35.57,97407.46,2523.10,96262.16,96262.16,785.48,[]
WHR,LONG,2009-09-17,64.59,707,96262.16,96262.16,95274.75,4882.69,2009-09-23,61.84,95213.86,4882.69,94576.85,48600.15,-1950.66,['AAPL']
AAPL,LONG,2009-09-17,24.75,1847,96262.16,96262.16,96292.06,50550.81,2009-09-23,24.88,95213.86,4882.69,94552.07,94552.07,240.57,[]
FDX,LONG,2009-10-15,78.26,1147,94552.07,94552.07,94804.33,4787.03,2009-10-22,76.81,93347.06,4787.03,92892.64,92892.64,-1659.43,[]
AAPL,LONG,2009-12-28,28.41,3113,92892.64,92892.64,92846.69,4448.71,2009-12-30,28.02,91798.16,4448.71,91685.37,91685.37,-1207.27,[]
MA,LONG,2010-03-08,23.62,3687,91685.37,91685.37,93239.30,4603.84,2010-03-17,24.44,94585.38,4603.84,94708.07,94708.07,3022.70,[]
NFLX,LONG,2010-04-06,80.42,1121,94708.07,94708.07,98015.02,4557.25,2010-04-07,82.08,98015.02,4557.25,96574.54,96574.54,1866.46,[]
MA,LONG,2010-10-14,22.84,4017,96574.54,96574.54,96492.41,4831.81,2010-10-28,23.86,101653.39,4831.81,100676.24,100676.24,4101.71,[]
MA,LONG,2011-01-18,23.40,4087,100676.24,100676.24,100368.06,5056.23,2011-01-19,23.16,100368.06,5056.23,99729.90,99729.90,-946.35,[]
MA,LONG,2011-02-04,24.36,3889,99729.90,99729.90,99355.34,4993.24,2011-02-10,24.29,99836.23,4993.24,99443.12,99443.12,-286.77,[]
AMZN,LONG,2011-06-28,202.78,465,99443.12,99443.12,99243.17,5150.42,2011-07-08,214.30,105934.52,5150.42,104799.92,104799.92,5356.80,[]
MA,LONG,2011-12-02,37.77,2636,104799.92,104799.92,103282.58,5248.78,2011-12-05,37.37,103282.58,5248.78,103744.91,103744.91,-1055.01,[]
NFLX,LONG,2012-01-05,81.17,1214,103744.91,103744.91,101474.73,5204.53,2012-01-11,94.99,121542.15,5204.53,120550.01,115611.35,16777.48,['FDX']
FDX,LONG,2012-01-11,87.70,56,121542.15,5204.53,117102.25,293.49,2012-01-13,88.12,120628.69,115611.35,120545.80,120545.80,23.41,[]
URI,LONG,2012-01-19,35.23,3250,120545.80,120545.80,118790.80,6048.30,2012-01-25,33.70,116450.80,6048.30,115573.30,115573.30,-4972.50,[]
NFLX,LONG,2012-03-22,121.09,906,115573.30,115573.30,113435.14,5865.76,2012-03-23,117.37,113435.14,5865.76,112199.96,112199.96,-3373.34,[]
UNH,LONG,2012-03-30,56.02,1902,112199.96,112199.96,112162.51,5652.29,2012-04-03,55.94,112487.79,5652.29,112054.31,112054.31,-145.66,[]
AMZN,LONG,2012-08-27,247.07,430,112054.31,112054.31,110699.81,5814.21,2012-08-28,243.03,110699.81,5814.21,110318.54,110318.54,-1735.77,[]
AMZN,LONG,2012-09-10,259.62,20,110570.93,5556.95,110830.90,364.55,2012-09-11,256.46,110830.90,364.55,112113.62,5493.85,-63.10,['MA']
MA,LONG,2012-09-07,42.85,2445,110318.54,110318.54,110570.93,5556.95,2012-09-13,43.95,112965.86,5493.85,112963.45,112963.45,2708.01,[]
NFLX,LONG,2012-12-13,92.14,1164,112963.45,112963.45,113452.63,5712.79,2012-12-18,94.64,115943.59,5712.79,115873.45,115873.45,2910.00,[]
AMZN,LONG,2013-07-09,291.87,377,115873.45,115873.45,115745.27,5838.46,2013-07-16,305.94,121343.29,317.28,121097.68,115658.54,5306.27,['FDX']
