Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Profit-Exit-Date,Profit-Exit-Price,Profit-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,,Strategy,Current-Pos,,,,,,,
HK_2628,SHORT,2007-12-14,41,129,No-Exit,0,0,2007-12-14,40.59,52.89,2008-02-15,30.72,1326.12,52.89,1326.12,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0941', 'HK_0363'],,,,
HK_0363,SHORT,2007-12-13,35,275,No-Exit,0,0,2007-12-13,34.65,97.21,2008-02-19,31.54,951.5,97.21,951.5,BB 20 SMA Xover Mtm,['HK_2338', 'HK_1088', 'HK_0683', 'HK_0941'],,,,
HK_0144,SHORT,2008-03-04,39.2,246,2008-03-04,40.4,-295.2,2008-03-04,38.8,97.17,2008-03-12,40.4,-295.2,-295.2,-295.2,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0941', 'HK_0267', 'HK_0914'],,,
HK_0683,SHORT,2008-03-05,50.29,169,2008-03-05,52.5,-373.49,2008-03-05,49.77,88.72,2008-03-26,46.58,626.99,-373.49,626.99,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0941', 'HK_0267', 'HK_0914'],,,
HK_0914,SHORT,2008-03-05,55.44,131,No-Exit,0,0,2008-03-05,54.88,73.36,2008-03-28,51.54,510.9,73.36,510.9,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0941', 'HK_0267'],,,,
HK_2338,SHORT,2008-02-22,40.1,245,No-Exit,0,0,2008-02-22,39.7,98.24,2008-03-31,30.44,2366.69,98.24,2366.69,BB 20 SMA Xover Mtm,['HK_0144', 'HK_0683', 'HK_0941', 'HK_0267'],,,,
HK_0267,SHORT,2008-03-05,39.6,248,No-Exit,0,0,2008-03-05,39.2,99.2,2008-04-07,34.95,1153.2,99.2,1153.2,BB 20 SMA Xover Mtm,['HK_0144', 'HK_0683', 'HK_0941'],,,,,
HK_0941,SHORT,2007-12-28,135.8,67,No-Exit,0,0,2008-01-03,134.47,89.11,2008-04-11,129.8,402,89.11,402,BB 20 SMA Xover Mtm,['HK_0144', 'HK_0683'],,,,,,
HK_0914,SHORT,2008-05-26,60.5,141,No-Exit,0,0,No-Exit,0,0,2008-05-28,67.3,-958.79,-958.79,-958.79,BB 20 SMA Xover Mtm,['HK_2338', 'HK_0683', 'HK_0941'],,,,,
HK_2338,SHORT,2008-05-27,40.1,240,No-Exit,0,0,2008-05-30,39.69,97.44,2008-06-19,38.06,489.59,97.44,489.59,BB 20 SMA Xover Mtm,['HK_0683', 'HK_0941', 'HK_0914'],,,,,
