Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,StopLoss-Exit-Date,StopLoss-Exit-Price,StopLoss-Exit-PorL,Exit-Date,Exit-Price,PorL,Actual-PorL,Strategy,Current-Pos,,,
JNJ,SHORT,2014-10-02,103.26,2911,No-Exit,0,0,2014-10-20,98.83,12895.73,12895.73,BB 20 SMA Xover Mtm,[],,,
AMZN,LONG,2011-03-25,172.81,1282,No-Exit,0,0,2011-04-12,182.86,12884.1,12884.1,BB 20 SMA Xover Mtm,['QCOM', 'BLK'],,
CTXS,LONG,2012-12-10,62.65,4160,No-Exit,0,0,2012-12-20,65.63,12396.8,12396.8,BB 20 SMA Xover Mtm,[],,,
NFLX,SHORT-SPY-NULL,2012-07-26,59.31,2732,No-Exit,0,0,2012-08-06,54.82,12280.34,0,BB 20 SMA Xover Mtm,['QCOM', 'PCLN'],,
AMZN,LONG-SPY-NULL,2008-12-04,45.94,4389,No-Exit,0,0,2008-12-10,48.64,11850.3,0,BB 20 SMA Xover Mtm,[],,,
CME,LONG,2010-02-25,58.7,4404,No-Exit,0,0,2010-03-09,61.38,11802.72,11802.72,BB 20 SMA Xover Mtm,['QCOM'],,,
FSLR,SHORT,2013-06-12,49.56,3585,No-Exit,0,0,2013-06-17,46.31,11651.25,11651.25,BB 20 SMA Xover Mtm,['AXP', 'VLO', 'AAPL', 'FFIV']
AAPL,SHORT,2010-01-22,29.43,8575,No-Exit,0,0,2010-02-03,28.1,11404.75,11404.75,BB 20 SMA Xover Mtm,[],,,
AAPL,LONG,2010-05-28,37.06,7660,No-Exit,0,0,2010-06-24,38.49,10988.71,10988.71,BB 20 SMA Xover Mtm,['PCLN', 'RIG'],,
AMZN,SHORT-SPY-NULL,2014-03-24,357.01,776,No-Exit,0,0,2014-04-01,343.43,10538.08,0,BB 20 SMA Xover Mtm,['CMG', 'EQT'],,
AAPL,LONG,2008-08-07,23.69,6999,No-Exit,0,0,2008-08-15,25.17,10358.52,10358.52,BB 20 SMA Xover Mtm,[],,,
PCLN,LONG,2012-08-30,609.24,409,No-Exit,0,0,2012-09-20,633.94,10102.3,10102.3,BB 20 SMA Xover Mtm,['PM'],,,
AAPL,LONG,2008-10-29,14.42,13923,No-Exit,0,0,2008-11-03,15.13,9925.11,9925.11,BB 20 SMA Xover Mtm,['RIG'],,,
