Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Intra-Day-Exit-PorL,Intra-Day-Exit-Date,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
CF,LONG,2008-06-06,144.27,658,100000.00,100000.00,96144.01,5071.95,-2020.09811638,2008-06-06,2008-06-10,140.44,98907.16,5071.95,97479.02,97479.02,-2520.98,[]
CF,LONG,2008-07-31,158.21,585,97479.02,97479.02,95166.16,4929.01,-2625.67936808,2008-07-31,2008-08-01,153.78,95166.16,4929.01,94890.14,94890.14,-2588.88,[]
CF,LONG,2008-12-17,52.39,1720,94890.14,94890.14,95104.88,4785.11,0.0,2008-12-17,2008-12-18,50.24,95104.88,4785.11,91199.16,91199.16,-3690.98,[]
CF,LONG,2009-09-08,82.81,1046,91199.16,91199.16,90980.49,4575.48,0.0,2009-09-08,2009-09-10,82.49,92123.55,4575.48,90861.22,90861.22,-337.95,[]
CF,LONG,2011-05-24,141.78,608,90861.22,90861.22,89924.51,4661.25,0.0,2011-05-24,2011-05-26,143.78,92507.72,4661.25,92077.22,92077.22,1216.00,[]
CF,SHORT,2011-08-05,134.98,648,92077.22,92077.22,88604.77,88604.77,-2715.94944242,2011-08-05,2011-08-09,135.09,93819.64,93819.64,92009.01,92009.01,-68.21,[]
CF,LONG,2012-06-20,174.94,481,92009.01,92009.01,91242.40,7863.19,-1364.40956667,2012-06-20,2012-06-21,172.86,91242.40,7863.19,91010.09,91010.09,-998.92,[]
CF,LONG,2012-09-14,217.85,387,91010.09,91010.09,90482.00,6702.62,0.0,2012-09-14,2012-09-17,214.70,90482.00,6702.62,89792.86,89792.86,-1217.23,[]
CF,LONG,2013-05-10,190.86,430,89792.86,89792.86,89174.56,7722.64,-1687.7764909,2013-05-10,2013-05-13,188.15,89174.56,7722.64,88627.29,88627.29,-1165.57,[]
CF,LONG,2013-07-30,197.61,409,88627.29,88627.29,86345.60,7804.65,0.0,2013-07-30,2013-07-31,191.03,86345.60,7804.65,85937.45,85937.45,-2689.84,[]
CF,LONG,2014-01-10,237.06,330,85937.45,85937.45,87328.29,7707.73,0.0,2014-01-10,2014-01-13,239.06,87328.29,7707.73,86597.45,86597.45,660.00,[]
