Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Intra-Day-Exit-PorL,Intra-Day-Exit-Date,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
AMZN,LONG,2009-03-12,69.57,1365,100000.00,100000.00,100013.65,5036.95,0.0,2009-03-12,2009-03-13,68.05,100013.65,5036.95,97925.20,97925.20,-2074.80,[]
AMZN,SHORT,2010-05-05,128.00,725,97925.20,97925.20,95800.95,95800.95,0.0,2010-05-05,2010-05-06,131.43,95800.95,95800.95,95438.45,95438.45,-2486.75,[]
AMZN,LONG,2010-09-02,132.80,655,95438.45,95438.45,97017.66,8455.11,0.0,2010-09-02,2010-09-20,147.82,105607.98,8455.11,105280.48,105280.48,9842.03,[]
AMZN,LONG,2010-11-26,178.09,541,105280.48,105280.48,104798.99,8933.79,0.0,2010-11-26,2010-11-30,176.95,106037.88,8933.79,104663.74,104663.74,-616.74,[]
AMZN,LONG,2011-06-28,202.78,472,104663.74,104663.74,104460.78,8951.58,0.0,2011-06-28,2011-06-29,201.29,104460.78,8951.58,103962.82,103962.82,-700.92,[]
AMZN,LONG,2011-09-01,216.34,439,103962.82,103962.82,102296.77,8991.71,0.0,2011-09-01,2011-09-02,208.94,102296.77,8991.71,100716.37,100716.37,-3246.45,[]
AMZN,LONG,2012-08-27,247.07,372,100716.37,100716.37,99544.57,8806.33,0.0,2012-08-27,2012-08-28,243.29,99544.57,8806.33,99312.07,99312.07,-1404.30,[]
AMZN,LONG,2013-03-05,274.00,331,99312.07,99312.07,99838.36,8618.07,-1149.67333333,2013-03-05,2013-03-06,273.38,99838.36,8618.07,99105.20,99105.20,-206.88,[]
AMZN,LONG,2013-07-09,291.87,310,99105.20,99105.20,98999.80,8625.50,0.0,2013-07-09,2013-07-10,290.38,98999.80,8625.50,98641.75,98641.75,-463.45,[]
AMZN,SHORT,2014-01-27,387.07,232,98641.75,98641.75,98825.03,98825.03,-939.6,2014-01-27,2014-01-28,391.12,98825.03,98825.03,97700.99,97700.99,-940.76,[]
AMZN,SHORT,2014-09-16,321.07,274,97700.99,97700.99,95867.93,95867.93,-1734.42,2014-09-16,2014-09-19,327.60,96624.17,96624.17,95911.77,95911.77,-1789.22,[]
