Ticker,Cal_Date,Flag
UNP,"July 23, 2009",B
GILD,"January 25, 2011",A
GILD,"April 20, 2011",A
GILD,"July 26, 2011",A
GILD,"October 27, 2011",A
GILD,"February 02, 2012",A
GILD,"April 26, 2012",A
GILD,"July 26, 2012",A
GILD,"October 23, 2012",A
GILD,"February 04, 2013",A
GILD,"May 02, 2013",A
GILD,"July 25, 2013",A
GILD,"October 29, 2013",A
GILD,"February 04, 2014",A
GILD,"April 22, 2014",A
GILD,"July 23, 2014",A
GILD,"October 28, 2014",A
GILD,"February 03, 2015",A
GILD,"April 30, 2015",A
GILD,"October 19, 2010",A
GILD,"January 26, 2010",A
GILD,"April 20, 2010",A
GILD,"October 20, 2009",A
GILD,"July 21, 2009",A
GILD,"July 20, 2010",A
GILD,"July 22, 2015",A
VRX,"November 02, 2012",
VRX,"February 28, 2013",
VRX,"May 02, 2013",
VRX,"August 07, 2013",
VRX,"October 31, 2013",
VRX,"February 27, 2014",
VRX,"May 08, 2014",
VRX,"July 31, 2014",
VRX,"October 20, 2014",
VRX,"February 24, 2015",
VRX,"April 29, 2015",
VRX,"May 09, 2011",
VRX,"May 03, 2012",
VRX,"July 30, 2015",
VRX,"February 27, 2012",
VRX,"November 04, 2010",
VRX,"February 22, 2010",
VRX,"May 05, 2009",
VRX,"November 03, 2011",
VRX,"August 04, 2009",
VRX,"February 24, 2011",
VRX,"August 02, 2010",
VRX,"November 02, 2009",
VRX,"August 04, 2011",
VRX,"August 02, 2012",
VRX,"May 03, 2010",
ACT,"February 19, 2013",
ACT,"May 02, 2013",
ACT,"July 25, 2013",
ACT,"October 29, 2013",
ACT,"February 20, 2014",
ACT,"April 30, 2014",
ACT,"August 05, 2014",
ACT,"November 05, 2014",
ACT,"February 18, 2015",
ACT,"May 11, 2015",
ACT,"August 04, 2015",
GOOGL,"April 16, 2014",
GOOGL,"July 17, 2014",
GOOGL,"October 16, 2014",
GOOGL,"January 29, 2015",
GOOGL,"April 23, 2015",
GOOGL,"July 16, 2015",
CF,"February 17, 2011",A
CF,"May 05, 2011",A
CF,"August 04, 2011",A
CF,"November 01, 2011",A
CF,"February 15, 2012",A
CF,"May 03, 2012",A
CF,"August 06, 2012",A
CF,"November 05, 2012",A
CF,"February 19, 2013",A
CF,"May 08, 2013",A
CF,"August 06, 2013",A
CF,"November 04, 2013",A
CF,"February 18, 2014",A
CF,"May 07, 2014",A
CF,"August 06, 2014",A
CF,"November 05, 2014",A
CF,"February 17, 2015",A
CF,"May 06, 2015",A
CF,"August 05, 2010",A
CF,"May 07, 2010",A
CF,"February 16, 2010",A
CF,"November 04, 2010",A
CF,"August 05, 2015",A
CF,"July 27, 2009",A
CF,"October 26, 2009",A
URI,"April 19, 2011",
URI,"July 19, 2011",
URI,"October 18, 2011",
URI,"January 25, 2012",
URI,"April 17, 2012",
URI,"July 17, 2012",
URI,"October 16, 2012",
URI,"January 23, 2013",
URI,"April 16, 2013",
URI,"July 16, 2013",
URI,"October 16, 2013",
URI,"January 22, 2014",
URI,"April 16, 2014",
URI,"July 16, 2014",
URI,"October 15, 2014",
URI,"January 21, 2015",
URI,"April 21, 2015",
URI,"April 21, 2010",
URI,"October 19, 2010",
URI,"July 20, 2010",
URI,"July 29, 2009",
URI,"July 15, 2015",
URI,"February 03, 2010",
URI,"February 01, 2011",
URI,"October 28, 2009",
CP,"January 26, 2011",
CP,"April 21, 2011",
CP,"July 27, 2011",
CP,"October 25, 2011",
CP,"January 26, 2012",
CP,"April 20, 2012",
CP,"July 25, 2012",
CP,"October 24, 2012",
CP,"January 29, 2013",
CP,"April 24, 2013",
CP,"July 24, 2013",
CP,"October 23, 2013",
CP,"January 29, 2014",
CP,"April 22, 2014",
CP,"July 17, 2014",
CP,"October 21, 2014",
CP,"January 22, 2015",
CP,"April 21, 2015",
CP,"July 28, 2010",
CP,"October 27, 2010",
CP,"July 16, 2015",
CP,"July 30, 2009",
CP,"October 27, 2009",
CP,"April 28, 2010",
CP,"January 28, 2010",
WHR,"February 02, 2011",
WHR,"April 27, 2011",
WHR,"July 21, 2011",
WHR,"October 28, 2011",
WHR,"February 01, 2012",
WHR,"April 26, 2012",
WHR,"July 24, 2012",
WHR,"October 23, 2012",
WHR,"January 31, 2013",
WHR,"April 24, 2013",
WHR,"July 19, 2013",
WHR,"October 22, 2013",
WHR,"January 30, 2014",
WHR,"April 25, 2014",
WHR,"July 23, 2014",
WHR,"October 28, 2014",
WHR,"February 04, 2015",
WHR,"April 28, 2015",
WHR,"July 22, 2009",
WHR,"July 20, 2010",
WHR,"October 27, 2010",
WHR,"April 26, 2010",
WHR,"July 22, 2015",
WHR,"February 02, 2010",
WHR,"October 23, 2009",
UNH,"January 20, 2011",
UNH,"April 21, 2011",
UNH,"July 19, 2011",
UNH,"October 18, 2011",
UNH,"January 19, 2012",
UNH,"April 19, 2012",
UNH,"July 19, 2012",
UNH,"October 16, 2012",
UNH,"January 17, 2013",
UNH,"April 18, 2013",
UNH,"July 18, 2013",
UNH,"October 17, 2013",
UNH,"January 16, 2014",
UNH,"April 17, 2014",
UNH,"July 17, 2014",
UNH,"October 16, 2014",
UNH,"January 21, 2015",
UNH,"April 16, 2015",
UNH,"July 20, 2010",
UNH,"April 20, 2010",
UNH,"January 21, 2010",
UNH,"October 19, 2010",
UNH,"July 21, 2009",
UNH,"July 16, 2015",
UNH,"October 20, 2009",
VIAB,"February 02, 2012",
VIAB,"May 03, 2012",
VIAB,"August 03, 2012",
VIAB,"November 15, 2012",
VIAB,"January 31, 2013",
VIAB,"May 01, 2013",
VIAB,"August 02, 2013",
VIAB,"November 14, 2013",
VIAB,"January 30, 2014",
VIAB,"May 01, 2014",
VIAB,"August 06, 2014",
VIAB,"November 13, 2014",
VIAB,"January 29, 2015",
VIAB,"April 30, 2015",
VIAB,"August 06, 2015",
FLT,"February 23, 2011",
FLT,"May 12, 2011",
FLT,"August 04, 2011",
FLT,"November 09, 2011",
FLT,"February 08, 2012",
FLT,"May 09, 2012",
FLT,"August 08, 2012",
FLT,"November 08, 2012",
FLT,"February 07, 2013",
FLT,"May 02, 2013",
FLT,"August 01, 2013",
FLT,"October 30, 2013",
FLT,"February 05, 2014",
FLT,"May 01, 2014",
FLT,"July 31, 2014",
FLT,"October 30, 2014",
FLT,"February 05, 2015",
FLT,"April 30, 2015",
FLT,"July 30, 2015",
ODFL,"February 02, 2011",
