Stock Symbol
AEP
AXP
EOG
EXC
WM
SRCL
WU
YUM
JWN
NFLX
GOOGL
HAS
TAP
VNO
VRTX
BWA
SPLS
HST
NWL
RIG
PH
HSY
AAPL
SPG
CTSH
FIS
GT
GIS
DHI
FITB
MJN
EQR
GE
GD
SJM
VAR
AMZN
BBT
THC
GPS
MAS
MAR
MAT
PHM
SNA
FOXA
MAC
BRCM
KIM
JNJ
