Company Name,Stock Symbol,DPM,Cycle,Traded at C2,LEAPS 2015,LEAPS 2016,LEAPS 2017,Product Types,,,
MANHATTAN ASSOCIATES INC,MANH,WOLVERINE,1,,,,,,,,
MANITEX INT''L  INC COMMON STK,MNTX,SIG:MMM,3,,,,,,,,
MANITOWOC COMPANY INC (THE),MTW,GROUP ONE:HGSI,3,,,,Y,L,,,
MANNING & NAPIER INC,MN,GROUP ONE:WOX,3,,,,,,,,
MANNKIND CORP,MNKD,CITADEL,2,Y,,,Y,L,W,,
MANPOWER INC,MAN,CITADEL,3,,,,,,,,
MANTECH INTL CORP CL-A,MANT,CITADEL,2,,,,,,,,
MANULIFE FINANCIAL CORP,MFC,TIMBER:USG,3,,,,,,,,
MARATHON OIL CORP,MRO,SIG:MU,1,Y,,,Y,L,W,,
MARATHON PATENT GROUP  INC.,MARA,WOLVERINE,3,,,,,,,,
MARATHON PETROLEUM CORPORATION,MPC,SIG:MU,1,,,,Y,L,W,,
MARIN SOFTWARE INC.,MRIN,SIG,2,,,,,,,,
MARINEMAX  INC.,HZO,SIG:MCD,1,,,,,,,,
MARKEL CORPORATION,MKL,SIG:MMM,1,,,,,,,,
MARKET VECOTRS OIL SERVICES ETF,OIH,BARCLAYS/SP,1,Y,,,Y,E,L,W,
MARKET VECTORS BIOTECH ETF,BBH,SIG:RUT,3,,,,,E,,,
MARKET VECTORS BRAZIL SMALL CAP ETF,BRF,SIG:RUT,1,,,,,E,,,
MARKET VECTORS GAMING,BJK,SIG:RUT,3,,,,,E,,,
MARKET VECTORS GLOBAL AGRIBUSINESS ETF,MOO,CITADEL/SP,2,,,,,E,,,
MARKET VECTORS GLOBAL ALT ENERGY ET,GEX,SIG:RUT,1,,,,,E,,,
MARKET VECTORS INTERNATIONAL HIGH YIELD,IHY,SIG:RUT,1,,,,,E,,,
MARKET VECTORS ISRAEL ETF,ISRA,SIG:RUT,3,,,,,E,,,
MARKET VECTORS JUNIOR GOLD MINERS,GDXJ,GROUP ONE:AMGN,2,Y,,,Y,E,L,W,
MARKET VECTORS RETAIL ETF,RTH,SIG:RUT,3,,,,,E,,,
MARKET VECTORS RUSSIA ETF,RSX,SIG:RUT,2,Y,,,Y,E,L,W,
MARKET VECTORS SEMICONDUCTOR ETF,SMH,SIG:RUT,2,,,,Y,E,L,,
MARKET VECTORS STEEL ETF,SLX,CITADEL/SP,3,,,,,E,,,
MARKET VECTORS TR GOLD MINERS INDEX,GDX,CITADEL,3,Y,,,Y,E,L,W,
MARKETAXESS HLDGS INC,MKTX,SIG,2,,,,,,,,
MARKETO INC,MKTO,WOLVERINE,1,,,,,,,,
MARKIT LIMITED,MRKT,CITADEL,1,,,,,,,,
MARKWEST ENERGY PARTNERS  LP,MWE,CITADEL,2,,,,Y,L,,,
MARRIOTT INT''L INC(NEW) CL A,MAR,BARCLAYS,1,,,,Y,L,,,
MARRIOTT VACATIONS WORLDWIDE,VAC,BARCLAYS,1,,,,,,,,
MARSH & MCLENNAN COS INC,MMC,SIG:EMC,1,,,,,,,,
MARTEN TRANSPORT  LTD.,MRTN,SIG:MMM,3,,,,,,,,
MARTHA STEWART LIV OMNIMED INC,MSO,SIG,3,,,,,,,,
MARTIN MARIETTA MATERIALS INC,MLM,SIG:MU,1,,,,,,,,
MARTIN MIDSTREAM PRTNRS LP,MMLP,SIG,1,,,,,,,,
MARVELL TECH GROUP LTD,MRVL,CITIGROUP:BRCM,2,Y,,,Y,L,W,,
MASCO CORP,MAS,MORGAN,1,,,,Y,L,,,
MASIMO CORP.,MASI,SIG:MMM,3,,,,,,,,
MAST THERAPEUTICS  INC.,MSTX,GROUP ONE:AMGN,1,,,,,,,,
MASTEC INC.,MTZ,WOLVERINE,1,,,,,,,,
MASTERCARD INCORPORATED CL A COM,MA,CITADEL,1,Y,,,Y,L,W,,
MATADOR RESOURCES COMPANY,MTDR,GROUP ONE:WOX,3,,,,,,,,
MATERION CORP.,MTRN,CITADEL,3,,,,,,,,
MATRIX SERVICE CO,MTRX,WOLVERINE,2,,,,,,,,
MATSON  INC.,MATX,CITADEL,3,,,,,,,,
MATTEL INC,MAT,CITIGROUP:BRCM,1,,,,Y,L,,,
MATTERSIGHT CORP.,MATR,GROUP ONE:HGSI,1,,,,,,,,
MATTHEWS INTERNATIONAL CORP.,MATW,BARCLAYS,3,,,,,,,,
MATTRESS FIRM HOLDING CORP,MFRM,SIG,1,,,,,,,,
MATTSON TECHNOLOGY INC,MTSN,WOLVERINE,3,,,,,,,,
MAXIM INTEGRATED PRODUCTS INC,MXIM,WOLVERINE,2,,,,,,,,
MAXIS NIKKEI 225 INDEX FUND ETF,NKY,WOLVERINE,3,,,,,E,,,
MAXLINEAR INC,MXL,GROUP ONE:HGSI,3,,,,,,,,
MAXWELL TECHNOLOGIES INC,MXWL,WOLVERINE,3,,,,,,,,
MB FINANCIAL  INC.,MBFI,WOLVERINE,2,,,,,,,,
MBIA INC,MBI,MORGAN,2,Y,,,Y,L,W,,
MC DERMOTT INTL,MDR,CITADEL,2,,,,Y,L,,,
MCCORMICK & CO INC. / MD,MKC,WOLVERINE,3,,,,,,,,
MCDONALDS CORP,MCD,SIG:MCD,3,Y,,Y,Y,L,W,,
MCEWEN MINING INC.,MUX,SIG,2,,,,,,,,
MCG CAP CORP,MCGC,GROUP ONE:HGSI,3,,,,,,,,
MCGRAW HILL FINANCIAL  INC,MHFI,MORGAN,2,,,,,,,,
MCKESSON CORPORATION,MCK,CITIGROUP:BRCM,2,,,,,,,,
MEAD JOHNSON NUTRITION COMPANY,MJN,SIG:MMM,2,Y,,,Y,L,,,
MEADWESTVACO CORP,MWV,SIG:MCD,3,,,,,,,,
MECHEL OAO,MTL,SIG:MU,1,,,,Y,L,,,
MEDALLION FINANCIAL CORP.,TAXI,SIG:MMM,2,,,,,,,,
MEDASSETS INC,MDAS,GROUP ONE:AMGN,3,,,,,,,,
MEDGENICS INC,MDGN,GROUP ONE:WOX,3,,,,,,,,
MEDIA GENERAL INC,MEG,SIG:MMM,2,,,,,,,,
MEDIADATA SOLUTIONS INC,MDSO,SIG:MU,1,,,,,,,,
MEDICAL PROPERTIES TRUST INC,MPW,GROUP ONE:AMGN,1,,,,,,,,
MEDICINES COMPANY (THE),MDCO,CITADEL,1,,,,,,,,
MEDIFAST INC,MED,MORGAN,3,,,,,,,,
MEDIVATION INC.,MDVN,GROUP ONE:AMGN,3,Y,,,Y,L,W,,
MEDLEY CAPITAL CORP,MCC,GROUP ONE:AMGN,3,,,,,,,,
MEDNAX  INC.,MD,BARCLAYS,2,,,,,,,,
MEDTRONIC INC,MDT,SIG:MU,2,Y,,,Y,L,W,,
MEETME  INC,MEET,GROUP ONE:AMGN,2,,,,,,,,
MEI PHARMA  INC.,MEIP,GROUP ONE:AMGN,3,,,,,,,,
MELCO CROWN ENTERTAINMENT,MPEL,SIG:MU,1,Y,,,Y,L,W,,
MELLANOX TECHS LTD,MLNX,SIG:MCD,3,,,,Y,L,,,
MEMORIAL PRODUCTION PARTNERS LP,MEMP,WOLVERINE,1,,,,Y,L,,,
MEMORIAL RESOURCE DEVELOPMENT CORPORATIO,MRD,SIG:MMM,2,,,,,,,,
MENTOR GRAPHICS CORP,MENT,GROUP ONE:WOX,1,,,,,,,,
MERCADOLIBRE  INC.,MELI,WOLVERINE,3,,,,Y,L,,,
MERCER INTERNATIONAL  INC.,MERC,CITADEL,2,,,,,,,,
MERCK & CO INC,MRK,WOLVERINE,1,Y,,,Y,L,W,,
MERCURY SYSTEMS INC.,MRCY,WOLVERINE,1,,,,,,,,
MEREDITH CORP,MDP,WOLVERINE,3,,,,,,,,
MERIDIAN BIOSCIENCE INC,VIVO,SIG:MMM,1,,,,,,,,
MERIT MED SYS INC,MMSI,WOLVERINE,1,,,,,,,,
MERITAGE HOMES CORPORATION,MTH,SIG:MMM,3,,,,Y,L,,,
MERITOR  INC,MTOR,SIG:MU,2,,,,,,,,
MERRIMACK PHARMACEUTICALS INC,MACK,SIG,3,,,,,,,,
MERU NETWORKS INC,MERU,SIG,1,,,,,,,,
MESABI TR,MSB,GROUP ONE:AMGN,3,,,,,,,,
METALICO  INC.,MEA,GROUP ONE:AMGN,1,,,,,,,,
METHANEX CORP (F),MEOH,GROUP ONE:AMGN,1,,,,,,,,
METHODE ELECTRONICS  INC.,MEI,WOLVERINE,1,,,,,,,,
METLIFE  INC,MET,CITADEL,3,Y,,,Y,L,W,,
MFA FINANCIAL  INC.,MFA,CITADEL,1,,,,,,,,
MFC INDUSTRIAL LTD.,MIL,GROUP ONE:AMGN,1,,,,,,,,
MGE ENERGY INC,MGEE,SIG:MMM,2,,,,,,,,
MGIC INVESTMENT CORP,MTG,BARCLAYS,3,Y,,,Y,L,W,,
MGM RESORTS INTERNATIONAL,MGM,TIMBER:USG,3,Y,,,Y,L,W,,
MGP INGREDIENTS INC,MGPI,CITADEL,3,,,,,,,,
MICHAEL COMPANIES INC.,MIK,CITADEL,3,,,,,,,,
MICHAEL KORS HOLDINGS LTD,KORS,MORGAN,2,Y,,,Y,L,W,,
MICREL INC,MCRL,CITADEL,2,,,,,,,,
MICROCHIP TECHNOLOGY INC,MCHP,TIMBER:USG,1,,,,,,,,
MICRON TECHNOLOGY INC,MU,SIG:MU,1,Y,,,Y,L,W,,
MICROSEMI CORP,MSCC,SIG:UPS,3,,,,,,,,
MICROSOFT CORP,MSFT,SIG:MMM,1,Y,,Y,Y,L,W,,
MICROSTRATEGY INC CL A NEW,MSTR,SIG,1,,,,,,,,
MICROVISION INC (WASH),MVIS,WOLVERINE,2,,,,,,,,
MID AMERICA APT COMM  INC.,MAA,WOLVERINE,3,,,,,,,,
MID-CON ENERGY PARTNERS LP,MCEP,MORGAN,1,,,,,,,,
MIDCOAST ENERGY PARTNERS LP,MEP,GROUP ONE:AMGN,1,,,,,,,,
MIDDLEBY CORP,MIDD,BARCLAYS,3,,,,,,,,
MIDSTATES PETROLEUM CO.  INC.,MPO,WOLVERINE,3,,,,,,,,
MILLENNIAL MEDIA INC,MM,BARCLAYS,2,,,,,,,,
MILLER ENERGY RESOURCES  INC.,MILL,GROUP ONE:AMGN,2,,,,,,,,
MIMEDX GROUP INC,MDXG,GROUP ONE:WOX,3,,,,,,,,
MINDRAY MEDICAL INTERNATIONAL LMTD,MR,BARCLAYS,1,,,,,,,,
MINERAL TECH  INC.,MTX,SIG:MCD,2,,,,,,,,
MISTRAS GROUP  INC,MG,WOLVERINE,2,,,,,,,,
MITCHAM INDUSTRIES,MIND,GROUP ONE:WOX,3,,,,,,,,
MITEK SYSTEMS  INC,MITK,SIG,1,,,,,,,,
MITEL NETWORKS CORPORATION,MITL,SIG,1,,,,,,,,
MITSUBISHI UFJ FINANCIAL GROUP  INC,MTU,CITADEL,2,,,,,,,,
MIZUHO FINANCIAL GROUP INC,MFG,GROUP ONE:WOX,1,,,,,,,,
MKS INSTRUMENTS INC,MKSI,BARCLAYS,1,,,,,,,,
MKT VEC HIGH YIELD MUNI INDX,HYD,GROUP ONE/SP,3,,,,,E,,,
MKT VECT EMG MKT LOC CUR BD ETF,EMLC,SIG:RUT,1,,,,,E,,,
MKT VECTORS COAL ETF,KOL,CITADEL/SP,1,,,,,E,,,
MKT VECTORS UNCONVTL OIL & GAS ETF,FRAK,SIG:RUT,2,,,,,E,,,
MOBILE TELESYSTEMS OJSC ADS (EA REP,MBT,CITADEL,3,,,,,,,,
MOBILELRON  INC.,MOBL,WOLVERINE,1,,,,,,,,
MOBILEYE NV,MBLY,SIG:MMM,3,Y,,,Y,L,W,,
MODEL N  INC,MODN,CITADEL,2,,,,,,,,
MODUSLINK GLOBAL SOLUTIONS  INC.,MLNK,SIG,3,,,,,,,,
MOELIS & COMPANY,MC,CITADEL,1,,,,,,,,
MOHAWK INDUSTRIES INC,MHK,BARCLAYS,2,,,,,,,,
MOLINA HEALTHCARE INC.,MOH,CITADEL,3,,,,,,,,
MOLSON COORS BREWING CO,TAP,SIG:MMM,1,,,,Y,L,,,
MOLYCORP INC DEL,MCP,CITADEL,3,Y,,,Y,L,W,,
MOMENTA PHARMACEUTICALS INC,MNTA,SIG:MU,3,,,,,,,,
MOMO INC.,MOMO,MORGAN,1,,,,,,,,
MONARCH CASINO & RESORT INC,MCRI,SIG,3,,,,,,,,
MONDELEZ INTERNATIONAL  INC.,MDLZ,SIG:MMM,3,Y,,,Y,L,,,
MONEYGRAM INTERNATONAL INC,MGI,CITADEL,2,,,,,,,,
MONOGRAM RESIDENTIAL TRUST  INC.,MORE,WOLVERINE,2,,,,,,,,
MONOLITHIC POWER SYSTEM  INC.,MPWR,SIG:MMM,3,,,,,,,,
MONRO MUFFLER BRAKE INC,MNRO,BARCLAYS,1,,,,,,,,
MONSANTO COMPANY,MON,CITIGROUP:BRCM,1,Y,,,Y,L,W,,
MONSTER BEVERAGE CORPORATION,MNST,SIG:MU,3,,,,Y,L,W,,
MONTER WORLDWIDE INC,MWW,MORGAN,3,,,,,,,,
MOODY''S CORPORATION,MCO,WOLVERINE,2,Y,,,,,,,
MORGAN STANLEY,MS,SIG:MU,1,Y,,,Y,L,W,,
MORGANS HOTEL GROUP CO. COM,MHGC,GROUP ONE:AMGN,1,,,,,,,,
MORNINGSTAR INC COM,MORN,CITADEL,3,,,,,,,,
MOSAIC COMPANY,MOS,BARCLAYS,3,Y,,,Y,L,W,,
MOSYS INC COM STK,MOSY,WOLVERINE,3,,,,,,,,
MOTOROLA SOLUTIONS  INC.,MSI,WOLVERINE,1,Y,,,Y,L,,,
MOVADO GROUP INC,MOV,WOLVERINE,3,,,,,,,,
MPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,CIG,SIG,3,,,,,,,,
MPLX LP,MPLX,SIG:MMM,3,,,,,,,,
MRC GLOBAL INC.,MRC,GROUP ONE:AMGN,3,,,,,,,,
MRKT VECTORS RARE EARTH/STRAT METALS,REMX,SIG:RUT,2,,,,,E,,,
MSC INDUSTRIAL DIRECT CO CL-A,MSM,CITADEL,3,,,,,,,,
MSCI EAFE INDEX,MXEA,IMC,2,,,,,,,,
MSCI EMERGING MARKETS INDEX,MXEF,IMC,2,,,,,,,,
MSCI INC,MSCI,SIG:MU,3,,,,,,,,
MUELLER WATER PRODUCTS  INC. SER A,MWA,GROUP ONE:AMGN,2,,,,,,,,
MULTI-FINELINE ELECTRONIX INC,MFLX,SIG:MCD,2,,,,,,,,
MURPHY OIL CORPORATION,MUR,SIG:MMM,1,,,,,,,,
MURPHY USA INC.,MUSA,SIG:MMM,1,,,,,,,,
MV OIL TRUST,MVO,GROUP ONE:AMGN,2,,,,,,,,
MVC CAPITAL INC,MVC,GROUP ONE:HGSI,3,,,,,,,,
MYERS INDS INC,MYE,GROUP ONE:AMGN,3,,,,,,,,
MYLAN  INC.,MYL,CITIGROUP:BRCM,1,Y,,,Y,L,W,,
MYR GROUP INC COM STK (DE),MYRG,WOLVERINE,1,,,,,,,,
MYRIAD GENETICS INC,MYGN,SIG:MCD,2,,,,,W,,,
NABORS INDS LTD (NEW) BERMUDA,NBR,WOLVERINE,3,Y,,,Y,L,,,
NAM TAI PROPERTY INC.,NTP,SIG:MU,3,,,,,,,,
NANOMETRICS INC,NANO,BARCLAYS,3,,,,,,,,
NANOSPHERE INC,NSPH,SIG,2,,,,,,,,
NANOSTRING TECHNOLOGIES INC,NSTG,SIG:MMM,1,,,,,,,,
NANOVIRICIDES  INC.,NNVC,GROUP ONE:AMGN,3,,,,,,,,
NASDAQ - 100 INDEX,NDX,SIG:RUT,4,,,Y,Y,L,W,,
NASDAQ OMX GROUP  INC.,NDAQ,GROUP ONE:AMGN,3,,,,,,,,
NATIONAL BANK OF GREECE S A,NBG,GROUP ONE:HGSI,2,Y,,,Y,L,W,,
NATIONAL BEVERAGE CORP,FIZZ,WOLVERINE,1,,,,,,,,
NATIONAL CINEMEDIA  INC.,NCMI,CITADEL,3,,,,,,,,
NATIONAL FUEL GAS CO N.J.,NFG,GROUP ONE:AMGN,1,,,,,,,,
NATIONAL GENERAL HOLDINGS CORPORATION,NGHC,GROUP ONE:WOX,3,,,,,,,,
NATIONAL GRID PLC,NGG,SIG:MCD,3,,,,,,,,
NATIONAL HEALTHCARE CORPORATION,NHC,SIG:MMM,2,,,,,,,,
NATIONAL OILWELL VARCO  INC.,NOV,CITADEL,2,Y,,,Y,L,W,,
NATIONAL RERAIL PROPERTIES  INC,NNN,BARCLAYS,3,,,,,,,,
NATIONAL STORAGE AFFILIATES TRUST,NSA,CITADEL,1,,,,,,,,
NATIONSTAR MORTGAGE HOLDINGS,NSM,WOLVERINE,1,,,,Y,L,,,
NATURAL GAS SERVICES GROUP,NGS,WOLVERINE,1,,,,,,,,
NATURAL RES PARTNERS L P,NRP,GROUP ONE:AMGN,1,,,,,,,,
NATUS MEDICAL INCORPORATED,BABY,GROUP ONE:AMGN,1,,,,,,,,
NAVIDEA BIOPHARMACEUTICALS  INC,NAVB,GROUP ONE:AMGN,1,,,,,,,,
NAVIENT CORPORATION,NAVI,CITIGROUP:BRCM,1,,,,,,,,
NAVIGANT CONSULTING INC,NCI,CITADEL,1,,,,,,,,
NAVIGATOR HOLDINGS LTD,NVGS,GROUP ONE:HGSI,3,,,,,,,,
NAVIOS MARITIME HOLDINGS  INC.,NM,GROUP ONE:AMGN,3,,,,,,,,
NAVIOS MARITIME PARTNERS L.P,NMM,GROUP ONE:AMGN,3,,,,,,,,
NAVISTAR INTERNATIONAL INC.,NAV,SIG:MU,1,,,,Y,L,W,,
NCI BUILDING SYSTEMS INC,NCS,GROUP ONE:AMGN,3,,,,,,,,
NCR CORPORATION,NCR,CITADEL,1,,,,Y,L,,,
NEKTAR THERAPEUTICS,NKTR,BARCLAYS,2,,,,,,,,
NELNET INC,NNI,WOLVERINE,3,,,,,,,,
NEOGENOMICS INC,NEO,GROUP ONE:AMGN,2,,,,,,,,
NEONODE  INC.,NEON,GROUP ONE:HGSI,1,,,,,,,,
NEOPHOTONICS CORP,NPTN,GROUP ONE:AMGN,2,,,,,,,,
NEOSTEM INC,NBS,GROUP ONE:WOX,3,,,,,,,,
NEPTUNE TECH & BIORESOURCE,NEPT,GROUP ONE:WOX,2,,,,,,,,
NET 1 UEPS TECHNOLOGIES INC. NEW,UEPS,SIG:MU,1,,,,,,,,
NETAPP  INC,NTAP,BARCLAYS,3,Y,,,Y,L,W,,
NETEASE  INC,NTES,SIG:MU,3,,,,,,,,
NETFLIX COM INC,NFLX,SIG:MU,3,Y,,,Y,L,W,,
NETGEAR INC,NTGR,CITADEL,3,,,,,,,,
NETLIST INC,NLST,GROUP ONE:AMGN,2,,,,,,,,
NETSCOUT SYSTEMS INC,NTCT,BARCLAYS,3,,,,,,,,
NETSOL TECHNOLOGIES INC,NTWK,WOLVERINE,1,,,,,,,,
NETSUITE INC,N,SIG:MCD,1,,,,,,,,
NEURALSTEM  INC,CUR,GROUP ONE:AMGN,2,,,,,,,,
NEUROCRINE BIOSCIENCES INC,NBIX,SIG:MU,2,,,,,,,,
NEUSTAR INC CL A,NSR,SIG:MMM,1,,,,Y,L,,,
NEVSUN RESOURCES LTD,NSU,CITADEL,3,,,,,,,,
NEW GOLD  INC.,NGD,BARCLAYS,2,,,,Y,L,,,
NEW INVESTORS BANCORP INC,ISBC,WOLVERINE,3,,,,,,,,
NEW ORIENTAL EDUCATION & TECH GRP I,EDU,CITADEL,1,,,,,,,,
NEW RESIDENTIAL INVESTMENT CORP.,NRZ,MORGAN,2,,,,,,,,
NEW YORK & COMPANY  INC,NWY,WOLVERINE,1,,,,,,,,
NEW YORK COMM BANCORP INC,NYCB,SIG:MU,1,,,,,,,,
NEW YORK MORTGAGE TR INC NEW,NYMT,GROUP ONE:AMGN,1,,,,,,,,
NEW YORK REIT INC.,NYRT,GROUP ONE:HGSI,1,,,,,,,,
NEW YORK TIMES CO(THE)CL A,NYT,CITADEL,1,,,,,,,,
NEWCASTLE INVESTMENT CORP.,NCT,MORGAN,2,,,,,,,,
NEWELL RUBBERMAID INC,NWL,SIG:MU,3,,,,,,,,
NEWFIELD EXPLORATION COMPANY,NFX,CITADEL,3,Y,,,Y,L,,,
NEWLINK GENETICS CORPORATION,NLNK,GROUP ONE:HGSI,1,,,,Y,L,,,
NEWMARKET COPR (HOLDING COMPANY),NEU,BARCLAYS,3,,,,,,,,
NEWMONT MINING CORP (HOLDING COMPAN,NEM,SIG:MU,3,Y,,,Y,L,W,,
NEWPORT CORP,NEWP,CITADEL,2,,,,,,,,
NEWS CORPORATION,NWSA,SIG:MU,1,,,,,,,,
NEXSTAR BROADCASTING GRP INC CL A,NXST,GROUP ONE:AMGN,2,,,,,,,,
NEXTERA ENERGY PARTNERS  LP,NEP,GROUP ONE:AMGN,1,,,,,,,,
NEXTERA ENERGY  INC.,NEE,WOLVERINE,3,,,,Y,L,,,
NGL ENERGY PARTNERS LP,NGL,WOLVERINE,1,,,,,,,,
NIC  INC.,EGOV,WOLVERINE,1,,,,,,,,
NICE-SYSTEMS LTD SPONS ADR,NICE,BARCLAYS,2,,,,,,,,
NIELSEN N.V.,NLSN,SIG:MMM,2,,,,,,,,
NIKE INC CL-B,NKE,CITIGROUP:BRCM,1,Y,,,Y,L,W,,
NIMBLE STORAGE  INC.,NMBL,WOLVERINE,2,,,,,,,,
NIPPON TELEG &TEL ADR(RP1/200,NTT,GROUP ONE:AMGN,3,,,,,,,,
NISKA GAS STORAGE PARTNERS LLC,NKA,SIG,1,,,,,,,,
NISOURCE INC (HOLDING CO),NI,GROUP ONE:AMGN,1,,,,Y,L,,,
NMI HOLDINGS  INC.,NMIH,SIG:MMM,3,,,,,,,,
NOAH HOLDINGS LTD,NOAH,SIG:MMM,3,,,,,,,,
NOBLE CORPORATION PLC,NE,SIG:MU,3,Y,,,Y,L,W,,
NOBLE ENERGY INC,NBL,SIG:MCD,2,,,,Y,L,,,
NOKIA CORP ADS (REP 1 SHARE),NOK,SIG:MCD,1,Y,,,Y,L,W,,
NOMURA HLDGS ADS ( 1 SH COM),NMR,GROUP ONE:AMGN,1,,,,,,,,
NOODLES & CO.,NDLS,SIG:MMM,2,,,,Y,L,,,
NORANDA ALUMINUM HOLDING CORP,NOR,SIG,1,,,,,,,,
NORD ANGLIA EDUCATION INC.,NORD,WOLVERINE,3,,,,,,,,
NORDIC AMERICAN TANKER SHPG LT,NAT,GROUP ONE:AMGN,1,,,,,,,,
NORDSON CORP.,NDSN,SIG:MCD,3,,,,,,,,
NORDSTROM,JWN,SIG:EMC,1,Y,,,Y,L,,,
NORFOLK SOUTHERN CORP,NSC,CITIGROUP:BRCM,3,Y,,,Y,L,W,,
NORTH AMERICAN ENERGY PARTNERS  INC.,NOA,WOLVERINE,2,,,,,,,,
NORTH AMERICAN PALLADIUM LTD,PALDF,SIG,3,,,,,,,,
NORTH ATLANTIC DRILLING LTD,NADL,SIG:MMM,1,,,,,,,,
NORTH EUROPEAN OIL ROYALTY TRUST,NRT,GROUP ONE:HGSI,3,,,,,,,,
NORTHERN DYNASTY MINERALS LTD.,NAK,SIG:MMM,2,,,,,,,,
NORTHERN OIL & GAS INC,NOG,GROUP ONE:AMGN,3,,,,,,,,
NORTHERN TIER ENERGY INC,NTI,SIG,3,,,,,,,,
NORTHERN TRUST CORP,NTRS,BARCLAYS,1,,,,,,,,
NORTHFIELD BANCORP INC,NFBK,WOLVERINE,3,,,,,,,,
NORTHROP GRUMMAN CP (HLDG CO),NOC,CITADEL,2,,,,,,,,
NORTHSTAR ASSET MANAGEMENT CORP.,NSAM,SIG,3,,,,,,,,
NORTHSTAR REALTY FINANCE CORP,NRF,GROUP ONE:AMGN,3,,,,Y,L,,,
NORTHWEST BIOTHERAPEUTICS  INC.,NWBO,GROUP ONE:AMGN,1,,,,Y,L,,,
NORTHWEST PIPE CO,NWPX,WOLVERINE,3,,,,,,,,
NORTHWESTERN CORP,NWE,SIG,3,,,,,,,,
NORWEIGIAN CRUISE LINE HOLDING LTD,NCLH,WOLVERINE,3,,,,,,,,
NOVA MEASURING INSTRUMENTS,NVMI,WOLVERINE,2,,,,,,,,
NOVACOPPER  INC,NCQ,SIG:MU,3,,,,,,,,
NOVAGOLD RESOURCES INC(NEW),NG,SIG:MU,3,,,,,,,,
NOVARTIS AG ADS(1 REG SH),NVS,GROUP ONE:AMGN,1,,,,,,,,
NOVATEL WIRELESS INC COM NEW,MIFI,GROUP ONE:AMGN,3,,,,,,,,
NOVAVAX INC,NVAX,CITADEL,1,,,,Y,L,,,
NOVO NORDISK A S,NVO,GROUP ONE:AMGN,3,,,,,,,,
NOW INC.,DNOW,CITADEL,2,,,,,,,,
NQ MOBILE INC.,NQ,SIG,3,Y,,,Y,L,W,,
NRG ENERGY INC,NRG,BARCLAYS,3,,,,Y,L,,,
NRG YIELD  INC.,NYLDA,WOLVERINE,3,,,,,,,,
NTELOS HOLDINGS CORP.,NTLS,CITADEL,3,,,,,,,,
NTT DOCOMO INC.,DCM,WOLVERINE,1,,,,,,,,
NU SKIN ENTERPRISES INC CL-A,NUS,WOLVERINE,3,,,,Y,L,W,,
NUANCE COMMUNICATIONS INC,NUAN,BARCLAYS,1,,,,Y,L,,,
NUCOR CORP,NUE,SIG:MU,1,Y,,,Y,L,W,,
NUSTAR ENERGY L.P.,NS,WOLVERINE,3,,,,Y,L,,,
NUSTAR GP HOLDING   LLC,NSH,WOLVERINE,3,,,,,,,,
NUTRI/SYSTEM INC.,NTRI,GROUP ONE:HGSI,3,,,,,,,,
NUVASIVE INC,NUVA,SIG:MMM,3,,,,,,,,
NUVERRA ENVIRONMENTAL SOLUTIONS  INC.,NES,WOLVERINE,3,,,,,,,,
NVIDIA CORP,NVDA,BARCLAYS,3,Y,,,Y,L,W,,
NXP SEMICONDUCTOR N.V,NXPI,SIG,1,,,,Y,L,,,
NXSTAGE MEDICAL  INC.,NXTM,GROUP ONE:WOX,3,,,,,,,,
NYMOX PHARMACEUTICAL CORP,NYMX,GROUP ONE:AMGN,2,,,,,,,,
O''REILLY AUTOMOTIVE  INC,ORLY,WOLVERINE,2,,,,,,,,
OAKTREE CAPITAL GROUP LLC,OAK,GROUP ONE:HGSI,1,,,,,,,,
OASIS PETROLEUM INC NEW,OAS,GROUP ONE:AMGN,2,Y,,,Y,L,,,
OCATA THERAPEUTICS INC.,OCAT,GROUP ONE:AMGN,2,,,,,,,,
OCCIDENTAL PETROLEUM CORP,OXY,BARCLAYS,2,Y,,Y,Y,L,W,,
OCEAN RIG UDW INC,ORIG,BARCLAYS,3,,,,Y,L,,,
OCEANEERING INTL INC,OII,CITIGROUP:BRCM,1,,,,,,,,
OCH-ZIFF CAPITAL MANAGEMENT GROUP,OZM,SIG:MMM,3,,,,,,,,
OCI PARTNERS LP,OCIP,SIG:MMM,3,,,,,,,,
OCLARO INC,OCLR,GROUP ONE:HGSI,1,,,,,,,,
OCWEN FINANCIAL CORPORATION (NEW),OCN,GROUP ONE:HGSI,1,Y,,,Y,L,,,
ODYSSEY MARINE EXPLORATION INC,OMEX,GROUP ONE:HGSI,3,,,,,,,,
OFFICE DEPOT INC,ODP,TIMBER:USG,1,Y,,,Y,L,,,
OFG BANCORP,OFG,WOLVERINE,2,,,,,,,,
OGE ENERGY CORP (HOLDING CO.),OGE,WOLVERINE,3,,,,,,,,
OHR PHARMACEUTICAL INC,OHRP,GROUP ONE:AMGN,1,,,,Y,L,,,
OIL STATES INTL INC,OIS,SIG:MMM,3,,,,,,,,
OLD DOMINION FREIGHT LINES INC,ODFL,SIG:MMM,1,,,,,,,,
OLD NATIONAL BANCORP,ONB,BARCLAYS,3,,,,,,,,
OLD REPUBLIC INTL CORP,ORI,WOLVERINE,1,,,,,,,,
OLIN CORP NEW,OLN,TIMBER:USG,2,,,,,,,,
