Ticker,Date,Open,High,Low,Close,Volume
FDX,01/02/2009,61.8,62.29,60.59,62.07,2368800
FDX,01/05/2009,61.6,61.97,61.23,61.6,3766500
FDX,01/06/2009,62.13,62.37,61.12,61.72,4064900
FDX,01/07/2009,61.17,61.89,60.03,60.35,2474600
FDX,01/08/2009,60.22,60.81,59.09,59.81,2054500
FDX,01/09/2009,60.11,60.11,57.8,58.1,1879600
FDX,01/12/2009,58.09,58.75,57.8,58.09,2002200
FDX,01/13/2009,58.01,59.26,57.41,58.25,2413400
FDX,01/14/2009,57.42,57.46,55.09,55.77,3050900
FDX,01/15/2009,55.8,56.86,54.13,56.41,2945300
FDX,01/16/2009,57.2,57.51,54.91,56.43,2864800
FDX,01/20/2009,56.23,56.34,52.9,52.96,3107300
FDX,01/21/2009,53.65,54.91,52.92,54.79,2694500
FDX,01/22/2009,53.94,55.14,53.3,54.26,2028600
FDX,01/23/2009,53.04,53.7,51.48,52.13,3673800
FDX,01/26/2009,51.96,53.59,51.82,52.56,2369200
FDX,01/27/2009,52.98,53.79,51.78,53.53,2466000
FDX,01/28/2009,54.41,55.65,53.47,54.66,2894100
FDX,01/29/2009,54.04,54.34,52.29,52.52,2479500
FDX,01/30/2009,53.06,53.06,48.69,49.07,4660300
FDX,02/02/2009,48.71,48.87,46.97,47.34,4418500
FDX,02/03/2009,47.85,51.15,47.68,50.89,4663900
FDX,02/04/2009,50.94,51.63,49.24,49.37,3718300
FDX,02/05/2009,48.91,50.75,48.59,50.65,3157900
FDX,02/06/2009,50.79,53.68,50.6,53.24,3918500
FDX,02/09/2009,53.31,54.63,52.86,53.61,2757900
FDX,02/10/2009,52.75,53.61,49.11,50.12,5126600
FDX,02/11/2009,50.48,51.13,49.86,50.61,2371600
FDX,02/12/2009,49.93,50.39,48.59,50.31,3040600
FDX,02/13/2009,50.29,52.13,49.82,49.9,3556800
FDX,02/17/2009,48.87,49.11,47.14,47.39,3870100
FDX,02/18/2009,47.67,48.53,45.72,46.23,3965600
