Company,Stock Symbol
FELCOR LODGING TRUST IN FCH,FCH
FTI CONSULTING INC FCN,FCN
FIRST DEFIANCE FINANCIA FDEF,FDEF
FRESH DEL MONTE PRODUCE FDP,FDP
FEI CO FEIC,FEIC
FRANKLIN ELECTRIC CO FELE,FELE
FUTUREFUEL CORPORATION FF,FF
FIRST FINANCIAL BANCORP FFBC,FFBC
FIRST FINANCIAL HOLDING FFCH,FFCH
FBL FINANCIAL GROUP INC FFG,FFG
FLUSHING FINANCIAL CORP FFIC,FFIC
FIRST FINL BANKSHARES FFIN,FFIN
FRIENDFINDER NETWORKS FFN,FFN
FEMALE HEALTH CO FHCO,FHCO
FIRST INTST BANCSYSTEM FIBK,FIBK
FAIR ISAAC CORP FICO,FICO
FINISH LINE INC FINL,FINL
SOURCEFIRE INC FIRE,FIRE
FINANCIAL INSTNS INC FISI,FISI
COMFORT SYSTEMS USA INC FIX,FIX
NATIONAL BEVERAGE CORP FIZZ,FIZZ
FLUIDIGM CORP FLDM,FLDM
FIRST LONG ISLAND CORP FLIC,FLIC
FLOW INTL CORP FLOW,FLOW
1-800 FLOWERS COM FLWS,FLWS
FIRST MIDWEST BANCORP FMBI,FMBI
FIRST MARBLEHEAD CORP FMD,FMD
FIRSTMERIT CORP FMER,FMER
FABRINET FN,FN
FNB CORP FNB,FNB
FINANCIAL ENGINES INC FNGN,FNGN
FIRST BANCORP INC FNLC,FNLC
FINISAR CORP FNSR,FNSR
FERRO CORP FOE,FOE
AMICUS THERAPEUTICS INC FOLD,FOLD
FORESTAR GROUP INC FOR,FOR
FORMFACTOR INC FORM,FORM
FORRESTER RESEARCH INC FORR,FORR
FPIC INSURANCE GROUP IN FPIC,FPIC
FIRST POTOMAC REALTY TR FPO,FPO
FIRST PACTRUST BANCORP FPTB,FPTB
FIRST INDUSTRIAL RLTY T FR,FR
FREDS INC FRED,FRED
FORTEGRA FINANCIAL CORP FRF,FRF
FURMANITE CORP FRM,FRM
FIRST MERCHANTS CORP FRME,FRME
FRANKLIN FINL CORP VA FRNK,FRNK
FRONTLINE LTD FRO,FRO
FAIRPOINT COMMUNICATION FRP,FRP
FORCE PROTECTION INC FRPT,FRPT
FIFTH STREET FINANCE FSC,FSC
FISHER COMMUNICATIONS FSCI,FSCI
FSI INTL INC FSII,FSII
FRANKLIN STREET PPTYS C FSP,FSP
FLAGSTONE REINSURANCE FSR,FSR
FEDERAL SIGNAL CORP FSS,FSS
FOSTER L B CO FSTR,FSTR
FUEL SYSTEMS SOLUTIONS FSYS,FSYS
FUEL TECH INC FTEK,FTEK
FLOTEK INDS INC DEL FTK,FTK
1ST UNITED BANCORP INC FUBC,FUBC
FULLER H B CO FUL,FUL
WINTHROP REALTY TRUST FUR,FUR
FURIEX PHARMACEUTICALS FURX,FURX
FIVE STAR QUALITY CARE FVE,FVE
FORWARD AIR CORP FWRD,FWRD
FOX CHASE BANCORP FXCB,FXCB
FXCM INC FXCM,FXCM
FX ENERGY INC FXEN,FXEN
GERMAN AMERICAN BANCORP GABC,GABC
GLADSTONE INVESTMENT GAIN,GAIN
NICOR INC GAS,GAS
GREATBATCH INC GB,GB
GLACIER BANCORP INC GBCI,GBCI
GOLUB CAP BDC INC GBDC,GBDC
GAMCO INVESTORS INC GBL,GBL
GLOBAL INDEMNITY PLC GBLI,GBLI
GREENBRIER COMPANIES IN GBX,GBX
GLOBAL CASH ACCESS INC GCA,GCA
GAIN CAPITAL HLDNGS INC GCAP,GCAP
GENESCO INC GCO,GCO
GLOBECOMM SYSTEMS INC GCOM,GCOM
GOODRICH PETROLEUM CORP GDP,GDP
GEO GROUP INC GEO,GEO
GEORESOURCES INC GEOI,GEOI
GEOEYE INC GEOY,GEOY
GERON CORP GERN,GERN
GAYLORD ENTMT CO GET,GET
GEVO INC GEVO,GEVO
GRIFFON CORP GFF,GFF
GFI GROUP INC GFIG,GFIG
GEORGIA GULF CORP GGC,GGC
GLOBAL GEOPHYSICAL SVCS GGS,GGS
GENOMIC HEALTH INC GHDX,GHDX
GRAHAM CORP GHM,GHM
GULF ISLAND FABRICATION GIFI,GIFI
G-III APPAREL GROUP LTD GIII,GIII
GEEKNET INC GKNT,GKNT
G&K SERVICES INC GKSR,GKSR
GLADSTONE CAPITAL CORP GLAD,GLAD
GLOBAL CROSSING LTD GLBC,GLBC
GLOBAL INDUSTRIES LTD GLBL,GLBL
GLEACHER & COMPANY INC GLCH,GLCH
GREAT LAKES DREDGE & DO GLDD,GLDD
GULFMARK OFFSHORE INC GLF,GLF
GOLAR LNG LTD BERMUDA GLNG,GLNG
GLOBAL POWER EQUIPMENT GLPW,GLPW
GREENLIGHT CAPITAL RE L GLRE,GLRE
GLATFELTER GLT,GLT
GLU MOBILE INC GLUU,GLUU
GORDMANS STORES INC GMAN,GMAN
GENERAL MOLY INC GMO,GMO
GENERAL MARITIME CORP GMR,GMR
GMX RESOURCES INC GMXR,GMXR
GNC HLDGS INC GNC,GNC
GENERAL COMMUNICATION GNCMA,GNCMA
GLOBAL TRAFFIC NETWORK GNET,GNET
GENCO SHIPPING & TRADIN GNK,GNK
COMPLETE GENOMICS INC GNOM,GNOM
GENERAC HOLDINGS INC GNRC,GNRC
GEOKINETICS INC GOK,GOK
GLADSTONE COMMERCIAL GOOD,GOOD
GOLD RESOURCE CORP GORO,GORO
GOVERNMENT PPTY INCOME GOV,GOV
GROUP 1 AUTOMOTIVE INC GPI,GPI
GRAPHIC PACKAGING HLDG GPK,GPK
GULFPORT ENERGY CORP GPOR,GPOR
GREEN PLAINS RENEWABLE GPRE,GPRE
GP STRATEGIES CORP GPX,GPX
GERBER SCIENTIFIC INC GRB,GRB
GORMAN RUPP CO GRC,GRC
GRIFFIN LAND & NURSERIE GRIF,GRIF
GRAHAM PACKAGING CO INC GRM,GRM
GLIMCHER REALTY TRUST GRT,GRT
GLOBALSTAR INC GSAT,GSAT
GREAT SOUTHERN BANCORP GSBC,GSBC
GSI GROUP INC CDA NEW GSIG,GSIG
GSI TECHNOLOGY GSIT,GSIT
GLOBE SPECIALTY METALS GSM,GSM
GLOBAL SOURCES LTD GSOL,GSOL
GOLDEN STAR RES LTD CDA GSS,GSS
GASTAR EXPL LTD GST,GST
GENTIVA HEALTH SERVICES GTIV,GTIV
CHART INDUSTRIES INC GTLS,GTLS
GRAY TELEVISION INC GTN,GTN
TRIPLE-S MANAGEMENT COR GTS,GTS
GTX INC GTXI,GTXI
GETTY REALTY CORP GTY,GTY
GUIDANCE SOFTWARE INC GUID,GUID
GRANITE CONSTR INC GVA,GVA
GENESEE & WYOMING INC GWR,GWR
GENCORP INC GY,GY
HAWAIIAN HOLDINGS INC HA,HA
HAEMONETICS CORP HAE,HAE
HANMI FINANCIAL CORP HAFC,HAFC
HAIN CELESTIAL GROUP HAIN,HAIN
HALLMARK FINL SVCS INC HALL,HALL
HALOZYME THERAPEUTICS HALO,HALO
HAYNES INTERNATIONAL IN HAYN,HAYN
HANCOCK HOLDING CO HBHC,HBHC
HARVARD BIOSCIENCE INC HBIO,HBIO
HERITAGE CRYL CLEAN INC HCCI,HCCI
HACKETT GROUP INC HCKT,HCKT
HEALTHCARE SVCS GRP INC HCSG,HCSG
HYPERDYNAMICS CORP HDY,HDY
H&E EQUIPMENT SERVICES HEES,HEES
HEICO CORP HEI,HEI
HECKMANN CORP HEK,HEK
HELEN OF TROY LTD HELE,HELE
HERCULES OFFSHORE INC HERO,HERO
ENER1 INC HEV,HEV
HFF INC HF,HF
HERITAGE FINANCIAL CORP HFWA,HFWA
HHGREGG INC HGG,HGG
HARLEYSVILLE GROUP INC HGIC,HGIC
HANGER ORTHOPEDIC GROUP HGR,HGR
HUDSON HIGHLAND GROUP HHGP,HHGP
HARTE HANKS INC HHS,HHS
HILLENBRAND INC HI,HI
HIBBETT SPORTS INC HIBB,HIBB
HILL INTERNATIONAL INC HIL,HIL
DOT HILL SYS CORP HILL,HILL
HI-TECH PHARMACAL CO IN HITK,HITK
HITTITE MICROWAVE CORP HITT,HITT
HIGHWOODS PROPERTIES IN HIW,HIW
HECLA MINING CO HL,HL
HARMONIC INC HLIT,HLIT
HEALTHSOUTH CORP HLS,HLS
HELIX ENERGY SOLUTIONS HLX,HLX
HOME PROPERTIES INC HME,HME
HORACE MANN EDUCATORS HMN,HMN
HAMPTON ROADS BANKSHARE HMPR,HMPR
HMS HOLDINGS CORP HMSY,HMSY
HANDY & HARMAN HLDGS LT HNH,HNH
HNI CORPORATION HNI,HNI
HARVEST NATURAL RES HNR,HNR
HALLADOR ENERGY CO HNRG,HNRG
HANSEN MEDICAL INC HNSN,HNSN
HOME BANCSHARES INC HOMB,HOMB
HOME FEDERAL BANCORP HOME,HOME
CRAFT BREWERS ALLIANCE HOOK,HOOK
HORNBECK OFFSHORE SVCS HOS,HOS
HOT TOPIC INC HOTT,HOTT
HOVNANIAN ENTERPRISES HOV,HOV
HUDSON PAC PPTYS INC HPP,HPP
HEARTLAND PAYMENT SYS HPY,HPY
HEALTHCARE REALTY TRUST HR,HR
HARBINGER GROUP INC HRG,HRG
HEALTHSPRING INC HS,HS
HEIDRICK & STRUGGLES HSII,HSII
HSN INC HSNI,HSNI
HEALTHSTREAM INC HSTM,HSTM
HERSHA HOSPITALITY TRUS HT,HT
HERITAGE COMMERCE CORP HTBK,HTBK
HICKORY TECH CORP HTCO,HTCO
HERCULES TECHNOLOGY GR HTGC,HTGC
HILLTOP HOLDINGS INC HTH,HTH
HEARTLAND EXPRESS INC HTLD,HTLD
HEARTLAND FINANCIAL USA HTLF,HTLF
HATTERAS FINL CORP HTS,HTS
HEARTWARE INTL INC HTWR,HTWR
HUB GROUP INC HUBG,HUBG
HURCO COMPANIES INC HURC,HURC
HURON CONSULTING GROUP HURN,HURN
HOUSTON AMERICAN ENERGY HUSA,HUSA
HUDSON VALLEY HOLDING HUVL,HUVL
HAVERTY FURNITURE INC HVT,HVT
HEADWATERS INC HW,HW
HEALTHWAYS INC HWAY,HWAY
HOUSTON WIRE & CABLE HWCC,HWCC
HAWKINS INC HWKN,HWKN
HEXCEL CORP HXL,HXL
HYPERCOM CORP HYC,HYC
MARINEMAX INC HZO,HZO
INTEGRA LIFESCIENCES IART,IART
INTERLINE BRANDS INC IBI,IBI
IBERIABANK CORP IBKC,IBKC
INTERNATIONAL BANCSHARE IBOC,IBOC
ICF INTERNATIONAL INC ICFI,ICFI
ICG GROUP INC ICGE,ICGE
INTERCLICK INC ICLK,ICLK
ICO GLOBAL COMM HLDGS ICOG,ICOG
ICONIX BRAND GROUP INC ICON,ICON
ICU MEDICAL INC ICUI,ICUI
L-1 IDENTITY SOLUTIONS ID,ID
IDACORP INC IDA,IDA
INTERDIGITAL INC IDCC,IDCC
IDENIX PHARMACEUTICALS IDIX,IDIX
IDT CORP IDT,IDT
INTEGRATED DEVICE TECH IDTI,IDTI
INTERFACE INC IFSIA,IFSIA
IMPERIAL HOLDINGS INC IFT,IFT
IGATE CORP IGTE,IGTE
INDEPENDENCE HOLDING CO IHC,IHC
INSTEEL INDUSTRIES INC IIIN,IIIN
INTERVAL LEISURE GRP IN IILG,IILG
II VI INC IIVI,IIVI
INTRALINKS HLDGS INC IL,IL
IMMUNOGEN INC IMGN,IMGN
INGLES MARKETS INC IMKTA,IMKTA
IMMERSION CORP IMMR,IMMR
IMMUNOMEDICS INC IMMU,IMMU
IMATION CORP IMN,IMN
INTERMEC INC IN,IN
INTERNAP NETWORK SVCS C INAP,INAP
INCYTE CORP INCY,INCY
INDEPENDENT BANK MA INDB,INDB
INFINITY PHARMACEUTICAL INFI,INFI
INFINERA CORP INFN,INFN
INHIBITEX INC INHX,INHX
INTERACTIVE INTELLIGENC ININ,ININ
SUMMIT HOTEL PROPER INN,INN
INSMED INC INSM,INSM
INFOSPACE INC INSP,INSP
INSITUFORM TECHNOLOGIES INSU,INSU
WORLD FUEL SVCS CORP INT,INT
INTL FCSTONE INC INTL,INTL
INTERSECTIONS INC INTX,INTX
IDENTIVE GROUP INC INVE,INVE
INNERWORKINGS INC INWK,INWK
ION GEOPHYSICAL CORP IO,IO
INNOSPEC INC IOSP,IOSP
INTER PARFUMS INC IPAR,IPAR
INFINITY PPTY & CAS COR IPCC,IPCC
IPC THE HOSPITALIST CO IPCM,IPCM
INPHI CORP IPHI,IPHI
INNOPHOS HOLDINGS INC IPHS,IPHS
IMPERIAL SUGAR CO IPSU,IPSU
IMPAX LABORATORIES INC IPXL,IPXL
IROBOT CORP IRBT,IRBT
INLAND REAL ESTATE CORP IRC,IRC
IRIDIUM COMMUNICATIONS IRDM,IRDM
INVESTORS REAL ESTATE T IRET,IRET
IRIS INTERNATIONAL INC IRIS,IRIS
IRONWOOD PHARMACEUTICAL IRWD,IRWD
INVESTORS BANCORP INC ISBC,ISBC
INTERNATIONAL SPEEDWAY ISCA,ISCA
INTL SHIPHOLDING CORP ISH,ISH
ISIS PHARMACEUTICALS ISIS,ISIS
ISLE OF CAPRI CASINOS ISLE,ISLE
ISRAMCO INC ISRL,ISRL
INTEGRATED SILICON S ISSI,ISSI
ISTA PHARMACEUTICALS IN ISTA,ISTA
INTEGRAL SYSTEMS INC ISYS,ISYS
INVESTMENT TECHNOLOGY ITG,ITG
INTERMUNE INC ITMN,ITMN
INTEVAC INC IVAC,IVAC
INVACARE CORP IVC,IVC
INVESCO MORTGAGE CAP IVR,IVR
IXYS CORP IXYS,IXYS
JACK IN THE BOX INC JACK,JACK
JAGUAR MNG INC JAG,JAG
JAKKS PACIFIC INC JAKK,JAKK
JAZZ PHARMACEUTICALS IN JAZZ,JAZZ
JETBLUE AIRWAYS CORP JBLU,JBLU
JOHN BEAN TECH CORP JBT,JBT
J2 GLOBAL COMMUNICATION JCOM,JCOM
COMMUNICATIONS SYSTEMS JCS,JCS
JDA SOFTWARE GROUP INC JDAS,JDAS
J & J SNACK FOODS CO JJSF,JJSF
HENRY JACK & ASSOCIATES JKHY,JKHY
JAMBA INC JMBA,JMBA
JMP GROUP INC JMP,JMP
THE JONES GROUP INC JNY,JNY
JOS A BANK CLOTHIERS IN JOSB,JOSB
JOHNSON OUTDOORS INC JOUT,JOUT
JAMES RIVER COAL CO JRCC,JRCC
JOURNAL COMMUNICATIONS JRN,JRN
KADANT INC KAI,KAI
KAISER ALUMINUM CORP KALU,KALU
KAMAN CORP KAMN,KAMN
KIMBALL INTERNATIONAL KBALB,KBALB
KB HOME KBH,KBH
KBW INC KBW,KBW
KOHLBERG CAPITAL CORP KCAP,KCAP
KNIGHT CAPITAL GROUP IN KCG,KCG
KANSAS CITY LIFE INS CO KCLI,KCLI
COLE KENNETH PRODTNS KCP,KCP
KAYDON CORP KDN,KDN
KEY ENERGY SERVICES INC KEG,KEG
KELLY SERVICES INC KELYA,KELYA
KEMET CORP KEM,KEM
KERYX BIOPHARMACEUTICAL KERX,KERX
KEYNOTE SYSTEMS INC KEYN,KEYN
KEYW HOLDING CORP KEYW,KEYW
KFORCE INC KFRC,KFRC
KORN FERRY INTERNATIONA KFY,KFY
KIRKLANDS INC KIRK,KIRK
KIT DIGITAL INC KITD,KITD
KRISPY KREME DOUGHNUTS KKD,KKD
KULICKE & SOFFA INDS KLIC,KLIC
KMG CHEMICALS INC KMGB,KMGB
KINDRED HEALTHCARE INC KND,KND
KENDLE INTERNATIONAL IN KNDL,KNDL
KNOLL INC KNL,KNL
KNOLOGY INC KNOL,KNOL
KNOT INC KNOT,KNOT
KENSEY NASH CORP KNSY,KNSY
KNIGHT TRANSPORTATION KNX,KNX
KENEXA CORP KNXA,KNXA
KODIAK OIL & GAS CORP KOG,KOG
KOPPERS HOLDINGS INC KOP,KOP
KOPIN CORP KOPN,KOPN
KRATON PERF POLYMERS KRA,KRA
KILROY REALTY CORP KRC,KRC
KITE REALTY GROUP TRUST KRG,KRG
KEARNY FINANCIAL CORP KRNY,KRNY
KAPSTONE PAPER & PACKAG KS,KS
K-SWISS INC KSWS,KSWS
KRATOS DEFENSE & SEC SO KTOS,KTOS
K V PHARMACEUTICAL CO KV.A,KV.A
KVH INDUSTRIES INC KVHI,KVHI
KENNEDY-WILSON HLDGS IN KW,KW
QUAKER CHEMICAL CORP KWR,KWR
MULTI COLOR CORP LABL,LABL
LITHIA MOTORS INC LAD,LAD
LANCASTER COLONY CORP LANC,LANC
MAGMA DESIGN AUTOMATION LAVA,LAVA
LAWSON PRODUCTS INC LAWS,LAWS
LAYNE CHRISTENSEN CO LAYN,LAYN
LABARGE INC LB,LB
LAKELAND BANCORP INC LBAI,LBAI
LIBBEY INC LBY,LBY
U S AIRWAYS GROUP INC LCC,LCC
LANNETT CO INC LCI,LCI
LECROY CORP LCRY,LCRY
LIFETIME BRANDS INC LCUT,LCUT
LYDALL INC LDL,LDL
LANDAUER INC LDR,LDR
LEAP WIRELESS INTL INC LEAP,LEAP
LEAPFROG ENTERPRISES IN LF,LF
LITTELFUSE INC LFUS,LFUS
LACLEDE GROUP INC LG,LG
LIONS GATE ENTMNT CORP LGF,LGF
LIGAND PHARMACEUTICALS LGND,LGND
LHC GROUP INC LHCG,LHCG
LASALLE HOTEL PROPERTIE LHO,LHO
LINCOLN EDUCATIONAL SVS LINC,LINC
LIONBRIDGE TECHNOLOGIES LIOX,LIOX
LIZ CLAIBORNE INC LIZ,LIZ
LAKELAND FINANCIAL CORP LKFN,LKFN
LUMBER LIQUIDATORS HLDG LL,LL
L & L ENERGY INC LLEN,LLEN
LIMELIGHT NETWORKS INC LLNW,LLNW
LMI AEROSPACE INC LMIA,LMIA
LIMONEIRA CO LMNR,LMNR
LUMINEX CORP LMNX,LMNX
SNYDER'S-LANCE INC LNCE,LNCE
LANDEC CORP LNDC,LNDC
CHENIERE ENERGY INC LNG,LNG
LINDSAY CORP LNN,LNN
LOGMEIN INC LOGM,LOGM
LOOPNET INC LOOP,LOOP
GRAND CANYON EDUCATION LOPE,LOPE
LORAL SPACE & COMM LORL,LORL
LIVEPERSON INC LPSN,LPSN
LOUISIANA PACIFIC CORP LPX,LPX
LIQUIDITY SERVICES INC LQDT,LQDT
K12 INC LRN,LRN
LATTICE SEMICONDUCTOR LSCC,LSCC
CAPLEASE INC LSE,LSE
LTC PROPERTIES INC LTC,LTC
LIFE TIME FITNESS INC LTM,LTM
LADENBURG THALMAN FIN LTS,LTS
LTX-CREDENCE CORP LTXC,LTXC
LUBYS INC LUB,LUB
LUFKIN INDUSTRIES INC LUFK,LUFK
STEINWAY MUSICAL INS LVB,LVB
LIFEWAY FOODS INC LWAY,LWAY
LAWSON SOFTWARE INC LWSN,LWSN
LEXINGTON REALTY TRUST LXP,LXP
LEXICON PHARMACEUTICALS LXRX,LXRX
LSB INDUSTRIES INC LXU,LXU
LSI INDUSTRIES INC LYTS,LYTS
LIVE NATION ENT INC LYV,LYV
LA Z BOY INC LZB,LZB
MID-AMER APT CMNTYS MAA,MAA
MAIN STREET CAPITAL COR MAIN,MAIN
MAKO SURGICAL CORP MAKO,MAKO
MANHATTAN ASSOCS INC MANH,MANH
MANTECH INTERNATIONAL MANT,MANT
MAP PHARMACEUTICALS INC MAPP,MAPP
MASIMO CORPORATION MASI,MASI
MATTHEWS INTERNATIONAL MATW,MATW
MAXYGEN INC MAXY,MAXY
MB FINANCIAL INC MBFI,MBFI
METABOLIX INC MBLX,MBLX
MERCHANTS BANCSHARES MBVT,MBVT
MEDLEY CAPITAL CORP MCC,MCC
CONTANGO OIL & GAS CO MCF,MCF
MCG CAPITAL CORP MCGC,MCGC
MARCHEX INC MCHX,MCHX
MONARCH CASINO & RESORT MCRI,MCRI
MICREL INC MCRL,MCRL
MARCUS CORP MCS,MCS
MEDASSETS INC MDAS,MDAS
MDC HOLDINGS INC MDC,MDC
MDC CORP MDCA,MDCA
MEDICAL ACTION INDS INC MDCI,MDCI
MEDICINES CO MDCO,MDCO
METROPOLITAN HEALTH NET MDF,MDF
MEDIAMIND TECH INC MDMD,MDMD
MEREDITH CORP MDP,MDP
MEDIDATA SOLUTIONS INC MDSO,MDSO
MEDCATH CORP MDTH,MDTH
MEDIVATION INC MDVN,MDVN
MIDWAY GOLD CORP MDW,MDW
METALICO INC MEA,MEA
MEASUREMENT SPECIALTIES MEAS,MEAS
MEDIFAST INC MED,MED
MEDQUIST HLDGS INC MEDH,MEDH
METHODE ELECTRS INC MEI,MEI
MENTOR GRAPHICS CORP MENT,MENT
MERU NETWORKS INC MERU,MERU
METRO BANCORP INC METR,METR
MF GLOBAL HOLDINGS LTD MF,MF
MFA FINANCIAL INC MFA,MFA
MAIDENFORM BRANDS INC MFB,MFB
MULTI-FINELINE ELECTRON MFLX,MFLX
M & F WORLDWIDE CORP MFW,MFW
MISTRAS GROUP INC MG,MG
MULTIMEDIA GAMES HLD CO MGAM,MGAM
MGE ENERGY INC MGEE,MGEE
MONEYGRAM INTERNATIONAL MGI,MGI
MAGELLAN HEALTH SVCS IN MGLN,MGLN
MGP INGREDIENTS INC MGPI,MGPI
MCGRATH RENTCORP MGRC,MGRC
MORGANS HOTEL GROUP CO MHGC,MHGC
MAIDEN HOLDINGS LTD MHLD,MHLD
M/I HOMES INC MHO,MHO
MAGNUM HUNTER RES CORP MHR,MHR
MIDDLEBY CORP MIDD,MIDD
MEADOWBROOK INS GROUP MIG,MIG
MILLER ENERGY RES INC MILL,MILL
MITCHAM INDUSTRIES INC MIND,MIND
MOBILE MINI INC MINI,MINI
MIPS TECHNOLOGIES INC MIPS,MIPS
MICROMET INC MITI,MITI
MKS INSTRUMENTS INC MKSI,MKSI
RESPONSYS INC MKTG,MKTG
MARKETAXESS HOLDINGS IN MKTX,MKTX
HERMAN MILLER INC MLHR,MLHR
MUELLER INDUSTRIES INC MLI,MLI
MODUSLINK GLB SOLUTIONS MLNK,MLNK
MILLER INDUSTRIES INC MLR,MLR
MCMORAN EXPLORATION CO MMR,MMR
MAXIMUS INC MMS,MMS
MERIT MED SYSTEMS INC MMSI,MMSI
MCCLATCHY CO MNI,MNI
MANNKIND CORP MNKD,MNKD
MONMOUTH REAL ESTATE MNR,MNR
MONRO MUFFLER BRAKE INC MNRO,MNRO
MOMENTA PHARMACEUTICALS MNTA,MNTA
MODINE MANUFACTURING CO MOD,MOD
MOOG INC MOG.A,MOG.A
MOLINA HEALTHCARE INC MOH,MOH
MOSYS INC MOSY,MOSY
MOTRICITY INC MOTR,MOTR
MOVADO GROUP INC MOV,MOV
MOVE INC MOVE,MOVE
MOTORCAR PTS AMERICA IN MPAA,MPAA
MPG OFFICE TRUST INC MPG,MPG
MET-PRO CORP MPR,MPR
MEDICAL PROPERTIES TRUS MPW,MPW
MONOLITHIC POWER SYSTEM MPWR,MPWR
MARINE PRODUCTS CORP MPX,MPX
MERCURY COMPUTER SYSTEM MRCY,MRCY
MERGE HEALTHCARE INC MRGE,MRGE
MONTPELIER RE HOLDINGS MRH,MRH
MARLIN BUSINESS SVCS MRLN,MRLN
MARTEN TRANS LTD MRTN,MRTN
MEDICIS PHARMACEUTICAL MRX,MRX
MINE SAFETY APPLIANCES MSA,MSA
MICROSEMI CORP MSCC,MSCC
MIDDLESEX WATER CO MSEX,MSEX
MAINSOURCE FINANCIAL GR MSFG,MSFG
MIDSOUTH BANCORP INC MSL,MSL
MARTHA STEWART LIVING MSO,MSO
MINDSPEED TECHNOLOGIES MSPD,MSPD
MCCORMICK & SCHMICKS MSSR,MSSR
MICROSTRATEGY INC MSTR,MSTR
MISSION WEST PROPERTIES MSW,MSW
MGIC INVESTMENT CORP MTG,MTG
MERITAGE HOMES CORP MTH,MTH
VAIL RESORTS INC MTN,MTN
MERITOR INC MTOR,MTOR
MEDTOX SCIENTIFIC INC MTOX,MTOX
MATERION CORPORATION MTRN,MTRN
MATRIX SERVICE CO MTRX,MTRX
MTS SYSTEMS CORP MTSC,MTSC
MINERALS TECHNOLOGIES MTX,MTX
MASTEC INC MTZ,MTZ
METALS USA HLDGS CORP MUSA,MUSA
MVC CAPITAL INC MVC,MVC
MICROVISION INC DEL MVIS,MVIS
MENS WEARHOUSE INC MW,MW
MUELLER WTR PRODS INC MWA,MWA
MWI VETERINARY SUPPLY MWIV,MWIV
MAXLINEAR INC MXL,MXL
MAXWELL TECHNOLOGIES IN MXWL,MXWL
MYERS INDUSTRIES INC MYE,MYE
MYR GROUP INC DEL MYRG,MYRG
NETSUITE INC N,N
NABI BIOPHARMACEUTICALS NABI,NABI
NASH FINCH CO NAFC,NAFC
NANOMETRICS INC NANO,NANO
NARA BANCORP INC NARA,NARA
NORDIC AMERICAN TANKER NAT,NAT
NATIONAL INTERSTATE COR NATL,NATL
NATURES SUNSHINE PRODS NATR,NATR
NATIONAL AMERN UNIV NAUH,NAUH
NAVIGATORS GROUP INC NAVG,NAVG
NEUROCRINE BIOSCIENCES NBIX,NBIX
NEOSTEM INC NBS,NBS
NBT BANCORP INC NBTB,NBTB
NACCO INDUSTRIES INC NC,NC
NAVIGANT CONSULTING INC NCI,NCI
NCI INC NCIT,NCIT
NATIONAL CINEMEDIA INC NCMI,NCMI
NCI BUILDING SYSTEMS IN NCS,NCS
NEWCASTLE INVT CORP NCT,NCT
99 CENTS ONLY STORES NDN,NDN
NEOGEN CORP NEOG,NEOG
NEOPROBE CORP NEOP,NEOP
NETLOGIC MICROSYSTEMS NETL,NETL
NEWMARKET CORPORATION NEU,NEU
NEWPORT CORP NEWP,NEWP
NEWSTAR FINANCIAL INC NEWS,NEWS
NORTHFIELD BANCORP INC NFBK,NFBK
NATIONAL FINL PARTNERS NFP,NFP
NGP CAPITAL RESOURCES NGPC,NGPC
NATURAL GAS SERVICES GR NGS,NGS
NATIONAL HEALTHCARE COR NHC,NHC
NATIONAL HEALTH INVS IN NHI,NHI
NICHOLAS FINANCIAL INC NICK,NICK
BLUE NILE INC NILE,NILE
NEW JERSEY RESOURCES NJR,NJR
NATIONAL BANKSHARES INC NKSH,NKSH
NEKTAR THERAPEUTICS NKTR,NKTR
NL INDUSTRIES INC NL,NL
NEW MTN FIN CORP NMFC,NMFC
NUMEREX CORP NMRX,NMRX
NN INC NNBR,NNBR
NELNET INC NNI,NNI
NATIONAL RETAIL PPTYS NNN,NNN
NORTHERN OIL & GAS INC NOG,NOG
NORANDA ALUM HLDG CORP NOR,NOR
NEENAH PAPER INC NP,NP
NATIONAL PENN BANCSHARE NPBC,NPBC
NATIONAL PRESTO INDS IN NPK,NPK
ENPRO INDUSTRIES INC NPO,NPO
NPS PHARMACEUTICALS INC NPSP,NPSP
NEOPHOTONICS CORP NPTN,NPTN
NEWPARK RESOURCES INC NR,NR
NATIONAL RESEARCH CORP NRCI,NRCI
NORTHSTAR REALTY FINANC NRF,NRF
INSIGHT ENTERPRISES INC NSIT,NSIT
INSPERITY INC NSP,NSP
NESS TECHNOLOGIES INC NSTC,NSTC
NETSCOUT SYSTEMS INC NTCT,NTCT
NETGEAR INC NTGR,NTGR
NTELOS HOLDINGS CORP NTLS,NTLS
NUTRI SYSTEM INC NTRI,NTRI
NETSPEND HOLDINGS INC NTSP,NTSP
NU SKIN ENTERPRISES NUS,NUS
NUTRACEUTICAL INTL CORP NUTR,NUTR
NUVASIVE INC NUVA,NUVA
NOVAVAX INC NVAX,NVAX
NVE CORP NVEC,NVEC
NOVATEL WIRELESS INC NVTL,NVTL
NORTHWEST BANCSHARES IN NWBI,NWBI
NORTHWESTERN CORP NWE,NWE
NATIONAL WESTRN LIFE IN NWLI,NWLI
NORTHWEST NATURAL GAS C NWN,NWN
NORTHWEST PIPE CO NWPX,NWPX
NEW YORK & CO INC NWY,NWY
QUANEX BUILDING PRODUCT NX,NX
NEXSTAR BROADCASTING GR NXST,NXST
NXSTAGE MEDICAL INC NXTM,NXTM
NYMOX PHARMACEUTICAL NYMX,NYMX
NEW YORK TIMES CO NYT,NYT
