Company,Stock Symbol
ASSISTED LIVING CONCPT ALC,ALC
ALICO INC ALCO,ALCO
ALLETE INC ALE,ALE
ALAMO GROUP INC ALG,ALG
ALIGN TECHNOLOGY INC ALGN,ALGN
ALLEGIANT TRAVEL CO ALGT,ALGT
ALIMERA SCIENCES INC ALIM,ALIM
ALON USA ENERGY INC ALJ,ALJ
ALASKA AIR GROUP INC ALK,ALK
ALKERMES INC ALKS,ALKS
ALLIANCE FINANCIAL CORP ALNC,ALNC
ALNYLAM PHARMACEUTICALS ALNY,ALNY
ANALOGIC CORP ALOG,ALOG
ALASKA COMMUNICATIONS ALSK,ALSK
ALTERRA CAPITAL HOLDING ALTE,ALTE
ALLOS THERAPEUTICS INC ALTH,ALTH
ALEXANDERS INC ALX,ALX
AMERICAN GREETINGS AM,AM
AMAG PHARMACEUTICALS IN AMAG,AMAG
APPLIED MICRO CIRCUITS AMCC,AMCC
AMEDISYS INC AMED,AMED
AMKOR TECHNOLOGY INC AMKR,AMKR
AMERON INTERNATIONAL IN AMN,AMN
AMPIO PHARMACEUTICALS AMPE,AMPE
AMERESCO INC AMRC,AMRC
ALBANY MOLECULAR RESRCH AMRI,AMRI
AMYRIS INC AMRS,AMRS
AMERICAN SUPERCONDUCTOR AMSC,AMSC
AMERISAFE INC AMSF,AMSF
AMSURG CORP AMSG,AMSG
AMERICAN SOFTWARE INC AMSWA,AMSWA
AMERICAN WOODMARK CORP AMWD,AMWD
ANACOR PHARM INC ANAC,ANAC
ANADIGICS INC ANAD,ANAD
ANDERSONS INC ANDE,ANDE
ANAREN INC ANEN,ANEN
ANGIODYNAMICS INC ANGO,ANGO
ANWORTH MORTGAGE ASSET ANH,ANH
ANN INC ANN,ANN
ANTHERA PHARMACEUTICALS ANTH,ANTH
ALLIANCE ONE INTL INC AOI,AOI
A123 SYSTEMS INC AONE,AONE
SMITH A O CORP AOS,AOS
ALPHA & OMEGA SEMICON AOSL,AOSL
AMPCO-PITTSBURGH CORP AP,AP
APAC CUSTOMER SERVICES APAC,APAC
APCO OIL & GAS INTL INC APAGF,APAGF
AMER PUBLIC EDUCATION APEI,APEI
APOGEE ENTERPRISES INC APOG,APOG
ACCURAY INC ARAY,ARAY
ARBITRON INC ARB,ARB
AMERICAN REPROGRAPHICS ARC,ARC
ARCHIPELAGO LEARNING IN ARCL,ARCL
ARDEN GROUP INC ARDNA,ARDNA
APPROACH RESOURCES INC AREX,AREX
AMERIGON INC ARGN,ARGN
APOLLO COMMERCIAL RE ARI,ARI
ARIAD PHARMACEUTICALS ARIA,ARIA
AMERICAN RAILCAR IND ARII,ARII
ARCH CHEMICALS INC ARJ,ARJ
ARENA PHARMACEUTICALS ARNA,ARNA
AEROPOSTALE INC ARO,ARO
ARROW FINANCIAL CORP AROW,AROW
ARQULE INC ARQL,ARQL
