Stock Symbol
EOG
CPN
CPA
WLT
NYT
VRNG
RTK
SSYS
SPR
OSK
VRTX
UAL
WM
GS
GG
P
GE
DUST
GM
GIL
MAS
SNE
FOXA
SNV
MAC
QQQ
JNJ
SNY
TSO
CMPR
BEN
CMI
DISCA
CMG
CME
IDCC
DRYS
LNKD
VLO
HUM
APOL
THLD
PCLN
FSLR
BABA
DISCK
DSW
FFIV
ZU
HCN
NFX
MD
MA
HIMX
NOK
MU
MW
VWO
UVXY
MS
HLF
NOV
NOW
SPLK
CROX
GLD
AMGN
FB
HURN
EBIX
CTL
DOW
MSFT
GLW
BSX
GGP
FCX
UPS
BBBY
LQDT
ZMH
FMX
F
GTATQ
TWX
ILMN
HON
V
AUY
FMD
ALL
TXMD
NTAP
NTP
JNPR
EDU
ALU
SD
WEC
RENN
ADBE
IBM
CAR
BAX
CAT
YY
WUBA
BAC
CAM
LB
LO
LL
STRZA
LH
PGR
CVA
A
TRGT
FXP
STT
FXI
WCG
ABX
XOM
STX
STZ
NSM
BHI
CIEN
PNR
RSX
FAS
PNC
GOOGL
MIC
NEM
TKMR
LINE
AMZN
PLUG
WTW
PRU
RL
RH
RAX
URE
CHK
URI
MRO
MRK
TPX
CELG
NTES
RHT
TYC
APH
UYG
KSS
WFM
WFC
XLE
BMRN
NVDA
KORS
AVGO
NLY
RTI
SGMO
BMS
SNSS
BMY
SYMC
EL
ENB
GCI
PMCS
EA
CSC
EW
ANTM
MGA
YELP
MGM
CBAK
SSO
ABT
POWR
LUV
MUR
TSL
SALE
TEG
SNDK
JCI
SEE
PVH
DGX
ASH
PCP
EXPE
TFM
ETFC
TLT
CLF
BKS
DUG
ATML
MRVL
MTOR
BBY
BBX
UNH
BBT
TRIP
KO
VMC
HSBC
ADXS
ARNA
XLNX
KEY
DANG
VMW
SWI
SWK
WYNN
TTWO
SWN
DF
DG
DE
PRKR
BPT
WBA
ZSL
SINA
TGT
BIG
POT
CAMT
ATVI
BSFT
MYGN
AKAM
BBD
INTC
HOLX
BEAT
SLV
SLW
M
XOMA
SLM
SPWR
ALXN
GOV
DHR
SLB
SUNE
JPM
MCD
LGF
VICL
PBCT
GIGM
SDRL
MCP
NFLX
EXC
AAPL
UNG
RMBS
WU
KATE
AXL
DKS
IWM
ARIA
TZA
RIO
RIG
CTSH
GPN
HAL
VALE
VXX
X
EQC
LVLT
GPS
PHH
PLCE
EFII
OII
OIH
PLCM
BRCM
KIM
SYY
NUGT
HQCL
EPD
EMC
ESRX
DNKN
AMAT
RATE
SKF
SWKS
GPOR
DRC
AEO
CRM
GES
DCTH
SQNM
OLED
TCK
SGEN
PRLB
CTXS
AGNC
C
INFY
AFFX
DDS
SIRI
S
QCOM
KZ
DDD
ANF
MOS
RNWK
MELI
MON
STRA
COP
GSK
DVN
KMB
BCE
DVA
KMI
HNT
COG
SWM
CSUN
BCR
TSLA
DLTR
OMEX
RIGL
AAL
ROVI
CI
JDSU
HES
IEP
CA
CF
SRS
CY
CX
FEYE
BLDP
GROW
CHRW
TDC
FCEL
SBUX
MLNX
CMCSA
AAP
JDST
GNW
CVX
CVS
ZNGA
LOW
IYR
AIG
CVC
DIS
FAZ
MBI
KERX
MNST
TWTR
SOL
SBGI
INO
NSP
PDLI
MTZ
VC
JCP
GRPN
LVS
BBRY
HPQ
IR
MTW
MTL
ICPT
VZ
SVA
MTG
SDS
CSCO
ARG
BIIB
ARO
BA
JBL
DRI
CCL
BP
TIF
CTRP
GPRO
JASO
QID
LYB
PIP
WMT
T
PBYI
ARQL
NTRI
FE
OSIS
EEM
HD
LLY
ISBC
AMD
AMX
TEVA
EZCH
AMP
ACOR
LRCX
PBR
EWZ
YHOO
BDX
VOD
VVUS
VOO
AVP
MDLZ
SCTY
GMCR
UA
HTZ
ACAD
FOSL
ACE
GAME
ADHD
ISIS
OCN
NE
SQQQ
SOHU
XLF
NQ
ADT
GILD
LULU
GDXJ
SJM
MCK
ADI
REGN
VIAB
GDX
BIDU
EBAY
SSTK
SPXU
SPXS
HDB
TWC
USB
AZO
USO
TWM
SEED
HKTV
MSI
LDOS
VHC
QIHU
DAL
CL
PCG
ORCL
TXT
AA
CNQ
RALY
ICE
TNA
ISRG
ESI
PFE
THOR
AMTD
DXD
