Stock Symbol
AGN
AXP
EOG
EXC
CPB
SRCL
WU
YUM
JWN
NFLX
WY
GOOGL
TAP
VNO
VRTX
BWA
HSP
HST
RIG
HSY
DLPH
AAPL
SPG
WEC
FIS
GT
GIS
FITB
MJN
EQR
EQT
GPC
GE
GD
VAR
AMZN
HAS
THC
CTXS
GPS
MAS
MAR
MAT
PHM
FOXA
SNI
MAC
BRCM
KIM
JNJ
