Stock Symbol
WHR
AAPL
AMZN
FDX
MA
NFLX
OCR
GD
NXPI
CVS
UNP
GILD
VRX
XLF
ODFL
ALL
V
GOOG
CF
URI
CP
IWM
UNH
VIAB
FLT
