Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
02/09/2011--02/04/2012,8,6,-688.83,641.48,1102.86,75,6,5,83.3333333333,2,1,50
03/11/2011--03/05/2012,8,6,-688.88,641.34,1102.72,75,6,5,83.3333333333,2,1,50
09/17/2009--09/12/2010,6,5,160.9,253.25,1052.68,83.3333333333,3,3,100,3,2,66.6666666667
03/21/2009--03/16/2010,2,2,187.02,616.39,1040.42,100,1,1,100,1,1,100
12/16/2009--12/11/2010,5,4,67.26,589.36,964.76,80,3,3,100,2,1,50
01/15/2010--01/10/2011,5,4,67.26,589.36,964.76,80,3,3,100,2,1,50
10/28/2007--10/22/2008,4,4,814.09,-14598.2,919.44,100,4,4,100,0,0,
11/27/2007--11/21/2008,4,4,814.09,-23275.48,919.44,100,4,4,100,0,0,
04/20/2009--04/15/2010,3,2,61.74,491.11,915.14,66.6666666667,1,1,100,2,1,50
05/20/2009--05/15/2010,3,2,61.74,491.11,915.14,66.6666666667,1,1,100,2,1,50
06/19/2009--06/14/2010,3,2,61.74,491.11,915.14,66.6666666667,1,1,100,2,1,50
03/26/2008--03/21/2009,3,3,317.4,757.82,757.82,100,3,3,100,0,0,
08/13/2010--08/08/2011,4,3,699.74,-205.49,744.2,75,2,2,100,2,1,50
05/15/2010--05/10/2011,6,5,231.37,-1854.13,360.64,83.3333333333,4,3,75,2,2,100
11/11/2010--11/06/2011,7,5,-190.29,-692.82,356.42,71.4285714286,5,4,80,2,1,50
04/15/2010--04/10/2011,4,4,301.73,-259.45,338.09,100,3,3,100,1,1,100
04/25/2008--04/20/2009,2,2,122.1,314.37,314.37,100,2,2,100,0,0,
09/28/2007--09/22/2008,3,3,114.53,131.7,219.88,100,3,3,100,0,0,
12/27/2007--12/21/2008,3,3,114.46,131.82,219.81,100,3,3,100,0,0,
01/26/2008--01/20/2009,3,3,114.46,131.82,219.81,100,3,3,100,0,0,
03/30/2013--03/25/2014,10,7,-1144.44,-4789.39,203.8,70,5,3,60,5,4,80
05/31/2007--05/25/2008,2,2,86.34,69.06,157.24,100,2,2,100,0,0,
08/29/2007--08/23/2008,2,2,86.34,69.06,157.24,100,2,2,100,0,0,
04/29/2013--04/24/2014,8,5,-1347.98,-2951.81,49.4,62.5,5,3,60,3,2,66.6666666667
02/28/2013--02/23/2014,9,6,-404.45,-1977.74,-337.64,66.6666666667,4,2,50,5,4,80
05/29/2013--05/24/2014,6,3,-2177.27,-1074.45,-779.89,50,4,2,50,2,1,50
06/14/2010--06/09/2011,7,5,-2911.92,-4997.42,-2782.65,71.4285714286,4,3,75,3,2,66.6666666667
,,,,,,,,,,,,
,,,78.0487804878,71.9512195122,96.3414634146,,,,,,,
