Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
04/15/2010--04/10/2011,4,4,541.02,-235,553.81,100,3,3,100,1,1,100
08/13/2010--08/08/2011,6,4,1431.68,-318.77,1530.81,66.6666666667,3,3,100,3,1,33.3333333333
09/28/2007--09/22/2008,4,3,268.06,-528.03,288.07,75,4,3,75,0,0,
08/29/2007--08/23/2008,3,2,210.33,-590.67,225.43,66.6666666667,3,2,66.6666666667,0,0,
05/31/2007--05/25/2008,3,2,209.77,-591.23,224.87,66.6666666667,3,2,66.6666666667,0,0,
01/01/2007--12/27/2007,1,1,189.76,-626.34,189.76,100,1,1,100,0,0,
01/31/2007--01/26/2008,1,1,189.76,-626.34,189.76,100,1,1,100,0,0,
03/02/2007--02/25/2008,1,1,189.76,-626.34,189.76,100,1,1,100,0,0,
11/11/2010--11/06/2011,8,5,738.69,-703.73,1136.33,62.5,5,4,80,3,1,33.3333333333
05/29/2013--05/24/2014,6,3,-1959.87,-1074.45,-679.61,50,4,2,50,2,1,50
07/14/2010--07/09/2011,8,6,2054.73,-1188.21,2190.6,75,4,4,100,4,2,50
08/18/2009--08/13/2010,9,6,-1528.82,-1548.86,-575.07,66.6666666667,6,4,66.6666666667,3,2,66.6666666667
09/01/2012--08/27/2013,13,10,2077.98,-1934.31,7138.09,76.9230769231,8,6,75,5,4,80
02/28/2013--02/23/2014,9,5,-285.14,-1977.74,-225.68,55.5555555556,4,2,50,5,3,60
07/19/2009--07/14/2010,6,3,-2417.43,-2287.47,-1656.79,50,4,2,50,2,1,50
04/29/2013--04/24/2014,8,4,-1059.1,-2951.81,221.16,50,5,3,60,3,1,33.3333333333
10/01/2012--09/26/2013,12,9,1886.75,-3890.31,6166.86,75,8,6,75,4,3,75
02/04/2012--01/29/2013,12,10,4163.8,-3939.8,11373.91,83.3333333333,8,7,87.5,4,3,75
06/03/2012--05/29/2013,16,14,5354,-4401.29,13353.36,87.5,10,9,90,6,5,83.3333333333
03/30/2013--03/25/2014,10,6,-699.95,-4789.39,534.99,60,5,3,60,5,3,60
03/05/2012--02/28/2013,13,10,3475.39,-5385.5,10866.85,76.9230769231,9,7,77.7777777778,4,3,75
06/14/2010--06/09/2011,10,6,-4030.1,-7132.13,-3947.68,60,6,4,66.6666666667,4,2,50
10/28/2007--10/22/2008,6,4,-14304.73,-14780.88,-13964.78,66.6666666667,5,3,60,1,1,100
07/03/2012--06/28/2013,17,13,3703.87,-15336.44,10301.78,76.4705882353,10,8,80,7,5,71.4285714286
02/25/2008--02/19/2009,7,4,-17419.41,-17042.4,-17042.4,57.1428571429,6,3,50,1,1,100
11/27/2007--11/21/2008,6,4,-22919.52,-23395.67,-22579.57,66.6666666667,5,3,60,1,1,100
,,,,,,,,,,,,
,,,79.0697674419,67.4418604651,90.6976744186,,,,,,,
