Period,# of trades,winning trades,Simulated PorL,PorL,Best_of_PorL,winning percent,# of long trades,long winning trades,long winning percent,# of short trades,short winning trades,short winning percent
01/01/2007--12/27/2007,1.0,1.0,706.66,20327.36,20327.36,100.0,1.0,1.0,100.0,0.0,0.0
01/31/2007--01/26/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/02/2007--02/25/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/01/2007--03/26/2008,1.0,1.0,706.66,-6215.2,706.66,100.0,1.0,1.0,100.0,0.0,0.0
05/01/2007--04/25/2008,2.0,2.0,759.11,8159.78,8159.78,100.0,2.0,2.0,100.0,0.0,0.0
05/31/2007--05/25/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/30/2007--06/24/2008,2.0,2.0,759.11,8784.76,8784.76,100.0,2.0,2.0,100.0,0.0,0.0
07/30/2007--07/24/2008,2.0,2.0,759.11,4710.22,4710.22,100.0,2.0,2.0,100.0,0.0,0.0
08/29/2007--08/23/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/28/2007--09/22/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/28/2007--10/22/2008,1.0,1.0,190.73,-4801.6,190.73,100.0,1.0,1.0,100.0,0.0,0.0
11/27/2007--11/21/2008,1.0,1.0,190.73,-8580.8,190.73,100.0,1.0,1.0,100.0,0.0,0.0
12/27/2007--12/21/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/26/2008--01/20/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/25/2008--02/19/2009,1.0,1.0,190.73,-4781.2,190.73,100.0,1.0,1.0,100.0,0.0,0.0
03/26/2008--03/21/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/25/2008--04/20/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/25/2008--05/20/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/24/2008--06/19/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/24/2008--07/19/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/23/2008--08/18/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/22/2008--09/17/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/22/2008--10/17/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/21/2008--11/16/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/21/2008--12/16/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01/20/2009--01/15/2010,1.0,1.0,710.33,-728.2,710.33,100.0,1.0,1.0,100.0,0.0,0.0
02/19/2009--02/14/2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/21/2009--03/16/2010,1.0,1.0,710.33,3657.55,3657.55,100.0,1.0,1.0,100.0,0.0,0.0
04/20/2009--04/15/2010,1.0,1.0,710.33,10807.15,10807.15,100.0,1.0,1.0,100.0,0.0,0.0
05/20/2009--05/15/2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
